source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID005_LOC_RC001010-5.00x5.00-Z Height_Forward-251001-CRO_4e7c49d0.tiff,1,15,4.370193722368317,42.677673070003095,7.299999999999999,2.433333333333333,71.28906249999999,23.763020833333332,0,0,0,7.128906249999999e-08,2.3763020833333333e-08,15.0,1.4305114746093746e-15,2.146074796436563e-15,9.110212538362389e-09,1.494805418118341e-08,1.104100081755223e-09,4.210525624547519e-09,2.1338836535001545e-08,3.78221029903068e-08,2.684363908835216e-08,1.754683367547389e-08,2.8471526476755462e-08,1.4648437499999999e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID005_LOC_RC001010-5.00x5.00-Z Height_Forward-251001-CRO_4e7c49d0.tiff,2,6084,88.01357503344998,859.507568686035,62.82873109796186,54.00986193293885,613.5618271285338,527.440057938856,0,0,0,6.135618271285338e-07,5.274400579388559e-07,6084.0,5.802154541015624e-13,8.719900881723527e-13,1.4700409858518036e-08,8.741733789309672e-08,2.246358487631343e-12,1.4700138046659907e-08,4.297537843430175e-07,7.617187499999999e-07,6.937824479534609e-07,3.543011108084577e-07,9.048564762944565e-07,1.1230367535333242e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID005_LOC_RC001010-5.00x5.00-Z Height_Forward-251001-CRO_4e7c49d0.tiff,3,136,13.159049284959082,128.50634067342853,107.61029411764706,2.50735294117647,1050.881778492647,24.485868566176467,0,0,0,1.050881778492647e-06,2.448586856617647e-08,136.0,1.2969970703124998e-14,1.529646936713788e-14,1.4237616788660532e-08,3.250596081991384e-08,4.30682755742261e-10,8.669860060067283e-09,6.425317033671427e-08,1.1388577919619726e-07,1.5447905416288838e-07,2.7342368295990438e-08,1.533342718701267e-07,2.4413278142169508e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID005_LOC_RC001010-5.00x5.00-Z Height_Forward-251001-CRO_4e7c49d0.tiff,4,2662,58.2182417124135,568.5375167227882,153.91773102930128,24.26296018031555,1503.1028420830203,236.94297051089404,0,0,0,1.5031028420830202e-06,2.3694297051089404e-07,2662.0,2.538681030273437e-13,3.090201732245477e-13,1.4268783426991397e-08,4.931368860159928e-08,1.7565862456746412e-11,1.0092105040527265e-08,2.8426875836139406e-07,5.038532554497824e-07,3.3942869749325354e-07,2.4982769027338745e-07,3.889600611134882e-07,1.539502295007968e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID005_LOC_RC001010-5.00x5.00-Z Height_Forward-251001-CRO_4e7c49d0.tiff,5,1713,46.70181302831116,456.07239285460116,238.34763572679506,15.057501459427902,2327.613630144483,147.0459126897256,0,0,1,2.327613630144483e-06,1.4704591268972562e-07,1713.0,1.6336441040039058e-13,1.6808568592423477e-13,7.1294183550767555e-09,2.3217884513488968e-08,3.7062995887104965e-11,5.4639608622491015e-09,2.2803619642730055e-07,4.041836345034155e-07,3.417045899205047e-07,1.673037050578764e-07,3.564396881321183e-07,1.5585466028149687e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID005_LOC_RC001010-5.00x5.00-Z Height_Forward-251001-CRO_4e7c49d0.tiff,6,788,31.675112647807715,309.3272719512472,301.3096446700508,18.46700507614213,2942.4769987309646,180.3418464467005,0,0,0,2.9424769987309644e-06,1.803418464467005e-07,788.0,7.514953613281248e-14,7.709711662849342e-14,4.689716520435722e-09,1.280783125149651e-08,1.1116846654571501e-11,3.5153247147033745e-09,1.546636359756236e-07,2.741341571800429e-07,2.464742280088698e-07,1.1308810433682793e-07,2.7387369668935196e-07,7.680658007130492e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID005_LOC_RC001010-5.00x5.00-Z Height_Forward-251001-CRO_4e7c49d0.tiff,7,298,19.47884453275087,190.22309114014521,333.1040268456376,5.359060402684563,3252.9690121644294,52.33457424496644,0,0,0,3.2529690121644293e-06,5.2334574244966436e-08,298.0,2.8419494628906243e-14,3.92946455135766e-14,1.7069636432050056e-08,9.160995975558183e-08,2.520139373759085e-10,1.9013604526237516e-08,9.51115455700726e-08,1.6858082521125065e-07,1.8767063927143642e-07,5.8539445335596676e-08,1.995456613450018e-07,5.060814504521263e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID005_LOC_RC001010-5.00x5.00-Z Height_Forward-251001-CRO_4e7c49d0.tiff,8,248,17.769732893161912,173.5325477847843,360.50806451612897,6.02016129032258,3520.586567540322,58.79063760080645,0,0,0,3.520586567540322e-06,5.879063760080645e-08,248.0,2.3651123046874994e-14,2.5507876693929293e-14,1.0711669057037383e-08,3.295191470866675e-08,1.682898288189808e-10,7.398628857958379e-09,8.676627389239214e-08,1.5378921628929316e-07,1.1065961975152787e-07,7.161884645322127e-08,1.2653117227788893e-07,6.757149293181339e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID005_LOC_RC001010-5.00x5.00-Z Height_Forward-251001-CRO_4e7c49d0.tiff,9,15,4.370193722368317,42.677673070003095,377.69999999999993,0.9,3688.4765624999995,8.7890625,0,0,0,3.6884765624999996e-06,8.7890625e-09,15.0,1.4305114746093746e-15,2.318478815353767e-15,1.579446445507204e-08,2.7042840333178333e-08,8.009653379153377e-10,8.820806490791423e-09,2.1338836535001545e-08,3.78221029903068e-08,4.4028080064654615e-08,1.0812915476009891e-08,4.4216142935094234e-08,9.765037057899877e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID005_LOC_RC001010-5.00x5.00-Z Height_Forward-251001-CRO_4e7c49d0.tiff,10,682,29.467768315727287,287.7711749582743,412.1480938416422,8.794721407624632,4024.883728922287,85.8859512463343,0,0,0,4.024883728922287e-06,8.588595124633431e-08,682.0,6.504058837890624e-14,7.139150827170924e-14,1.6078307536250112e-08,2.867946176635198e-08,1.104722367405047e-10,7.56290269705141e-09,1.4388558747913714e-07,2.550305636171991e-07,2.063344663160505e-07,1.0374466407827019e-07,2.2896749776743543e-07,9.277242535333231e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID005_LOC_RC001010-5.00x5.00-Z Height_Forward-251001-CRO_4e7c49d0.tiff,11,1424,42.580431088739246,415.8245223509692,479.12008426966287,16.70505617977528,4678.907072945926,163.13531425561797,0,0,1,4.678907072945926e-06,1.6313531425561796e-07,1424.0,1.3580322265624998e-13,1.4483121332064366e-13,4.431375765866316e-09,1.7435359258770712e-08,5.570066253736347e-12,3.3497897431583203e-09,2.079122611754846e-07,3.6851488797096107e-07,3.6842403209710394e-07,1.356644100004568e-07,3.9094265665250233e-07,7.515399487260128e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID005_LOC_RC001010-5.00x5.00-Z Height_Forward-251001-CRO_4e7c49d0.tiff,12,1,1.1283791670955126,11.019327803667116,127.49999999999997,3.5,1245.1171874999998,34.1796875,0,0,0,1.2451171874999999e-06,3.41796875e-08,1.0,9.536743164062498e-17,1.016837723972451e-16,5.871921500144109e-10,5.871921500144109e-10,5.871921500144109e-10,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.905339660024887e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID005_LOC_RC001010-5.00x5.00-Z Height_Forward-251001-CRO_4e7c49d0.tiff,13,10,3.5682482323055424,34.84617414360881,282.5,4.0,2758.7890625,39.0625,0,0,0,2.7587890625e-06,3.9062499999999997e-08,10.0,9.536743164062499e-16,9.728350568381403e-16,8.767178288320617e-10,1.4632608363112387e-09,1.5794652252645574e-10,5.122110013243334e-10,1.7423087071804404e-08,3.0881617775081825e-08,2.7867773100046154e-08,1.1147109240018464e-08,2.62947500348367e-08,9.755859375e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID005_LOC_RC001010-5.00x5.00-Z Height_Forward-251001-CRO_4e7c49d0.tiff,14,9,3.385137501286538,33.057983411001345,2.2777777777777777,9.055555555555555,22.24392361111111,88.43315972222221,0,0,0,2.224392361111111e-08,8.843315972222221e-08,9.0,8.583068847656248e-16,1.4275243243806856e-15,8.856892424608784e-09,1.4606691848363858e-08,5.409870315819356e-09,3.3723567924331266e-09,1.6528991705500673e-08,2.9296874999999997e-08,3.097497461505811e-08,9.68268967537966e-09,3.126543278598795e-08,9.761992467870106e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID005_LOC_RC001010-5.00x5.00-Z Height_Forward-251001-CRO_4e7c49d0.tiff,15,42,7.312732791431452,71.41340616632277,75.99999999999999,9.166666666666666,742.1874999999999,89.51822916666666,0,0,0,7.421874999999999e-07,8.951822916666665e-08,42.0,4.005432128906249e-15,4.2914831257405695e-15,3.4868266100466005e-09,6.248908128291738e-09,1.1052269560120407e-09,1.5014775479066337e-09,3.570670308316138e-08,6.328848338288925e-08,6.052561339212101e-08,2.1621859194514785e-08,5.940216788599853e-08,1.9531249999999998e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID005_LOC_RC001010-5.00x5.00-Z Height_Forward-251001-CRO_4e7c49d0.tiff,16,1,1.1283791670955126,11.019327803667116,0.5,14.5,4.8828125,141.6015625,0,0,0,4.8828124999999996e-09,1.416015625e-07,1.0,9.536743164062498e-17,1.5804400099843035e-16,5.2568524608487075e-09,5.2568524608487075e-09,5.2568524608487075e-09,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.905339660024887e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID005_LOC_RC001010-5.00x5.00-Z Height_Forward-251001-CRO_4e7c49d0.tiff,17,4936,79.2761653513385,774.1813022591651,326.9270664505673,51.818679092382496,3192.647133306321,506.0417880115478,0,0,0,3.192647133306321e-06,5.060417880115478e-07,4936.0,4.707336425781249e-13,6.830743844109964e-13,2.2584491856771338e-08,1.6991838023639237e-07,8.595320620059538e-12,2.5879545110040358e-08,3.870906511295825e-07,6.861003152441521e-07,1.0478183104977702e-06,2.052908930315565e-07,1.2124951490879473e-06,1.3188126867561257e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID005_LOC_RC001010-5.00x5.00-Z Height_Forward-251001-CRO_4e7c49d0.tiff,18,66,9.166995688475081,89.52144227026447,2.8484848484848486,27.060606060606062,27.817234848484848,264.26373106060606,0,0,0,2.7817234848484846e-08,2.6426373106060605e-07,66.0,6.294250488281249e-15,9.268003256039285e-15,1.3529030355785924e-08,2.8567903884034642e-08,5.06365369177555e-11,7.601503978750602e-09,4.476072113513223e-08,7.933631254527304e-08,8.031973945261828e-08,2.6388523704694423e-08,8.052971016596099e-08,2.441352366286391e-08
