source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID008_LOC_RC001020-5.00x5.00-Z Height_Forward-251001-CRO_b40ceabc.tiff,1,78,9.965574970333758,97.32006806966561,19.179487179487175,1.1153846153846152,187.29967948717945,10.892427884615383,0,0,0,1.8729967948717946e-07,1.0892427884615384e-08,78.0,7.438659667968749e-15,8.40800978322771e-15,5.690471959484595e-09,1.5298886715094298e-08,5.095566080801618e-11,3.917628007101053e-09,4.8660034034832805e-08,8.624766471023287e-08,2.1051811524345042e-07,1.3511221164558008e-08,2.1509493004360647e-07,1.4648437499999999e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID008_LOC_RC001020-5.00x5.00-Z Height_Forward-251001-CRO_b40ceabc.tiff,2,29884,195.06278618656506,1904.9100213531744,187.4374247088743,216.32278142149644,1830.4436006726005,2112.527162319301,0,0,0,1.8304436006726005e-06,2.112527162319301e-06,29884.0,2.8499603271484367e-12,2.9245479479990575e-12,7.042807618957951e-09,3.200663081498777e-08,1.296643753129277e-13,6.052237825181851e-09,9.524550106765872e-07,1.6881825514879713e-06,2.2497342541737178e-06,5.80300705101425e-07,2.7946794721874753e-06,1.8447777738711894e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID008_LOC_RC001020-5.00x5.00-Z Height_Forward-251001-CRO_b40ceabc.tiff,3,1819,48.12507383758763,469.9714241951917,152.66052776250683,33.158603628367224,1490.8254664307308,323.8144885582737,1,1,0,1.490825466430731e-06,3.238144885582737e-07,1819.0,1.7347335815429683e-13,1.7698331034951354e-13,7.3766764939837805e-09,2.1202719727289932e-08,1.0555809056608536e-11,5.0597321488997895e-09,2.3498571209759582e-07,4.165013303151586e-07,3.758598520627932e-07,1.590987541636587e-07,3.8299652754825084e-07,1.241702902886696e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID008_LOC_RC001020-5.00x5.00-Z Height_Forward-251001-CRO_b40ceabc.tiff,4,30098,195.7599647972969,1911.7184062236026,326.19114226858926,119.16599109575388,3185.4603737166917,1163.7303817944714,0,0,0,3.185460373716692e-06,1.1637303817944713e-06,30098.0,2.870368957519531e-12,2.9810786330188586e-12,7.466244353469993e-09,5.6326218331111976e-08,4.3813915597306545e-14,8.215928074407226e-09,9.558592031118013e-07,1.69421632547899e-06,1.3715816601801405e-06,9.995751809266283e-07,1.8878713938036954e-06,1.5379650949355922e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID008_LOC_RC001020-5.00x5.00-Z Height_Forward-251001-CRO_b40ceabc.tiff,5,148,13.727325035155395,134.0559085464394,403.04729729729723,1.3918918918918919,3936.0087626689183,13.592694256756756,0,0,0,3.936008762668918e-06,1.3592694256756756e-08,148.0,1.4114379882812497e-14,6.596767015485151e-14,7.283369449293476e-08,1.6344660268219955e-07,2.8039634987519265e-09,4.774504976944133e-08,6.70279542732197e-08,1.1880395566988709e-07,2.854503696700963e-07,1.6444732527035553e-08,2.881275090130958e-07,1.4648437499999999e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID008_LOC_RC001020-5.00x5.00-Z Height_Forward-251001-CRO_b40ceabc.tiff,6,2941,61.19311645165748,597.5890278482176,478.69279156749406,24.566303978238693,4674.734292651309,239.90531228748725,0,0,0,4.674734292651309e-06,2.3990531228748724e-07,2941.0,2.8047561645507804e-13,3.306983302365088e-13,2.2470693263408706e-08,7.238763991446832e-08,5.598138240033751e-11,1.5676230451647074e-08,2.9879451392410877e-07,5.295994868342284e-07,3.552492258708132e-07,2.612823041316587e-07,3.9573683848576735e-07,2.1639924771264842e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID008_LOC_RC001020-5.00x5.00-Z Height_Forward-251001-CRO_b40ceabc.tiff,7,45,7.569397566060481,73.91989810605938,182.34444444444443,4.922222222222222,1780.7074652777776,48.068576388888886,0,0,0,1.7807074652777775e-06,4.806857638888889e-08,45.0,4.291534423828124e-15,4.590224184980389e-15,1.2418947532633992e-09,2.6470125899790422e-09,3.9309999436859515e-11,7.49585162445422e-10,3.695994905302969e-08,6.550980402831414e-08,6.18819971407495e-08,2.2955296121032565e-08,6.422403491050982e-08,2.0750419217493366e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID008_LOC_RC001020-5.00x5.00-Z Height_Forward-251001-CRO_b40ceabc.tiff,8,42,7.312732791431452,71.41340616632277,422.4761904761905,9.952380952380953,4125.744047619048,97.19122023809524,0,0,0,4.125744047619048e-06,9.719122023809523e-08,42.0,4.005432128906249e-15,4.074744415878501e-15,2.0770571514072507e-09,4.534798032454533e-09,1.9533352507797364e-10,1.22378684968596e-09,3.570670308316138e-08,6.328848338288925e-08,3.717937358828157e-08,3.496250307993886e-08,4.368672877294969e-08,2.9671654834237024e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID008_LOC_RC001020-5.00x5.00-Z Height_Forward-251001-CRO_b40ceabc.tiff,9,121,12.412170838050638,121.21260584033827,47.49173553719008,13.33471074380165,463.78647985537185,130.221784607438,0,0,0,4.6378647985537187e-07,1.30221784607438e-07,121.0,1.1539459228515623e-14,1.159378241932058e-14,7.090723639841038e-10,2.0955143810490127e-09,1.7413397648784286e-11,4.911478582511194e-10,6.060630292016912e-08,1.0742187499999999e-07,1.1377228600616322e-07,3.8435434582364545e-08,1.0918696906511319e-07,2.929676562136993e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID008_LOC_RC001020-5.00x5.00-Z Height_Forward-251001-CRO_b40ceabc.tiff,10,2,1.5957691216057308,15.583682828180965,30.999999999999993,15.499999999999996,302.73437499999994,151.36718749999997,0,0,0,3.0273437499999995e-07,1.5136718749999997e-07,2.0,1.9073486328124996e-16,1.9098010725822878e-16,2.0285882160661261e-10,2.0285882160661261e-10,2.0285882160661261e-10,0.0,7.791841414090481e-09,1.3810679320049755e-08,1.1147109240018463e-08,5.5735546200092305e-09,1.091830067138572e-08,4.8779296875e-09
