source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID011_LOC_RC002002-5.00x5.00-Z Height_Forward-251001-CRO_eaf2b9cc.tiff,1,104,11.507254783503184,112.37553499514829,17.913461538461537,1.3557692307692308,174.93614783653845,13.23993389423077,0,0,0,1.7493614783653845e-07,1.323993389423077e-08,104.0,9.918212890624997e-15,4.6852119593818954e-14,6.747306002987775e-08,1.514604405154814e-07,1.741714992495012e-10,4.044265774357241e-08,5.618776749757414e-08,9.959022487485906e-08,2.0911504958154674e-07,1.5637345685397836e-08,2.0073149610503396e-07,1.4648437499999999e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID011_LOC_RC002002-5.00x5.00-Z Height_Forward-251001-CRO_eaf2b9cc.tiff,2,2131,52.089091658720946,508.6825357296967,125.06311590802439,6.534725480994838,1221.3194912893007,63.81567852534021,0,0,1,1.2213194912893006e-06,6.381567852534021e-08,2131.0,2.0322799682617182e-13,8.753261121735966e-13,9.483478492075369e-08,4.675354062855815e-07,2.2267354260802858e-10,1.0112360753287885e-07,2.5434126786484836e-07,4.508081596712418e-07,1.393323521754021e-06,5.9684108687159e-08,1.3297751623766324e-06,5.3710753645012586e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID011_LOC_RC002002-5.00x5.00-Z Height_Forward-251001-CRO_eaf2b9cc.tiff,3,332,20.56004690782767,200.78170808425457,299.9096385542169,5.4156626506024095,2928.805064006024,52.88733057228915,0,0,0,2.928805064006024e-06,5.288733057228915e-08,332.0,3.1661987304687493e-14,5.098010801134681e-14,2.583926115337382e-08,6.977475307090037e-08,8.632776469103473e-11,1.7732731365597682e-08,1.0039085404212728e-07,1.7793815584266207e-07,2.470620789904016e-07,4.289330831901614e-08,2.4945787946229417e-07,4.394452814216951e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID011_LOC_RC002002-5.00x5.00-Z Height_Forward-251001-CRO_eaf2b9cc.tiff,4,17,4.652426491681278,45.43385245782498,408.20588235294105,0.6176470588235293,3986.38556985294,6.031709558823529,0,0,0,3.98638556985294e-06,6.031709558823529e-09,17.0,1.6212463378906247e-15,1.7020865585163235e-15,2.1895681337286623e-09,4.345562142678469e-09,2.594401611362231e-10,1.3710150088357635e-09,2.271692622891249e-08,4.0264703375172463e-08,7.574285450114737e-08,7.80858824018044e-09,7.34059437489547e-08,9.76199246787011e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID011_LOC_RC002002-5.00x5.00-Z Height_Forward-251001-CRO_eaf2b9cc.tiff,5,3812,69.66770517628983,680.3486833622054,436.090241343127,22.778856243441762,4258.693763116475,222.44976800236094,0,0,0,4.2586937631164746e-06,2.2244976800236093e-07,3812.0,3.635406494140624e-13,8.450889253746315e-13,7.71445190747248e-08,3.247764351137611e-07,2.072078875590331e-11,6.939136788311374e-08,3.4017434168110267e-07,6.029433218919191e-07,6.830357359852773e-07,1.9374092794266857e-07,7.382776005214162e-07,1.3412690847837806e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID011_LOC_RC002002-5.00x5.00-Z Height_Forward-251001-CRO_eaf2b9cc.tiff,6,16951,146.91046090325133,1434.6724697583138,244.48230192908972,60.968231962716054,2387.5224797762667,595.392890260899,0,0,0,2.3875224797762667e-06,5.953928902608989e-07,16951.0,1.616573333740234e-12,7.943010329718352e-12,1.2849375861382504e-07,1.0051777938800392e-06,3.4649628864269733e-12,1.5716668236451055e-07,7.173362348791569e-07,1.2714453719056253e-06,2.247593481828331e-06,3.3225627892800843e-07,2.5144178726691645e-06,1.499530377450492e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID011_LOC_RC002002-5.00x5.00-Z Height_Forward-251001-CRO_eaf2b9cc.tiff,7,2036,50.91478874630426,497.21473385062757,105.38948919449902,24.248526522593316,1029.1942304150296,236.80201682220036,0,0,1,1.0291942304150295e-06,2.3680201682220036e-07,2036.0,1.9416809082031245e-13,7.206192326078206e-13,9.718215513547106e-08,3.067730745347438e-07,7.560707604118238e-11,7.375303452293649e-08,2.486073669253138e-07,4.4064508487025295e-07,1.2208700778691113e-06,7.239090619132966e-08,1.1921372533350266e-06,7.812421564216955e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID011_LOC_RC002002-5.00x5.00-Z Height_Forward-251001-CRO_eaf2b9cc.tiff,8,256,18.0540666735282,176.30924485867385,59.9140625,37.421875,585.0982666015625,365.447998046875,0,0,0,5.850982666015625e-07,3.65447998046875e-07,256.0,2.4414062499999995e-14,5.5283226353418444e-14,2.058589970100526e-08,7.906448492698379e-08,2.1448188244091193e-10,1.884867069331399e-08,8.815462242933692e-08,1.5624999999999999e-07,1.7691269323520907e-07,5.4217733623620186e-08,2.1356675069165705e-07,3.0110039267785e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID011_LOC_RC002002-5.00x5.00-Z Height_Forward-251001-CRO_eaf2b9cc.tiff,9,13,4.068428945128219,39.73075141726777,85.5,35.73076923076923,834.9609375,348.9332932692308,0,0,0,8.349609375e-07,3.4893329326923077e-07,13.0,1.2397766113281247e-15,1.7722908786635859e-15,4.139554287579493e-09,8.228121015533977e-09,3.272363284094266e-10,2.533248356481888e-09,1.986537570863388e-08,3.5210461674453015e-08,2.723273292287456e-08,1.511257117582399e-08,2.8471636333955493e-08,1.1472848865407966e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID011_LOC_RC002002-5.00x5.00-Z Height_Forward-251001-CRO_eaf2b9cc.tiff,10,79,10.02925341359355,97.9419278671245,82.52531645569618,43.018987341772146,805.9112935126581,420.10729825949363,0,0,0,8.059112935126581e-07,4.2010729825949364e-07,79.0,7.534027099609373e-15,2.3202496210380813e-14,2.398763503170596e-08,5.8188300364549475e-08,3.9043827551511434e-10,1.899938859623206e-08,4.897096393356225e-08,8.679877360659754e-08,1.338985778387433e-07,1.9674872557825993e-08,1.319268087860437e-07,1.9531249999999998e-08
