source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID016_LOC_RC002021-5.00x5.00-Z Height_Forward-251001-CRO_23f31cb7.tiff,1,232,17.186959427966244,167.84140066373286,12.547413793103448,4.939655172413792,122.53333782327586,48.23882004310344,0,0,0,1.2253333782327585e-07,4.823882004310344e-08,232.0,2.2125244140624996e-14,2.6226700420009242e-14,1.2356330883487026e-08,3.334920860503389e-08,7.079930674860099e-13,8.667597046874354e-09,8.392070033186642e-08,1.4874556847390445e-07,1.4387836073260835e-07,6.409814044316596e-08,1.7022379254974306e-07,3.90619611628639e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID016_LOC_RC002021-5.00x5.00-Z Height_Forward-251001-CRO_23f31cb7.tiff,2,86500,331.86626918020994,3240.8815349629876,182.74438150289018,242.13467052023117,1784.6131006141618,2364.5963917991326,0,0,0,1.7846131006141617e-06,2.3645963917991327e-06,86500.0,8.249282836914061e-12,8.57332349523168e-12,6.605605583123236e-09,1.4620502955256438e-07,1.368015222015188e-13,9.001725737292183e-09,1.620440767481494e-06,2.8721564784868636e-06,2.3422103736780745e-06,1.5561324286526329e-06,2.917485437408015e-06,1.6284819828149785e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID016_LOC_RC002021-5.00x5.00-Z Height_Forward-251001-CRO_23f31cb7.tiff,3,1851,48.54653846882171,474.087289734587,412.1175040518638,10.96353322528363,4024.5850005064826,107.06575415316044,0,0,1,4.024585000506483e-06,1.0706575415316044e-07,1851.0,1.7652511596679683e-13,1.893803578839666e-13,1.089945302791349e-08,5.96738339334844e-08,1.0799388251869556e-11,1.0226974088038452e-08,2.370436448672935e-07,4.201489211777139e-07,4.969556805181683e-07,1.3439212492235477e-07,5.7137285962582e-07,9.777178326563515e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID016_LOC_RC002021-5.00x5.00-Z Height_Forward-251001-CRO_23f31cb7.tiff,4,549,26.438769072322643,258.1911042219008,505.51275045537335,22.561930783242254,4936.647953665755,220.33135530510015,0,0,0,4.936647953665755e-06,2.2033135530510014e-07,549.0,5.2356719970703114e-14,5.670665375098942e-14,1.7344728480137093e-08,3.379094574668866e-08,9.879929104988292e-11,9.85298210234948e-09,1.290955521109504e-07,2.2881590847382773e-07,2.271188488132231e-07,7.795092666937545e-08,2.298666091620944e-07,7.943924099126986e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID016_LOC_RC002021-5.00x5.00-Z Height_Forward-251001-CRO_23f31cb7.tiff,5,38,6.955796338302048,67.92769861623094,484.55263157894734,18.657894736842106,4731.9592927631575,182.2060032894737,0,0,0,4.731959292763157e-06,1.822060032894737e-07,38.0,3.623962402343749e-15,3.648242080251263e-15,1.2346948440067221e-09,2.9844155534080682e-09,9.732846047702377e-11,8.68808378561917e-10,3.396384930811547e-08,6.01993554977439e-08,3.642602563630211e-08,3.204668032889034e-08,3.952887544253759e-08,2.6815061989003006e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID016_LOC_RC002021-5.00x5.00-Z Height_Forward-251001-CRO_23f31cb7.tiff,6,337,20.71428798138497,202.2879685682126,8.135014836795254,47.58308605341246,79.44350426557864,464.67857474035605,0,0,0,7.944350426557864e-08,4.6467857474035605e-07,337.0,3.2138824462890616e-14,3.7878689801861523e-14,1.0086173763933723e-08,2.0582704338351656e-08,1.1756860887618358e-10,5.7622260344059165e-09,1.011439842841063e-07,1.792730444402912e-07,2.75122025069714e-07,4.034328186255852e-08,2.925298753576276e-07,3.906196116286389e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID016_LOC_RC002021-5.00x5.00-Z Height_Forward-251001-CRO_23f31cb7.tiff,7,3015,61.95818934875773,605.0604428589622,456.37296849087886,51.03897180762851,4456.767270418739,498.4274590588722,0,0,0,4.456767270418739e-06,4.984274590588722e-07,3015.0,2.875328063964843e-13,3.1016166057467186e-13,1.4404111255785064e-08,4.7454111587995345e-08,2.7050548777188407e-11,1.0242535554376946e-08,3.0253022142948107e-07,5.362208559879822e-07,5.018623943995121e-07,2.4673082606052804e-07,5.640953983468294e-07,1.2566424976156048e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID016_LOC_RC002021-5.00x5.00-Z Height_Forward-251001-CRO_23f31cb7.tiff,8,33,6.4820448144285745,63.301218890904046,3.8333333333333335,26.227272727272723,37.434895833333336,256.1257102272727,0,0,0,3.7434895833333334e-08,2.561257102272727e-07,33.0,3.1471252441406244e-15,3.2948023134562897e-15,1.695960875912921e-09,3.4062042707262318e-09,7.870777297172764e-11,9.404164812239173e-10,3.165060944545202e-08,5.609924459509793e-08,5.53516163330176e-08,1.9318653691920807e-08,5.459217392092065e-08,1.7734967728898217e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID016_LOC_RC002021-5.00x5.00-Z Height_Forward-251001-CRO_23f31cb7.tiff,9,16,4.51351666838205,44.07731121466846,263.0,21.999999999999996,2568.359375,214.84374999999997,0,0,0,2.568359375e-06,2.1484374999999998e-07,16.0,1.5258789062499997e-15,1.529700393554473e-15,1.000107624565031e-10,1.3983165093086608e-10,7.820358929318706e-11,2.3544328524837023e-11,2.203865560733423e-08,3.9062499999999997e-08,4.458843696007385e-08,1.1147109240018461e-08,4.026470337517256e-08,9.755859375e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID016_LOC_RC002021-5.00x5.00-Z Height_Forward-251001-CRO_23f31cb7.tiff,10,4,2.256758334191025,22.03865560733423,269.99999999999994,21.999999999999996,2636.7187499999995,214.84374999999997,0,0,0,2.6367187499999997e-06,2.1484374999999998e-07,4.0,3.814697265624999e-16,3.824443811327491e-16,2.0207062994719736e-11,2.0207062994719736e-11,2.0207062994719736e-11,0.0,1.1019327803667115e-08,1.9531249999999998e-08,1.1147109240018463e-08,1.1147109240018463e-08,1.3810679320049774e-08,9.755859375e-09
