source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID023_LOC_RC005017-5.00x5.00-Z Height_Forward-251001-CRO_209d41ca.tiff,1,279,18.847647942942654,184.05906194279936,7.783154121863799,14.034050179211466,76.00736447132616,137.05127128136198,0,0,0,7.600736447132616e-08,1.3705127128136198e-07,279.0,2.660751342773437e-14,3.0017492222724986e-14,1.5398797708523644e-08,5.120022130321248e-08,2.7453139741053458e-11,1.2821166071143314e-08,9.202953097139966e-08,1.6311809656728578e-07,1.0641823182489225e-07,9.270124617051141e-08,1.5332350017241222e-07,6.868516147839513e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID023_LOC_RC005017-5.00x5.00-Z Height_Forward-251001-CRO_209d41ca.tiff,2,1126,37.86380497746883,369.76372048309406,40.61190053285967,35.4404973357016,396.60059114120776,346.0986067939609,1,1,0,3.9660059114120777e-07,3.460986067939609e-07,1126.0,1.0738372802734373e-13,1.1680329648748333e-13,9.551698581838384e-09,5.2453244820760286e-08,1.6103277176697023e-12,8.47683690518962e-09,1.84881860241547e-07,3.276945651477054e-07,3.919506999077671e-07,1.2782535014775348e-07,4.2472787819310863e-07,5.925394488196032e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID023_LOC_RC005017-5.00x5.00-Z Height_Forward-251001-CRO_209d41ca.tiff,3,42,7.312732791431452,71.41340616632277,84.49999999999999,1.9047619047619047,825.1953124999999,18.601190476190474,0,0,0,8.251953124999999e-07,1.8601190476190475e-08,42.0,4.005432128906249e-15,4.4849881481909935e-15,9.145057090472056e-09,2.0175918594472632e-08,1.0815816047223758e-09,5.529919691706274e-09,3.570670308316138e-08,6.328848338288925e-08,5.660125917898367e-08,2.4236897508150164e-08,6.366464839863254e-08,2.0865383295893945e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID023_LOC_RC005017-5.00x5.00-Z Height_Forward-251001-CRO_209d41ca.tiff,4,9,3.385137501286538,33.057983411001345,96.16666666666666,0.7222222222222221,939.1276041666666,7.0529513888888875,0,0,0,9.391276041666667e-07,7.052951388888888e-09,9.0,8.583068847656248e-16,8.818286585786561e-16,1.3483624094105729e-09,2.9989472185854338e-09,3.446164489847732e-12,1.098475583748728e-09,1.6528991705500673e-08,2.9296874999999997e-08,3.4996385037113925e-08,8.896176023221829e-09,3.45280437828383e-08,9.761992467870109e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID023_LOC_RC005017-5.00x5.00-Z Height_Forward-251001-CRO_209d41ca.tiff,5,19,4.918490759365935,48.03213632193296,106.5,1.1842105263157894,1040.0390625,11.56455592105263,0,0,0,1.0400390625e-06,1.156455592105263e-08,19.0,1.8119812011718747e-15,1.8585087941355845e-15,2.2983172412795116e-09,5.798774292354916e-09,6.705185860915224e-10,1.3331198871879935e-09,2.401606816096648e-08,4.2567372495514386e-08,4.150863429799556e-08,1.4828984273728262e-08,4.421632249639639e-08,1.4647898662863907e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID023_LOC_RC005017-5.00x5.00-Z Height_Forward-251001-CRO_209d41ca.tiff,6,7,2.985410660720923,29.154400983602766,144.5,0.5,1411.1328125,4.8828125,0,0,0,1.4111328124999999e-06,4.8828124999999996e-09,7.0,6.675720214843749e-16,6.762831448932804e-16,7.47827554929031e-10,1.8004353259754608e-09,2.771760338122049e-10,4.799701918642836e-10,1.4577200491801383e-08,2.583741514711514e-08,3.901488234006462e-08,5.573554620009241e-09,3.452669830012448e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID023_LOC_RC005017-5.00x5.00-Z Height_Forward-251001-CRO_209d41ca.tiff,7,16964,146.9667841278678,1435.222501248709,174.19671068144302,67.98549870313605,1701.1397527484671,663.920885772813,0,0,0,1.7011397527484672e-06,6.63920885772813e-07,16964.0,1.617813110351562e-12,1.6901909577601463e-12,8.334252578334067e-09,5.038184646511599e-08,4.971891560390382e-13,7.2743310071099e-09,7.176112506243546e-07,1.2719328246222606e-06,1.0893080859247168e-06,6.290035984491122e-07,1.3536682962113246e-06,1.8036451359654224e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID023_LOC_RC005017-5.00x5.00-Z Height_Forward-251001-CRO_209d41ca.tiff,8,33140,205.41460150759318,2006.0019678475896,384.24731442365714,205.55781532890765,3752.415179918527,2007.4005403213637,0,0,0,3.752415179918527e-06,2.0074005403213638e-06,33140.0,3.1604766845703116e-12,3.4662794744080805e-12,1.3090399843205847e-08,7.834661467626259e-08,7.072653194887999e-13,1.1626982651418834e-08,1.0030009839237947e-06,1.7777729564177512e-06,1.6149673060716166e-06,9.163931569500527e-07,1.9926589087048496e-06,2.1915455358147914e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID023_LOC_RC005017-5.00x5.00-Z Height_Forward-251001-CRO_209d41ca.tiff,9,8,3.1915382432114616,31.16736565636193,419.37499999999994,2.6249999999999996,4095.4589843749995,25.634765624999996,0,0,0,4.0954589843749996e-06,2.5634765624999998e-08,8.0,7.629394531249998e-16,7.763057869217671e-16,7.294186909962167e-10,1.256754539705899e-09,3.460071755314326e-10,4.135934634738015e-10,1.5583682828180962e-08,2.762135864009951e-08,2.2306222824650902e-08,1.2140743476789928e-08,2.489876315122326e-08,9.765340963137376e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID023_LOC_RC005017-5.00x5.00-Z Height_Forward-251001-CRO_209d41ca.tiff,10,63,8.95623198216277,87.4632029508083,438.5,1.2142857142857144,4282.2265625,11.858258928571429,0,0,0,4.2822265625e-06,1.1858258928571428e-08,63.0,6.0081481933593736e-15,9.468591591580425e-15,1.5794461161207083e-08,3.338290211919997e-08,6.328669335812585e-10,9.86211971543081e-09,4.373160147540414e-08,7.751224544134542e-08,1.3420408082016985e-07,1.512593042291878e-08,1.4168572391159106e-07,1.4648437499999999e-08
