source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID027_LOC_RC006006-5.00x5.00-Z Height_Forward-251001-CRO_e6344fc4.tiff,1,659,28.96661630188228,282.8771123230691,22.5288315629742,14.00834597875569,220.00812073216994,136.80025369878604,0,0,0,2.2000812073216994e-07,1.3680025369878603e-07,659.0,6.284713745117186e-14,6.462276706916726e-14,2.4501955977840856e-09,1.1995468009733374e-08,1.7919558769283028e-11,1.7947823012134092e-09,1.4143855616153456e-07,2.50693313535028e-07,2.283518270805869e-07,1.1653217810515774e-07,2.630493927462146e-07,5.86952149690798e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID027_LOC_RC006006-5.00x5.00-Z Height_Forward-251001-CRO_e6344fc4.tiff,2,2,1.5957691216057308,15.583682828180965,70.99999999999999,0.5,693.3593749999999,4.8828125,0,0,0,6.933593749999999e-07,4.8828124999999996e-09,2.0,1.9073486328124996e-16,1.919907075151615e-16,1.0333649151617166e-09,1.0333649151617166e-09,1.0333649151617166e-09,0.0,7.791841414090481e-09,1.3810679320049755e-08,1.1147109240018463e-08,5.5735546200092305e-09,1.0918300671385715e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID027_LOC_RC006006-5.00x5.00-Z Height_Forward-251001-CRO_e6344fc4.tiff,3,6,2.763953195770684,26.991730427448086,74.99999999999999,0.8333333333333333,732.4218749999999,8.138020833333332,0,0,0,7.324218749999999e-07,8.138020833333332e-09,6.0,5.722045898437499e-16,5.9852096309951115e-16,3.837995657882101e-10,8.883617925480165e-10,8.696355748917764e-11,3.5893557411860596e-10,1.3495865213724042e-08,2.392079826936697e-08,1.8829080516634473e-08,1.0408165870177961e-08,2.013345359818206e-08,9.761992467870109e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID027_LOC_RC006006-5.00x5.00-Z Height_Forward-251001-CRO_e6344fc4.tiff,4,1672,46.13953314455178,450.58137836476345,84.55023923444975,22.779904306220093,825.6859300239233,222.4600029904306,0,0,1,8.256859300239234e-07,2.224600029904306e-07,1672.0,1.5945434570312496e-13,2.362674429135653e-13,2.9671378042767404e-08,1.136088150331297e-07,5.7607524213586785e-12,2.398430928494092e-08,2.2529068918238172e-07,3.993173496144701e-07,4.613700642473077e-07,1.4217038509684734e-07,6.084737472374134e-07,1.0261757383706509e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID027_LOC_RC006006-5.00x5.00-Z Height_Forward-251001-CRO_e6344fc4.tiff,5,7,2.985410660720923,29.154400983602766,188.07142857142856,1.7857142857142856,1836.635044642857,17.43861607142857,0,0,0,1.8366350446428571e-06,1.743861607142857e-08,7.0,6.675720214843749e-16,6.763922138070623e-16,4.4696697440336913e-10,4.536661968136289e-10,4.419425575956743e-10,5.801696792886988e-12,1.4577200491801383e-08,2.583741514711514e-08,2.0666309330496778e-08,1.0676368226190556e-08,2.183668089006799e-08,9.76539204158748e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID027_LOC_RC006006-5.00x5.00-Z Height_Forward-251001-CRO_e6344fc4.tiff,6,24550,176.79940843579834,1726.5567230058432,223.10386965376782,268.6994297352342,2178.7487270875763,2624.0178685081464,0,0,0,2.1787487270875763e-06,2.6240178685081463e-06,24550.0,2.341270446777343e-12,3.0897973904904144e-12,1.4689783858926767e-08,7.982473338508648e-08,7.913682301673152e-13,1.3684662944349697e-08,8.632783615029216e-07,1.5301210562492574e-06,2.523298230025764e-06,3.486110633028869e-07,2.522610005360544e-06,1.6485077958557168e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID027_LOC_RC006006-5.00x5.00-Z Height_Forward-251001-CRO_e6344fc4.tiff,7,3,1.9544100476116797,19.08603562120781,226.83333333333331,0.8333333333333333,2215.169270833333,8.138020833333332,0,0,0,2.215169270833333e-06,8.138020833333332e-09,3.0,2.8610229492187495e-16,2.96573775246685e-16,2.291520214881536e-09,3.1573876126895636e-09,5.597854192654806e-10,1.2245214171968126e-09,9.543017810603905e-09,1.6914558667664815e-08,1.2065052850266379e-08,8.242000169692007e-09,1.3810691451940857e-08,5.7175417222762235e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID027_LOC_RC006006-5.00x5.00-Z Height_Forward-251001-CRO_e6344fc4.tiff,8,8,3.1915382432114616,31.16736565636193,231.74999999999994,1.6249999999999998,2263.1835937499995,15.869140624999998,0,0,0,2.2631835937499997e-06,1.5869140625e-08,8.0,7.629394531249998e-16,8.101849431172022e-16,1.0240697281657286e-09,2.9669970358821603e-09,3.144692812234015e-10,1.1230321770570388e-09,1.5583682828180962e-08,2.762135864009951e-08,2.5546291471589126e-08,1.0517344181518126e-08,2.7621493178823125e-08,9.761992467870112e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID027_LOC_RC006006-5.00x5.00-Z Height_Forward-251001-CRO_e6344fc4.tiff,9,8,3.1915382432114616,31.16736565636193,239.12499999999994,0.875,2335.2050781249995,8.544921875,0,0,0,2.3352050781249997e-06,8.544921875e-09,8.0,7.629394531249998e-16,8.360148167957694e-16,3.141579390026949e-09,6.463755081977181e-09,4.715189457148046e-10,2.4842981618052235e-09,1.5583682828180962e-08,2.762135864009951e-08,2.5758799128601e-08,1.0046401490817332e-08,2.629501684356767e-08,9.76539204158748e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID027_LOC_RC006006-5.00x5.00-Z Height_Forward-251001-CRO_e6344fc4.tiff,10,1098,37.390065794529015,365.1373612746974,299.98633879781414,11.96903460837887,2929.554089822404,116.8851035974499,0,0,1,2.929554089822404e-06,1.168851035974499e-07,1098.0,1.0471343994140623e-13,1.1684450020160239e-13,9.245756936924268e-09,3.0137119958037616e-08,6.230690235654927e-12,6.365517251629568e-09,1.825686806373487e-07,3.23594561050408e-07,3.166182267899561e-07,1.3389402159278123e-07,3.6294232297010816e-07,7.303760593907728e-08
