source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID028_LOC_RC006010-5.00x5.00-Z Height_Forward-251001-CRO_ae75ceb0.tiff,1,1626,45.500412083182,444.3399617498242,27.461254612546124,24.412054120541203,268.17631457564573,238.3989660209102,1,1,0,2.6817631457564574e-07,2.383989660209102e-07,1626.0,1.550674438476562e-13,2.044382052223858e-13,2.6380300854292167e-08,9.7796835017258e-08,3.194352206874538e-11,1.8834161017269033e-08,2.221699808749121e-07,3.937860381573428e-07,3.281582792994435e-07,1.820041065834834e-07,3.9016796701647923e-07,1.0484145057432693e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID028_LOC_RC006010-5.00x5.00-Z Height_Forward-251001-CRO_ae75ceb0.tiff,2,2,1.5957691216057308,15.583682828180965,58.0,0.5,566.40625,4.8828125,0,0,0,5.6640625e-07,4.8828124999999996e-09,2.0,1.9073486328124996e-16,2.0412430110746917e-16,1.5060600614463174e-09,1.5060600614463174e-09,1.5060600614463174e-09,0.0,7.791841414090481e-09,1.3810679320049755e-08,1.1147109240018463e-08,5.5735546200092305e-09,1.0918300671385715e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID028_LOC_RC006010-5.00x5.00-Z Height_Forward-251001-CRO_ae75ceb0.tiff,3,552,26.510907730475957,258.8955833054293,84.79166666666666,9.432971014492754,828.0436197916666,92.1188575634058,0,0,0,8.280436197916666e-07,9.21188575634058e-08,552.0,5.2642822265624985e-14,8.949704205742063e-14,3.8313354148510254e-08,1.075775571941434e-07,1.2311302304283663e-10,2.621879255872373e-08,1.294477916527146e-07,2.2944023680606893e-07,1.5642583329175314e-07,1.1133332880954214e-07,1.837435694270763e-07,9.340190812954756e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID028_LOC_RC006010-5.00x5.00-Z Height_Forward-251001-CRO_ae75ceb0.tiff,4,71,9.507891862878783,92.85050647342561,127.93661971830984,3.091549295774648,1249.3810519366195,30.190911091549296,0,0,0,1.2493810519366196e-06,3.0190911091549296e-08,71.0,6.771087646484373e-15,6.781893712655543e-15,5.937366009697411e-10,1.5271292658857357e-09,4.173150038277957e-13,3.504240737663292e-10,4.64252532367128e-08,8.228661887867536e-08,7.04216170419472e-08,3.1549467508010776e-08,6.991468218123711e-08,2.9083928933031595e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID028_LOC_RC006010-5.00x5.00-Z Height_Forward-251001-CRO_ae75ceb0.tiff,5,50,7.978845608028654,77.91841414090483,152.45999999999998,2.8,1488.8671874999998,27.343749999999996,0,0,0,1.4888671874999999e-06,2.7343749999999996e-08,50.0,4.768371582031249e-15,4.79846181778937e-15,1.6367042193964904e-09,3.848364545512769e-09,1.9471762774309386e-10,9.908199556426106e-10,3.895920707045241e-08,6.905339660024878e-08,4.887414488580357e-08,3.190633590237068e-08,5.4593933972858164e-08,2.9296336162863906e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID028_LOC_RC006010-5.00x5.00-Z Height_Forward-251001-CRO_ae75ceb0.tiff,6,140,13.351162356249091,130.38244488524504,182.17142857142858,6.299999999999999,1779.017857142857,61.523437499999986,0,0,0,1.779017857142857e-06,6.152343749999999e-08,140.0,1.3351440429687496e-14,1.3387725160671082e-14,1.2037311529746712e-09,3.4514097692365414e-09,2.8247934782570803e-11,7.901695409675201e-10,6.519122244262251e-08,1.1554843326366436e-07,7.530473652088623e-08,5.835894602238033e-08,8.591050814386501e-08,5.3710349557899863e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID028_LOC_RC006010-5.00x5.00-Z Height_Forward-251001-CRO_ae75ceb0.tiff,7,1,1.1283791670955126,11.019327803667116,206.5,0.5,2016.6015625,4.8828125,0,0,0,2.0166015625e-06,4.8828124999999996e-09,1.0,9.536743164062498e-17,9.695458203835966e-17,7.721997965078645e-11,7.721997965078645e-11,7.721997965078645e-11,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.9053396600250365e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID028_LOC_RC006010-5.00x5.00-Z Height_Forward-251001-CRO_ae75ceb0.tiff,8,12623,126.77579726900541,1238.0448952051308,156.24372177770735,78.5335894795215,1525.8175954854232,766.9295847609521,0,0,0,1.5258175954854232e-06,7.669295847609521e-07,12623.0,1.2038230895996091e-12,1.2124707442739937e-12,2.7831435574946797e-09,2.6196475478606382e-08,7.590696919224732e-13,3.1792202071007915e-09,6.190224476025655e-07,1.097188721050125e-06,9.014734825114679e-07,6.350787151240226e-07,1.280457143298647e-06,1.3174118276007195e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID028_LOC_RC006010-5.00x5.00-Z Height_Forward-251001-CRO_ae75ceb0.tiff,9,7913,100.37501938973334,980.2247987278646,363.52439024390236,50.91526601794515,3550.042873475609,497.2193947064956,0,0,0,3.5500428734756093e-06,4.972193947064956e-07,7913.0,7.546424865722655e-13,8.815224538287639e-13,2.0159254280740438e-08,9.412417256095015e-08,3.872448044374078e-13,1.9492051199213225e-08,4.901123993639322e-07,8.687016096291438e-07,7.156249040584631e-07,5.906385353470575e-07,9.74391918052139e-07,1.4850491886787836e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID028_LOC_RC006010-5.00x5.00-Z Height_Forward-251001-CRO_ae75ceb0.tiff,10,10,3.5682482323055424,34.84617414360881,465.1,0.8,4541.9921875,7.8125,0,0,0,4.5419921875e-06,7.8125e-09,10.0,9.536743164062499e-16,9.545732523304096e-16,9.787262169289862e-11,3.995590622744499e-10,3.572900827228003e-11,1.0170612947912565e-10,1.7423087071804404e-08,3.0881617775081825e-08,3.688068636270246e-08,9.167383976549754e-09,3.554754430488016e-08,9.76539204158748e-09
