source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID030_LOC_RC006012-5.00x5.00-Z Height_Forward-251001-CRO_1c64da64.tiff,1,6160,88.5615921015911,864.8592978671006,50.99334415584414,99.31396103896103,497.98187652191547,969.8629007711038,0,0,0,4.979818765219155e-07,9.698629007711038e-07,6160.0,5.874633789062499e-13,5.971346199706261e-13,3.1352002630226114e-09,2.9206367208137176e-08,5.939752622791204e-12,2.9306825946028327e-09,4.324296489335503e-07,7.664615964979914e-07,6.681709196154544e-07,4.276612143642391e-07,9.435826977401427e-07,9.935530048496729e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID030_LOC_RC006012-5.00x5.00-Z Height_Forward-251001-CRO_1c64da64.tiff,2,968,35.10692067532608,342.84102221998126,51.3047520661157,13.979338842975206,501.0229693956611,136.51698088842974,0,0,0,5.010229693956611e-07,1.3651698088842973e-07,968.0,9.231567382812498e-14,9.314661481997665e-14,1.7498912646083612e-09,1.156098511255561e-08,4.222806669354904e-12,1.7353525130780675e-09,1.714205111099906e-07,3.0383494504109463e-07,3.1582255175438196e-07,1.500818624359463e-07,3.7103541254982566e-07,4.950124934824962e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID030_LOC_RC006012-5.00x5.00-Z Height_Forward-251001-CRO_1c64da64.tiff,3,33,6.4820448144285745,63.301218890904046,95.31818181818181,3.53030303030303,930.8416193181818,34.475615530303024,0,0,0,9.308416193181817e-07,3.4475615530303026e-08,33.0,3.1471252441406244e-15,3.1783185242769378e-15,7.507620845658102e-10,2.556459354807858e-09,8.712702106475996e-11,5.66969602149618e-10,3.165060944545202e-08,5.609924459509793e-08,4.0369432078839624e-08,3.083438913581014e-08,5.2815794543460463e-08,1.4648176715750976e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID030_LOC_RC006012-5.00x5.00-Z Height_Forward-251001-CRO_1c64da64.tiff,4,1,1.1283791670955126,11.019327803667116,100.49999999999997,0.5,981.4453124999998,4.8828125,0,0,0,9.814453124999998e-07,4.8828124999999996e-09,1.0,9.536743164062498e-17,9.667938449209175e-17,1.2755071518218837e-09,1.2755071518218837e-09,1.2755071518218837e-09,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.905339660024887e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID030_LOC_RC006012-5.00x5.00-Z Height_Forward-251001-CRO_1c64da64.tiff,5,1006,35.78936967876878,349.50556326922634,118.86182902584493,22.21371769383698,1160.7600490805169,216.93083685387674,0,0,0,1.1607600490805168e-06,2.1693083685387675e-07,1006.0,9.593963623046873e-14,9.664945706881572e-14,2.124833070112627e-09,1.0487197207627601e-08,7.503083522338426e-13,1.6886913659062682e-09,1.7475278163461315e-07,3.097412407647208e-07,2.8285169915712365e-07,1.5714433846836478e-07,3.851062125263068e-07,7.783718548055769e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID030_LOC_RC006012-5.00x5.00-Z Height_Forward-251001-CRO_1c64da64.tiff,6,251,17.876888032555495,174.57898469292476,179.105577689243,10.436254980079681,1749.0779071215138,101.91655253984064,0,0,0,1.7490779071215138e-06,1.0191655253984063e-07,251.0,2.393722534179687e-14,2.4247030226007165e-14,2.6626659692204947e-09,7.756180304878238e-09,4.061799356459852e-11,2.186200761559899e-09,8.728949234646237e-08,1.5471659685307477e-07,1.2958512031663793e-07,6.706786935972952e-08,1.474759406052979e-07,5.99948332561341e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID030_LOC_RC006012-5.00x5.00-Z Height_Forward-251001-CRO_1c64da64.tiff,7,7001,94.4137175027595,922.0089599878858,262.87708898728755,67.3351664047993,2567.15907214148,657.5699844218682,0,0,0,2.56715907214148e-06,6.575699844218682e-07,7001.0,6.676673889160155e-13,7.107208558093998e-13,1.226444163383478e-08,5.198930785206277e-08,2.36503198907557e-12,8.928241879786335e-09,4.610044799939428e-07,8.171091658499588e-07,7.569371948106836e-07,3.5636746408499353e-07,8.374431224095424e-07,1.6378510419486503e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID030_LOC_RC006012-5.00x5.00-Z Height_Forward-251001-CRO_1c64da64.tiff,8,128,12.766152972845846,124.66946262544772,319.38281249999994,3.8125,3118.972778320312,37.2314453125,0,0,0,3.118972778320312e-06,3.72314453125e-08,128.0,1.2207031249999997e-14,1.2314836548615101e-14,2.9041094230763895e-09,7.142799441031234e-09,7.099207013181195e-11,1.7501855554191319e-09,6.233473131272385e-08,1.1048543456039804e-07,8.681549943949629e-08,4.960581029167755e-08,1.0788864595603354e-07,4.407336440100793e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID030_LOC_RC006012-5.00x5.00-Z Height_Forward-251001-CRO_1c64da64.tiff,9,241,17.517155313611116,171.06596985948357,355.4917012448132,4.533195020746888,3471.598644968879,44.26948262448133,0,0,0,3.471598644968879e-06,4.4269482624481326e-08,241.0,2.298355102539062e-14,2.318944702863838e-14,1.4604324563570315e-09,5.158206669385983e-09,2.172254939220939e-11,1.0182223797697788e-09,8.553298492974178e-08,1.5160326851816428e-07,2.3011073397492957e-07,5.102607578429e-08,2.2167109704966144e-07,3.1775949526082475e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID030_LOC_RC006012-5.00x5.00-Z Height_Forward-251001-CRO_1c64da64.tiff,10,13,4.068428945128219,39.73075141726777,385.3461538461538,1.8846153846153844,3763.1460336538457,18.404447115384613,0,0,0,3.763146033653846e-06,1.8404447115384612e-08,13.0,1.2397766113281247e-15,1.2568944968808004e-15,1.0252868780871168e-09,2.984300443815855e-09,1.8510358688697502e-10,1.034616357200636e-09,1.986537570863388e-08,3.5210461674453015e-08,2.3183691777216692e-08,1.7963847727197666e-08,2.7622554432942473e-08,1.4648437499999999e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID030_LOC_RC006012-5.00x5.00-Z Height_Forward-251001-CRO_1c64da64.tiff,11,540,26.221162334209897,256.0660384200185,395.29629629629625,15.39259259259259,3860.3153935185182,150.318287037037,0,0,0,3.860315393518518e-06,1.50318287037037e-07,540.0,5.149841308593749e-14,5.4824867754616284e-14,1.322357862835463e-08,2.6549591414268854e-08,2.199068896449128e-11,7.052136103415249e-09,1.2803301921000925e-07,2.2693261794184081e-07,1.5558336107175442e-07,1.0832208730678556e-07,1.793505193020912e-07,1.0128990496024954e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID030_LOC_RC006012-5.00x5.00-Z Height_Forward-251001-CRO_1c64da64.tiff,12,23,5.4115163798060095,52.84683964654306,412.5869565217391,1.2826086956521738,4029.1694972826085,12.52547554347826,0,0,0,4.029169497282608e-06,1.252547554347826e-08,23.0,2.1934509277343745e-15,2.237238667662424e-15,1.5575651607298167e-09,3.1108328568425747e-09,2.1998994425740506e-10,1.0424888019399303e-09,2.642341982327153e-08,4.683429221985077e-08,5.366232908204956e-08,1.4985850257674898e-08,5.0979636541363566e-08,1.4648308536272938e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID030_LOC_RC006012-5.00x5.00-Z Height_Forward-251001-CRO_1c64da64.tiff,13,1,1.1283791670955126,11.019327803667116,419.5,0.5,4096.6796875,4.8828125,0,0,0,4.0966796875e-06,4.8828124999999996e-09,1.0,9.536743164062498e-17,9.589408923424337e-17,1.119253557838551e-10,1.119253557838551e-10,1.119253557838551e-10,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.905339660025336e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID030_LOC_RC006012-5.00x5.00-Z Height_Forward-251001-CRO_1c64da64.tiff,14,171,14.755472278097805,144.09640896579887,439.9736842105263,4.482456140350877,4296.618009868421,43.77398574561403,0,0,0,4.296618009868421e-06,4.3773985745614024e-08,171.0,1.6307830810546873e-14,1.644269521106731e-14,2.546560863616674e-09,6.282568922503932e-09,1.4011617987492127e-11,1.8204576868993873e-09,7.204820448289944e-08,1.2770211748654315e-07,1.2177902310523063e-07,5.526504416816426e-08,1.4741521478615289e-07,4.325643029755521e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID030_LOC_RC006012-5.00x5.00-Z Height_Forward-251001-CRO_1c64da64.tiff,15,1748,47.17650606177894,460.70806700955995,460.7814645308924,60.33981693363844,4499.818989559496,589.2560247425629,1,0,0,4.4998189895594964e-06,5.892560247425629e-07,1748.0,1.6670227050781245e-13,1.686485060808403e-13,2.404019617266608e-09,8.913334553904976e-09,3.6476309825905535e-13,1.9218522231721366e-09,2.3035403350477993e-07,4.082918937571654e-07,5.401271351031545e-07,1.4194800176808572e-07,6.087383909008202e-07,6.778342743996353e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID030_LOC_RC006012-5.00x5.00-Z Height_Forward-251001-CRO_1c64da64.tiff,16,113,11.994835078277376,117.1370613113025,496.7123893805309,3.4734513274336276,4850.706927544247,33.92042311946902,0,0,0,4.850706927544247e-06,3.392042311946902e-08,113.0,1.0776519775390622e-14,1.0871493638774552e-14,1.9507259454908126e-09,6.598441587916187e-09,1.737485357761104e-10,1.3532617639375562e-09,5.856853065565124e-08,1.038100177024868e-07,8.348798552707223e-08,4.485405646894272e-08,9.814362419821452e-08,4.272341197114992e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID030_LOC_RC006012-5.00x5.00-Z Height_Forward-251001-CRO_1c64da64.tiff,17,2,1.5957691216057308,15.583682828180965,508.4999999999999,1.0,4965.820312499999,9.765625,0,0,0,4.965820312499999e-06,9.765624999999999e-09,2.0,1.9073486328124996e-16,1.9446849656984694e-16,1.3110069028776603e-09,1.3110069028776603e-09,1.3110069028776603e-09,0.0,7.791841414090481e-09,1.3810679320049755e-08,1.1147109240018463e-08,5.5735546200092305e-09,1.0918300671385982e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID030_LOC_RC006012-5.00x5.00-Z Height_Forward-251001-CRO_1c64da64.tiff,18,6,2.763953195770684,26.991730427448086,511.0,1.4999999999999998,4990.234375,14.648437499999998,0,0,0,4.990234375e-06,1.4648437499999999e-08,6.0,5.722045898437499e-16,5.739620467257215e-16,2.6690933736067534e-10,2.810438640872027e-10,2.3864028390762057e-10,1.9989239394380013e-11,1.3495865213724042e-08,2.392079826936697e-08,1.6720663860027693e-08,1.1147109240018463e-08,1.760523083722676e-08,9.755859375e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID030_LOC_RC006012-5.00x5.00-Z Height_Forward-251001-CRO_1c64da64.tiff,19,2128,52.05241350020599,508.3243505879491,209.7391917293233,49.857142857142854,2048.2342942316727,486.88616071428567,1,1,0,2.0482342942316726e-06,4.868861607142857e-07,2128.0,2.0294189453124995e-13,2.287290367055165e-13,1.504576535300153e-08,6.756761000145502e-08,4.206524834883477e-11,1.1536874062982889e-08,2.5416217529397453e-07,4.504907263543279e-07,3.8466752472161985e-07,1.8690274322653376e-07,4.3939891614485583e-07,1.3940349626155268e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID030_LOC_RC006012-5.00x5.00-Z Height_Forward-251001-CRO_1c64da64.tiff,20,6,2.763953195770684,26.991730427448086,381.33333333333326,3.166666666666666,3723.9583333333326,30.92447916666666,0,0,0,3.7239583333333327e-06,3.092447916666666e-08,6.0,5.722045898437499e-16,5.80539798281742e-16,7.898263119482208e-10,1.6032985887453512e-09,4.5526942557675173e-10,3.94892219268893e-10,1.3495865213724042e-08,2.392079826936697e-08,2.109076168005823e-08,9.429736976570299e-09,2.1840238553174893e-08,9.761992467870109e-09
