source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID031_LOC_RC006016-5.00x5.00-Z Height_Forward-251001-CRO_a550127e.tiff,1,163,14.406180819073164,140.68535956126138,6.536809815950919,6.015337423312882,63.8360333588957,58.743529524539866,0,0,0,6.38360333588957e-08,5.874352952453987e-08,163.0,1.5544891357421872e-14,1.690371776690058e-14,1.3409901767779342e-08,2.3014486688995617e-08,9.236162160659177e-10,5.7333934412359756e-09,7.034267978063068e-08,1.246791536601924e-07,7.678322339936172e-08,6.565916658586472e-08,8.710800331929325e-08,5.999502161764664e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID031_LOC_RC006016-5.00x5.00-Z Height_Forward-251001-CRO_a550127e.tiff,2,47,7.735777827895049,75.54470535053758,29.521276595744677,4.329787234042554,288.2937167553191,42.28307845744681,0,0,0,2.882937167553191e-07,4.2283078457446814e-08,47.0,4.482269287109374e-15,4.5934129537756375e-15,2.7619993841699526e-09,5.840766517156857e-09,3.073852600047415e-10,1.8000189384933354e-09,3.7772352675268796e-08,6.694975195704144e-08,4.2430235386391624e-08,3.426567960602186e-08,4.632290020327307e-08,2.8471176474504407e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID031_LOC_RC006016-5.00x5.00-Z Height_Forward-251001-CRO_a550127e.tiff,3,11573,121.38863724097095,1185.435910556357,71.96530718050636,84.192560269593,702.7862029346323,822.1929713827442,0,0,0,7.027862029346323e-07,8.221929713827442e-07,11573.0,1.1036872863769528e-12,1.1227031040227605e-12,4.1418518606886425e-09,5.351878947603624e-08,4.650611654726847e-13,6.5479876427863625e-09,5.927179552781784e-07,1.0505652223336507e-06,8.294331903277399e-07,5.894952931708243e-07,1.0948215179860189e-06,1.1961821150330145e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID031_LOC_RC006016-5.00x5.00-Z Height_Forward-251001-CRO_a550127e.tiff,4,8,3.1915382432114616,31.16736565636193,106.24999999999997,2.3749999999999996,1037.5976562499998,23.193359374999996,0,0,0,1.0375976562499999e-06,2.3193359374999998e-08,8.0,7.629394531249998e-16,7.638555086648147e-16,3.6543038001860214e-10,5.377923325877526e-10,1.4117385023669714e-10,1.2337049467378697e-10,1.5583682828180962e-08,2.762135864009951e-08,2.036625252349013e-08,1.3220569085310513e-08,2.251192942943236e-08,9.765196474468546e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID031_LOC_RC006016-5.00x5.00-Z Height_Forward-251001-CRO_a550127e.tiff,5,78,9.965574970333758,97.32006806966561,136.2179487179487,2.538461538461538,1330.2534054487178,24.789663461538456,0,0,0,1.3302534054487179e-06,2.4789663461538457e-08,78.0,7.438659667968749e-15,1.2263532770539579e-14,1.797541489922786e-08,6.127098283767762e-08,2.299690554519411e-10,1.882107897752542e-08,4.8660034034832805e-08,8.624766471023287e-08,1.0382161214528861e-07,2.706839266434706e-08,1.1273708899783659e-07,2.0516896772158316e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID031_LOC_RC006016-5.00x5.00-Z Height_Forward-251001-CRO_a550127e.tiff,6,217,16.622063085174787,162.32483481616003,159.41244239631337,15.080645161290322,1556.7621327764978,147.2719254032258,0,0,0,1.5567621327764977e-06,1.472719254032258e-07,217.0,2.069473266601562e-14,2.112812008116252e-14,3.0149680911509163e-09,9.383823193869119e-09,7.131967049058851e-12,2.663707721706622e-09,8.116241740808e-08,1.4385663928375228e-07,1.6226035483200892e-07,4.831897273795002e-08,1.564649871419344e-07,4.2119602326586697e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID031_LOC_RC006016-5.00x5.00-Z Height_Forward-251001-CRO_a550127e.tiff,7,10,3.5682482323055424,34.84617414360881,171.8,0.8,1677.734375,7.8125,0,0,0,1.677734375e-06,7.8125e-09,10.0,9.536743164062499e-16,9.823503244323132e-16,1.3290272894841932e-09,3.383580476263744e-09,2.2616242519882353e-11,1.1865163242053516e-09,1.7423087071804404e-08,3.0881617775081825e-08,3.389375884381252e-08,9.838108295300873e-09,3.4527569635160614e-08,9.76539204158748e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID031_LOC_RC006016-5.00x5.00-Z Height_Forward-251001-CRO_a550127e.tiff,8,13114,129.21789113608426,1261.893468125823,358.03126429769713,62.07838950739666,3496.3990654071986,606.2342725331705,0,0,0,3.4963990654071984e-06,6.062342725331705e-07,13114.0,1.250648498535156e-12,1.2815554012347274e-12,6.101140899346139e-09,4.6658851312385304e-08,6.779405220059395e-13,5.905439468657689e-09,6.309467340629114e-07,1.1183239685060658e-06,1.4723711524631477e-06,3.9674792847262755e-07,1.82207965850682e-06,1.2522964680703383e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID031_LOC_RC006016-5.00x5.00-Z Height_Forward-251001-CRO_a550127e.tiff,9,4,2.256758334191025,22.03865560733423,374.49999999999994,0.7499999999999999,3657.2265624999995,7.324218749999999,0,0,0,3.6572265624999996e-06,7.324218749999999e-09,4.0,3.814697265624999e-16,3.81833864183752e-16,3.589785800598583e-10,5.393963786829895e-10,1.7856078143672712e-10,1.804177986231312e-10,1.1019327803667115e-08,1.9531249999999998e-08,1.4111513781052305e-08,9.615375847915184e-09,1.5445237736000814e-08,6.100233627323887e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID031_LOC_RC006016-5.00x5.00-Z Height_Forward-251001-CRO_a550127e.tiff,10,1,1.1283791670955126,11.019327803667116,416.49999999999994,0.5,4067.3828124999995,4.8828125,0,0,0,4.0673828124999994e-06,4.8828124999999996e-09,1.0,9.536743164062498e-17,9.537045123588812e-17,7.079310696318621e-11,7.079310696318621e-11,7.079310696318621e-11,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.905339660024737e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID031_LOC_RC006016-5.00x5.00-Z Height_Forward-251001-CRO_a550127e.tiff,11,72,9.574614729634384,93.50209696908577,430.7638888888889,3.3333333333333335,4206.678602430556,32.552083333333336,0,0,0,4.206678602430555e-06,3.2552083333333335e-08,72.0,6.866455078124998e-15,6.883939190857383e-15,9.324700474701208e-10,2.1084108252301866e-09,5.808484810427178e-11,5.184248689732234e-10,4.675104848454289e-08,8.286407592029853e-08,7.760739514580668e-08,3.184748002688163e-08,8.301036126372197e-08,2.2274686399011435e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID031_LOC_RC006016-5.00x5.00-Z Height_Forward-251001-CRO_a550127e.tiff,12,1576,44.79537389622523,437.4548232053245,473.85850253807104,43.407360406091364,4627.52443884835,423.900003965736,1,1,0,4.62752443884835e-06,4.2390000396573603e-07,1576.0,1.5029907226562496e-13,1.546007688489759e-13,8.70019595832044e-09,2.624665539901878e-08,4.389040772704655e-12,6.091868608215359e-09,2.1872741160266223e-07,3.8768424299373447e-07,4.5212218095399417e-07,1.0995013634001438e-07,4.43342184668547e-07,1.0720634133419176e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID031_LOC_RC006016-5.00x5.00-Z Height_Forward-251001-CRO_a550127e.tiff,13,1523,44.03571081101852,430.0362383888527,502.5945502298096,70.6602101116218,4908.149904587985,690.0411143713065,0,0,1,4.908149904587984e-06,6.900411143713065e-07,1523.0,1.4524459838867183e-13,1.4705918309861762e-13,3.9751173543725894e-09,1.4838020317056665e-08,3.1921787188283997e-12,3.5171041489304136e-09,2.1501811919442634e-07,3.8110969338062214e-07,5.948161686322962e-07,1.1039587029911883e-07,6.224415386037027e-07,6.550627970444854e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID031_LOC_RC006016-5.00x5.00-Z Height_Forward-251001-CRO_a550127e.tiff,14,5,2.5231325220201604,24.63996603535313,306.69999999999993,11.899999999999999,2995.1171874999995,116.21093749999999,0,0,0,2.9951171874999994e-06,1.1621093749999999e-07,5.0,4.768371582031249e-16,4.774730967103718e-16,2.3033291869045628e-10,3.0166876382466406e-10,8.868133476944615e-11,7.77731279271116e-11,1.2319983017676562e-08,2.183660134277138e-08,1.5744181678063112e-08,1.0138007891221913e-08,1.7605850401453493e-08,9.76199246787011e-09
