source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID034_LOC_RC008004-5.00x5.00-Z Height_Forward-251001-CRO_50a923ea.tiff,1,91,10.764051215546116,105.11768765181755,2.302197802197802,9.763736263736263,22.48240041208791,95.34898695054945,0,0,0,2.248240041208791e-08,9.534898695054944e-08,91.0,8.678436279296874e-15,8.689511695666766e-15,9.815384490853447e-10,1.8008826507440098e-09,1.5007598310881548e-10,4.4763353474020213e-10,5.255884382590877e-08,9.315812513837359e-08,1.0556676136712499e-07,2.753132347296863e-08,1.0540594252457134e-07,2.831979820555539e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID034_LOC_RC008004-5.00x5.00-Z Height_Forward-251001-CRO_50a923ea.tiff,2,1942,49.725558778918575,485.6011599503767,33.97837281153449,24.159114315139032,331.82004698764155,235.9288507337796,0,0,1,3.3182004698764155e-07,2.359288507337796e-07,1942.0,1.852035522460937e-13,1.8619948608358094e-13,2.490946111067234e-09,6.896952940661322e-09,1.4590464079426097e-11,1.683260519433244e-09,2.4280057997518836e-07,4.3035282297911525e-07,3.23240204926013e-07,2.086587778697288e-07,4.154861215970758e-07,1.28567309747723e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID034_LOC_RC008004-5.00x5.00-Z Height_Forward-251001-CRO_50a923ea.tiff,3,2,1.5957691216057308,15.583682828180965,48.5,1.0,473.6328125,9.765625,0,0,0,4.7363281249999997e-07,9.765624999999999e-09,2.0,1.9073486328124996e-16,1.9303154516112954e-16,7.868438748329713e-10,1.3499457069390525e-09,2.237420427268901e-10,5.631018321060812e-10,7.791841414090481e-09,1.3810679320049755e-08,1.1147109240018463e-08,5.5735546200092305e-09,1.091830067138572e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID034_LOC_RC008004-5.00x5.00-Z Height_Forward-251001-CRO_50a923ea.tiff,4,11,3.742410318509555,36.54697576669488,51.49999999999999,1.9545454545454544,502.92968749999994,19.087357954545453,0,0,0,5.029296874999999e-07,1.9087357954545452e-08,11.0,1.0490417480468747e-15,1.051954488018368e-15,4.974867018885921e-10,1.3499457069390525e-09,6.462136829458233e-11,3.4783174285849143e-10,1.8273487883347434e-08,3.238891396831445e-08,2.3900875036665188e-08,1.4964577016222348e-08,2.6819814925505674e-08,1.4647886821839428e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID034_LOC_RC008004-5.00x5.00-Z Height_Forward-251001-CRO_50a923ea.tiff,5,1,1.1283791670955126,11.019327803667116,58.499999999999986,0.5,571.2890624999999,4.8828125,0,0,0,5.712890624999999e-07,4.8828124999999996e-09,1.0,9.536743164062498e-17,1.0249294489146969e-16,2.4401228487687385e-09,2.4401228487687385e-09,2.4401228487687385e-09,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.905339660024887e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID034_LOC_RC008004-5.00x5.00-Z Height_Forward-251001-CRO_50a923ea.tiff,6,2,1.5957691216057308,15.583682828180965,60.5,1.0,590.8203125,9.765625,0,0,0,5.908203125e-07,9.765624999999999e-09,2.0,1.9073486328124996e-16,2.028034904611207e-16,1.5927098969903062e-09,1.6388853353188838e-09,1.5465344586617283e-09,4.6175438328577755e-11,7.791841414090481e-09,1.3810679320049755e-08,1.1147109240018463e-08,5.5735546200092305e-09,1.0918300671385697e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID034_LOC_RC008004-5.00x5.00-Z Height_Forward-251001-CRO_50a923ea.tiff,7,2,1.5957691216057308,15.583682828180965,62.499999999999986,1.0,610.3515624999999,9.765625,0,0,0,6.103515624999999e-07,9.765624999999999e-09,2.0,1.9073486328124996e-16,2.0720338727715604e-16,1.3421510322102285e-09,1.5465344586617283e-09,1.1377676057587286e-09,2.0438342645149986e-10,7.791841414090481e-09,1.3810679320049755e-08,1.1147109240018463e-08,5.5735546200092305e-09,1.0918300671385697e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID034_LOC_RC008004-5.00x5.00-Z Height_Forward-251001-CRO_50a923ea.tiff,8,1,1.1283791670955126,11.019327803667116,64.5,0.5,629.8828125,4.8828125,0,0,0,6.298828125e-07,4.8828124999999996e-09,1.0,9.536743164062498e-17,1.0194300149212685e-16,1.1377676057587286e-09,1.1377676057587286e-09,1.1377676057587286e-09,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.905339660024887e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID034_LOC_RC008004-5.00x5.00-Z Height_Forward-251001-CRO_50a923ea.tiff,9,25,5.641895835477563,55.09663901833557,96.85999999999999,1.74,945.8984374999999,16.9921875,0,0,0,9.458984374999999e-07,1.69921875e-08,25.0,2.3841857910156247e-15,2.394674995227345e-15,1.3178176939309682e-09,2.901438457699588e-09,1.1125378609180832e-11,7.218752415344886e-10,2.7548319509167786e-08,4.8828124999999996e-08,3.7433363017202275e-08,2.116141435618094e-08,4.02647453130626e-08,1.9531249999999998e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID034_LOC_RC008004-5.00x5.00-Z Height_Forward-251001-CRO_50a923ea.tiff,10,1147,38.2152555638613,373.195855115833,130.80863121185698,23.07715780296425,1277.4280391782909,225.36286916957278,1,0,0,1.277428039178291e-06,2.2536286916957277e-07,1147.0,1.0938644409179685e-13,1.1001065270382431e-13,2.7202603088491116e-09,8.27499312244406e-09,2.49305762688198e-11,1.989110237035121e-09,1.8659792755791648e-07,3.3073621527101755e-07,2.670460568179625e-07,1.4749956466945442e-07,3.174008601395271e-07,9.027834976202786e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID034_LOC_RC008004-5.00x5.00-Z Height_Forward-251001-CRO_50a923ea.tiff,11,1,1.1283791670955126,11.019327803667116,128.5,0.5,1254.8828125,4.8828125,0,0,0,1.2548828125e-06,4.8828124999999996e-09,1.0,9.536743164062498e-17,9.855515057279173e-17,2.625303469887491e-10,2.625303469887491e-10,2.625303469887491e-10,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.905339660024887e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID034_LOC_RC008004-5.00x5.00-Z Height_Forward-251001-CRO_50a923ea.tiff,12,1,1.1283791670955126,11.019327803667116,130.5,0.5,1274.4140625,4.8828125,0,0,0,1.2744140625e-06,4.8828124999999996e-09,1.0,9.536743164062498e-17,1.0223966216282981e-16,1.4493085099339728e-10,1.4493085099339728e-10,1.4493085099339728e-10,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.9053396600250365e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID034_LOC_RC008004-5.00x5.00-Z Height_Forward-251001-CRO_50a923ea.tiff,13,2,1.5957691216057308,15.583682828180965,132.49999999999997,1.0,1293.9453124999998,9.765625,0,0,0,1.2939453124999998e-06,9.765624999999999e-09,2.0,1.9073486328124996e-16,2.021003708899939e-16,7.457089836832189e-11,1.4493085099339728e-10,4.210945743246493e-12,7.03599526250754e-11,7.791841414090481e-09,1.3810679320049755e-08,1.1147109240018463e-08,5.5735546200092305e-09,1.0918300671385697e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID034_LOC_RC008004-5.00x5.00-Z Height_Forward-251001-CRO_50a923ea.tiff,14,4,2.256758334191025,22.03865560733423,134.49999999999997,2.0,1313.4765624999998,19.53125,0,0,0,1.3134765624999998e-06,1.9531249999999998e-08,4.0,3.814697265624999e-16,4.013896217467433e-16,1.1794075627255e-09,1.9394554143173177e-09,4.210945743246493e-12,7.192002896285389e-10,1.1019327803667115e-08,1.9531249999999998e-08,2.2294218480036925e-08,5.5735546200092305e-09,2.0132351687586235e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID034_LOC_RC008004-5.00x5.00-Z Height_Forward-251001-CRO_50a923ea.tiff,15,36,6.770275002573076,66.11596682200269,140.36111111111111,1.8888888888888886,1370.7139756944443,18.446180555555554,0,0,0,1.3707139756944445e-06,1.8446180555555552e-08,36.0,3.433227539062499e-15,3.466905271063645e-15,7.241589154882716e-10,4.298222060285153e-09,2.8110306336109102e-11,9.065795680089801e-10,3.3057983411001345e-08,5.8593749999999995e-08,5.417377221509847e-08,2.165700553333666e-08,5.7162209599461525e-08,2.0516896772158316e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID034_LOC_RC008004-5.00x5.00-Z Height_Forward-251001-CRO_50a923ea.tiff,16,1288,40.49608047229867,395.4695358622917,178.49068322981364,40.5,1743.073078416149,395.5078125,1,0,0,1.743073078416149e-06,3.955078125e-07,1288.0,1.2283325195312496e-13,1.235941866324159e-13,2.0492623859654225e-09,1.0128778649335073e-08,6.602511818634509e-12,1.898973513318995e-09,1.9773476793114583e-07,3.5047575087746794e-07,4.3268760530031096e-07,1.119816436777431e-07,4.5141361689191667e-07,7.348843408706913e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID034_LOC_RC008004-5.00x5.00-Z Height_Forward-251001-CRO_50a923ea.tiff,17,1,1.1283791670955126,11.019327803667116,185.49999999999997,0.5,1811.5234374999998,4.8828125,0,0,0,1.8115234374999999e-06,4.8828124999999996e-09,1.0,9.536743164062498e-17,9.593071669963466e-17,2.418583775658635e-10,2.418583775658635e-10,2.418583775658635e-10,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.9053396600250365e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID034_LOC_RC008004-5.00x5.00-Z Height_Forward-251001-CRO_50a923ea.tiff,18,2164,52.49085991681687,512.6060538751648,219.48336414048057,36.56654343807764,2143.3922279343806,357.0951507624769,1,0,0,2.1433922279343806e-06,3.570951507624769e-07,2164.0,2.0637512207031245e-13,2.0753774800544243e-13,2.9428029309321873e-09,1.0137682505003911e-08,3.192997598107788e-13,2.0271711546099285e-09,2.5630302693758236e-07,4.5428528709425807e-07,4.196362612177314e-07,1.7750567302798537e-07,4.7447568688216e-07,1.3191476419731693e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID034_LOC_RC008004-5.00x5.00-Z Height_Forward-251001-CRO_50a923ea.tiff,19,1,1.1283791670955126,11.019327803667116,238.5,0.5,2329.1015625,4.8828125,0,0,0,2.3291015625e-06,4.8828124999999996e-09,1.0,9.536743164062498e-17,1.0290530175648233e-16,3.970333459984278e-10,3.970333459984278e-10,3.970333459984278e-10,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.9053396600250365e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID034_LOC_RC008004-5.00x5.00-Z Height_Forward-251001-CRO_50a923ea.tiff,20,2,1.5957691216057308,15.583682828180965,240.49999999999994,1.0,2348.6328124999995,9.765625,0,0,0,2.3486328124999996e-06,9.765624999999999e-09,2.0,1.9073486328124996e-16,2.091367599515484e-16,1.363401996340177e-10,1.9140682907029863e-10,8.127357019773675e-11,5.506662943628094e-11,7.791841414090481e-09,1.3810679320049755e-08,1.1147109240018463e-08,5.5735546200092305e-09,1.0918300671385792e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID034_LOC_RC008004-5.00x5.00-Z Height_Forward-251001-CRO_50a923ea.tiff,21,19,4.918490759365935,48.03213632193296,255.5526315789473,1.0789473684210527,2495.6311677631575,10.536595394736842,0,0,0,2.4956311677631576e-06,1.0536595394736842e-08,19.0,1.8119812011718747e-15,1.841242662160098e-15,6.089711851368144e-10,2.989654717468921e-09,9.768538884836218e-12,7.405939675044753e-10,2.401606816096648e-08,4.2567372495514386e-08,5.8970695702426726e-08,1.3164249608838812e-08,6.176616081190035e-08,9.765392041587479e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID034_LOC_RC008004-5.00x5.00-Z Height_Forward-251001-CRO_50a923ea.tiff,22,4103,72.277948587715,705.8393416769043,284.36692663904455,70.0079210333902,2777.0207679594196,683.6711038417012,0,0,0,2.7770207679594197e-06,6.836711038417012e-07,4103.0,3.912925720214843e-13,3.9516511881587176e-13,4.035499252849942e-09,2.4384339773331175e-08,1.0897033805332571e-12,5.027677305776467e-09,3.529196708384521e-07,6.255338296379216e-07,7.646041418013732e-07,2.1536218209667157e-07,7.894166067286017e-07,1.457022786980666e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID034_LOC_RC008004-5.00x5.00-Z Height_Forward-251001-CRO_50a923ea.tiff,23,431,23.42576026046658,228.76719004361894,338.300464037123,7.295823665893272,3303.7154691125293,71.24827798723898,0,0,0,3.303715469112529e-06,7.124827798723898e-08,431.0,4.1103363037109364e-14,4.26922491447283e-14,1.1588483133768908e-08,2.4647100980400986e-08,7.029085726055139e-11,7.474607329976094e-09,1.1438359502180946e-07,2.0273964347682317e-07,1.5836246185426764e-07,8.586001758775009e-08,1.8243696336209272e-07,7.8445372693187e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID034_LOC_RC008004-5.00x5.00-Z Height_Forward-251001-CRO_50a923ea.tiff,24,710,30.066594033278285,293.61908235623326,380.9323943661972,27.118309859154934,3720.042913732394,264.8272447183099,0,0,0,3.720042913732394e-06,2.6482724471830986e-07,710.0,6.771087646484374e-14,6.836253813186481e-14,2.3826628682061508e-09,6.623257850566106e-09,7.905909913897535e-12,1.5977128296620962e-09,1.4680954117811663e-07,2.6021313661082475e-07,3.032135612293508e-07,8.857139357372003e-08,3.235012494742176e-07,6.594605637534823e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID034_LOC_RC008004-5.00x5.00-Z Height_Forward-251001-CRO_50a923ea.tiff,25,6,2.763953195770684,26.991730427448086,403.49999999999994,0.6666666666666666,3940.4296874999995,6.510416666666666,0,0,0,3.9404296874999995e-06,6.510416666666666e-09,6.0,5.722045898437499e-16,5.760839052894371e-16,6.1620864252755e-10,1.8466988829787372e-09,1.1621134899317848e-10,5.645105400694983e-10,1.3495865213724042e-08,2.392079826936697e-08,2.4168862897345925e-08,8.61253375140772e-09,2.4898803872027328e-08,6.1002336273238875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID034_LOC_RC008004-5.00x5.00-Z Height_Forward-251001-CRO_50a923ea.tiff,26,1228,39.54160038408638,386.1484412508436,417.915309446254,25.96498371335505,4081.204193811074,253.5642940757329,1,0,0,4.081204193811074e-06,2.535642940757329e-07,1228.0,1.1711120605468746e-13,1.2001599514001945e-13,8.960067909816436e-09,3.2706566943216255e-08,5.2898377255409675e-12,8.034393915673368e-09,1.9307422062542173e-07,3.4221514585810994e-07,2.7850153779227526e-07,1.4274066031465318e-07,2.9815034530669585e-07,1.0650884978534235e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID034_LOC_RC008004-5.00x5.00-Z Height_Forward-251001-CRO_50a923ea.tiff,27,653,28.834448541840736,281.58641154141344,460.63629402756504,13.042113323124042,4498.40130886294,127.36438792113321,0,0,0,4.49840130886294e-06,1.2736438792113322e-07,653.0,6.227493286132811e-14,6.294589875374072e-14,2.367797648899795e-09,7.084624993812115e-09,8.383042795019119e-12,1.5917110614614582e-09,1.4079320577070671e-07,2.495494597496218e-07,1.8311167085809136e-07,1.2772344166428365e-07,2.1502087216624312e-07,7.525664327838077e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID034_LOC_RC008004-5.00x5.00-Z Height_Forward-251001-CRO_50a923ea.tiff,28,2,1.5957691216057308,15.583682828180965,481.5,1.0,4702.1484375,9.765625,0,0,0,4.7021484375e-06,9.765624999999999e-09,2.0,1.9073486328124996e-16,2.0413321345476438e-16,2.9506068134374707e-09,3.752348564363628e-09,2.1488650625113135e-09,8.017417509261572e-10,7.791841414090481e-09,1.3810679320049755e-08,1.1147109240018463e-08,5.5735546200092305e-09,1.0918300671385982e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID034_LOC_RC008004-5.00x5.00-Z Height_Forward-251001-CRO_50a923ea.tiff,29,1617,45.37431370100002,443.1085322363283,500.1326530612244,43.358379715522574,4884.10794005102,423.4216769094001,0,0,1,4.88410794005102e-06,4.234216769094001e-07,1617.0,1.542091369628906e-13,1.565205009703458e-13,5.521388668588882e-09,1.5506188366779282e-08,2.1088412507529088e-11,3.947422489618813e-09,2.2155426611816415e-07,3.926947121656855e-07,3.9452009770846815e-07,1.307042238308443e-07,4.200876847573478e-07,1.0788560429966944e-07
