source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID037_LOC_RC010001-5.00x5.00-Z Height_Forward-251001-CRO_0c72ea68.tiff,1,29693,194.43842676235886,1898.8127613511608,73.67845956959552,207.6956353349274,719.5162067343313,2028.2776888176504,0,0,0,7.195162067343313e-07,2.0282776888176503e-06,29693.0,2.8317451477050774e-12,2.8468106409764475e-12,2.4187924705854786e-09,3.1191212041703613e-08,2.1710800434340718e-13,2.1840594641771534e-09,9.494063806755803e-07,1.6827789955027004e-06,1.7610078502119084e-06,7.412738822540488e-07,2.0510036768135245e-06,1.4168115948527757e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID037_LOC_RC010001-5.00x5.00-Z Height_Forward-251001-CRO_0c72ea68.tiff,2,226,16.96325844612841,165.65682076297276,49.438053097345126,6.5265486725663715,482.793487278761,63.73582688053097,0,0,0,4.82793487278761e-07,6.373582688053097e-08,226.0,2.1553039550781244e-14,2.1756140950633786e-14,4.245538773931848e-09,8.137562480747349e-09,8.810158381502e-11,2.4076245154234457e-09,8.282841038148637e-08,1.468095349450479e-07,9.234501140027608e-08,7.740725051625616e-08,1.1118563002626275e-07,6.731356886817452e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID037_LOC_RC010001-5.00x5.00-Z Height_Forward-251001-CRO_0c72ea68.tiff,3,38,6.955796338302048,67.92769861623094,83.63157894736841,4.605263157894736,816.7146381578947,44.97327302631579,0,0,0,8.167146381578947e-07,4.497327302631579e-08,38.0,3.623962402343749e-15,3.6366656846933145e-15,6.250689446214871e-10,1.3877599472077933e-09,4.603578743798263e-11,3.555476135558903e-10,3.396384930811547e-08,6.01993554977439e-08,5.85738242199495e-08,2.120636937011776e-08,6.253406068251067e-08,2.120543740158106e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID037_LOC_RC010001-5.00x5.00-Z Height_Forward-251001-CRO_0c72ea68.tiff,4,23,5.4115163798060095,52.84683964654306,109.36956521739128,2.0652173913043477,1068.0621603260868,20.16813858695652,0,0,0,1.0680621603260869e-06,2.016813858695652e-08,23.0,2.1934509277343745e-15,2.2061255520515466e-15,1.0208106070549474e-09,2.4906361313330495e-09,2.1594667290168354e-11,7.887104277532604e-10,2.642341982327153e-08,4.683429221985077e-08,3.151866561012632e-08,2.311184616572049e-08,3.521423213698353e-08,2.0516762849100162e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID037_LOC_RC010001-5.00x5.00-Z Height_Forward-251001-CRO_0c72ea68.tiff,5,496,25.13019725725687,245.41208259039914,184.11290322580646,6.004032258064515,1797.977570564516,58.63312752016128,0,0,0,1.797977570564516e-06,5.863312752016128e-08,496.0,4.730224609374999e-14,4.858269103033355e-14,5.406166052879595e-09,2.6146047407452212e-08,8.459497589838261e-11,5.835540813083177e-09,1.2270604129519956e-07,2.1749079542304772e-07,2.2288776187244005e-07,6.972090323709539e-08,2.162276869331453e-07,6.83588361628639e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID037_LOC_RC010001-5.00x5.00-Z Height_Forward-251001-CRO_0c72ea68.tiff,6,2112,51.856358515428596,506.40975112723237,209.19602272727272,50.21496212121212,2042.9299094460225,490.38048946496207,1,0,0,2.0429299094460225e-06,4.903804894649621e-07,2112.0,2.0141601562499996e-13,2.0212860026266712e-13,1.8963210963470847e-09,6.581188410361931e-09,3.844632555835071e-13,1.2623969944672513e-09,2.5320487556361617e-07,4.4879395676078343e-07,4.2420875009866476e-07,1.794160598985308e-07,5.161664709394573e-07,9.086077070522337e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID037_LOC_RC010001-5.00x5.00-Z Height_Forward-251001-CRO_0c72ea68.tiff,7,22,5.292567428401227,51.68522879298074,243.27272727272725,1.5454545454545454,2375.710227272727,15.092329545454545,0,0,0,2.375710227272727e-06,1.5092329545454545e-08,22.0,2.0980834960937495e-15,2.103230460941259e-15,6.425916277230972e-10,1.4908130863650012e-09,1.5353793825752604e-11,3.6228189725732815e-10,2.5842614396490367e-08,4.5804841404525675e-08,3.694732815755352e-08,1.923502493814019e-08,4.026670906019296e-08,1.627250546947846e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID037_LOC_RC010001-5.00x5.00-Z Height_Forward-251001-CRO_0c72ea68.tiff,8,168,14.625465582862905,142.82681233264555,272.26190476190476,5.285714285714285,2658.807663690476,51.61830357142856,0,0,0,2.658807663690476e-06,5.161830357142856e-08,168.0,1.6021728515624995e-14,1.606342550681455e-14,9.868183715467387e-10,2.5022471817177112e-09,2.5849189950286217e-11,6.879407797898805e-10,7.141340616632276e-08,1.265769667657785e-07,1.0113469047284784e-07,5.68832182283128e-08,1.0808700096285371e-07,3.816134124608541e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID037_LOC_RC010001-5.00x5.00-Z Height_Forward-251001-CRO_0c72ea68.tiff,9,1749,47.18999855628097,460.83982965118133,299.00371640937675,28.884791309319606,2919.95816806032,282.07804013007427,1,1,0,2.91995816806032e-06,2.820780401300743e-07,1749.0,1.6679763793945309e-13,1.715058829880342e-13,1.1227077207362425e-08,2.699031656646714e-08,3.5204275674706576e-11,7.557243139891716e-09,2.3041991482559063e-07,4.084086653579391e-07,2.923861953693623e-07,1.9777949172570495e-07,3.149325743635049e-07,1.3913113343145953e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID037_LOC_RC010001-5.00x5.00-Z Height_Forward-251001-CRO_0c72ea68.tiff,10,52,8.136857890256438,79.46150283453554,333.7307692307692,2.923076923076923,3259.0895432692305,28.545673076923073,0,0,0,3.2590895432692304e-06,2.8545673076923073e-08,52.0,4.959106445312499e-15,4.986240404251927e-15,1.3493852987458536e-09,2.975167000519078e-09,6.939322612775871e-11,8.903266963524954e-10,3.973075141726776e-08,7.042092334890603e-08,4.7460254514325226e-08,3.482494518525474e-08,5.39850279002719e-08,2.9997605142925936e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID037_LOC_RC010001-5.00x5.00-Z Height_Forward-251001-CRO_0c72ea68.tiff,11,36,6.770275002573076,66.11596682200269,350.16666666666663,2.166666666666667,3419.5963541666665,21.158854166666668,0,0,0,3.4195963541666664e-06,2.1158854166666667e-08,36.0,3.433227539062499e-15,3.4516073944413226e-15,1.2624973893094064e-09,2.704926358316506e-09,1.5673974377295616e-10,7.292330574793321e-10,3.3057983411001345e-08,5.8593749999999995e-08,4.412508768569356e-08,2.614044926873592e-08,4.7454835740097355e-08,2.227468639901143e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID037_LOC_RC010001-5.00x5.00-Z Height_Forward-251001-CRO_0c72ea68.tiff,12,2,1.5957691216057308,15.583682828180965,360.99999999999994,0.5,3525.3906249999995,4.8828125,0,0,0,3.5253906249999995e-06,4.8828124999999996e-09,2.0,1.9073486328124996e-16,1.9134299429064678e-16,6.736525097996881e-11,6.736525097996881e-11,6.736525097996881e-11,0.0,7.791841414090481e-09,1.3810679320049755e-08,1.1147109240018463e-08,5.5735546200092305e-09,1.0918300671385715e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID037_LOC_RC010001-5.00x5.00-Z Height_Forward-251001-CRO_0c72ea68.tiff,13,158,14.183506197980657,138.51080271465486,374.3607594936709,5.936708860759493,3655.86679193038,57.975672468354425,0,0,0,3.6558667919303797e-06,5.7975672468354425e-08,158.0,1.5068054199218746e-14,1.5115403318431865e-14,1.2950647677877853e-09,3.5276391991110747e-09,1.956150288216479e-11,8.382937969649165e-10,6.925540135732742e-08,1.2275200283180207e-07,7.901466317829497e-08,6.430759256783274e-08,9.419584364406841e-08,4.9293415578449765e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID037_LOC_RC010001-5.00x5.00-Z Height_Forward-251001-CRO_0c72ea68.tiff,14,2,1.5957691216057308,15.583682828180965,392.0,0.5,3828.125,4.8828125,0,0,0,3.828125e-06,4.8828124999999996e-09,2.0,1.9073486328124996e-16,1.9088387146243043e-16,5.1955010369713644e-11,5.1955010369713644e-11,5.1955010369713644e-11,0.0,7.791841414090481e-09,1.3810679320049755e-08,1.1147109240018463e-08,5.5735546200092305e-09,1.0918300671386093e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID037_LOC_RC010001-5.00x5.00-Z Height_Forward-251001-CRO_0c72ea68.tiff,15,1638,45.66800164531175,445.97657856749754,441.3247863247862,10.054334554334552,4309.81236645299,98.18686088217336,0,0,1,4.309812366452991e-06,9.818686088217337e-08,1638.0,1.5621185302734372e-13,1.567255291875595e-13,1.7932626542226246e-09,5.0122876708608485e-09,2.038532645943149e-12,1.2575152743656416e-09,2.2298828928374876e-07,3.9523645204781366e-07,6.024582639653535e-07,1.0542536476177035e-07,6.158032061202116e-07,8.308805568313089e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID037_LOC_RC010001-5.00x5.00-Z Height_Forward-251001-CRO_0c72ea68.tiff,16,4843,78.52578630712584,766.8533819055258,471.0781540367541,87.48595911625026,4600.372598015177,854.3550694946314,0,0,0,4.600372598015176e-06,8.543550694946313e-07,4843.0,4.618644714355467e-13,4.653362868094567e-13,2.6781325780408265e-09,2.433060988661173e-08,4.0521919909044515e-13,3.308180298878645e-09,3.8342669095276293e-07,6.796061149191837e-07,7.122509896698674e-07,2.7826296758096684e-07,8.667426665093097e-07,9.92832164081775e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID037_LOC_RC010001-5.00x5.00-Z Height_Forward-251001-CRO_0c72ea68.tiff,17,2,1.5957691216057308,15.583682828180965,66.99999999999999,2.4999999999999996,654.2968749999999,24.414062499999996,0,0,0,6.542968749999999e-07,2.4414062499999998e-08,2.0,1.9073486328124996e-16,1.9141356495092963e-16,2.705367765015284e-10,2.841393773801928e-10,2.5693417562286405e-10,1.3602600878664371e-11,7.791841414090481e-09,1.3810679320049755e-08,1.1147109240018463e-08,5.5735546200092305e-09,1.0918300671385715e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID037_LOC_RC010001-5.00x5.00-Z Height_Forward-251001-CRO_0c72ea68.tiff,18,3,1.9544100476116797,19.08603562120781,78.49999999999999,10.499999999999998,766.6015624999999,102.53906249999999,0,0,0,7.666015624999999e-07,1.0253906249999999e-07,3.0,2.8610229492187495e-16,2.876197909734794e-16,4.142915652649379e-10,4.389463530695648e-10,4.0196417136262444e-10,1.743356764536707e-11,9.543017810603905e-09,1.6914558667664815e-08,1.6720663860027693e-08,5.573554620009231e-09,1.5440808887540952e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID037_LOC_RC010001-5.00x5.00-Z Height_Forward-251001-CRO_0c72ea68.tiff,19,46,7.653039857325812,74.73671735669738,77.32608695652173,18.02173913043478,755.1375679347825,175.99354619565216,0,0,0,7.551375679347825e-07,1.7599354619565215e-07,46.0,4.386901855468749e-15,4.405234511198655e-15,5.318013272141195e-10,1.2424320338715282e-09,6.301992012665098e-11,3.876595432306108e-10,3.736835867834869e-08,6.623369124145769e-08,6.123654329932774e-08,2.4300245108389854e-08,6.176534373749603e-08,2.1205798683147348e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID037_LOC_RC010001-5.00x5.00-Z Height_Forward-251001-CRO_0c72ea68.tiff,20,1,1.1283791670955126,11.019327803667116,499.4999999999999,13.499999999999996,4877.929687499999,131.83593749999997,0,0,0,4.8779296874999995e-06,1.3183593749999998e-07,1.0,9.536743164062498e-17,9.554819507475448e-17,1.7844457681346183e-13,1.7844457681346183e-13,1.7844457681346183e-13,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.905339660024747e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID037_LOC_RC010001-5.00x5.00-Z Height_Forward-251001-CRO_0c72ea68.tiff,21,186,15.389040103942165,150.2835947650602,371.23118279569894,25.403225806451612,3625.3045194892475,248.07837701612902,0,0,0,3.6253045194892473e-06,2.48078377016129e-07,186.0,1.7738342285156245e-14,1.7782929195075155e-14,1.02668489494513e-09,3.5527719984454027e-09,1.9716021414883818e-11,8.62252808081991e-10,7.51417973825301e-08,1.331853681346275e-07,9.180592387922959e-08,6.817679651477698e-08,1.1191991975224517e-07,4.547377325338325e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID037_LOC_RC010001-5.00x5.00-Z Height_Forward-251001-CRO_0c72ea68.tiff,22,190,15.553633450087505,151.89095166101077,252.18947368421047,26.805263157894736,2462.787828947368,261.7701480263158,0,0,0,2.462787828947368e-06,2.617701480263158e-07,190.0,1.8119812011718745e-14,1.81913202369153e-14,1.0603085626441044e-09,3.323382955108282e-09,1.3163781279775245e-11,8.436139073188681e-10,7.594547583050539e-08,1.3460985109463105e-07,1.2973389932695733e-07,5.2336550600170214e-08,1.4294344100308658e-07,4.5833335626262196e-08
