source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID038_LOC_RC010002-5.00x5.00-Z Height_Forward-251001-CRO_48cf5878.tiff,1,6,2.763953195770684,26.991730427448086,0.8333333333333333,1.6666666666666667,8.138020833333332,16.276041666666668,0,0,0,8.138020833333332e-09,1.6276041666666667e-08,6.0,5.722045898437499e-16,5.761485408528088e-16,1.5081232285213426e-09,2.0670900773048922e-09,8.031156034185632e-10,4.90901265349159e-10,1.3495865213724042e-08,2.392079826936697e-08,2.109076168005823e-08,9.429736976570299e-09,2.1840238553174936e-08,9.761992467870109e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID038_LOC_RC010002-5.00x5.00-Z Height_Forward-251001-CRO_48cf5878.tiff,2,1701,46.5379465124377,454.4721339105244,23.397119341563787,20.18547912992357,228.48749356995884,197.12381962815988,0,0,1,2.2848749356995885e-07,1.971238196281599e-07,1701.0,1.622200012207031e-13,1.6280953035857922e-13,2.279563421687598e-09,7.677675028183197e-09,9.873308473058244e-12,1.5949840810046814e-09,2.2723606695526217e-07,4.027654419394781e-07,3.5828777813367466e-07,1.9049622600345903e-07,4.596620404608365e-07,9.279635215632103e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID038_LOC_RC010002-5.00x5.00-Z Height_Forward-251001-CRO_48cf5878.tiff,3,474,24.566553364370574,239.9077476989314,81.38818565400844,10.029535864978902,794.8065005274261,97.94468618143459,0,0,0,7.948065005274261e-07,9.79446861814346e-08,474.0,4.520416259765624e-14,4.5366022104742487e-14,1.5062312430787805e-09,3.936617960231474e-09,3.5460748017000363e-12,1.0354291616369584e-09,1.1995387384946568e-07,2.1261270563551991e-07,1.7533754752968324e-07,9.139379953484334e-08,2.0859653305696344e-07,6.292499688598106e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID038_LOC_RC010002-5.00x5.00-Z Height_Forward-251001-CRO_48cf5878.tiff,4,322,20.248040236149336,197.73476793114585,118.0062111801242,6.9720496894409925,1152.4044060559004,68.08642274844719,0,0,0,1.1524044060559004e-06,6.808642274844719e-08,322.0,3.070831298828124e-14,3.080108585230439e-14,2.004685964029256e-09,4.266283913703833e-09,7.661686641096466e-11,1.1626321922978339e-09,9.886738396557291e-08,1.7523787543873397e-07,1.253963713979911e-07,8.086825666072287e-08,1.3541181595894324e-07,7.414877808192148e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID038_LOC_RC010002-5.00x5.00-Z Height_Forward-251001-CRO_48cf5878.tiff,5,32859,204.54187395360566,1997.4792378281802,249.55210140296415,164.49108311269362,2437.032240263322,1606.3582335223987,0,0,0,2.437032240263322e-06,1.6063582335223987e-06,32859.0,3.1336784362792962e-12,3.1654804816218387e-12,3.7117831719619703e-09,2.5590688114615966e-08,2.334554676663014e-13,3.616319787927936e-09,9.987396189140902e-07,1.7702198835961865e-06,2.3867051274198645e-06,7.578802643265311e-07,3.285411677660597e-06,1.334204545661463e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID038_LOC_RC010002-5.00x5.00-Z Height_Forward-251001-CRO_48cf5878.tiff,6,35,6.6755811781245455,65.19122244262252,202.0142857142857,2.5857142857142854,1972.7957589285713,25.25111607142857,0,0,0,1.9727957589285714e-06,2.525111607142857e-08,35.0,3.337860107421874e-15,3.3424204470064806e-15,2.2810598900594004e-10,7.052644797944123e-10,8.447872323809383e-12,1.7657640544801476e-10,3.2595611221311254e-08,5.777421663183218e-08,4.69521250047116e-08,2.5509598657335266e-08,5.5673182616982005e-08,2.0516762849100162e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID038_LOC_RC010002-5.00x5.00-Z Height_Forward-251001-CRO_48cf5878.tiff,7,2653,58.11974287780691,567.5756140410831,220.19091594421408,40.97304937806257,2150.3019135177155,400.1274353326423,0,0,0,2.1503019135177155e-06,4.0012743533264226e-07,2653.0,2.5300979614257805e-13,2.538839964137062e-13,1.8147378067300329e-09,8.980728309975992e-09,3.4801401501732707e-12,1.7013155608246897e-09,2.837878070205415e-07,5.030007913935902e-07,3.4194106395373024e-07,3.21269623170316e-07,4.5409662888117713e-07,8.645634915817439e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID038_LOC_RC010002-5.00x5.00-Z Height_Forward-251001-CRO_48cf5878.tiff,8,2,1.5957691216057308,15.583682828180965,228.0,0.5,2226.5625,4.8828125,0,0,0,2.2265625e-06,4.8828124999999996e-09,2.0,1.9073486328124996e-16,1.908306516055069e-16,1.2837384707754073e-10,1.2837384707754073e-10,1.2837384707754073e-10,0.0,7.791841414090481e-09,1.3810679320049755e-08,1.1147109240018463e-08,5.5735546200092305e-09,1.0918300671385715e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID038_LOC_RC010002-5.00x5.00-Z Height_Forward-251001-CRO_48cf5878.tiff,9,4,2.256758334191025,22.03865560733423,231.5,0.7499999999999999,2260.7421875,7.324218749999999,0,0,0,2.2607421875e-06,7.324218749999999e-09,4.0,3.814697265624999e-16,3.815100915129089e-16,5.423905017898448e-11,8.98084770187666e-11,4.2382574565723774e-11,2.0536018160868906e-11,1.1019327803667115e-08,1.9531249999999998e-08,1.4111513781052305e-08,9.615375847915184e-09,1.5445237736000814e-08,6.100233627323887e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID038_LOC_RC010002-5.00x5.00-Z Height_Forward-251001-CRO_48cf5878.tiff,10,50,7.978845608028654,77.91841414090483,241.7,4.299999999999999,2360.3515625,41.99218749999999,0,0,0,2.3603515625e-06,4.1992187499999995e-08,50.0,4.768371582031249e-15,4.774755566493493e-15,5.343481318617168e-10,1.1872680214624494e-09,1.13629841357037e-11,3.4777584945371476e-10,3.895920707045241e-08,6.905339660024878e-08,5.367329402243552e-08,2.963493076215997e-08,5.961705908409325e-08,2.4413781670584615e-08
