source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID040_LOC_RC010010-5.00x5.00-Z Height_Forward-251001-CRO_11cb3cca.tiff,1,15,4.370193722368317,42.677673070003095,1.2333333333333332,2.7666666666666666,12.044270833333332,27.018229166666664,0,0,0,1.2044270833333333e-08,2.7018229166666664e-08,15.0,1.4305114746093746e-15,1.5391304598823753e-15,4.918641532651368e-09,1.1648754191138088e-08,4.167267471031319e-10,3.564794515949037e-09,2.1338836535001545e-08,3.78221029903068e-08,3.50717106017428e-08,1.3982190954238594e-08,3.7186490381147466e-08,1.4648308536272938e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID040_LOC_RC010010-5.00x5.00-Z Height_Forward-251001-CRO_11cb3cca.tiff,2,383,22.082815618339236,215.6524962728441,31.73237597911227,9.267624020887729,309.88648417101825,90.50414082898172,0,0,0,3.0988648417101826e-07,9.050414082898171e-08,383.0,3.652572631835937e-14,3.666694851164784e-14,1.548297318369901e-09,4.7160378210386005e-09,8.878434566036061e-13,1.1980279562630233e-09,1.0782624813642204e-07,1.9111704873809497e-07,1.3558671994005786e-07,1.2270566001227777e-07,1.988225559282096e-07,5.334403835218331e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID040_LOC_RC010010-5.00x5.00-Z Height_Forward-251001-CRO_11cb3cca.tiff,3,772,31.35188875547286,306.17078862766465,76.21113989637306,8.674870466321243,744.2494130505181,84.71553189766838,0,0,0,7.442494130505181e-07,8.471553189766839e-08,772.0,7.362365722656248e-14,7.424519323059085e-14,2.724598270957485e-09,1.2218638716342568e-08,1.0285925754925059e-11,2.6100459180983483e-09,1.5308539431383232e-07,2.7133679666894143e-07,3.1279275455443295e-07,8.898773997828951e-08,3.475346380794978e-07,7.263125431857357e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID040_LOC_RC010010-5.00x5.00-Z Height_Forward-251001-CRO_11cb3cca.tiff,4,2000,50.4626504404032,492.7993207070625,164.33199999999997,26.994,1604.8046874999998,263.61328125,1,1,0,1.6048046874999998e-06,2.6361328125e-07,2000.0,1.9073486328124997e-13,1.9315667864596062e-13,3.615703665040657e-09,2.4973541451030147e-08,3.62650666545078e-12,4.687096841108053e-09,2.4639966035353124e-07,4.3673202685542764e-07,3.706383740797616e-07,2.1706505191864507e-07,4.313101107477523e-07,9.362424487939807e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID040_LOC_RC010010-5.00x5.00-Z Height_Forward-251001-CRO_11cb3cca.tiff,5,36,6.770275002573076,66.11596682200269,203.99999999999997,1.7222222222222219,1992.1874999999998,16.818576388888886,0,0,0,1.9921874999999997e-06,1.6818576388888887e-08,36.0,3.433227539062499e-15,3.655101221926165e-15,6.746285347543382e-09,1.3303434347178175e-08,1.0774557602591762e-09,3.647927840802668e-09,3.3057983411001345e-08,5.8593749999999995e-08,5.386178828125159e-08,2.1343246217593837e-08,5.879709228918122e-08,1.9531249999999998e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID040_LOC_RC010010-5.00x5.00-Z Height_Forward-251001-CRO_11cb3cca.tiff,6,25361,179.6959323246591,1754.843089107999,225.52271203816878,88.87656243838964,2202.370234747742,867.9351800623989,0,0,0,2.202370234747742e-06,8.679351800623989e-07,25361.0,2.41861343383789e-12,2.5568473553577046e-12,9.248151773402563e-09,1.1304294680726613e-07,9.359692830124972e-14,1.3665990071153752e-08,8.774215445539994e-07,1.555189195512202e-06,2.018608866435179e-06,6.076435051377328e-07,2.4045395577390352e-06,1.560703584592407e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID040_LOC_RC010010-5.00x5.00-Z Height_Forward-251001-CRO_11cb3cca.tiff,7,9,3.385137501286538,33.057983411001345,460.61111111111103,2.4999999999999996,4498.155381944443,24.414062499999996,0,0,0,4.498155381944444e-06,2.4414062499999998e-08,9.0,8.583068847656248e-16,8.602092547350776e-16,1.7263308321807994e-10,4.77676286345472e-10,2.5778891279213833e-11,1.8246686514539107e-10,1.6528991705500673e-08,2.9296874999999997e-08,2.392659398926333e-08,1.2297564943766421e-08,2.6294997136342325e-08,9.76534096313738e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID040_LOC_RC010010-5.00x5.00-Z Height_Forward-251001-CRO_11cb3cca.tiff,8,298,19.47884453275087,190.22309114014521,468.9060402684563,13.426174496644293,4579.160549496643,131.11498531879192,0,0,0,4.5791605494966434e-06,1.3111498531879193e-07,298.0,2.8419494628906243e-14,2.85193129388398e-14,1.2068479081864427e-09,4.122378486829033e-09,1.1241980559101907e-11,8.949577436647159e-10,9.51115455700726e-08,1.6858082521125065e-07,1.097142906245064e-07,9.646426116443172e-08,1.3221535359030396e-07,5.047057081414172e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID040_LOC_RC010010-5.00x5.00-Z Height_Forward-251001-CRO_11cb3cca.tiff,9,1407,42.32550105364819,413.3349712270331,498.9406538734896,38.085643212508884,4872.467322983297,371.93010949715705,0,0,1,4.872467322983297e-06,3.7193010949715704e-07,1407.0,1.3418197631835933e-13,1.3491321140008961e-13,3.1178234029561377e-09,1.3265461210601955e-08,4.340084282854131e-12,2.8437412879621323e-09,2.0666748561351654e-07,3.663085807326377e-07,3.442290038356299e-07,1.5356741807224434e-07,3.671534158094532e-07,7.650717436540432e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID040_LOC_RC010010-5.00x5.00-Z Height_Forward-251001-CRO_11cb3cca.tiff,10,30,6.180387232371033,60.35534406612337,144.2333333333333,4.0,1408.528645833333,39.0625,0,0,0,1.408528645833333e-06,3.9062499999999997e-08,30.0,2.861022949218749e-15,2.8668078748570755e-15,5.880461622598842e-10,1.2542018584169687e-09,6.900813901216348e-12,3.417959652070274e-10,3.017767203306168e-08,5.3488531006363874e-08,3.563136834418534e-08,2.626610601882876e-08,3.756754243079649e-08,2.0750419217493366e-08
