source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID042_LOC_RC010012-5.00x5.00-Z Height_Forward-251001-CRO_06675601.tiff,1,1890,49.055302868797554,479.0556920781011,47.57354497354497,27.280952380952378,464.5854001322751,266.4155505952381,1,0,0,4.645854001322751e-07,2.664155505952381e-07,1890.0,1.802444458007812e-13,1.817756898424426e-13,3.3890654341475786e-09,1.9024948900314403e-08,4.7087365469062524e-12,3.813967492782681e-09,2.3952784603905054e-07,4.2455205311101866e-07,3.535033794664705e-07,2.116218093114759e-07,4.2709948990608343e-07,1.1311796024995048e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID042_LOC_RC010012-5.00x5.00-Z Height_Forward-251001-CRO_06675601.tiff,2,2190,52.80525166089076,515.6762857508863,135.43926940639267,26.513242009132412,1322.6491152968035,258.9183789954337,1,0,0,1.3226491152968035e-06,2.5891837899543374e-07,2190.0,2.0885467529296871e-13,2.0966912803692499e-13,2.2379977469345808e-09,1.0267776716417331e-08,1.6778633318515768e-12,1.9250570727943013e-09,2.5783814287544314e-07,4.5700620924990585e-07,4.741968537931674e-07,1.8337392712004475e-07,5.08047441344594e-07,9.277242535333231e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID042_LOC_RC010012-5.00x5.00-Z Height_Forward-251001-CRO_06675601.tiff,3,220,16.73656774376801,163.44304437273448,150.41363636363636,4.386363636363636,1468.8831676136363,42.83558238636363,0,0,0,1.4688831676136363e-06,4.2835582386363636e-08,220.0,2.0980834960937495e-14,2.1062044801623446e-14,1.9931358021365003e-09,5.5048335309713314e-09,1.6837031201880113e-11,1.369338632953588e-09,8.172152218636723e-08,1.4484762670108715e-07,1.3120113358634312e-07,5.4327342110527414e-08,1.3888546221159187e-07,5.334403835218333e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID042_LOC_RC010012-5.00x5.00-Z Height_Forward-251001-CRO_06675601.tiff,4,33,6.4820448144285745,63.301218890904046,175.77272727272725,1.5606060606060606,1716.530539772727,15.24029356060606,0,0,0,1.7165305397727271e-06,1.524029356060606e-08,33.0,3.1471252441406244e-15,3.1514406544863506e-15,6.368489253545403e-10,1.2890087780057013e-09,1.152383665504551e-11,3.7318062176490023e-10,3.165060944545202e-08,5.609924459509793e-08,5.695179722191643e-08,1.905190485450996e-08,5.940738234866919e-08,1.9531249999999998e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID042_LOC_RC010012-5.00x5.00-Z Height_Forward-251001-CRO_06675601.tiff,5,920,34.225434710991614,334.2327608495275,208.47499999999997,22.659782608695654,2035.8886718749998,221.2869395380435,0,0,0,2.035888671875e-06,2.2128693953804349e-07,920.0,8.773803710937498e-14,8.815253116146941e-14,2.578701123102923e-09,6.725636890338275e-09,2.5156563241981717e-14,1.6779421480882454e-09,1.6711638042476373e-07,2.9620607203326364e-07,3.6303621971508983e-07,8.409934538597781e-08,3.848698922813146e-07,8.105899202941965e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID042_LOC_RC010012-5.00x5.00-Z Height_Forward-251001-CRO_06675601.tiff,6,23,5.4115163798060095,52.84683964654306,253.54347826086953,1.4999999999999998,2476.010529891304,14.648437499999998,0,0,0,2.476010529891304e-06,1.4648437499999999e-08,23.0,2.1934509277343745e-15,2.1988416734046785e-15,7.674898039920099e-10,1.5051192275791024e-09,2.5574366178443947e-13,4.1245586496573267e-10,2.642341982327153e-08,4.683429221985077e-08,3.93738394004177e-08,1.9146364217622158e-08,4.4216285905885927e-08,1.6272505469478457e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID042_LOC_RC010012-5.00x5.00-Z Height_Forward-251001-CRO_06675601.tiff,7,113,11.994835078277376,117.1370613113025,266.9867256637168,4.6858407079646005,2607.2922428097345,45.760163163716804,0,0,0,2.6072922428097343e-06,4.576016316371681e-08,113.0,1.0776519775390622e-14,1.0799616578534468e-14,1.0202178924249736e-09,2.8440622184466294e-09,1.9447586691455173e-11,7.948427403924831e-10,5.856853065565124e-08,1.038100177024868e-07,6.918221536355632e-08,5.276185752658545e-08,8.315154171275797e-08,4.1168475873152046e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID042_LOC_RC010012-5.00x5.00-Z Height_Forward-251001-CRO_06675601.tiff,8,1696,46.46949825284146,453.8036938754049,264.97110849056605,31.94870283018868,2587.608481353184,311.99905107606133,1,1,0,2.5876084813531837e-06,3.119990510760613e-07,1696.0,1.6174316406249996e-13,1.6231689651876287e-13,1.9529061253877682e-09,6.9841151649317054e-09,1.0112714113312713e-11,1.4741315548177714e-09,2.2690184693770245e-07,4.0217305238230463e-07,4.242891904554977e-07,1.5884306493683417e-07,4.907757043797118e-07,8.726501533357522e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID042_LOC_RC010012-5.00x5.00-Z Height_Forward-251001-CRO_06675601.tiff,9,27782,188.07748677561673,1836.6942067931323,193.48776186019725,125.40875386941184,1889.5289244159887,1224.694862005975,0,0,0,1.8895289244159886e-06,1.224694862005975e-06,27782.0,2.6494979858398433e-12,2.6683058646731364e-12,2.8334121026772204e-09,4.7011444503693634e-08,4.276361105487833e-13,4.4915404725196635e-09,9.183471033965661e-07,1.6277278598831695e-06,1.8698181269322565e-06,7.063196780135898e-07,2.2663540392614154e-06,1.411495484481064e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID042_LOC_RC010012-5.00x5.00-Z Height_Forward-251001-CRO_06675601.tiff,10,33,6.4820448144285745,63.301218890904046,342.1363636363636,2.0151515151515147,3341.1754261363635,19.679214015151512,0,0,0,3.3411754261363633e-06,1.9679214015151513e-08,33.0,3.1471252441406244e-15,3.1690881983552005e-15,1.6821614728384606e-09,4.242874097899206e-09,3.29801953223752e-11,1.1805668476198296e-09,3.165060944545202e-08,5.609924459509793e-08,4.3066486179875995e-08,2.418102089391092e-08,4.6323135215625906e-08,2.0749899344895522e-08
