source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID047_LOC_RC011002-5.00x5.00-Z Height_Forward-251001-CRO_ff9dc949.tiff,1,1824,48.19117066016281,470.61690097815244,23.407894736842103,30.34375,228.59272203947367,296.32568359375,0,0,1,2.2859272203947368e-07,2.9632568359375e-07,1824.0,1.7395019531249997e-13,1.7525341324571828e-13,2.3774203180294833e-09,8.344247430300779e-09,3.378075245409029e-12,1.5363965100895602e-09,2.353084504890762e-07,4.1707336921997303e-07,2.9479577023598155e-07,2.1394517585879194e-07,3.329533282466983e-07,8.556864543178088e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID047_LOC_RC011002-5.00x5.00-Z Height_Forward-251001-CRO_ff9dc949.tiff,2,88,10.585134856802455,103.37045758596147,42.6590909090909,4.829545454545453,416.5926846590908,47.163529829545446,0,0,0,4.1659268465909084e-07,4.7163529829545446e-08,88.0,8.392333984374998e-15,8.449837934059955e-15,1.937703873579157e-09,4.0280131025836265e-09,1.0033939242779005e-11,1.2091754648120773e-09,5.1685228792980733e-08,9.160968280905135e-08,5.7824441394148346e-08,4.685335802847067e-08,6.620302018175946e-08,4.0513679039940715e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID047_LOC_RC011002-5.00x5.00-Z Height_Forward-251001-CRO_ff9dc949.tiff,3,1,1.1283791670955126,11.019327803667116,50.49999999999999,0.5,493.16406249999994,4.8828125,0,0,0,4.931640624999999e-07,4.8828124999999996e-09,1.0,9.536743164062498e-17,9.855595287366282e-17,1.2177598237346284e-09,1.2177598237346284e-09,1.2177598237346284e-09,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.905339660024887e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID047_LOC_RC011002-5.00x5.00-Z Height_Forward-251001-CRO_ff9dc949.tiff,4,2344,54.630334914397345,533.4993643984116,78.52261092150171,35.098122866894194,766.8223722802901,342.7551061220136,1,0,0,7.6682237228029e-07,3.4275510612201363e-07,2344.0,2.2354125976562496e-13,2.2500161591197694e-13,2.196456420826443e-09,8.971587989669226e-09,7.127463416568203e-12,1.6326734489594289e-09,2.667496821992058e-07,4.728015014418048e-07,3.2765212221517296e-07,2.667079278912229e-07,3.854695138250022e-07,9.335856842356043e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID047_LOC_RC011002-5.00x5.00-Z Height_Forward-251001-CRO_ff9dc949.tiff,5,1,1.1283791670955126,11.019327803667116,91.49999999999999,0.5,893.5546874999999,4.8828125,0,0,0,8.935546874999999e-07,4.8828124999999996e-09,1.0,9.536743164062498e-17,9.750078353634622e-17,9.171387994972583e-11,9.171387994972583e-11,9.171387994972583e-11,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.905339660024887e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID047_LOC_RC011002-5.00x5.00-Z Height_Forward-251001-CRO_ff9dc949.tiff,6,10,3.5682482323055424,34.84617414360881,110.99999999999997,1.3,1083.9843749999998,12.6953125,0,0,0,1.0839843749999999e-06,1.26953125e-08,10.0,9.536743164062499e-16,9.607225558420042e-16,7.062377119391089e-10,1.3393329996343894e-09,1.0402695655474457e-11,5.315351315166684e-10,1.7423087071804404e-08,3.0881617775081825e-08,2.0429474219059984e-08,1.5392047168756516e-08,2.1841771145658718e-08,1.2202142250631187e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID047_LOC_RC011002-5.00x5.00-Z Height_Forward-251001-CRO_ff9dc949.tiff,7,842,32.74244487919323,319.7504382733714,135.33254156769596,12.999999999999998,1321.6068512470308,126.95312499999999,0,0,0,1.3216068512470308e-06,1.26953125e-07,842.0,8.029937744140624e-14,8.066473002049072e-14,1.7701738567895999e-09,5.792749702202687e-09,2.064332640382173e-12,1.2913595815799203e-09,1.5987521913668567e-07,2.833714478231818e-07,2.0798134744532945e-07,1.402178474615393e-07,2.424252280617886e-07,6.937073561604175e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID047_LOC_RC011002-5.00x5.00-Z Height_Forward-251001-CRO_ff9dc949.tiff,8,1788,47.71322988424144,465.94951058829537,198.92225950782998,42.60178970917226,1942.600190506152,416.03310262863533,1,0,0,1.942600190506152e-06,4.160331026286353e-07,1788.0,1.7051696777343746e-13,1.714030391850022e-13,1.690237865683509e-09,5.183264897450336e-09,3.96445892993483e-13,1.1256165945157496e-09,2.3297475529414767e-07,4.1293700218488227e-07,3.2053230920938886e-07,2.551359216555843e-07,4.2031784563299324e-07,8.115610419235673e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID047_LOC_RC011002-5.00x5.00-Z Height_Forward-251001-CRO_ff9dc949.tiff,9,1,1.1283791670955126,11.019327803667116,204.5,0.5,1997.0703125,4.8828125,0,0,0,1.9970703125e-06,4.8828124999999996e-09,1.0,9.536743164062498e-17,9.734189540185341e-17,3.317991196314011e-10,3.317991196314011e-10,3.317991196314011e-10,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.9053396600250365e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID047_LOC_RC011002-5.00x5.00-Z Height_Forward-251001-CRO_ff9dc949.tiff,10,294,19.347672370394786,188.94211299213657,210.74149659863943,12.204081632653061,2058.022427721088,119.18048469387755,0,0,0,2.0580224277210882e-06,1.1918048469387754e-07,294.0,2.8038024902343742e-14,2.8254264340635038e-14,2.0796732972118628e-09,4.997887418029358e-09,6.135544380425641e-12,1.2900111781808611e-09,9.447105649606829e-08,1.674455878855688e-07,1.233920505240668e-07,7.360350634633369e-08,1.297432710804904e-07,6.409412112562831e-08
