source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID057_LOC_RC012006-5.00x5.00-Z Height_Forward-251001-CRO_80e384e2.tiff,1,246,17.697935698969246,172.83140331024654,6.1585365853658525,18.60569105691057,60.141958841463406,181.69620172764226,0,0,0,6.01419588414634e-08,1.8169620172764225e-07,246.0,2.3460388183593746e-14,2.355766707087059e-14,7.115070381766078e-10,3.1696475680769443e-09,1.5011108070085593e-11,5.66436699623451e-10,8.641570165512327e-08,1.531678431773254e-07,1.613533679217638e-07,5.98948496662758e-08,1.7372155074702187e-07,2.847081714994426e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID057_LOC_RC012006-5.00x5.00-Z Height_Forward-251001-CRO_80e384e2.tiff,2,2244,53.452310879752474,521.9952234350827,45.38502673796791,39.593582887700535,443.2131517379679,386.6560828877005,1,0,0,4.432131517379679e-07,3.866560828877005e-07,2244.0,2.1400451660156245e-13,2.1533822413551652e-13,2.2027305785120055e-09,8.038687998290916e-09,1.7064309723116086e-11,1.5678523269261585e-09,2.609976117175414e-07,4.626062219658988e-07,4.000183552804715e-07,2.3580065376807123e-07,4.907329056125294e-07,1.031803033038016e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID057_LOC_RC012006-5.00x5.00-Z Height_Forward-251001-CRO_80e384e2.tiff,3,819,32.29215364663835,315.35306295545263,75.56715506715507,15.935897435897434,737.9604987026862,155.62399839743588,0,0,0,7.379604987026862e-07,1.556239983974359e-07,819.0,7.810592651367186e-14,7.853882127707337e-14,1.7353585643511862e-09,5.48848637090085e-09,1.6409823018788586e-12,1.2362011879445882e-09,1.576765314777263e-07,2.794743754151208e-07,1.9680926491339586e-07,1.552476127033005e-07,2.478927660643635e-07,6.760082604215129e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID057_LOC_RC012006-5.00x5.00-Z Height_Forward-251001-CRO_80e384e2.tiff,4,17,4.652426491681278,45.43385245782498,99.20588235294117,2.9705882352941173,968.8074448529411,29.009650735294116,0,0,0,9.68807444852941e-07,2.9009650735294115e-08,17.0,1.6212463378906247e-15,1.627589821830791e-15,2.7170001281491744e-10,1.0822634575596845e-09,3.985792251326064e-12,3.195810430967783e-10,2.271692622891249e-08,4.0264703375172463e-08,3.4107914901001416e-08,1.8892601521174334e-08,3.8144504195114446e-08,1.147597710420691e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID057_LOC_RC012006-5.00x5.00-Z Height_Forward-251001-CRO_80e384e2.tiff,5,1406,42.31045733500926,413.18805991219983,129.76173541963016,25.756045519203415,1267.2044474573256,251.52388202347083,1,0,0,1.2672044474573256e-06,2.515238820234708e-07,1406.0,1.3408660888671873e-13,1.3497772714786728e-13,2.0822700371885664e-09,8.857254298293743e-09,1.6762535707439677e-11,1.6998723192796178e-09,2.0659402995609988e-07,3.6617838396977874e-07,3.1463688755581095e-07,1.954640319621799e-07,4.0146423837886155e-07,7.236711498900093e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID057_LOC_RC012006-5.00x5.00-Z Height_Forward-251001-CRO_80e384e2.tiff,6,10650,116.4474179680661,1137.1818160943956,197.0907042253521,82.72244131455398,1924.7139084507041,807.8363409624412,0,0,0,1.924713908450704e-06,8.078363409624412e-07,10650.0,1.015663146972656e-12,1.1566776374902008e-12,1.711754570123882e-08,8.525232239068432e-08,8.036916334463924e-12,1.330916933570167e-08,5.685909080471977e-07,1.0078011445581196e-06,8.245455008719974e-07,4.41092143056277e-07,8.94486875975355e-07,2.0075695851271967e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID057_LOC_RC012006-5.00x5.00-Z Height_Forward-251001-CRO_80e384e2.tiff,7,1,1.1283791670955126,11.019327803667116,245.49999999999994,0.5,2397.4609374999995,4.8828125,0,0,0,2.3974609374999997e-06,4.8828124999999996e-09,1.0,9.536743164062498e-17,9.75733163746968e-17,3.6112591049963296e-10,3.6112591049963296e-10,3.6112591049963296e-10,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.9053396600250365e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID057_LOC_RC012006-5.00x5.00-Z Height_Forward-251001-CRO_80e384e2.tiff,8,645,28.65727667372076,279.8562175168043,265.22558139534885,23.186821705426354,2590.0935683139537,226.43380571705424,0,0,0,2.5900935683139536e-06,2.2643380571705424e-07,645.0,6.151199340820311e-14,6.195135845234594e-14,1.394745252999507e-09,4.670929574156082e-09,3.1715808971622715e-12,9.978616652551827e-10,1.3992810875840215e-07,2.4801611521875574e-07,2.7038710459953945e-07,9.230829176688552e-08,3.0198582823764735e-07,5.6811084535766734e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID057_LOC_RC012006-5.00x5.00-Z Height_Forward-251001-CRO_80e384e2.tiff,9,2,1.5957691216057308,15.583682828180965,273.49999999999994,1.0,2670.8984374999995,9.765625,0,0,0,2.6708984374999996e-06,9.765624999999999e-09,2.0,1.9073486328124996e-16,1.9642338944761652e-16,1.5384493798181608e-09,1.7394308316531629e-09,1.3374679279831587e-09,2.0098145183500207e-10,7.791841414090481e-09,1.3810679320049755e-08,1.1147109240018463e-08,5.5735546200092305e-09,1.0918300671385792e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID057_LOC_RC012006-5.00x5.00-Z Height_Forward-251001-CRO_80e384e2.tiff,10,1,1.1283791670955126,11.019327803667116,276.49999999999994,0.5,2700.1953124999995,4.8828125,0,0,0,2.7001953124999997e-06,4.8828124999999996e-09,1.0,9.536743164062498e-17,9.753630496513851e-17,7.657647390353987e-10,7.657647390353987e-10,7.657647390353987e-10,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.9053396600250365e-09,4.8779296875e-09
