source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID059_LOC_RC012011-5.00x5.00-Z Height_Forward-251001-CRO_3c11b964.tiff,1,72,9.574614729634384,93.50209696908577,3.0138888888888884,5.916666666666666,29.43250868055555,57.779947916666664,0,0,0,2.943250868055555e-08,5.7779947916666664e-08,72.0,6.866455078124998e-15,6.881583467327903e-15,8.598958248345101e-10,2.211402385547555e-09,5.723662310744701e-11,5.051076637497368e-10,4.675104848454289e-08,8.286407592029853e-08,8.271657155661912e-08,3.349591778782462e-08,9.618244753028312e-08,3.417911322820448e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID059_LOC_RC012011-5.00x5.00-Z Height_Forward-251001-CRO_3c11b964.tiff,2,4069,71.97785567469607,702.9087468232038,57.8165396903416,25.417424428606537,564.6146454134922,248.2170354356107,0,0,0,5.646146454134922e-07,2.482170354356107e-07,4069.0,3.8805007934570305e-13,4.1217024449879247e-13,1.2990409012872827e-08,6.693696325307853e-08,2.253322751307574e-11,8.993810949361146e-09,3.514543734116019e-07,6.22936657570979e-07,4.903221141004159e-07,2.664104583298037e-07,5.662107543461447e-07,2.6520554297570223e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID059_LOC_RC012011-5.00x5.00-Z Height_Forward-251001-CRO_3c11b964.tiff,3,3010,61.90679308163878,604.5585261878787,233.28637873754153,11.290697674418603,2278.187292358804,110.26071947674417,0,0,0,2.2781872923588037e-06,1.1026071947674417e-07,3010.0,2.870559692382812e-13,2.8995701238164557e-13,4.461596393580995e-09,1.4719617969651874e-08,9.76266308613232e-12,2.8967650422955895e-09,3.0227926309393935e-07,5.357760439197345e-07,8.04533853968682e-07,1.1943653444772406e-07,7.910777491213338e-07,1.0722909314758504e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID059_LOC_RC012011-5.00x5.00-Z Height_Forward-251001-CRO_3c11b964.tiff,4,155,14.048207338801282,137.18952479298127,346.89354838709676,1.854838709677419,3387.6323084677415,18.113659274193544,0,0,0,3.3876323084677416e-06,1.8113659274193545e-08,155.0,1.4781951904296872e-14,4.646988173406641e-14,6.658617399085668e-08,1.1126015054273429e-07,7.334640675991052e-10,3.205762111943831e-08,6.859476239649064e-08,1.215810507616087e-07,2.1733447385689363e-07,2.277358743065848e-08,2.2954504500094146e-07,2.441352366286391e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID059_LOC_RC012011-5.00x5.00-Z Height_Forward-251001-CRO_3c11b964.tiff,5,3,1.9544100476116797,19.08603562120781,383.5,0.5,3745.1171875,4.8828125,0,0,0,3.7451171875e-06,4.8828124999999996e-09,3.0,2.8610229492187495e-16,5.238793363567885e-16,1.99028233043366e-09,3.5741533045352397e-09,5.697742719816427e-10,1.2319602061941954e-09,9.543017810603905e-09,1.6914558667664815e-08,1.6720663860027693e-08,5.573554620009231e-09,1.544080888754115e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID059_LOC_RC012011-5.00x5.00-Z Height_Forward-251001-CRO_3c11b964.tiff,6,13622,131.69688332827923,1286.1023762527268,434.2283805608573,69.52246366172368,4240.511528914622,678.9303091965203,0,0,0,4.2405115289146226e-06,6.789303091965202e-07,13622.0,1.2990951538085934e-12,1.4375224533718702e-12,1.4619056810956376e-08,1.567092161539864e-07,3.9211340309292845e-13,1.7778430118589814e-08,6.430511881263633e-07,1.13977855472394e-06,8.160962814512585e-07,6.824638547616294e-07,1.047034416888906e-06,1.489038443417954e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID059_LOC_RC012011-5.00x5.00-Z Height_Forward-251001-CRO_3c11b964.tiff,7,212,16.42944866646031,160.44383463340145,327.7405660377358,23.419811320754715,3200.5914652122638,228.70909492924525,0,0,0,3.2005914652122637e-06,2.2870909492924526e-07,212.0,2.0217895507812495e-14,2.1379334131665564e-14,3.90463144751423e-09,1.1906607429594444e-08,1.6294282175446746e-11,2.7975245895262096e-09,8.022191731670074e-08,1.421896462750101e-07,1.424423922074563e-07,4.9628265051427514e-08,1.4361587017582364e-07,5.096890899149659e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID059_LOC_RC012011-5.00x5.00-Z Height_Forward-251001-CRO_3c11b964.tiff,8,9044,107.30879946483797,1047.9374947738083,166.28107032286596,63.93222025652366,1623.838577371738,624.3380884426139,0,0,0,1.623838577371738e-06,6.243380884426139e-07,9044.0,8.625030517578123e-13,9.358701789321553e-13,1.4604481044129858e-08,9.167480881430011e-08,3.1610451323822123e-12,1.2520755500967753e-08,5.239687473869041e-07,9.287104240600577e-07,9.595059967154083e-07,3.6831167434834413e-07,1.0977364713474878e-06,3.197860396591602e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID059_LOC_RC012011-5.00x5.00-Z Height_Forward-251001-CRO_3c11b964.tiff,9,83,10.280023453913834,100.39085404212729,507.7771084337349,52.07831325301205,4958.760824548192,508.5772778614458,0,0,0,4.958760824548192e-06,5.085772778614458e-07,83.0,7.915496826171873e-15,8.472079358207696e-15,7.898468603742732e-09,1.5048468135795178e-08,3.9213258606826055e-10,4.495097639394317e-09,5.019542702106364e-08,8.896907792133103e-08,5.3548159181288204e-08,4.8545201848043157e-08,6.52859520572295e-08,4.12074925530033e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID059_LOC_RC012011-5.00x5.00-Z Height_Forward-251001-CRO_3c11b964.tiff,10,5,2.5231325220201604,24.63996603535313,258.69999999999993,49.1,2526.3671874999995,479.4921875,0,0,0,2.5263671874999995e-06,4.794921875e-07,5.0,4.768371582031249e-16,4.773107294014586e-16,8.274487522254977e-11,9.499075012215279e-11,5.26648402753508e-11,1.5622713413397847e-11,1.2319983017676562e-08,2.183660134277138e-08,1.5744181678063112e-08,1.0138007891221913e-08,1.7605850401453546e-08,9.76199246787011e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID059_LOC_RC012011-5.00x5.00-Z Height_Forward-251001-CRO_3c11b964.tiff,11,18,4.787307364817192,46.751048484542885,331.5555555555555,52.77777777777778,3237.8472222222217,515.4079861111111,0,0,0,3.2378472222222218e-06,5.154079861111111e-07,18.0,1.7166137695312496e-15,1.7617596713696234e-15,7.751917089654868e-10,2.191429394873463e-09,4.844084423049521e-11,7.083549582907984e-10,2.3375524242271445e-08,4.1432037960149266e-08,3.11566514435399e-08,1.81622005027248e-08,3.2755547620687715e-08,1.5139062381953742e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID059_LOC_RC012011-5.00x5.00-Z Height_Forward-251001-CRO_3c11b964.tiff,12,1506,43.78925386862803,427.6294323108206,28.583665338645417,76.75564409030544,279.13735682270914,749.566836819389,1,1,0,2.791373568227091e-07,7.495668368193889e-07,1506.0,1.436233520507812e-13,1.727509583135412e-13,1.5608952748670785e-08,6.780004588667399e-08,5.081557296600948e-12,1.6061313884151163e-08,2.138147161554103e-07,3.789767170299268e-07,2.966594460503641e-07,1.8333223040974494e-07,3.382587572684953e-07,1.0457117009075247e-07
