source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID064_LOC_RC014004-5.00x5.00-Z Height_Forward-251001-CRO_99d3f356.tiff,1,1940,49.699946848927475,485.35104344655736,19.56340206185567,27.97268041237113,191.04884826030926,273.1707071520618,0,0,1,1.9104884826030925e-07,2.731707071520618e-07,1940.0,1.8501281738281247e-13,1.8853225352181684e-13,5.9239339278850826e-09,1.8341116514470914e-08,3.279323008480169e-12,4.0879974569241485e-09,2.426755217232787e-07,4.3013116299893045e-07,3.0722796832591384e-07,2.2721571972012632e-07,3.676407162226252e-07,1.2544522520251384e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID064_LOC_RC014004-5.00x5.00-Z Height_Forward-251001-CRO_99d3f356.tiff,2,246,17.697935698969246,172.83140331024654,56.38211382113821,5.369918699186991,550.6065802845528,52.440612296747965,0,0,0,5.506065802845528e-07,5.244061229674796e-08,246.0,2.3460388183593746e-14,2.4087001063945606e-14,4.651153313785532e-09,1.2044136613375228e-08,9.753668178628842e-11,3.0796796071635993e-09,8.641570165512327e-08,1.531678431773254e-07,1.2711235596893462e-07,6.374956223012249e-08,1.361964651166644e-07,5.821843533165723e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID064_LOC_RC014004-5.00x5.00-Z Height_Forward-251001-CRO_99d3f356.tiff,3,476,24.61832697999475,240.41334941401124,109.38445378151262,8.115546218487395,1068.207556460084,79.25338103991596,0,0,0,1.068207556460084e-06,7.925338103991596e-08,476.0,4.539489746093749e-14,4.638549767479447e-14,4.021106632701409e-09,1.8968865256066897e-08,4.6733384757732847e-11,3.6635491855287308e-09,1.202066747070056e-07,2.1306078348897876e-07,2.471893037456075e-07,8.795838782963598e-08,2.779388100138954e-07,4.920677571760744e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID064_LOC_RC014004-5.00x5.00-Z Height_Forward-251001-CRO_99d3f356.tiff,4,458,24.148368712786887,235.82391321080945,150.64410480349343,12.030567685589517,1471.1338359716156,117.48601255458513,0,0,0,1.4711338359716156e-06,1.1748601255458514e-07,458.0,4.367828369140624e-14,4.4461821236665233e-14,4.164039152219921e-09,1.098426100288452e-08,1.1595672544771882e-10,2.698114500843246e-09,1.179119566054047e-07,2.0899350155305363e-07,1.8013897222949789e-07,8.043578083869399e-08,1.8380716847844034e-07,7.048696072484966e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID064_LOC_RC014004-5.00x5.00-Z Height_Forward-251001-CRO_99d3f356.tiff,5,1,1.1283791670955126,11.019327803667116,153.5,0.5,1499.0234375,4.8828125,0,0,0,1.4990234375e-06,4.8828124999999996e-09,1.0,9.536743164062498e-17,9.755769522190521e-17,2.1292603684346446e-10,2.1292603684346446e-10,2.1292603684346446e-10,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.905339660024887e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID064_LOC_RC014004-5.00x5.00-Z Height_Forward-251001-CRO_99d3f356.tiff,6,1,1.1283791670955126,11.019327803667116,155.5,0.5,1518.5546875,4.8828125,0,0,0,1.5185546875e-06,4.8828124999999996e-09,1.0,9.536743164062498e-17,9.591308568491298e-17,2.1292603684346446e-10,2.1292603684346446e-10,2.1292603684346446e-10,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.905339660024887e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID064_LOC_RC014004-5.00x5.00-Z Height_Forward-251001-CRO_99d3f356.tiff,7,3,1.9544100476116797,19.08603562120781,158.49999999999997,1.4999999999999998,1547.8515624999998,14.648437499999998,0,0,0,1.5478515624999998e-06,1.4648437499999999e-08,3.0,2.8610229492187495e-16,2.888710341237289e-16,6.557534913665149e-10,1.2968098384762836e-09,3.3522531781163054e-10,4.532952901639947e-10,9.543017810603905e-09,1.6914558667664815e-08,1.6720663860027693e-08,5.573554620009231e-09,1.544080888754092e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID064_LOC_RC014004-5.00x5.00-Z Height_Forward-251001-CRO_99d3f356.tiff,8,8,3.1915382432114616,31.16736565636193,161.375,1.6249999999999998,1575.927734375,15.869140624999998,0,0,0,1.575927734375e-06,1.5869140625e-08,8.0,7.629394531249998e-16,7.760718713439575e-16,9.376220159229961e-10,1.4547015707584768e-09,3.3522531781163054e-10,4.373357884102721e-10,1.5583682828180962e-08,2.762135864009951e-08,1.9976741942554488e-08,1.5494053001079914e-08,2.441419053096802e-08,5.717541722276225e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID064_LOC_RC014004-5.00x5.00-Z Height_Forward-251001-CRO_99d3f356.tiff,9,1,1.1283791670955126,11.019327803667116,182.49999999999997,0.5,1782.2265624999998,4.8828125,0,0,0,1.7822265624999998e-06,4.8828124999999996e-09,1.0,9.536743164062498e-17,1.008558854146115e-16,1.1179526284516831e-09,1.1179526284516831e-09,1.1179526284516831e-09,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.905339660024887e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID064_LOC_RC014004-5.00x5.00-Z Height_Forward-251001-CRO_99d3f356.tiff,10,1,1.1283791670955126,11.019327803667116,184.49999999999997,0.5,1801.7578124999998,4.8828125,0,0,0,1.8017578124999999e-06,4.8828124999999996e-09,1.0,9.536743164062498e-17,1.0118712686988728e-16,1.3537491489128286e-09,1.3537491489128286e-09,1.3537491489128286e-09,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.905339660024887e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID064_LOC_RC014004-5.00x5.00-Z Height_Forward-251001-CRO_99d3f356.tiff,11,1,1.1283791670955126,11.019327803667116,186.5,0.5,1821.2890625,4.8828125,0,0,0,1.8212890625e-06,4.8828124999999996e-09,1.0,9.536743164062498e-17,9.852853643013087e-17,8.234659040127936e-10,8.234659040127936e-10,8.234659040127936e-10,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.9053396600250365e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID064_LOC_RC014004-5.00x5.00-Z Height_Forward-251001-CRO_99d3f356.tiff,12,316,20.0585068271871,195.883855734249,199.19620253164558,10.281645569620252,1945.2754153481014,100.40669501582278,0,0,0,1.9452754153481014e-06,1.0040669501582277e-07,316.0,3.013610839843749e-14,3.055140934950171e-14,3.383020951326121e-09,8.701663646262239e-09,2.935466895398465e-11,2.2982710402094465e-09,9.79419278671245e-08,1.7359754721319508e-07,1.2850022987332896e-07,7.851504331354961e-08,1.4882696897760806e-07,6.60932729595816e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID064_LOC_RC014004-5.00x5.00-Z Height_Forward-251001-CRO_99d3f356.tiff,13,1,1.1283791670955126,11.019327803667116,230.49999999999994,0.5,2250.9765624999995,4.8828125,0,0,0,2.2509765624999998e-06,4.8828124999999996e-09,1.0,9.536743164062498e-17,1.0272554905825124e-16,5.710912067009388e-10,5.710912067009388e-10,5.710912067009388e-10,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.9053396600250365e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID064_LOC_RC014004-5.00x5.00-Z Height_Forward-251001-CRO_99d3f356.tiff,14,10272,114.36221667806021,1116.8185222466818,293.5761292834891,45.640965732087224,2866.954387534073,445.7125559774143,0,0,0,2.866954387534073e-06,4.457125559774143e-07,10272.0,9.796142578124997e-13,9.976968817182881e-13,5.462872059257351e-09,3.1922567574992664e-08,2.9896365442274355e-13,5.189369116221654e-09,5.584092611233409e-07,9.897546452593693e-07,9.941376766854413e-07,4.2853812624794727e-07,1.2310300084061412e-06,1.2267922293223265e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID064_LOC_RC014004-5.00x5.00-Z Height_Forward-251001-CRO_99d3f356.tiff,15,11,3.742410318509555,36.54697576669488,276.40909090909093,1.7727272727272727,2699.307528409091,17.311789772727273,0,0,0,2.699307528409091e-06,1.7311789772727272e-08,11.0,1.0490417480468747e-15,1.0603283955543025e-15,6.265869510260839e-10,1.3975468029574666e-09,3.178798851508868e-11,5.765762765899662e-10,1.8273487883347434e-08,3.238891396831445e-08,2.4375133611335482e-08,1.6101581555679553e-08,2.903640902934358e-08,1.1440397700177812e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID064_LOC_RC014004-5.00x5.00-Z Height_Forward-251001-CRO_99d3f356.tiff,16,1540,44.28079605079555,432.4296489335503,452.67662337662335,15.317532467532466,4420.670150162337,149.58527800324674,0,0,1,4.4206701501623375e-06,1.4958527800324673e-07,1540.0,1.4686584472656248e-13,1.4785255025739052e-13,2.6909694430740226e-09,9.497581321184553e-09,9.814967235712115e-12,2.081409480894808e-09,2.1621482446677514e-07,3.832307982489957e-07,4.045585335265674e-07,1.6306871230246425e-07,5.197175830788944e-07,9.353387223215457e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID064_LOC_RC014004-5.00x5.00-Z Height_Forward-251001-CRO_99d3f356.tiff,17,1,1.1283791670955126,11.019327803667116,186.5,2.4999999999999996,1821.2890625,24.414062499999996,0,0,0,1.8212890625e-06,2.4414062499999998e-08,1.0,9.536743164062498e-17,9.622614783773693e-17,2.2085107906235435e-10,2.2085107906235435e-10,2.2085107906235435e-10,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.9053396600250365e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID064_LOC_RC014004-5.00x5.00-Z Height_Forward-251001-CRO_99d3f356.tiff,18,2,1.5957691216057308,15.583682828180965,278.49999999999994,4.0,2719.7265624999995,39.0625,0,0,0,2.7197265624999997e-06,3.9062499999999997e-08,2.0,1.9073486328124996e-16,1.9341808535835374e-16,3.8237542280805644e-10,4.844462315205803e-10,2.8030461409553253e-10,1.0207080871252391e-10,7.791841414090481e-09,1.3810679320049755e-08,1.1147109240018463e-08,5.5735546200092305e-09,1.0918300671385792e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID064_LOC_RC014004-5.00x5.00-Z Height_Forward-251001-CRO_99d3f356.tiff,19,1,1.1283791670955126,11.019327803667116,281.5,3.5,2749.0234375,34.1796875,0,0,0,2.7490234375e-06,3.41796875e-08,1.0,9.536743164062498e-17,9.783163104079758e-17,4.3435552044021026e-10,4.3435552044021026e-10,4.3435552044021026e-10,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.9053396600250365e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID064_LOC_RC014004-5.00x5.00-Z Height_Forward-251001-CRO_99d3f356.tiff,20,1,1.1283791670955126,11.019327803667116,283.5,3.5,2768.5546875,34.1796875,0,0,0,2.7685546875e-06,3.41796875e-08,1.0,9.536743164062498e-17,9.891211850702668e-17,4.4730369930104876e-10,4.4730369930104876e-10,4.4730369930104876e-10,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.9053396600250365e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID064_LOC_RC014004-5.00x5.00-Z Height_Forward-251001-CRO_99d3f356.tiff,21,2,1.5957691216057308,15.583682828180965,156.49999999999997,4.999999999999999,1528.3203124999998,48.82812499999999,0,0,0,1.5283203124999998e-06,4.8828124999999996e-08,2.0,1.9073486328124996e-16,1.992524700099803e-16,1.553694503766569e-09,2.435726168319411e-09,6.716628392137272e-10,8.820316645528419e-10,7.791841414090481e-09,1.3810679320049755e-08,1.1147109240018463e-08,5.5735546200092305e-09,1.0918300671385697e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID064_LOC_RC014004-5.00x5.00-Z Height_Forward-251001-CRO_99d3f356.tiff,22,2,1.5957691216057308,15.583682828180965,161.5,4.999999999999999,1577.1484375,48.82812499999999,0,0,0,1.5771484375e-06,4.8828124999999996e-08,2.0,1.9073486328124996e-16,1.9308666637561844e-16,2.661464815830744e-10,2.661464815830744e-10,2.661464815830744e-10,0.0,7.791841414090481e-09,1.3810679320049755e-08,1.1147109240018463e-08,5.5735546200092305e-09,1.0918300671385792e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID064_LOC_RC014004-5.00x5.00-Z Height_Forward-251001-CRO_99d3f356.tiff,23,1,1.1283791670955126,11.019327803667116,280.5,4.499999999999999,2739.2578125,43.94531249999999,0,0,0,2.7392578124999998e-06,4.3945312499999996e-08,1.0,9.536743164062498e-17,9.758135535736832e-17,2.8030461409553253e-10,2.8030461409553253e-10,2.8030461409553253e-10,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.9053396600250365e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID064_LOC_RC014004-5.00x5.00-Z Height_Forward-251001-CRO_99d3f356.tiff,24,2,1.5957691216057308,15.583682828180965,282.5,4.999999999999999,2758.7890625,48.82812499999999,0,0,0,2.7587890625e-06,4.8828124999999996e-08,2.0,1.9073486328124996e-16,1.963728770110167e-16,3.581522849524311e-10,4.3435552044021026e-10,2.8194904946465197e-10,7.620323548777915e-11,7.791841414090481e-09,1.3810679320049755e-08,1.1147109240018463e-08,5.5735546200092305e-09,1.0918300671385792e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID064_LOC_RC014004-5.00x5.00-Z Height_Forward-251001-CRO_99d3f356.tiff,25,50,7.978845608028654,77.91841414090483,285.61999999999995,11.24,2789.2578124999995,109.765625,0,0,0,2.7892578124999997e-06,1.09765625e-07,50.0,4.768371582031249e-15,4.8667439886498124e-15,8.949698280179642e-10,2.5634301081080005e-09,1.3006257674959934e-12,7.416465538938465e-10,3.895920707045241e-08,6.905339660024878e-08,6.072645895042024e-08,2.986503654824987e-08,7.580203028364428e-08,1.4998111925201067e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID064_LOC_RC014004-5.00x5.00-Z Height_Forward-251001-CRO_99d3f356.tiff,26,1,1.1283791670955126,11.019327803667116,288.49999999999994,6.499999999999999,2817.3828124999995,63.47656249999999,0,0,0,2.8173828124999996e-06,6.34765625e-08,1.0,9.536743164062498e-17,9.768444770424028e-17,4.985108656813265e-10,4.985108656813265e-10,4.985108656813265e-10,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.9053396600250365e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID064_LOC_RC014004-5.00x5.00-Z Height_Forward-251001-CRO_99d3f356.tiff,27,1,1.1283791670955126,11.019327803667116,275.49999999999994,7.5,2690.4296874999995,73.2421875,0,0,0,2.6904296874999996e-06,7.32421875e-08,1.0,9.536743164062498e-17,1.0376750657595485e-16,2.5053163947992077e-10,2.5053163947992077e-10,2.5053163947992077e-10,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.9053396600250365e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID064_LOC_RC014004-5.00x5.00-Z Height_Forward-251001-CRO_99d3f356.tiff,28,10964,118.15159063032678,1153.8241272492849,78.15769792046699,112.93268879970813,763.2587687545604,1102.8582890596497,0,0,0,7.632587687545603e-07,1.1028582890596496e-06,10964.0,1.0456085205078123e-12,1.077837414512541e-12,7.721711019220921e-09,3.615136636294583e-08,4.117777328626227e-13,6.265405041724652e-09,5.769120636246425e-07,1.0225500088053455e-06,1.07992914744673e-06,4.4489251664897883e-07,1.306282786071382e-06,1.4707880701297853e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID064_LOC_RC014004-5.00x5.00-Z Height_Forward-251001-CRO_99d3f356.tiff,29,4,2.256758334191025,22.03865560733423,289.49999999999994,16.999999999999996,2827.1484374999995,166.01562499999997,0,0,0,2.8271484374999996e-06,1.6601562499999999e-07,4.0,3.814697265624999e-16,3.930169585976222e-16,1.0650367187998914e-09,1.4379298143390628e-09,5.23407323186612e-10,3.341585074386636e-10,1.1019327803667115e-08,1.9531249999999998e-08,2.2294218480036925e-08,5.5735546200092305e-09,2.0132351687586285e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID064_LOC_RC014004-5.00x5.00-Z Height_Forward-251001-CRO_99d3f356.tiff,30,331,20.529059630371258,200.4790979528443,57.276435045317214,35.63293051359516,559.3401859894259,347.97783704682774,0,0,0,5.593401859894259e-07,3.4797783704682775e-07,331.0,3.156661987304687e-14,3.2095641297978575e-14,2.461325856797069e-09,8.064869414640497e-09,1.032564510475523e-10,1.7435541974476545e-09,1.0023954897642214e-07,1.776699745962915e-07,1.9443027497916317e-07,6.735123152383355e-08,2.097512856413224e-07,3.986261383149638e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID064_LOC_RC014004-5.00x5.00-Z Height_Forward-251001-CRO_99d3f356.tiff,31,3,1.9544100476116797,19.08603562120781,71.49999999999999,17.499999999999996,698.2421874999999,170.89843749999997,0,0,0,6.982421874999999e-07,1.7089843749999997e-07,3.0,2.8610229492187495e-16,2.917860781352988e-16,4.5913204882717186e-10,5.455158999235833e-10,2.863643466343489e-10,1.2216521379056308e-10,9.543017810603905e-09,1.6914558667664815e-08,1.6720663860027693e-08,5.573554620009231e-09,1.544080888754093e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID064_LOC_RC014004-5.00x5.00-Z Height_Forward-251001-CRO_99d3f356.tiff,32,2,1.5957691216057308,15.583682828180965,291.49999999999994,17.999999999999996,2846.6796874999995,175.78124999999997,0,0,0,2.8466796874999996e-06,1.7578124999999998e-07,2.0,1.9073486328124996e-16,1.9811296855513507e-16,1.1494048688369453e-09,1.1494048688369453e-09,1.1494048688369453e-09,0.0,7.791841414090481e-09,1.3810679320049755e-08,1.1147109240018463e-08,5.5735546200092305e-09,1.0918300671385792e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID064_LOC_RC014004-5.00x5.00-Z Height_Forward-251001-CRO_99d3f356.tiff,33,1,1.1283791670955126,11.019327803667116,293.49999999999994,17.499999999999996,2866.2109374999995,170.89843749999997,0,0,0,2.8662109374999997e-06,1.7089843749999997e-07,1.0,9.536743164062498e-17,9.625168372151862e-17,4.89263995879842e-10,4.89263995879842e-10,4.89263995879842e-10,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.9053396600250456e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID064_LOC_RC014004-5.00x5.00-Z Height_Forward-251001-CRO_99d3f356.tiff,34,1,1.1283791670955126,11.019327803667116,99.5,18.5,971.6796875,180.6640625,0,0,0,9.716796875e-07,1.806640625e-07,1.0,9.536743164062498e-17,9.86305974148946e-17,2.9468145777693923e-10,2.9468145777693923e-10,2.9468145777693923e-10,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.9053396600250456e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID064_LOC_RC014004-5.00x5.00-Z Height_Forward-251001-CRO_99d3f356.tiff,35,325,20.342144725641095,198.65375708633883,403.6569230769231,33.68769230769231,3941.9621394230767,328.9813701923077,0,0,0,3.9419621394230765e-06,3.289813701923077e-07,325.0,3.099441528320312e-14,3.111338074183842e-14,1.4924327562536987e-09,4.424368859594698e-09,1.1544636276737779e-11,1.1064483335132915e-09,9.932687854316941e-08,1.7605230837226508e-07,1.5323524782219686e-07,8.183676138727531e-08,1.733254116025259e-07,5.601379004259895e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID064_LOC_RC014004-5.00x5.00-Z Height_Forward-251001-CRO_99d3f356.tiff,36,1,1.1283791670955126,11.019327803667116,286.5,19.499999999999996,2797.8515625,190.42968749999997,0,0,0,2.7978515625e-06,1.9042968749999997e-07,1.0,9.536743164062498e-17,9.714705954370888e-17,2.169286604189577e-10,2.169286604189577e-10,2.169286604189577e-10,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.9053396600250456e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID064_LOC_RC014004-5.00x5.00-Z Height_Forward-251001-CRO_99d3f356.tiff,37,1,1.1283791670955126,11.019327803667116,296.49999999999994,20.5,2895.5078124999995,200.1953125,0,0,0,2.8955078124999998e-06,2.001953125e-07,1.0,9.536743164062498e-17,1.0068367553775126e-16,9.274358931659634e-10,9.274358931659634e-10,9.274358931659634e-10,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.905339660024747e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID064_LOC_RC014004-5.00x5.00-Z Height_Forward-251001-CRO_99d3f356.tiff,38,9,3.385137501286538,33.057983411001345,67.05555555555556,23.61111111111111,654.8394097222222,230.57725694444443,0,0,0,6.548394097222222e-07,2.3057725694444443e-07,9.0,8.583068847656248e-16,8.670475022079948e-16,4.988970154148544e-10,1.7295193105836587e-09,1.2635351008239774e-10,4.5892705065071324e-10,1.6528991705500673e-08,2.9296874999999997e-08,2.2897999356755607e-08,1.338126399197505e-08,2.466321492307151e-08,9.765196474468546e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID064_LOC_RC014004-5.00x5.00-Z Height_Forward-251001-CRO_99d3f356.tiff,39,106,11.617374563210365,113.45092346885123,506.41509433962267,35.056603773584904,4945.459905660377,342.3496462264151,0,0,0,4.9454599056603774e-06,3.4234964622641506e-07,106.0,1.0108947753906247e-14,1.0153562263470709e-14,1.2248134879629382e-09,3.097932704974918e-09,2.2880744975232286e-11,7.897282125421404e-10,5.672546173442561e-08,1.0054326309557616e-07,8.004588017386472e-08,4.154961278671592e-08,8.541475261755114e-08,3.621543444497255e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID064_LOC_RC014004-5.00x5.00-Z Height_Forward-251001-CRO_99d3f356.tiff,40,1,1.1283791670955126,11.019327803667116,112.5,30.5,1098.6328125,297.8515625,0,0,0,1.0986328125e-06,2.978515625e-07,1.0,9.536743164062498e-17,9.602191174451468e-17,3.2662362309507395e-10,3.2662362309507395e-10,3.2662362309507395e-10,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.905339660024896e-09,4.8779296875e-09
