source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID072_LOC_RC016012-5.00x5.00-Z Height_Forward-251002-CRO_53d11bbb.tiff,1,1,1.1283791670955126,11.019327803667116,88.49999999999999,0.5,864.2578124999999,4.8828125,0,0,0,8.642578124999999e-07,4.8828124999999996e-09,1.0,9.536743164062498e-17,9.536857876481903e-17,1.585850247738228e-12,1.585850247738228e-12,1.585850247738228e-12,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.905339660024887e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID072_LOC_RC016012-5.00x5.00-Z Height_Forward-251002-CRO_53d11bbb.tiff,2,31,6.282549314314218,61.353020647599784,102.49999999999999,1.1774193548387095,1000.9765624999999,11.498235887096772,0,0,0,1.0009765624999999e-06,1.1498235887096772e-08,31.0,2.9563903808593743e-15,2.9564842546497165e-15,6.828110072403572e-11,1.668292346751477e-10,1.9911810616736957e-13,4.5332841570778164e-11,3.067651032379989e-08,5.437269885576193e-08,9.479793070418572e-08,1.528786379345022e-08,9.290281236275246e-08,1.4648308536272941e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID072_LOC_RC016012-5.00x5.00-Z Height_Forward-251002-CRO_53d11bbb.tiff,3,8950,106.74967880691588,1042.4773320987879,270.0474860335195,18.628715083798884,2637.182480796089,181.92104574022346,0,0,0,2.637182480796089e-06,1.8192104574022345e-07,8950.0,8.535385131835936e-13,8.536072315566761e-13,1.2821485545519716e-10,6.876203940464658e-10,4.2768710039380715e-14,1.0298747655709582e-10,5.212386660493939e-07,9.238714808801024e-07,1.9555424459773658e-06,1.8013905279000659e-07,2.4715258348663172e-06,6.321832137262561e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID072_LOC_RC016012-5.00x5.00-Z Height_Forward-251002-CRO_53d11bbb.tiff,4,2,1.5957691216057308,15.583682828180965,456.9999999999999,0.5,4462.890624999999,4.8828125,0,0,0,4.4628906249999994e-06,4.8828124999999996e-09,2.0,1.9073486328124996e-16,1.907349733460809e-16,7.481744690885373e-12,9.268883133099066e-12,5.69460624867168e-12,1.7871384422136927e-12,7.791841414090481e-09,1.3810679320049755e-08,1.1147109240018463e-08,5.5735546200092305e-09,1.0918300671386093e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID072_LOC_RC016012-5.00x5.00-Z Height_Forward-251002-CRO_53d11bbb.tiff,5,2,1.5957691216057308,15.583682828180965,373.0,3.5,3642.578125,34.1796875,0,0,0,3.642578125e-06,3.41796875e-08,2.0,1.9073486328124996e-16,1.9073742380419912e-16,4.3323080546509836e-12,4.3323080546509836e-12,4.3323080546509836e-12,0.0,7.791841414090481e-09,1.3810679320049755e-08,1.1147109240018463e-08,5.5735546200092305e-09,1.0918300671386093e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID072_LOC_RC016012-5.00x5.00-Z Height_Forward-251002-CRO_53d11bbb.tiff,6,526,25.879026267050612,252.72486588916613,44.631178707224336,10.528517110266158,435.85135456273764,102.81754990494295,0,0,0,4.3585135456273763e-07,1.0281754990494296e-07,526.0,5.016326904296874e-14,5.0169891609514587e-14,1.0729894561194457e-10,4.3505476972540914e-10,3.9432075911900014e-13,9.376975900407313e-11,1.2636243294458307e-07,2.239715808824163e-07,4.175915333028404e-07,4.924745983318049e-08,4.1696930199354827e-07,4.325643029755527e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID072_LOC_RC016012-5.00x5.00-Z Height_Forward-251002-CRO_53d11bbb.tiff,7,3,1.9544100476116797,19.08603562120781,505.5,4.499999999999999,4936.5234375,43.94531249999999,0,0,0,4.9365234375e-06,4.3945312499999996e-08,3.0,2.8610229492187495e-16,2.861404176357519e-16,3.756224708180087e-12,1.1247085676381946e-11,1.0794224079157958e-14,5.296838587541162e-12,9.543017810603905e-09,1.6914558667664815e-08,1.6720663860027693e-08,5.573554620009231e-09,1.5440808887541154e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID072_LOC_RC016012-5.00x5.00-Z Height_Forward-251002-CRO_53d11bbb.tiff,8,35,6.6755811781245455,65.19122244262252,474.5571428571428,7.242857142857142,4634.347098214285,70.73102678571428,0,0,0,4.634347098214285e-06,7.073102678571427e-08,35.0,3.337860107421874e-15,3.338413033552406e-15,6.444104160819778e-11,1.329077490718188e-10,1.2480640624909206e-11,3.3840052376737633e-11,3.2595611221311254e-08,5.777421663183218e-08,1.4727401412624716e-07,9.990052230470646e-09,1.4168644390284364e-07,1.4648176715750942e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID072_LOC_RC016012-5.00x5.00-Z Height_Forward-251002-CRO_53d11bbb.tiff,9,4,2.256758334191025,22.03865560733423,433.0,8.0,4228.515625,78.125,0,0,0,4.228515625e-06,7.812499999999999e-08,4.0,3.814697265624999e-16,3.8147868132514697e-16,1.1696406499998448e-11,1.4486053288507398e-11,8.906759711489498e-12,2.7896467885089496e-12,1.1019327803667115e-08,1.9531249999999998e-08,1.1147109240018463e-08,1.1147109240018463e-08,1.3810679320050073e-08,9.755859375e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID072_LOC_RC016012-5.00x5.00-Z Height_Forward-251002-CRO_53d11bbb.tiff,10,2,1.5957691216057308,15.583682828180965,452.0,7.5,4414.0625,73.2421875,0,0,0,4.4140625e-06,7.32421875e-08,2.0,1.9073486328124996e-16,1.9075163832892327e-16,2.2432358865048293e-11,2.2432358865048293e-11,2.2432358865048293e-11,0.0,7.791841414090481e-09,1.3810679320049755e-08,1.1147109240018463e-08,5.5735546200092305e-09,1.0918300671386093e-08,4.8779296875e-09
