source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID077_LOC_RC017005-5.00x5.00-Z Height_Forward-251002-CRO_d4bb3b96.tiff,1,2,1.5957691216057308,15.583682828180965,5.999999999999999,0.5,58.59374999999999,4.8828125,0,0,0,5.8593749999999995e-08,4.8828124999999996e-09,2.0,1.9073486328124996e-16,1.9099039004603156e-16,1.9811683901007958e-10,2.916269192557741e-10,1.0460675876438506e-10,9.351008024569453e-11,7.791841414090481e-09,1.3810679320049755e-08,1.1147109240018463e-08,5.5735546200092305e-09,1.091830067138569e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID077_LOC_RC017005-5.00x5.00-Z Height_Forward-251002-CRO_d4bb3b96.tiff,2,1075,36.99638510165959,361.29282325839444,16.328837209302325,22.106511627906976,159.461300872093,215.88390261627904,0,0,1,1.59461300872093e-07,2.1588390261627903e-07,1075.0,1.0251998901367185e-13,1.0336573201432293e-13,2.1968500113874546e-09,1.4486015138777894e-08,1.2357692354707334e-12,2.484987166197647e-09,1.8064641162919722e-07,3.201874279444336e-07,2.807803005175395e-07,1.4522746234418418e-07,3.016338442849103e-07,6.02982863048265e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID077_LOC_RC017005-5.00x5.00-Z Height_Forward-251002-CRO_d4bb3b96.tiff,3,3260,64.42639921520238,629.1640548359608,62.361349693251526,48.94969325153374,608.9975555981595,478.02434815950915,0,0,0,6.089975555981595e-07,4.780243481595092e-07,3260.0,3.1089782714843743e-13,3.123682541491137e-13,2.224906098045053e-09,8.204271019907971e-09,8.718531483056477e-13,1.7543254474794778e-09,3.1458202741798037e-07,5.575821259226639e-07,4.777879906976376e-07,2.8534165362611167e-07,6.147312743274124e-07,7.492159383626968e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID077_LOC_RC017005-5.00x5.00-Z Height_Forward-251002-CRO_d4bb3b96.tiff,4,196,15.797308339337176,154.2705892513396,79.10714285714285,5.38265306122449,772.5306919642857,52.56497130102041,0,0,0,7.725306919642857e-07,5.2564971301020404e-08,196.0,1.8692016601562497e-14,1.8761525946060396e-14,2.052942444004724e-09,5.160074563930413e-09,8.991495278783987e-12,1.5654769806581424e-09,7.71352946256698e-08,1.3671875e-07,1.1061258051722792e-07,5.6843412733264485e-08,1.1284633227175343e-07,5.5233749715884056e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID077_LOC_RC017005-5.00x5.00-Z Height_Forward-251002-CRO_d4bb3b96.tiff,5,47,7.735777827895049,75.54470535053758,98.62765957446807,2.4361702127659575,963.1607380319148,23.790724734042552,0,0,0,9.631607380319148e-07,2.3790724734042553e-08,47.0,4.482269287109374e-15,4.511424034733021e-15,2.037458204431216e-09,4.42182058244498e-09,1.1988392174264403e-10,1.328145280757831e-09,3.7772352675268796e-08,6.694975195704144e-08,5.178191397271508e-08,2.887525445394081e-08,5.716475324827823e-08,2.6608552110808757e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID077_LOC_RC017005-5.00x5.00-Z Height_Forward-251002-CRO_d4bb3b96.tiff,6,188,15.471555655790098,151.08941070107517,117.09574468085107,8.999999999999998,1143.5131316489362,87.89062499999999,0,0,0,1.1435131316489361e-06,8.789062499999999e-08,188.0,1.7929077148437496e-14,1.8038716038338106e-14,2.147746980097369e-09,4.621575977310491e-09,1.005041756040262e-11,1.3538762553903675e-09,7.554470535053759e-08,1.3389950391408288e-07,1.0758098424261556e-07,5.722371015173954e-08,1.232370161704919e-07,4.8827087924593804e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID077_LOC_RC017005-5.00x5.00-Z Height_Forward-251002-CRO_d4bb3b96.tiff,7,627,28.254578293596012,275.92361614839854,144.62599681020734,21.578149920255182,1412.363250099681,210.724120314992,0,0,0,1.4123632500996809e-06,2.10724120314992e-07,627.0,5.979537963867186e-14,6.003597045726044e-14,2.159784184880152e-09,7.019592013596572e-09,5.331627517444498e-12,1.6984955929227849e-09,1.3796180807419929e-07,2.445309379990022e-07,3.012336028357339e-07,7.714024169059938e-08,3.0962619633788474e-07,5.201965384868653e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID077_LOC_RC017005-5.00x5.00-Z Height_Forward-251002-CRO_d4bb3b96.tiff,8,1,1.1283791670955126,11.019327803667116,187.5,0.5,1831.0546875,4.8828125,0,0,0,1.8310546875e-06,4.8828124999999996e-09,1.0,9.536743164062498e-17,9.575740621168485e-17,1.1630172738716615e-10,1.1630172738716615e-10,1.1630172738716615e-10,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.905339660024887e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID077_LOC_RC017005-5.00x5.00-Z Height_Forward-251002-CRO_d4bb3b96.tiff,9,9520,110.09650523917074,1075.1611839762768,117.28403361344537,95.5876050420168,1145.3518907563025,933.4727054884453,0,0,0,1.1453518907563024e-06,9.334727054884453e-07,9520.0,9.078979492187497e-13,9.139048876084862e-13,3.1648361393188964e-09,1.5473539413332738e-08,5.469940482971863e-13,2.8550729955376314e-09,5.375805919881383e-07,9.528367904414427e-07,1.1708044802389957e-06,3.5037112825894236e-07,1.3423008438269003e-06,1.1216888401981396e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID077_LOC_RC017005-5.00x5.00-Z Height_Forward-251002-CRO_d4bb3b96.tiff,10,1439,42.804108504603846,418.0088721152719,229.4652536483669,47.26719944405838,2240.871617659833,461.59374457088256,1,1,0,2.240871617659833e-06,4.6159374457088255e-07,1439.0,1.3723373413085934e-13,1.3791790185908987e-13,2.1776018540159885e-09,9.061310872914125e-09,9.854960790892707e-13,1.7129059934780066e-09,2.0900443605763596e-07,3.7045071754669247e-07,3.510773775735008e-07,1.9512390036842604e-07,4.2664394333798883e-07,7.844892981435768e-08
