source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID078_LOC_RC017006-5.00x5.00-Z Height_Forward-251002-CRO_6f3a9547.tiff,1,25,5.641895835477563,55.09663901833557,3.18,2.1399999999999997,31.0546875,20.898437499999996,0,0,0,3.10546875e-08,2.0898437499999995e-08,25.0,2.3841857910156247e-15,2.385297320597825e-15,2.968355908974079e-10,5.926233564508067e-10,3.281885260539098e-11,1.721014070202603e-10,2.7548319509167786e-08,4.8828124999999996e-08,3.2209700797509345e-08,2.4214458107013426e-08,3.521234833537482e-08,2.0516896772158316e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID078_LOC_RC017006-5.00x5.00-Z Height_Forward-251002-CRO_6f3a9547.tiff,2,532,26.026206750102993,254.16217529397454,19.187969924812027,15.571428571428568,187.38251879699246,152.0647321428571,0,0,0,1.8738251879699247e-07,1.5206473214285712e-07,532.0,5.073547363281249e-14,5.1380955891805e-14,4.225253787041334e-09,1.2143347344683931e-08,9.180138630522225e-13,3.4986730478930903e-09,1.2708108764698727e-07,2.2524536317716395e-07,1.823461967977064e-07,1.1102322939069344e-07,2.1787246573061708e-07,6.505461397651716e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID078_LOC_RC017006-5.00x5.00-Z Height_Forward-251002-CRO_6f3a9547.tiff,3,4071,71.9955428246558,703.0814728970292,117.73114713829526,40.808278064357644,1149.7182337724146,398.51834047224264,0,0,0,1.1497182337724146e-06,3.9851834047224264e-07,4071.0,3.882408142089843e-13,3.927269112664917e-13,3.7020857551801477e-09,4.4412302760288414e-08,5.211327710750932e-14,7.016824512331901e-09,3.5154073644851465e-07,6.230897320683308e-07,5.442921693513663e-07,3.6563934622912844e-07,6.837777337517221e-07,9.296138833208865e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID078_LOC_RC017006-5.00x5.00-Z Height_Forward-251002-CRO_6f3a9547.tiff,4,22,5.292567428401227,51.68522879298074,96.77272727272725,1.6363636363636362,945.0461647727271,15.980113636363635,0,0,0,9.450461647727271e-07,1.5980113636363635e-08,22.0,2.0980834960937495e-15,2.1011593358961966e-15,6.461217458058961e-10,1.0522683644790534e-09,2.234113452889419e-10,3.0232614183829393e-10,2.5842614396490367e-08,4.5804841404525675e-08,3.683509029471521e-08,1.8844891760287168e-08,3.7187581002813517e-08,1.627250546947846e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID078_LOC_RC017006-5.00x5.00-Z Height_Forward-251002-CRO_6f3a9547.tiff,5,1730,46.932977876881324,458.3298620789192,197.71907514450865,22.331791907514447,1930.8503432080922,218.08390534682079,0,0,1,1.9308503432080923e-06,2.1808390534682077e-07,1730.0,1.6498565673828123e-13,1.6575555906452144e-13,2.7287712177789894e-09,8.235680449497117e-09,8.829060032452994e-13,1.7231408729184823e-09,2.2916493103945957e-07,4.061842645133871e-07,3.6121480041107566e-07,1.890603305930975e-07,4.0315384172317446e-07,8.505949061972886e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID078_LOC_RC017006-5.00x5.00-Z Height_Forward-251002-CRO_6f3a9547.tiff,6,5803,85.957018783216,839.4240115548438,271.62838187144575,63.35662588316387,2652.6209167133375,618.7170496402722,0,0,0,2.6526209167133376e-06,6.187170496402722e-07,5803.0,5.534172058105468e-13,5.61821972950609e-13,5.7120339425176015e-09,3.1584319023217166e-08,1.2012364499708688e-12,7.536876458011116e-09,4.197120057774219e-07,7.439201609114696e-07,5.989703467283202e-07,3.929719960891177e-07,7.021318424001399e-07,1.5501928011105163e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID078_LOC_RC017006-5.00x5.00-Z Height_Forward-251002-CRO_6f3a9547.tiff,7,7,2.985410660720923,29.154400983602766,272.35714285714283,0.7857142857142856,2659.7377232142853,7.67299107142857,0,0,0,2.6597377232142852e-06,7.67299107142857e-09,7.0,6.675720214843749e-16,6.701253475066891e-16,6.697363073528472e-10,1.4184901244989115e-09,2.968379330102559e-10,4.066752183337096e-10,1.4577200491801383e-08,2.583741514711514e-08,2.3830267852209114e-08,9.835701882758382e-09,2.4898835388905712e-08,9.761992467870109e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID078_LOC_RC017006-5.00x5.00-Z Height_Forward-251002-CRO_6f3a9547.tiff,8,6088,88.04250307861352,859.7900691270852,380.58590670170827,37.216491458607095,3716.6592451338697,363.4422994004599,0,0,0,3.7166592451338695e-06,3.6344229940045987e-07,6088.0,5.805969238281249e-13,5.855054120132892e-13,3.5587140654439865e-09,1.9611799366950802e-08,6.380353791689884e-14,3.727032829890958e-09,4.2989503456354255e-07,7.619691094973109e-07,6.821318603478597e-07,3.869445667162206e-07,8.916280600531694e-07,1.1256235876055094e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID078_LOC_RC017006-5.00x5.00-Z Height_Forward-251002-CRO_6f3a9547.tiff,9,32,6.383076486422923,62.33473131272386,425.8749999999999,2.7187499999999996,4158.935546874999,26.550292968749996,0,0,0,4.1589355468749995e-06,2.6550292968749997e-08,32.0,3.0517578124999993e-15,3.0554032028850064e-15,4.403625568169839e-10,9.7573506987099e-10,1.2831660676487287e-10,2.1501748649521102e-10,3.1167365656361924e-08,5.524271728019902e-08,3.312314960883985e-08,2.990082694823004e-08,3.866305903968735e-08,2.6127171207731748e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID078_LOC_RC017006-5.00x5.00-Z Height_Forward-251002-CRO_6f3a9547.tiff,10,335,20.65272978291924,201.68681428632073,485.5089552238806,6.219402985074626,4741.298390858209,60.73635727611939,0,0,0,4.741298390858209e-06,6.07363572761194e-08,335.0,3.194808959960937e-14,3.77619156437411e-14,2.517335584541784e-08,3.636407513204136e-08,5.924978914536042e-10,8.562721583985898e-09,1.0084340714316037e-07,1.787402853293274e-07,1.4208813902097714e-07,7.346617195468905e-08,1.446918169162794e-07,6.835859064216951e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID078_LOC_RC017006-5.00x5.00-Z Height_Forward-251002-CRO_6f3a9547.tiff,11,65,9.09728368293446,88.84066096615683,129.9,5.546153846153845,1268.5546875,54.161658653846146,0,0,0,1.2685546875e-06,5.416165865384615e-08,65.0,6.198883056640624e-15,6.208143260187019e-15,6.239760005327973e-10,1.6401063307599412e-09,2.296721299124614e-11,4.713067590696616e-10,4.442033048307842e-08,7.873298582322802e-08,5.974925415663228e-08,3.36741419853359e-08,6.642029582977644e-08,3.15466219690981e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID078_LOC_RC017006-5.00x5.00-Z Height_Forward-251002-CRO_6f3a9547.tiff,12,37,6.863662517577698,67.0279542732197,273.52702702702703,7.959459459459459,2671.162373310811,77.72909628378378,0,0,0,2.671162373310811e-06,7.772909628378378e-08,37.0,3.5285949707031243e-15,3.5425090780724442e-15,8.775511132709896e-10,1.9697535954133874e-09,1.1137288726836181e-10,5.175778040233134e-10,3.351397713660985e-08,5.9401977834943545e-08,3.756160831074039e-08,3.084362774793276e-08,4.367422974261018e-08,2.448545255365341e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID078_LOC_RC017006-5.00x5.00-Z Height_Forward-251002-CRO_6f3a9547.tiff,13,1392,42.099280828433955,411.12578934017534,492.30675287356314,50.63793103448276,4807.68313353089,494.5110452586207,0,0,1,4.80768313353089e-06,4.945110452586207e-07,1392.0,1.3275146484374998e-13,1.332248793217024e-13,1.8104380010058963e-09,6.532741064872053e-09,1.359201413985679e-12,1.4691628529345913e-09,2.0556289467008764e-07,3.643507442612818e-07,3.068668166626658e-07,2.1501607926455528e-07,4.0690276830749287e-07,6.876866722439624e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID078_LOC_RC017006-5.00x5.00-Z Height_Forward-251002-CRO_6f3a9547.tiff,14,1,1.1283791670955126,11.019327803667116,177.5,12.5,1733.3984375,122.0703125,0,0,0,1.7333984374999999e-06,1.220703125e-07,1.0,9.536743164062498e-17,9.540546183523418e-17,5.832175541969606e-11,5.832175541969606e-11,5.832175541969606e-11,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.9053396600250456e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID078_LOC_RC017006-5.00x5.00-Z Height_Forward-251002-CRO_6f3a9547.tiff,15,77,9.901487006738307,96.69420905017878,275.35714285714283,19.56493506493506,2689.0345982142853,191.06381899350646,0,0,0,2.6890345982142853e-06,1.9106381899350646e-07,77.0,7.343292236328123e-15,7.355579995837257e-15,4.944570143550197e-10,1.4201195233333908e-09,3.088966257255385e-11,3.27661811690249e-10,4.834710452508939e-08,8.569301159562618e-08,5.839606772298936e-08,4.124134026231707e-08,6.020959797317241e-08,3.45936742931606e-08
