source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID080_LOC_RC017017-5.00x5.00-Z Height_Forward-251002-CRO_63fa9701.tiff,1,18,4.787307364817192,46.751048484542885,13.611111111111109,1.3333333333333335,132.92100694444443,13.020833333333334,0,0,0,1.3292100694444443e-07,1.3020833333333333e-08,18.0,1.7166137695312496e-15,1.8834160146098835e-15,4.9489548589577935e-09,1.0444063053891294e-08,4.762404342559192e-10,3.152886685706526e-09,2.3375524242271445e-08,4.1432037960149266e-08,3.766524082267899e-08,1.629687022680494e-08,4.058049677339923e-08,1.4648308536272941e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID080_LOC_RC017017-5.00x5.00-Z Height_Forward-251002-CRO_63fa9701.tiff,2,8563,104.41623543092904,1019.6897991301663,90.48785472381174,57.85653392502627,883.670456287224,565.0052141115847,0,0,0,8.836704562872241e-07,5.650052141115847e-07,8563.0,8.166313171386717e-13,8.411625136197918e-13,7.030942471263879e-09,5.0726485443682375e-08,1.0660381187084084e-14,6.812198111401244e-09,5.098448995650831e-07,9.036765555986675e-07,8.604026726410776e-07,3.8617333394009703e-07,9.133905657574755e-07,2.2278869454007742e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID080_LOC_RC017017-5.00x5.00-Z Height_Forward-251002-CRO_63fa9701.tiff,3,1693,46.42838085951986,453.40215683124865,142.31334908446541,19.28558771411695,1389.7787996529826,188.33581752067334,0,0,1,1.3897787996529827e-06,1.8833581752067335e-07,1693.0,1.614570617675781e-13,1.6443651818397078e-13,7.275630683193885e-09,1.8038375820414053e-08,1.8824665167077395e-12,4.579755296230812e-09,2.2670107841562433e-07,4.0181719944220666e-07,4.6702324599349016e-07,1.1836153299538992e-07,4.647918198977724e-07,1.0253901218685866e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID080_LOC_RC017017-5.00x5.00-Z Height_Forward-251002-CRO_63fa9701.tiff,4,3,1.9544100476116797,19.08603562120781,205.5,0.5,2006.8359375,4.8828125,0,0,0,2.0068359375e-06,4.8828124999999996e-09,3.0,2.8610229492187495e-16,2.8679776419433976e-16,4.1261898540369386e-10,5.909686132196648e-10,5.591972977175211e-11,2.522244625015398e-10,9.543017810603905e-09,1.6914558667664815e-08,1.6720663860027693e-08,5.573554620009231e-09,1.544080888754115e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID080_LOC_RC017017-5.00x5.00-Z Height_Forward-251002-CRO_63fa9701.tiff,5,966,35.070634442709576,342.4866644795857,235.7701863354037,14.575569358178054,2302.443225931677,142.33954451345755,0,0,0,2.3024432259316767e-06,1.4233954451345756e-07,966.0,9.212493896484373e-14,9.458238671263171e-14,5.418753004298678e-09,3.1646752216515934e-08,3.3312374053486274e-12,6.469898545500631e-09,1.7124333223979284e-07,3.035209036703135e-07,2.3870323742139056e-07,1.67339831474044e-07,2.920176660453944e-07,7.735384029178845e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID080_LOC_RC017017-5.00x5.00-Z Height_Forward-251002-CRO_63fa9701.tiff,6,36,6.770275002573076,66.11596682200269,278.1388888888889,1.2499999999999998,2716.2000868055557,12.207031249999998,0,0,0,2.7162000868055555e-06,1.2207031249999999e-08,36.0,3.433227539062499e-15,3.5482302501962406e-15,3.345054841721187e-09,6.8013595760463695e-09,2.190299228421937e-10,2.0624618398606158e-09,3.3057983411001345e-08,5.8593749999999995e-08,7.524627867782051e-08,1.570688316397583e-08,8.315175850316659e-08,1.4648437499999999e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID080_LOC_RC017017-5.00x5.00-Z Height_Forward-251002-CRO_63fa9701.tiff,7,13,4.068428945128219,39.73075141726777,296.0384615384615,0.6538461538461539,2891.000600961538,6.385216346153846,0,0,0,2.8910006009615382e-06,6.385216346153846e-09,13.0,1.2397766113281247e-15,1.2500050494734733e-15,5.572173992140361e-10,1.4532451777491578e-09,5.273298004384235e-11,4.382637971787944e-10,1.986537570863388e-08,3.5210461674453015e-08,5.781001656039898e-08,7.946819233171688e-09,5.39327316200573e-08,9.76199246787011e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID080_LOC_RC017017-5.00x5.00-Z Height_Forward-251002-CRO_63fa9701.tiff,8,1161,38.44777121547521,375.46651577612505,331.92635658914725,14.114987080103356,3241.4683260658912,137.84167070413434,0,0,1,3.2414683260658914e-06,1.3784167070413435e-07,1161.0,1.107215881347656e-13,1.405670566936912e-13,2.7184290490443866e-08,9.77086211390705e-08,8.35374015298051e-11,2.6740464535442496e-08,1.8773325788806255e-07,3.3274853588673475e-07,2.481277600943097e-07,1.6615726214483138e-07,2.8600128410995943e-07,1.0782417635926123e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID080_LOC_RC017017-5.00x5.00-Z Height_Forward-251002-CRO_63fa9701.tiff,9,1,1.1283791670955126,11.019327803667116,368.49999999999994,0.5,3598.6328124999995,4.8828125,0,0,0,3.5986328124999995e-06,4.8828124999999996e-09,1.0,9.536743164062498e-17,1.3086078567588234e-16,5.076530449969897e-09,5.076530449969897e-09,5.076530449969897e-09,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.9053396600250365e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID080_LOC_RC017017-5.00x5.00-Z Height_Forward-251002-CRO_63fa9701.tiff,10,1683,46.291059112848984,452.06112414891584,377.7222222222222,38.22192513368984,3688.6935763888882,373.2609876336898,1,0,0,3.6886935763888884e-06,3.732609876336898e-07,1683.0,1.6050338745117184e-13,1.888822226233011e-13,2.0798875159349588e-08,7.313638386884168e-08,4.481423878180226e-11,1.5539993347559724e-08,2.2603056207445792e-07,4.006287401712112e-07,4.4966416270767197e-07,1.356653329858855e-07,4.3437486408533116e-07,1.1896267247459736e-07
