source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID083_LOC_RC020002-5.00x5.00-Z Height_Forward-251002-CRO_0566814c.tiff,1,1,1.1283791670955126,11.019327803667116,17.499999999999996,0.5,170.89843749999997,4.8828125,0,0,0,1.7089843749999997e-07,4.8828124999999996e-09,1.0,9.536743164062498e-17,9.916360719407206e-17,2.5252170535600348e-09,2.5252170535600348e-09,2.5252170535600348e-09,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.905339660024887e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID083_LOC_RC020002-5.00x5.00-Z Height_Forward-251002-CRO_0566814c.tiff,2,661,29.010538413996088,283.30603919918053,16.507564296520425,20.410741301059,161.20668258320725,199.3236455181543,0,0,0,1.6120668258320726e-07,1.993236455181543e-07,661.0,6.303787231445312e-14,7.05223853538791e-14,1.885226897525937e-08,6.192624850961299e-08,7.230152714656959e-11,1.7707735981499713e-08,1.4165301959959027e-07,2.510734400816883e-07,2.0460259975650466e-07,1.1658449585498898e-07,2.425736657826447e-07,8.656152596982263e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID083_LOC_RC020002-5.00x5.00-Z Height_Forward-251002-CRO_0566814c.tiff,3,3343,65.24139635269657,637.1230112568024,99.06835177983845,22.711785821118752,967.4643728499849,221.79478340936282,0,0,0,9.674643728499848e-07,2.2179478340936283e-07,3343.0,3.188133239746093e-13,3.796480038813331e-13,2.3986535661281738e-08,8.64207641619582e-08,7.503124655475954e-12,2.0857194471861476e-08,3.185615056284012e-07,5.646355674013188e-07,4.868844106211308e-07,2.5631948056777897e-07,5.374623089279776e-07,9.877746500967526e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID083_LOC_RC020002-5.00x5.00-Z Height_Forward-251002-CRO_0566814c.tiff,4,1090,37.253605245148115,363.8047387221496,202.93394495412844,11.250458715596329,1981.7768061926604,109.8677608944954,0,0,1,1.9817768061926604e-06,1.0986776089449541e-07,1090.0,1.0395050048828122e-13,1.0650082608930741e-13,1.0308255422113897e-08,2.811710101772952e-08,2.112214018218575e-11,5.5726124455177814e-09,1.819023693610748e-07,3.2241355506287453e-07,2.618106089373981e-07,1.3491890867219894e-07,2.841318861225192e-07,1.2424575099593933e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID083_LOC_RC020002-5.00x5.00-Z Height_Forward-251002-CRO_0566814c.tiff,5,10,3.5682482323055424,34.84617414360881,252.99999999999994,0.5,2470.7031249999995,4.8828125,0,0,0,2.4707031249999997e-06,4.8828124999999996e-09,10.0,9.536743164062499e-16,1.0009990568871735e-15,1.7282778255194323e-09,3.1678453349654912e-09,2.14145743212067e-10,1.016183566033754e-09,1.7423087071804404e-08,3.0881617775081825e-08,5.573554620009231e-08,5.573554620009218e-09,4.907165830625448e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID083_LOC_RC020002-5.00x5.00-Z Height_Forward-251002-CRO_0566814c.tiff,6,3363,65.4362635619146,639.0260113468223,293.25973832887297,73.42447219744274,2863.8646321179003,717.0358613031518,0,0,0,2.8638646321179005e-06,7.170358613031519e-07,3363.0,3.207206726074218e-13,3.5419637669730714e-13,2.31208816199776e-08,4.936932045508217e-08,1.4241700760882364e-11,1.2806014721082488e-08,3.1951300567341113e-07,5.663220573202335e-07,5.118155431097204e-07,2.3498464459631243e-07,6.134065815033437e-07,1.8482409651530546e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID083_LOC_RC020002-5.00x5.00-Z Height_Forward-251002-CRO_0566814c.tiff,7,1662,46.00134914706133,449.23192526427084,378.3279181708784,11.392900120336941,3694.608575887484,111.25879023766545,0,0,1,3.6946085758874843e-06,1.1125879023766545e-07,1662.0,1.5850067138671872e-13,1.6632462045087896e-13,1.688845173441586e-08,4.03547392096689e-08,9.065586379794264e-13,8.576927015392383e-09,2.246159626321354e-07,3.9812142794217784e-07,3.816380460866669e-07,1.4103856108057607e-07,4.104339573158954e-07,1.4062415116295942e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID083_LOC_RC020002-5.00x5.00-Z Height_Forward-251002-CRO_0566814c.tiff,8,58,8.593479713983122,83.92070033186643,432.1724137931034,4.7413793103448265,4220.433728448275,46.3025323275862,0,0,0,4.220433728448275e-06,4.63025323275862e-08,58.0,5.531311035156249e-15,5.594681598810211e-15,1.889356137328763e-09,3.5742140638706367e-09,8.129854073003924e-11,1.1174153772866527e-09,4.196035016593321e-08,7.437278423695222e-08,5.16454609114524e-08,3.519384330297236e-08,5.5673133252053736e-08,2.9296090642169508e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID083_LOC_RC020002-5.00x5.00-Z Height_Forward-251002-CRO_0566814c.tiff,9,258,18.12445316531431,176.99661294252257,484.97674418604646,6.3023255813953485,4736.10101744186,61.546148255813954,0,0,0,4.73610101744186e-06,6.154614825581395e-08,258.0,2.4604797363281243e-14,2.5134017491944148e-14,4.449918157812754e-09,1.6012477226187795e-08,8.860843023395356e-11,4.518016342842621e-09,8.849830647126129e-08,1.568591641036036e-07,1.3719472607750245e-07,6.221876270091421e-08,1.3750833649708983e-07,4.8826228102367846e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID083_LOC_RC020002-5.00x5.00-Z Height_Forward-251002-CRO_0566814c.tiff,10,74,9.706684619910241,94.79184199131095,508.9459459459458,8.756756756756756,4970.175253378377,85.5152027027027,0,0,0,4.9701752533783774e-06,8.551520270270269e-08,74.0,7.0571899414062485e-15,7.256954662766748e-15,5.090118966968476e-09,1.1457965133034432e-08,3.0395768610566397e-10,3.3145031518464394e-09,4.7395920995655476e-08,8.400708268596315e-08,6.464169430066948e-08,3.658578774464776e-08,7.087695147768027e-08,3.434187162156125e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID083_LOC_RC020002-5.00x5.00-Z Height_Forward-251002-CRO_0566814c.tiff,11,3291,64.73199627482086,632.1484011212974,339.85065329687023,49.41674263141901,3318.8540361022483,482.58537725995126,0,0,0,3.318854036102248e-06,4.825853772599513e-07,3291.0,3.1385421752929683e-13,3.484846975063968e-13,2.1286964217761853e-08,6.13483901411402e-08,6.531020622153363e-11,1.2290834722173494e-08,3.1607420056064866e-07,5.602269339556042e-07,4.3202871506357997e-07,2.43321119311986e-07,4.583089273856671e-07,2.2107804048024008e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID083_LOC_RC020002-5.00x5.00-Z Height_Forward-251002-CRO_0566814c.tiff,12,12127,124.26011411150127,1213.4776768701295,438.60101426568815,114.8817926939886,4283.213029938361,1121.8925067772325,0,0,0,4.2832130299383605e-06,1.1218925067772325e-06,12127.0,1.156520843505859e-12,1.2051555019388773e-12,7.903403081416422e-09,5.0034165067413724e-08,1.8542123824227357e-13,7.140460004588321e-09,6.067388384350648e-07,1.07541659067817e-06,9.345597953935312e-07,5.68426683277961e-07,1.2439335762846072e-06,1.3470487131254774e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID083_LOC_RC020002-5.00x5.00-Z Height_Forward-251002-CRO_0566814c.tiff,13,1,1.1283791670955126,11.019327803667116,499.4999999999999,6.499999999999999,4877.929687499999,63.47656249999999,0,0,0,4.8779296874999995e-06,6.34765625e-08,1.0,9.536743164062498e-17,9.605947355131575e-17,6.597708268791773e-10,6.597708268791773e-10,6.597708268791773e-10,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.905339660024737e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID083_LOC_RC020002-5.00x5.00-Z Height_Forward-251002-CRO_0566814c.tiff,14,1921,49.455971989601494,482.9684764609521,245.58120770432063,44.457313899010934,2398.2539814875063,434.15345604502863,1,0,0,2.3982539814875062e-06,4.3415345604502864e-07,1921.0,1.8320083618164058e-13,1.975325481397515e-13,2.3128829445450107e-08,4.5785195054422134e-08,9.617462731385032e-11,1.1312688023365577e-08,2.4148423823047606e-07,4.2801966798459226e-07,3.59872083925195e-07,1.6411840398228446e-07,3.678191734951338e-07,1.5714050597899295e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID083_LOC_RC020002-5.00x5.00-Z Height_Forward-251002-CRO_0566814c.tiff,15,31,6.282549314314218,61.353020647599784,425.0806451612903,10.919354838709678,4151.178175403225,106.63432459677419,0,0,0,4.151178175403225e-06,1.0663432459677419e-07,31.0,2.9563903808593743e-15,2.993345836209786e-15,1.2914373401124736e-09,2.4598714379268388e-09,7.302663277152136e-11,7.436350445648159e-10,3.067651032379989e-08,5.437269885576193e-08,3.8907214397070266e-08,2.5228486382338988e-08,4.502063267720147e-08,2.227468639901143e-08
