source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID096_LOC_RC021016-5.00x5.00-Z Height_Forward-251002-CRO_c78a4cad.tiff,1,1056,36.667982753900326,358.0857690810579,9.231060606060604,26.869318181818176,90.14707623106058,262.39568536931813,0,0,1,9.014707623106059e-08,2.6239568536931816e-07,1056.0,1.0070800781249998e-13,1.0443430501303637e-13,1.1547253532466302e-08,2.7501126367571545e-08,9.579233876922868e-11,7.439146646052028e-09,1.7904288454052891e-07,3.1734525018109214e-07,3.8147103391201475e-07,1.0617857350201693e-07,4.28938336810718e-07,9.419705195230906e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID096_LOC_RC021016-5.00x5.00-Z Height_Forward-251002-CRO_c78a4cad.tiff,2,199,15.91774699517169,155.44674799972353,79.98241206030151,3.334170854271356,781.0782427763819,32.56026224874371,0,0,0,7.810782427763819e-07,3.256026224874371e-08,199.0,1.897811889648437e-14,3.0576148243508696e-14,1.765475231643612e-08,6.804276665360213e-08,1.4991942774567804e-11,1.556646357144156e-08,7.772337399986177e-08,1.3776109355142465e-07,1.6035421269287119e-07,4.3628018486074434e-08,2.0513727087564333e-07,4.1503906249999996e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID096_LOC_RC021016-5.00x5.00-Z Height_Forward-251002-CRO_c78a4cad.tiff,3,1089,37.23651251415192,363.6378175210148,113.10238751147841,18.558769513314964,1104.5155030417814,181.23798352846646,0,0,1,1.1045155030417814e-06,1.8123798352846647e-07,1089.0,1.038551330566406e-13,1.8221494902800237e-13,2.8716457459167128e-08,1.215880812357208e-07,1.0475122224088825e-10,2.467771334887825e-08,1.818189087605074e-07,3.2226562499999995e-07,3.790609881628032e-07,1.1886992138464028e-07,4.777360229327758e-07,8.492215287682971e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID096_LOC_RC021016-5.00x5.00-Z Height_Forward-251002-CRO_c78a4cad.tiff,4,2,1.5957691216057308,15.583682828180965,171.0,0.5,1669.921875,4.8828125,0,0,0,1.669921875e-06,4.8828124999999996e-09,2.0,1.9073486328124996e-16,3.9021988607187603e-16,9.195066580859989e-09,9.195066580859989e-09,9.195066580859989e-09,0.0,7.791841414090481e-09,1.3810679320049755e-08,1.1147109240018463e-08,5.5735546200092305e-09,1.0918300671385715e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID096_LOC_RC021016-5.00x5.00-Z Height_Forward-251002-CRO_c78a4cad.tiff,5,8,3.1915382432114616,31.16736565636193,196.62499999999997,1.3749999999999998,1920.1660156249998,13.427734374999998,0,0,0,1.9201660156249997e-06,1.3427734374999999e-08,8.0,7.629394531249998e-16,1.5937959798801432e-15,9.03310712047665e-09,1.3324039524679316e-08,3.5703553943712765e-09,3.536432072103286e-09,1.5583682828180962e-08,2.762135864009951e-08,1.754916765209374e-08,1.4283987590965517e-08,2.0716023179711558e-08,1.1440246734445752e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID096_LOC_RC021016-5.00x5.00-Z Height_Forward-251002-CRO_c78a4cad.tiff,6,474,24.566553364370574,239.9077476989314,247.7067510548523,7.4789029535864975,2419.011240770042,73.03616165611814,0,0,0,2.419011240770042e-06,7.303616165611813e-08,474.0,4.520416259765624e-14,4.567447796150238e-14,4.89952997333955e-09,1.0005009413326901e-08,1.952923363318851e-11,2.738441510795919e-09,1.1995387384946568e-07,2.1261270563551991e-07,1.7225697799196547e-07,8.949743620097174e-08,1.9198836175612648e-07,8.795927790423366e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID096_LOC_RC021016-5.00x5.00-Z Height_Forward-251002-CRO_c78a4cad.tiff,7,2,1.5957691216057308,15.583682828180965,273.49999999999994,1.0,2670.8984374999995,9.765625,0,0,0,2.6708984374999996e-06,9.765624999999999e-09,2.0,1.9073486328124996e-16,2.0089699155537922e-16,1.0126371517977975e-09,1.7808613012399685e-09,2.4441300235562645e-10,7.68224149442171e-10,7.791841414090481e-09,1.3810679320049755e-08,1.1147109240018463e-08,5.5735546200092305e-09,1.0918300671385792e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID096_LOC_RC021016-5.00x5.00-Z Height_Forward-251002-CRO_c78a4cad.tiff,8,3,1.9544100476116797,19.08603562120781,275.49999999999994,1.4999999999999998,2690.4296874999995,14.648437499999998,0,0,0,2.6904296874999996e-06,1.4648437499999999e-08,3.0,2.8610229492187495e-16,3.497987186014245e-16,4.348898687760639e-09,4.369886502372398e-09,4.33840478045476e-09,1.4840626034260522e-11,9.543017810603905e-09,1.6914558667664815e-08,1.6720663860027693e-08,5.573554620009231e-09,1.5440808887540985e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID096_LOC_RC021016-5.00x5.00-Z Height_Forward-251002-CRO_c78a4cad.tiff,9,1177,38.71179334716084,378.0448569058676,341.18054375531005,18.490654205607473,3331.84124761045,180.5727949766355,0,0,1,3.33184124761045e-06,1.805727949766355e-07,1177.0,1.122474670410156e-13,1.2859476367727159e-13,1.2874769751095352e-08,4.4556230214989925e-08,1.498565995168623e-10,8.741245200789146e-09,1.890224284529338e-07,3.3503353121891487e-07,2.682323752168291e-07,1.4729089537808963e-07,2.925719191761195e-07,1.261532112171164e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID096_LOC_RC021016-5.00x5.00-Z Height_Forward-251002-CRO_c78a4cad.tiff,10,6,2.763953195770684,26.991730427448086,354.49999999999994,2.166666666666667,3461.9140624999995,21.158854166666668,0,0,0,3.4619140624999996e-06,2.1158854166666667e-08,6.0,5.722045898437499e-16,9.786034890844389e-16,2.0680192133747493e-09,3.4008523801351495e-09,1.0971512130451363e-09,9.875927143774088e-10,1.3495865213724042e-08,2.392079826936697e-08,1.79227179221351e-08,1.1733173076789392e-08,2.013563817566026e-08,6.905339660024878e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID096_LOC_RC021016-5.00x5.00-Z Height_Forward-251002-CRO_c78a4cad.tiff,11,3637,68.04977754704116,664.5486088578239,403.6564476216662,53.38946934286499,3941.9574963053337,521.3815365514159,0,0,0,3.941957496305334e-06,5.21381536551416e-07,3637.0,3.4685134887695303e-13,4.321224071291763e-13,1.7726480851663286e-08,5.202075521706991e-08,4.353233155988354e-11,1.136849626984588e-08,3.322743044289119e-07,5.889408704419766e-07,4.466250250976139e-07,2.6530734675317205e-07,4.896763497431057e-07,1.686208756599212e-07
