source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID097_LOC_RC021017-5.00x5.00-Z Height_Forward-251002-CRO_54545bd0.tiff,1,2625,57.81222885281108,564.5725473907332,38.53771428571429,23.608952380952378,376.34486607142856,230.55617559523807,0,0,0,3.7634486607142856e-07,2.3055617559523807e-07,2625.0,2.5033950805664055e-13,2.5145170211999376e-13,2.269642220773984e-09,1.0044548848039437e-08,1.2947938622329828e-12,1.8358366808780415e-09,2.822862736953666e-07,5.00339392869121e-07,4.973332640808914e-07,2.569595100607198e-07,6.83634276480371e-07,1.0383459809129624e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID097_LOC_RC021017-5.00x5.00-Z Height_Forward-251002-CRO_54545bd0.tiff,2,795,31.815490536285218,310.6981497684103,145.1704402515723,15.7062893081761,1417.6800805817609,153.38173152515722,0,0,0,1.4176800805817608e-06,1.5338173152515722e-07,795.0,7.581710815429685e-14,7.608444695977763e-14,2.231652365376349e-09,6.744606960825754e-09,4.405454728146789e-13,1.576050664478222e-09,1.5534907488420517e-07,2.753490660131188e-07,2.2597003386231998e-07,1.1908249413302122e-07,2.4926357662271337e-07,7.439513471725617e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID097_LOC_RC021017-5.00x5.00-Z Height_Forward-251002-CRO_54545bd0.tiff,3,1,1.1283791670955126,11.019327803667116,158.49999999999997,0.5,1547.8515624999998,4.8828125,0,0,0,1.5478515624999998e-06,4.8828124999999996e-09,1.0,9.536743164062498e-17,9.543955240558248e-17,9.902375894077675e-12,9.902375894077675e-12,9.902375894077675e-12,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.905339660024887e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID097_LOC_RC021017-5.00x5.00-Z Height_Forward-251002-CRO_54545bd0.tiff,4,40,7.136496464611085,69.69234828721763,170.0,2.55,1660.15625,24.902343749999996,0,0,0,1.66015625e-06,2.4902343749999996e-08,40.0,3.8146972656249994e-15,3.82980939989499e-15,9.548786599362142e-10,2.067168486125068e-09,8.512475960498933e-12,5.660335720278242e-10,3.484617414360881e-08,6.176323555016365e-08,4.204277048579237e-08,2.9502810670259095e-08,4.367419458203503e-08,2.5390308995321576e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID097_LOC_RC021017-5.00x5.00-Z Height_Forward-251002-CRO_54545bd0.tiff,5,10965,118.15697866829981,1153.8767448076153,117.56940264477883,106.17551299589603,1148.1386977029183,1036.870244100547,0,0,0,1.1481386977029183e-06,1.036870244100547e-06,10965.0,1.045703887939453e-12,1.0851173622009484e-12,8.149763974084257e-09,7.078821186055981e-08,1.014302454796509e-12,9.04370720550726e-09,5.769383724038077e-07,1.0225966399022895e-06,1.1777340095229389e-06,4.41031464849423e-07,1.4486104972612828e-06,1.2766999839435008e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID097_LOC_RC021017-5.00x5.00-Z Height_Forward-251002-CRO_54545bd0.tiff,6,3028,62.091620541406975,606.3634818496774,420.1819682959049,28.218956406869214,4103.339534139696,275.5757461608322,0,0,0,4.103339534139696e-06,2.755757461608322e-07,3028.0,2.8877258300781244e-13,2.925483204759996e-13,4.076557001429176e-09,1.5502409108000086e-08,1.990235692199029e-12,3.1615387588117584e-09,3.0318174092483875e-07,5.373756442264689e-07,5.947941984094543e-07,2.3203591770854837e-07,7.35128933915152e-07,9.164042065807653e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID097_LOC_RC021017-5.00x5.00-Z Height_Forward-251002-CRO_54545bd0.tiff,7,34,6.579524642479541,64.25317033671426,427.35294117647055,1.2647058823529411,4173.36856617647,12.35064338235294,0,0,0,4.17336856617647e-06,1.235064338235294e-08,34.0,3.2424926757812495e-15,7.182790739987648e-15,3.51939886744291e-08,6.588256978401243e-08,4.55748929535968e-11,2.0115478031974586e-08,3.212658516835713e-08,5.694288959809863e-08,7.294090385638556e-08,1.494985927333282e-08,7.389103162099946e-08,1.4648437499999999e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID097_LOC_RC021017-5.00x5.00-Z Height_Forward-251002-CRO_54545bd0.tiff,8,742,30.736683981742253,300.1629295092017,485.39353099730454,14.316711590296492,4740.171201145552,139.8116366239892,0,0,0,4.7401712011455524e-06,1.398116366239892e-07,742.0,7.076263427734374e-14,7.163693611843727e-14,3.886416223371988e-09,1.0800521396452687e-08,8.47172823614997e-12,2.3353624825941414e-09,1.5008146475460084e-07,2.660124701538327e-07,3.0070626507993895e-07,8.196140548348475e-08,2.9560288094891904e-07,7.377203161425033e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID097_LOC_RC021017-5.00x5.00-Z Height_Forward-251002-CRO_54545bd0.tiff,9,118,12.257335203001883,119.70053909181526,319.4152542372881,8.73728813559322,3119.2895921610166,85.32507944915254,0,0,0,3.1192895921610166e-06,8.532507944915253e-08,118.0,1.1253356933593748e-14,1.1295075273964654e-14,9.999057244310575e-10,2.20347385432584e-09,1.6203703012848575e-12,6.080612923792923e-10,5.985026954590763e-08,1.060818407343771e-07,8.53531706538545e-08,4.6560912717098365e-08,1.026593367052403e-07,3.1775949526082475e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID097_LOC_RC021017-5.00x5.00-Z Height_Forward-251002-CRO_54545bd0.tiff,10,9,3.385137501286538,33.057983411001345,491.72222222222223,3.0555555555555554,4801.974826388889,29.83940972222222,0,0,0,4.801974826388889e-06,2.983940972222222e-08,9.0,8.583068847656248e-16,8.662887397639409e-16,1.044388383754371e-09,1.6163656054172556e-09,6.601243608235224e-11,4.6423207477220785e-10,1.6528991705500673e-08,2.9296874999999997e-08,2.5944200492501376e-08,1.087345158032317e-08,2.6295632026323836e-08,9.765392041587482e-09
