source_file,particle_id,diameter_px,diameter_nm,center_x_nm,center_y_nm,center_x_px,center_y_px,kept,isolated
PEGDA01TPO10SiNPSam02_S2_P__GrID040_LOC_RC010010-5.00x5.00-Z Height_Forward-251001-CRO_11cb3cca.tiff,1,4.370193722368317,42.677673070003095,12.044270833333332,27.018229166666664,1.2333333333333332,2.7666666666666666,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID040_LOC_RC010010-5.00x5.00-Z Height_Forward-251001-CRO_11cb3cca.tiff,2,22.082815618339236,215.6524962728441,309.88648417101825,90.50414082898172,31.73237597911227,9.267624020887729,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID040_LOC_RC010010-5.00x5.00-Z Height_Forward-251001-CRO_11cb3cca.tiff,3,31.35188875547286,306.17078862766465,744.2494130505181,84.71553189766838,76.21113989637306,8.674870466321243,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID040_LOC_RC010010-5.00x5.00-Z Height_Forward-251001-CRO_11cb3cca.tiff,4,50.4626504404032,492.7993207070625,1604.8046874999998,263.61328125,164.33199999999997,26.994,1,1
PEGDA01TPO10SiNPSam02_S2_P__GrID040_LOC_RC010010-5.00x5.00-Z Height_Forward-251001-CRO_11cb3cca.tiff,5,6.770275002573076,66.11596682200269,1992.1874999999998,16.818576388888886,203.99999999999997,1.7222222222222219,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID040_LOC_RC010010-5.00x5.00-Z Height_Forward-251001-CRO_11cb3cca.tiff,6,179.6959323246591,1754.843089107999,2202.370234747742,867.9351800623989,225.52271203816878,88.87656243838964,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID040_LOC_RC010010-5.00x5.00-Z Height_Forward-251001-CRO_11cb3cca.tiff,7,3.385137501286538,33.057983411001345,4498.155381944443,24.414062499999996,460.61111111111103,2.4999999999999996,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID040_LOC_RC010010-5.00x5.00-Z Height_Forward-251001-CRO_11cb3cca.tiff,8,19.47884453275087,190.22309114014521,4579.160549496643,131.11498531879192,468.9060402684563,13.426174496644293,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID040_LOC_RC010010-5.00x5.00-Z Height_Forward-251001-CRO_11cb3cca.tiff,9,42.32550105364819,413.3349712270331,4872.467322983297,371.93010949715705,498.9406538734896,38.085643212508884,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID040_LOC_RC010010-5.00x5.00-Z Height_Forward-251001-CRO_11cb3cca.tiff,10,6.180387232371033,60.35534406612337,1408.528645833333,39.0625,144.2333333333333,4.0,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID040_LOC_RC010010-5.00x5.00-Z Height_Forward-251001-CRO_11cb3cca.tiff,11,5.527906391541368,53.98346085489617,2877.1972656249995,50.455729166666664,294.62499999999994,5.166666666666666,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID040_LOC_RC010010-5.00x5.00-Z Height_Forward-251001-CRO_11cb3cca.tiff,12,16.03728119216293,156.6140741422161,2235.0711633663364,94.07874381188118,228.87128712871285,9.633663366336632,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID040_LOC_RC010010-5.00x5.00-Z Height_Forward-251001-CRO_11cb3cca.tiff,13,3.385137501286538,33.057983411001345,2462.5651041666665,64.56163194444444,252.16666666666666,6.611111111111111,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID040_LOC_RC010010-5.00x5.00-Z Height_Forward-251001-CRO_11cb3cca.tiff,14,5.753627391751592,56.18776749757414,427.43389423076917,107.04627403846153,43.76923076923077,10.961538461538462,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID040_LOC_RC010010-5.00x5.00-Z Height_Forward-251001-CRO_11cb3cca.tiff,15,3.385137501286538,33.057983411001345,4752.061631944443,96.02864583333333,486.61111111111103,9.833333333333332,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID040_LOC_RC010010-5.00x5.00-Z Height_Forward-251001-CRO_11cb3cca.tiff,16,3.1915382432114616,31.16736565636193,122.0703125,156.25,12.5,16.0,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID040_LOC_RC010010-5.00x5.00-Z Height_Forward-251001-CRO_11cb3cca.tiff,17,13.58748446131949,132.69027794257315,926.0843211206895,271.7874461206896,94.83103448275861,27.831034482758614,0,0
