source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID003_LOC_RC001005-5.00x5.00-Z Height_Forward-251001-CRO_2665debb.tiff,1,160,14.27299292922217,139.38469657443525,104.36249999999998,3.718749999999999,1019.1650390624999,36.31591796874999,0,0,0,1.0191650390624999e-06,3.6315917968749996e-08,160.0,1.5258789062499998e-14,1.5928399316122675e-14,3.909836708660528e-08,4.492121778795218e-08,3.116351150688857e-08,3.4602659737098766e-09,6.969234828721761e-08,1.235264711003273e-07,1.1424943726346995e-07,4.3504905505289436e-08,1.1325626463315918e-07,3.9061715642169513e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID003_LOC_RC001005-5.00x5.00-Z Height_Forward-251001-CRO_2665debb.tiff,2,34,6.579524642479541,64.25317033671426,222.05882352941177,1.2352941176470587,2168.5431985294117,12.063419117647058,0,0,0,2.1685431985294115e-06,1.2063419117647058e-08,34.0,3.2424926757812495e-15,5.287768225952217e-15,4.4673574213933414e-08,5.9334036327951085e-08,3.156077952043787e-08,8.7730575952514e-09,3.212658516835713e-08,5.694288959809863e-08,7.3785733845159e-08,1.4815316533471973e-08,7.340528291173027e-08,1.4648437499999999e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID003_LOC_RC001005-5.00x5.00-Z Height_Forward-251001-CRO_2665debb.tiff,3,248,17.769732893161912,173.5325477847843,52.528225806451616,17.818548387096772,512.970955141129,174.00926159274192,0,0,0,5.12970955141129e-07,1.7400926159274193e-07,248.0,2.3651123046874994e-14,2.753278237363117e-14,3.8957770037049774e-08,4.799318233228935e-08,3.1468857775371696e-08,4.054702357196514e-09,8.676627389239214e-08,1.5378921628929316e-07,1.577488933183721e-07,5.125654661565277e-08,1.6231350074420862e-07,4.395940060194966e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID003_LOC_RC001005-5.00x5.00-Z Height_Forward-251001-CRO_2665debb.tiff,4,267,18.437867513470433,180.0572999362347,150.90823970037454,14.312734082397,1473.7132783239701,139.7727937734082,0,0,0,1.47371327832397e-06,1.3977279377340822e-07,267.0,2.546310424804687e-14,2.816676532977573e-14,3.904119056370416e-08,4.737107038243879e-08,3.1214434347544616e-08,4.332466423364108e-09,9.002864996811735e-08,1.5957162732781437e-07,1.0829801174419843e-07,7.943214775755027e-08,1.3505862244899737e-07,6.528494696106158e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID003_LOC_RC001005-5.00x5.00-Z Height_Forward-251001-CRO_2665debb.tiff,5,645,28.65727667372076,279.8562175168043,382.85503875968993,20.771317829457363,3738.818737887597,202.84490067829455,0,0,0,3.7388187378875967e-06,2.0284490067829456e-07,645.0,6.151199340820311e-14,7.309525034146154e-14,3.79974660452557e-08,5.741740645901611e-08,3.1169096120078815e-08,5.666425539251504e-09,1.3992810875840215e-07,2.4801611521875574e-07,3.152105546455786e-07,8.456038314487394e-08,3.9181650493228437e-07,6.569125386367867e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID003_LOC_RC001005-5.00x5.00-Z Height_Forward-251001-CRO_2665debb.tiff,6,11,3.742410318509555,36.54697576669488,316.590909090909,11.227272727272725,3091.7080965909086,109.6413352272727,0,0,0,3.0917080965909085e-06,1.0964133522727271e-07,11.0,1.0490417480468747e-15,1.4248025093896299e-15,3.460463250118318e-08,3.818012925698811e-08,3.1359608757573435e-08,2.139661212610823e-09,1.8273487883347434e-08,3.238891396831445e-08,3.3708791815293574e-08,1.0692195137040258e-08,3.452713519181137e-08,9.765340963137379e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID003_LOC_RC001005-5.00x5.00-Z Height_Forward-251001-CRO_2665debb.tiff,7,1,1.1283791670955126,11.019327803667116,312.49999999999994,10.499999999999998,3051.7578124999995,102.53906249999999,0,0,0,3.0517578124999997e-06,1.0253906249999999e-07,1.0,9.536743164062498e-17,1.490533831828897e-16,3.1867408378635044e-08,3.1867408378635044e-08,3.1867408378635044e-08,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.9053396600250365e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID003_LOC_RC001005-5.00x5.00-Z Height_Forward-251001-CRO_2665debb.tiff,8,1,1.1283791670955126,11.019327803667116,306.49999999999994,11.499999999999998,2993.1640624999995,112.30468749999999,0,0,0,2.9931640624999996e-06,1.1230468749999999e-07,1.0,9.536743164062498e-17,1.0894939809977865e-16,3.197508701395749e-08,3.197508701395749e-08,3.197508701395749e-08,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.9053396600250365e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID003_LOC_RC001005-5.00x5.00-Z Height_Forward-251001-CRO_2665debb.tiff,9,242,17.55346033766304,171.42051110999063,305.43388429752065,28.94214876033058,2982.752776342975,282.6381714876033,0,0,0,2.982752776342975e-06,2.826381714876033e-07,242.0,2.3078918457031245e-14,6.081598550893228e-14,7.662644974952842e-08,1.7654521765094444e-07,3.1577751131692385e-08,3.785166805906408e-08,8.57102555549953e-08,1.5191747252054732e-07,1.493423436760391e-07,6.441533681393333e-08,1.703396533638596e-07,4.681472244017712e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID003_LOC_RC001005-5.00x5.00-Z Height_Forward-251001-CRO_2665debb.tiff,10,106,11.617374563210365,113.45092346885123,5.4905660377358485,22.971698113207545,53.61880896226415,224.33298938679243,0,0,0,5.361880896226415e-08,2.2433298938679245e-07,106.0,1.0108947753906247e-14,1.0890212032973529e-14,3.841321837984691e-08,4.775661724514103e-08,3.119714474389441e-08,4.808794871925466e-09,5.672546173442561e-08,1.0054326309557616e-07,6.70674600252993e-08,4.9282169639677404e-08,7.488248264249406e-08,4.2310665155510276e-08
