source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID004_LOC_RC001006-5.00x5.00-Z Height_Forward-251001-CRO_2ef8a184.tiff,1,164,14.450303987687134,141.11624987975716,454.6646341463415,26.48780487804878,4440.084317835366,258.6699695121951,0,0,0,4.440084317835366e-06,2.586699695121951e-07,164.0,1.5640258789062498e-14,1.8486122098836868e-14,3.5961545087896475e-08,4.981023779287726e-08,2.7776020573909546e-08,6.22825607482632e-09,7.055812493987857e-08,1.250610202623603e-07,1.087451530367021e-07,4.667329672761855e-08,1.1606353136140525e-07,4.8827020900069324e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID004_LOC_RC001006-5.00x5.00-Z Height_Forward-251001-CRO_2ef8a184.tiff,2,449,23.90992587997897,233.49536992166964,479.1770601336302,53.29287305122494,4679.463477867483,520.4382133908686,0,0,0,4.679463477867483e-06,5.204382133908686e-07,449.0,4.281997680664062e-14,8.849022761226893e-14,6.170176803503263e-08,1.117842584577063e-07,2.789094969473458e-08,2.299108970278268e-08,1.167476849608348e-07,2.0692988379313565e-07,2.3819111013396434e-07,6.14960322905115e-08,2.712058198844292e-07,5.567249095574378e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID004_LOC_RC001006-5.00x5.00-Z Height_Forward-251001-CRO_2ef8a184.tiff,3,72,9.574614729634384,93.50209696908577,508.6527777777777,74.66666666666666,4967.31228298611,729.1666666666666,0,0,0,4.967312282986111e-06,7.291666666666666e-07,72.0,6.866455078124998e-15,1.2429138177475296e-14,5.8041939993878604e-08,9.550694534914338e-08,2.8616775450147774e-08,2.0066399982318837e-08,4.675104848454289e-08,8.286407592029853e-08,5.506055211384048e-08,4.2838807472288206e-08,6.726521840048132e-08,3.438128794035129e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID004_LOC_RC001006-5.00x5.00-Z Height_Forward-251001-CRO_2ef8a184.tiff,4,8,3.1915382432114616,31.16736565636193,197.62499999999997,93.25,1929.9316406249998,910.64453125,0,0,0,1.9299316406249997e-06,9.1064453125e-07,8.0,7.629394531249998e-16,7.670184222267877e-16,2.7784436445010576e-08,2.7880927267968954e-08,2.7739647631714048e-08,5.621243251849999e-11,1.5583682828180962e-08,2.762135864009951e-08,2.220375392085166e-08,1.1453759358232394e-08,2.4414156016785595e-08,9.76534096313738e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID004_LOC_RC001006-5.00x5.00-Z Height_Forward-251001-CRO_2ef8a184.tiff,5,166,14.538148590038452,141.97410732459426,473.3915662650602,111.36746987951805,4622.9645143072285,1087.5729480421685,0,0,0,4.6229645143072284e-06,1.0875729480421686e-06,166.0,1.5830993652343747e-14,1.74556751877295e-14,3.65004668073078e-08,4.910731680950101e-08,2.775785780344528e-08,6.147151438692924e-09,7.098705366229712e-08,1.2582127662817503e-07,8.04477386817072e-08,6.350788021705627e-08,8.716553393706955e-08,5.7320191649818264e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID004_LOC_RC001006-5.00x5.00-Z Height_Forward-251001-CRO_2ef8a184.tiff,6,252,17.91246396432554,174.9264059016166,22.956349206349206,120.74206349206348,224.18309771825395,1179.1217137896824,0,0,0,2.2418309771825395e-07,1.1791217137896824e-06,252.0,2.4032592773437494e-14,2.431215033958562e-14,3.13203268599747e-08,3.5963845956104755e-08,2.7697448130964605e-08,1.9174049543064883e-09,8.746320295080829e-08,1.5502449088269084e-07,1.271492855355483e-07,6.082707927113516e-08,1.3330903263693363e-07,5.738493150264049e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID004_LOC_RC001006-5.00x5.00-Z Height_Forward-251001-CRO_2ef8a184.tiff,7,2,1.5957691216057308,15.583682828180965,460.5,116.0,4497.0703125,1132.8125,0,0,0,4.4970703125e-06,1.1328125e-06,2.0,1.9073486328124996e-16,2.1397302296778343e-16,2.96580521379653e-08,2.96580521379653e-08,2.96580521379653e-08,0.0,7.791841414090481e-09,1.3810679320049755e-08,1.1147109240018463e-08,5.5735546200092305e-09,1.0918300671385626e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID004_LOC_RC001006-5.00x5.00-Z Height_Forward-251001-CRO_2ef8a184.tiff,8,122,12.463355264843006,121.71245375823248,452.37704918032773,137.3934426229508,4417.744620901638,1341.732838114754,0,0,0,4.417744620901638e-06,1.341732838114754e-06,122.0,1.1634826660156247e-14,1.598762347496304e-14,3.763486634219447e-08,5.5702244090220275e-08,2.7715315286197423e-08,8.71183465687426e-09,6.085622687911624e-08,1.0786485368346933e-07,1.6097976880480826e-07,2.712471979079696e-08,1.7145587598925332e-07,2.9746005857695847e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID004_LOC_RC001006-5.00x5.00-Z Height_Forward-251001-CRO_2ef8a184.tiff,9,49,7.898654169668588,77.1352946256698,77.27551020408163,134.96938775510205,754.6436543367346,1318.0604272959183,0,0,0,7.546436543367346e-07,1.3180604272959184e-06,49.0,4.673004150390624e-15,4.795303738521298e-15,3.043029649107773e-08,3.3596147983815185e-08,2.7783092102899238e-08,1.7010778447585579e-09,3.85676473128349e-08,6.8359375e-08,4.742792481602014e-08,3.171799178571897e-08,5.027414744100549e-08,2.9296336162863906e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID004_LOC_RC001006-5.00x5.00-Z Height_Forward-251001-CRO_2ef8a184.tiff,10,10,3.5682482323055424,34.84617414360881,207.7,136.09999999999997,2028.3203124999998,1329.1015624999998,0,0,0,2.0283203125e-06,1.3291015624999998e-06,10.0,9.536743164062499e-16,9.592298001435041e-16,2.7950600954539902e-08,2.8347285145480692e-08,2.7720362804179415e-08,2.0906193266853146e-10,1.7423087071804404e-08,3.0881617775081825e-08,2.2551414740531254e-08,1.4212398377230596e-08,2.4663214923071415e-08,1.1440246734445754e-08
