source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID024_LOC_RC005021-5.00x5.00-Z Height_Forward-251001-CRO_e3230728.tiff,1,3,1.9544100476116797,19.08603562120781,0.5,29.499999999999993,4.8828125,288.08593749999994,0,0,0,4.8828124999999996e-09,2.8808593749999996e-07,3.0,2.8610229492187495e-16,3.6289436540236266e-16,2.1578610008996654e-08,2.1578610008996654e-08,2.1578610008996654e-08,0.0,9.543017810603905e-09,1.6914558667664815e-08,1.6720663860027693e-08,5.573554620009231e-09,1.5440808887540902e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID024_LOC_RC005021-5.00x5.00-Z Height_Forward-251001-CRO_e3230728.tiff,2,15,4.370193722368317,42.677673070003095,0.9666666666666666,36.89999999999999,9.440104166666666,360.35156249999994,0,0,0,9.440104166666667e-09,3.6035156249999997e-07,15.0,1.4305114746093746e-15,1.7436512367842107e-15,2.473959238712806e-08,3.117376335856461e-08,2.0991616761048823e-08,3.171035938239519e-09,2.1338836535001545e-08,3.78221029903068e-08,4.129098376659754e-08,1.2354813583593707e-08,4.421661150541011e-08,1.0374839927411347e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID024_LOC_RC005021-5.00x5.00-Z Height_Forward-251001-CRO_e3230728.tiff,3,41,7.225151993843567,70.55812493987858,24.45121951219512,37.231707317073166,238.78144054878047,363.59089176829264,0,0,0,2.387814405487805e-07,3.6359089176829265e-07,41.0,3.9100646972656245e-15,3.980673455998111e-15,2.220491120054375e-08,2.320982120510656e-08,2.0902559986605978e-08,7.289851440015767e-10,3.5279062469939287e-08,6.253051013118015e-08,5.3046746511979036e-08,2.448122094355255e-08,5.45917455784539e-08,2.3129251954803525e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID024_LOC_RC005021-5.00x5.00-Z Height_Forward-251001-CRO_e3230728.tiff,4,9,3.385137501286538,33.057983411001345,0.7222222222222221,46.83333333333333,7.0529513888888875,457.3567708333333,0,0,0,7.052951388888888e-09,4.573567708333333e-07,9.0,8.583068847656248e-16,1.048768669630676e-15,2.5246379897877312e-08,3.0640559007092264e-08,2.182928732288029e-08,2.775430169721356e-09,1.6528991705500673e-08,2.9296874999999997e-08,3.4996385037113925e-08,8.896176023221829e-09,3.452804378283851e-08,9.761992467870109e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID024_LOC_RC005021-5.00x5.00-Z Height_Forward-251001-CRO_e3230728.tiff,5,21,5.170882945826411,50.496903767836045,1.0714285714285712,57.166666666666664,10.46316964285714,558.2682291666666,0,0,0,1.0463169642857141e-08,5.582682291666666e-07,21.0,2.0027160644531244e-15,2.469312726410664e-15,2.4787024476378116e-08,2.991450240968131e-08,2.0930568862297657e-08,3.2500557517653657e-09,2.524845188391802e-08,4.475171577105312e-08,5.528752315671757e-08,1.2235530973983547e-08,4.9797716162111124e-08,1.0375050687002213e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID024_LOC_RC005021-5.00x5.00-Z Height_Forward-251001-CRO_e3230728.tiff,6,1,1.1283791670955126,11.019327803667116,4.499999999999999,64.5,43.94531249999999,629.8828125,0,0,0,4.3945312499999996e-08,6.298828125e-07,1.0,9.536743164062498e-17,1.0240105986756538e-16,2.0885787859504966e-08,2.0885787859504966e-08,2.0885787859504966e-08,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.905339660024887e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID024_LOC_RC005021-5.00x5.00-Z Height_Forward-251001-CRO_e3230728.tiff,7,1503,43.74561733176193,427.20329425548755,367.94910179640715,95.70026613439786,3593.2529472305387,934.5729114687291,1,1,0,3.5932529472305387e-06,9.345729114687291e-07,1503.0,1.4333724975585934e-13,1.5445921441261488e-13,3.5050952278706925e-08,5.5640326846729e-08,2.0847915434694402e-08,8.073630003255744e-09,2.1360164712774376e-07,3.785990620113306e-07,2.609609925575729e-07,1.8712286965232572e-07,2.874506623665631e-07,1.4373206553685412e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID024_LOC_RC005021-5.00x5.00-Z Height_Forward-251001-CRO_e3230728.tiff,8,98,11.170383851240114,109.08577979726674,6.122448979591836,88.61224489795919,59.78954081632653,865.3539540816327,0,0,0,5.978954081632653e-08,8.653539540816326e-07,98.0,9.346008300781248e-15,1.0726717073653335e-14,2.867550537913164e-08,4.3902059053755114e-08,2.0954600199749582e-08,6.084417738112774e-09,5.454288989863337e-08,9.667475524034828e-08,1.044069028548109e-07,3.0691698603280904e-08,1.0753702519943695e-07,2.9084345800850354e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID024_LOC_RC005021-5.00x5.00-Z Height_Forward-251001-CRO_e3230728.tiff,9,13,4.068428945128219,39.73075141726777,0.6538461538461539,113.96153846153845,6.385216346153846,1112.9056490384614,0,0,0,6.385216346153846e-09,1.1129056490384615e-06,13.0,1.2397766113281247e-15,1.4324547729218197e-15,2.4153470170746105e-08,2.8523665248207177e-08,2.1070522707969252e-08,2.5585456736120744e-09,1.986537570863388e-08,3.5210461674453015e-08,5.781001656039898e-08,7.94681923317169e-09,5.393273162005751e-08,9.76199246787011e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID024_LOC_RC005021-5.00x5.00-Z Height_Forward-251001-CRO_e3230728.tiff,10,7,2.985410660720923,29.154400983602766,472.78571428571416,121.21428571428571,4617.0479910714275,1183.7332589285713,0,0,0,4.617047991071428e-06,1.1837332589285712e-06,7.0,6.675720214843749e-16,6.723033498088664e-16,2.1251059137381467e-08,2.1485891386232637e-08,2.0976598786711033e-08,1.8706261989406082e-10,1.4577200491801383e-08,2.583741514711514e-08,2.248261601989755e-08,1.0170713237537465e-08,2.441417289735102e-08,9.761992467870112e-09
