source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID028_LOC_RC006010-5.00x5.00-Z Height_Forward-251001-CRO_ae75ceb0.tiff,1,141,13.398760233979036,130.84726790995154,23.790780141843967,5.670212765957446,232.331837322695,55.37317154255319,0,0,0,2.32331837322695e-07,5.537317154255319e-08,141.0,1.3446807861328122e-14,1.4094475599467227e-14,1.6455611521136948e-08,2.19843028546752e-08,1.0457821685256814e-08,3.5126987062870376e-09,6.542363395497575e-08,1.1596037194372964e-07,7.508541388598262e-08,5.89233593005016e-08,8.48630855442666e-08,5.046679125557247e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID028_LOC_RC006010-5.00x5.00-Z Height_Forward-251001-CRO_ae75ceb0.tiff,2,13,4.068428945128219,39.73075141726777,49.653846153846146,2.038461538461538,484.90084134615375,19.906850961538456,0,0,0,4.849008413461538e-07,1.9906850961538457e-08,13.0,1.2397766113281247e-15,1.5309995730154631e-15,1.2103694285995758e-08,1.3240197359655514e-08,1.0113982767458035e-08,1.0437313574662529e-09,1.986537570863388e-08,3.5210461674453015e-08,2.982716852699135e-08,1.5005869119120834e-08,3.4527373243367804e-08,1.4648176715750981e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID028_LOC_RC006010-5.00x5.00-Z Height_Forward-251001-CRO_ae75ceb0.tiff,3,497,25.15551736167189,245.65934923507706,85.22635814889334,9.592555331991951,832.2886537977865,93.67729816398389,0,0,0,8.322886537977865e-07,9.367729816398389e-08,497.0,4.7397613525390614e-14,7.96689541815559e-14,4.207137670913015e-08,1.075775571941434e-07,1.095480542492926e-08,2.4918337516437867e-08,1.228296746175385e-07,2.1770992978132764e-07,1.4602410735456844e-07,1.0765438466099779e-07,1.6728247667618093e-07,9.277337197239552e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID028_LOC_RC006010-5.00x5.00-Z Height_Forward-251001-CRO_ae75ceb0.tiff,4,901,33.87017611123954,330.7634385863236,281.56548279689235,20.037180910099885,2749.6629179384017,195.6755948251942,0,0,0,2.7496629179384017e-06,1.956755948251942e-07,901.0,8.59260559082031e-14,1.0618484968733706e-13,3.604048082349129e-08,8.57055507324648e-08,1.0037653138774982e-08,1.9383943727851274e-08,1.6538171929316181e-07,2.931314652305397e-07,1.7628943544065003e-07,1.5750572681054086e-07,1.9685598163820323e-07,1.332998619942005e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID028_LOC_RC006010-5.00x5.00-Z Height_Forward-251001-CRO_ae75ceb0.tiff,5,297,19.44613444328572,189.90365667271212,324.36195286195283,5.314814814814814,3167.597195917508,51.90248842592592,0,0,0,3.1675971959175083e-06,5.190248842592592e-08,297.0,2.832412719726562e-14,3.3011891549832577e-14,2.9000349724522695e-08,4.9203561504831124e-08,1.0095431478630936e-08,9.760557335911712e-09,9.495182833635607e-08,1.682977337852938e-07,1.5349811195951045e-07,6.48387984982234e-08,1.6608779579878515e-07,6.775334175328548e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID028_LOC_RC006010-5.00x5.00-Z Height_Forward-251001-CRO_ae75ceb0.tiff,6,49,7.898654169668588,77.1352946256698,350.3163265306122,2.765306122448979,3421.0578762755094,27.004942602040813,0,0,0,3.4210578762755096e-06,2.7004942602040814e-08,49.0,4.673004150390624e-15,4.786013019319544e-15,1.3369803839761578e-08,1.6669626546620718e-08,1.0131528356543335e-08,2.1380932005541405e-09,3.85676473128349e-08,6.8359375e-08,4.8200932194404643e-08,3.142461012396714e-08,5.0274168659719914e-08,2.929644562431821e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID028_LOC_RC006010-5.00x5.00-Z Height_Forward-251001-CRO_ae75ceb0.tiff,7,348,21.049640414216977,205.56289467008767,371.8563218390804,9.198275862068964,3631.40939295977,89.82691271551724,0,0,0,3.63140939295977e-06,8.982691271551724e-08,348.0,3.3187866210937494e-14,3.7658218051357855e-14,2.352163818972559e-08,4.4209686229108035e-08,1.0316384924264221e-08,8.933569679470943e-09,1.0278144733504382e-07,1.821753721306409e-07,1.388448557122998e-07,7.962387508647871e-08,1.3751162296683448e-07,6.72016526746509e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID028_LOC_RC006010-5.00x5.00-Z Height_Forward-251001-CRO_ae75ceb0.tiff,8,53,8.214724333230155,80.22191731670073,497.8396226415094,2.839622641509434,4861.71506485849,27.730689858490564,0,0,0,4.86171506485849e-06,2.7730689858490562e-08,53.0,5.054473876953124e-15,5.36855803866253e-15,1.5739805140401506e-08,2.2573435816878723e-08,1.0216354680464928e-08,3.2534457661586627e-09,4.011095865835037e-08,7.109482313750505e-08,4.825538960131247e-08,3.5330659290736013e-08,5.647381139861576e-08,3.018581789290732e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID028_LOC_RC006010-5.00x5.00-Z Height_Forward-251001-CRO_ae75ceb0.tiff,9,112,11.941642642883693,116.61760393441106,409.88392857142856,9.303571428571427,4002.772739955357,90.85518973214285,0,0,0,4.002772739955357e-06,9.085518973214285e-08,112.0,1.0681152343749998e-14,1.1357820231755627e-14,1.6937375943118666e-08,2.3407937757803204e-08,1.0068020670698212e-08,3.773071121700631e-09,5.830880196720553e-08,1.0334966058846056e-07,6.467798927097606e-08,5.287183720144664e-08,6.803044874964902e-08,4.89500313273462e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID028_LOC_RC006010-5.00x5.00-Z Height_Forward-251001-CRO_ae75ceb0.tiff,10,570,26.939683377854365,263.082845486859,432.62807017543855,26.84912280701754,4224.883497807017,262.19846491228066,0,0,0,4.224883497807017e-06,2.621984649122807e-07,570.0,5.435943603515624e-14,5.871458163233347e-14,2.145644980227059e-08,3.747544313947347e-08,1.0035615872840212e-08,7.68939080183489e-09,1.315414227434295e-07,2.3315110129518205e-07,1.9322874219264383e-07,9.352638161462733e-08,1.9947978067770585e-07,7.92467229248705e-08
