source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID030_LOC_RC006012-5.00x5.00-Z Height_Forward-251001-CRO_1c64da64.tiff,1,257,18.089294154193436,176.65326322454527,241.16926070038915,12.527237354085601,2355.1685615272377,122.3363022859922,0,0,0,2.3551685615272375e-06,1.223363022859922e-07,257.0,2.450942993164062e-14,2.588560871998308e-14,2.559655206952744e-08,3.583597041508699e-08,1.7295884782213778e-08,5.657916555784684e-09,8.832663161227264e-08,1.565548783386855e-07,1.2004374276622498e-07,6.559433946790149e-08,1.2558054135362627e-07,6.347577814216952e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID030_LOC_RC006012-5.00x5.00-Z Height_Forward-251001-CRO_1c64da64.tiff,2,38,6.955796338302048,67.92769861623094,205.28947368421052,8.605263157894736,2004.7800164473683,84.03577302631578,0,0,0,2.0047800164473683e-06,8.403577302631577e-08,38.0,3.623962402343749e-15,4.114657742720293e-15,2.0965486475346127e-08,2.4900354300557616e-08,1.726148959224499e-08,2.6702602735719355e-09,3.396384930811547e-08,6.01993554977439e-08,4.9267833454984434e-08,2.3861757353832116e-08,5.027206089831306e-08,1.9614865655737168e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID030_LOC_RC006012-5.00x5.00-Z Height_Forward-251001-CRO_1c64da64.tiff,3,106,11.617374563210365,113.45092346885123,224.35849056603774,11.537735849056602,2191.0008844339623,112.67320165094338,0,0,0,2.191000884433962e-06,1.1267320165094338e-07,106.0,1.0108947753906247e-14,1.1671195377657372e-14,2.354039893825564e-08,3.438974949227111e-08,1.7144312622228634e-08,4.869556822454301e-09,5.672546173442561e-08,1.0054326309557616e-07,8.287426551678952e-08,3.976295182950286e-08,8.527675370367177e-08,3.767440436491535e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID030_LOC_RC006012-5.00x5.00-Z Height_Forward-251001-CRO_1c64da64.tiff,4,200,15.957691216057308,155.83682828180966,395.24499999999995,15.565,3859.8144531249995,152.001953125,0,0,0,3.859814453125e-06,1.52001953125e-07,200.0,1.9073486328124997e-14,1.9578619252748064e-14,2.0542419733059493e-08,2.6549591414268854e-08,1.726557395912605e-08,2.173461052706072e-09,7.791841414090482e-08,1.3810679320049757e-07,9.846219382037457e-08,7.159196549518646e-08,1.1177461865480097e-07,3.733814315969106e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID030_LOC_RC006012-5.00x5.00-Z Height_Forward-251001-CRO_1c64da64.tiff,5,108,11.726460285670077,114.51621372724685,267.69444444444446,13.388888888888888,2614.203559027778,130.75086805555554,0,0,0,2.614203559027778e-06,1.3075086805555554e-07,108.0,1.0299682617187498e-14,1.0542336564161315e-14,2.0279246630441277e-08,2.41603944093148e-08,1.7176950104601845e-08,1.959812416548612e-09,5.725810686362343e-08,1.0148735200598889e-07,6.037281145977724e-08,5.513605827574262e-08,7.025784417521469e-08,4.697600451968709e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID030_LOC_RC006012-5.00x5.00-Z Height_Forward-251001-CRO_1c64da64.tiff,6,41,7.225151993843567,70.55812493987858,194.18292682926827,27.01219512195122,1896.317644817073,263.7909679878049,0,0,0,1.896317644817073e-06,2.6379096798780487e-07,41.0,3.9100646972656245e-15,6.08344290561484e-15,2.6722095761667924e-08,3.386337802686643e-08,1.736854318695676e-08,4.703996319844457e-09,3.5279062469939287e-08,6.253051013118015e-08,7.948246599914904e-08,1.6452170989121505e-08,7.720544017076796e-08,1.4648437499999999e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID030_LOC_RC006012-5.00x5.00-Z Height_Forward-251001-CRO_1c64da64.tiff,7,27,5.863230142835039,57.258106863623425,1.1666666666666665,30.722222222222218,11.393229166666664,300.02170138888886,0,0,0,1.1393229166666665e-08,3.0002170138888885e-07,27.0,2.5749206542968744e-15,2.874018049941646e-15,2.096312525346016e-08,2.9206367208137176e-08,1.7240233531979425e-08,3.7415828804613974e-09,2.8629053431811714e-08,5.0743676002994444e-08,6.130411054354187e-08,1.4523246475774057e-08,6.366572262284436e-08,1.4647898662863907e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID030_LOC_RC006012-5.00x5.00-Z Height_Forward-251001-CRO_1c64da64.tiff,8,199,15.91774699517169,155.44674799972353,216.13316582914572,39.32914572864321,2110.675447550251,384.0736887562814,0,0,0,2.110675447550251e-06,3.840736887562814e-07,199.0,1.897811889648437e-14,2.0021641881977997e-14,2.3934509242720214e-08,3.372111626994867e-08,1.7143894566604767e-08,4.7694153574406e-09,7.772337399986177e-08,1.3776109355142465e-07,9.236746338733047e-08,6.888777066056792e-08,1.0757575348987362e-07,5.648069220393658e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID030_LOC_RC006012-5.00x5.00-Z Height_Forward-251001-CRO_1c64da64.tiff,9,322,20.248040236149336,197.73476793114585,280.751552795031,37.26708074534161,2741.7143827639748,363.9363354037267,0,0,0,2.741714382763975e-06,3.6393633540372667e-07,322.0,3.070831298828124e-14,3.150108879332021e-14,2.238755027836202e-08,3.0803962312481396e-08,1.7233634449687042e-08,2.7501518870492214e-09,9.886738396557291e-08,1.7523787543873397e-07,1.734694832244102e-07,6.025387645362679e-08,1.6785753004668534e-07,5.688125519812074e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID030_LOC_RC006012-5.00x5.00-Z Height_Forward-251001-CRO_1c64da64.tiff,10,24,5.527906391541368,53.98346085489617,1.0833333333333335,45.37499999999999,10.579427083333334,443.11523437499994,0,0,0,1.0579427083333334e-08,4.4311523437499994e-07,24.0,2.2888183593749996e-15,2.4970679581064484e-15,2.241676072810992e-08,2.7906496469000652e-08,1.7237235954473382e-08,3.120199292571217e-09,2.6991730427448084e-08,4.784159653873394e-08,6.049486670637829e-08,1.3386585782624818e-08,6.366451616856057e-08,1.4647898662863907e-08
