source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID031_LOC_RC006016-5.00x5.00-Z Height_Forward-251001-CRO_a550127e.tiff,1,91,10.764051215546116,105.11768765181755,6.005494505494505,5.862637362637362,58.647407280219774,57.25231799450549,0,0,0,5.864740728021978e-08,5.725231799450549e-08,91.0,8.678436279296874e-15,9.029371271913259e-15,1.7690727812706406e-08,2.3014486688995617e-08,1.3349523279036125e-08,2.9837982131093625e-09,5.255884382590877e-08,9.315812513837359e-08,5.793509520022083e-08,4.8456736178548845e-08,6.366675033487621e-08,4.227239473753667e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID031_LOC_RC006016-5.00x5.00-Z Height_Forward-251001-CRO_a550127e.tiff,2,39,7.046725639945928,68.81568007759695,139.26923076923077,1.217948717948718,1360.0510817307693,11.894030448717949,0,0,0,1.3600510817307692e-06,1.1894030448717949e-08,39.0,3.719329833984374e-15,6.951274120413549e-15,3.4035974123914726e-08,6.127098283767762e-08,1.3976686725394906e-08,1.370922689327048e-08,3.440784003879848e-08,6.098630857810935e-08,8.33565583006245e-08,1.5123575442933824e-08,8.802648896346283e-08,1.4648437499999999e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID031_LOC_RC006016-5.00x5.00-Z Height_Forward-251001-CRO_a550127e.tiff,3,203,16.07692842495848,157.00125414998516,210.21921182266007,3.041871921182266,2052.921990455665,29.705780480295566,0,0,0,2.052921990455665e-06,2.9705780480295564e-08,203.0,1.9359588623046872e-14,2.0937358096167398e-14,2.189068220244914e-08,4.6658851312385304e-08,1.3144147644409685e-08,8.04019583359059e-09,7.850062707499258e-08,1.3913873875756842e-07,2.0530434144369014e-07,3.533974946599725e-08,1.9168124933086458e-07,3.417890314216951e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID031_LOC_RC006016-5.00x5.00-Z Height_Forward-251001-CRO_a550127e.tiff,4,4,2.256758334191025,22.03865560733423,207.99999999999997,7.5,2031.2499999999998,73.2421875,0,0,0,2.03125e-06,7.32421875e-08,4.0,3.814697265624999e-16,3.8809087975330313e-16,1.366277212372031e-08,1.3959825989667635e-08,1.3144147644409685e-08,3.3583890130142126e-10,1.1019327803667115e-08,1.9531249999999998e-08,1.6232122770097598e-08,7.991119038803e-09,1.760523083722676e-08,5.7175417222762235e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID031_LOC_RC006016-5.00x5.00-Z Height_Forward-251001-CRO_a550127e.tiff,5,14,4.222008245644752,41.23054927387454,246.28571428571428,11.857142857142856,2405.1339285714284,115.79241071428571,0,0,0,2.4051339285714282e-06,1.157924107142857e-07,14.0,1.3351440429687497e-15,1.348616669856351e-15,1.3669436096386718e-08,1.4283230072257744e-08,1.3059751568055614e-08,4.1808514202112397e-10,2.0615274636937265e-08,3.653962291771427e-08,2.3502666779894563e-08,1.8597639158974075e-08,2.6295937822330657e-08,1.5139062381953742e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID031_LOC_RC006016-5.00x5.00-Z Height_Forward-251001-CRO_a550127e.tiff,6,17,4.652426491681278,45.43385245782498,509.14705882352933,12.02941176470588,4972.139246323529,117.47472426470587,0,0,0,4.972139246323529e-06,1.1747472426470587e-07,17.0,1.6212463378906247e-15,1.6267857665537573e-15,1.3418775541378414e-08,1.381160866264564e-08,1.3000383072410925e-08,2.8716402675840794e-10,2.271692622891249e-08,4.0264703375172463e-08,3.39806491495285e-08,1.577155916666986e-08,3.521100140614191e-08,1.4648308536272938e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID031_LOC_RC006016-5.00x5.00-Z Height_Forward-251001-CRO_a550127e.tiff,7,15,4.370193722368317,42.677673070003095,254.43333333333334,14.23333333333333,2484.7005208333335,138.99739583333331,0,0,0,2.4847005208333333e-06,1.3899739583333331e-07,15.0,1.4305114746093746e-15,1.4356959828247042e-15,1.3501959320180617e-08,1.3964643759237329e-08,1.2993122861419546e-08,3.004316309021289e-10,2.1338836535001545e-08,3.78221029903068e-08,2.5923570100699654e-08,1.8062645702066643e-08,2.8472799607692967e-08,1.5139062381953742e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID031_LOC_RC006016-5.00x5.00-Z Height_Forward-251001-CRO_a550127e.tiff,8,21,5.170882945826411,50.496903767836045,189.88095238095235,14.928571428571425,1854.3061755952378,145.78683035714283,0,0,0,1.8543061755952378e-06,1.4578683035714284e-07,21.0,2.0027160644531244e-15,2.0288834742310848e-15,1.4312913131260953e-08,1.513222042628167e-08,1.3226253392204007e-08,6.869346772418967e-10,2.524845188391802e-08,4.475171577105312e-08,3.086644771435971e-08,2.0930710258727267e-08,3.2755862716937496e-08,1.9531249999999998e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID031_LOC_RC006016-5.00x5.00-Z Height_Forward-251001-CRO_a550127e.tiff,9,102,11.396070970426017,111.28975557056657,476.69607843137254,22.08823529411765,4655.235140931372,215.70542279411765,0,0,0,4.655235140931372e-06,2.1570542279411764e-07,102.0,9.727478027343747e-15,9.781399566260467e-15,1.4382756492559192e-08,1.5819928882658685e-08,1.2991489085909338e-08,8.459763342194068e-10,5.564487778528329e-08,9.862797791369215e-08,6.843866041478987e-08,4.5740892585957135e-08,7.262885739194957e-08,4.212027032922992e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID031_LOC_RC006016-5.00x5.00-Z Height_Forward-251001-CRO_a550127e.tiff,10,6,2.763953195770684,26.991730427448086,511.16666666666663,22.666666666666664,4991.861979166666,221.35416666666666,0,0,0,4.991861979166666e-06,2.2135416666666666e-07,6.0,5.722045898437499e-16,5.7828076650064385e-16,1.38232778134013e-08,1.4601128342381359e-08,1.3397570179088428e-08,4.6064056697482936e-10,1.3495865213724042e-08,2.392079826936697e-08,2.1090761680058226e-08,9.4297369765703e-09,2.184023855317384e-08,9.761992467870109e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID031_LOC_RC006016-5.00x5.00-Z Height_Forward-251001-CRO_a550127e.tiff,11,143,13.493452297211721,131.7719950899582,245.10139860139856,28.877622377622377,2393.568345716783,282.00803103146853,0,0,0,2.393568345716783e-06,2.820080310314685e-07,143.0,1.3637542724609372e-14,1.4191168952955581e-14,1.8595938151934086e-08,2.2769005375084283e-08,1.2972347412534485e-08,2.5489153180888453e-09,6.58859975449791e-08,1.1677989006934958e-07,7.508073637773907e-08,5.8631436746501926e-08,8.343773960956585e-08,5.299841422424884e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID031_LOC_RC006016-5.00x5.00-Z Height_Forward-251001-CRO_a550127e.tiff,12,168,14.625465582862905,142.82681233264555,445.31547619047615,35.99404761904761,4348.783947172618,351.50437127976187,0,0,0,4.348783947172619e-06,3.5150437127976187e-07,168.0,1.6021728515624995e-14,1.6452717775501434e-14,1.7142822286838506e-08,2.0741279818637246e-08,1.2975278785260751e-08,2.2863822332241407e-09,7.141340616632276e-08,1.265769667657785e-07,1.1782295031337551e-07,4.378849091309416e-08,1.1970398918998873e-07,4.01153705325827e-08
