source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID035_LOC_RC008008-5.00x5.00-Z Height_Forward-251001-CRO_73f6652e.tiff,1,1,1.1283791670955126,11.019327803667116,235.5,0.5,2299.8046875,4.8828125,0,0,0,2.2998046875e-06,4.8828124999999996e-09,1.0,9.536743164062498e-17,9.562214649116473e-17,1.2588981818850684e-08,1.2588981818850684e-08,1.2588981818850684e-08,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.9053396600250365e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID035_LOC_RC008008-5.00x5.00-Z Height_Forward-251001-CRO_73f6652e.tiff,2,10,3.5682482323055424,34.84617414360881,239.19999999999996,1.1,2335.9374999999995,10.7421875,0,0,0,2.3359374999999996e-06,1.07421875e-08,10.0,9.536743164062499e-16,9.590850639227713e-16,1.3017595020537197e-08,1.3941879369372862e-08,1.2508169538414997e-08,4.6293308101402576e-10,1.7423087071804404e-08,3.0881617775081825e-08,2.4830045359410164e-08,1.3111725310385584e-08,2.6294958568125242e-08,1.0374839927411348e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID035_LOC_RC008008-5.00x5.00-Z Height_Forward-251001-CRO_73f6652e.tiff,3,3,1.9544100476116797,19.08603562120781,405.49999999999994,0.5,3959.9609374999995,4.8828125,0,0,0,3.9599609375e-06,4.8828124999999996e-09,3.0,2.8610229492187495e-16,3.1445258220464135e-16,1.3489376740429123e-08,1.4618499602951401e-08,1.2379296890866207e-08,9.142498468541846e-10,9.543017810603905e-09,1.6914558667664815e-08,1.6720663860027693e-08,5.573554620009231e-09,1.544080888754115e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID035_LOC_RC008008-5.00x5.00-Z Height_Forward-251001-CRO_73f6652e.tiff,4,3,1.9544100476116797,19.08603562120781,243.49999999999994,7.5,2377.9296874999995,73.2421875,0,0,0,2.3779296874999997e-06,7.32421875e-08,3.0,2.8610229492187495e-16,3.11427206403716e-16,1.3334102009116563e-08,1.3668206999797238e-08,1.2857774962005635e-08,3.4580375645848627e-10,9.543017810603905e-09,1.6914558667664815e-08,1.6720663860027693e-08,5.573554620009231e-09,1.5440808887540985e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID035_LOC_RC008008-5.00x5.00-Z Height_Forward-251001-CRO_73f6652e.tiff,5,2,1.5957691216057308,15.583682828180965,245.49999999999994,8.0,2397.4609374999995,78.125,0,0,0,2.3974609374999997e-06,7.812499999999999e-08,2.0,1.9073486328124996e-16,1.9838513241168763e-16,1.2610295739564494e-08,1.2786714105526225e-08,1.2433877373602762e-08,1.7641836596173162e-10,7.791841414090481e-09,1.3810679320049755e-08,1.1147109240018463e-08,5.5735546200092305e-09,1.0918300671385792e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID035_LOC_RC008008-5.00x5.00-Z Height_Forward-251001-CRO_73f6652e.tiff,6,21,5.170882945826411,50.496903767836045,289.49999999999994,10.119047619047619,2827.1484374999995,98.8188244047619,0,0,0,2.8271484374999996e-06,9.88188244047619e-08,21.0,2.0027160644531244e-15,2.0378382684707153e-15,1.3735297703025995e-08,1.5196196854654095e-08,1.2323352678102698e-08,9.49734264806541e-10,2.524845188391802e-08,4.475171577105312e-08,3.491646678243778e-08,1.8699005199341712e-08,3.8147449134369864e-08,1.5140332022167393e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID035_LOC_RC008008-5.00x5.00-Z Height_Forward-251001-CRO_73f6652e.tiff,7,69,9.373021315815206,91.53341128725788,255.80434782608697,16.963768115942027,2498.0893342391305,165.66179800724635,0,0,0,2.4980893342391304e-06,1.6566179800724634e-07,69.0,6.580352783203123e-15,6.675939520654859e-15,1.4572654070419452e-08,1.6964115731534207e-08,1.234201087903928e-08,1.3284257712921325e-09,4.5766705643628934e-08,8.111937366130932e-08,6.62489502959852e-08,3.293332565705803e-08,7.260300583728929e-08,3.4176054967870103e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID035_LOC_RC008008-5.00x5.00-Z Height_Forward-251001-CRO_73f6652e.tiff,8,110,11.834540545406394,115.57168501373432,290.82727272727266,22.47272727272727,2840.110085227272,219.46022727272725,0,0,0,2.8401100852272723e-06,2.1946022727272726e-07,110.0,1.0490417480468748e-14,1.4805730097480288e-14,2.5867889872372614e-08,4.621577827479164e-08,1.23439324921281e-08,1.089933512631762e-08,5.7785842506867164e-08,1.0242273907911635e-07,9.528062529582412e-08,3.6079525277419715e-08,1.0449698300330511e-07,3.45257293118616e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID035_LOC_RC008008-5.00x5.00-Z Height_Forward-251001-CRO_73f6652e.tiff,9,20,5.046265044040321,49.27993207070626,264.6,27.649999999999995,2583.984375,270.01953124999994,0,0,0,2.583984375e-06,2.7001953124999995e-07,20.0,1.9073486328124997e-15,1.9341117838568e-15,1.3303853498618445e-08,1.4630475310362806e-08,1.2352762004013072e-08,5.831798927074396e-10,2.4639966035353124e-08,4.367320268554276e-08,3.2668374216759436e-08,2.134269685777713e-08,3.866582348416411e-08,1.499811192520108e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID035_LOC_RC008008-5.00x5.00-Z Height_Forward-251001-CRO_73f6652e.tiff,10,37,6.863662517577698,67.0279542732197,286.33783783783775,31.93243243243243,2796.2679476351345,311.84016047297297,0,0,0,2.7962679476351346e-06,3.1184016047297294e-07,37.0,3.5285949707031243e-15,3.648891430021904e-15,1.4641882282910828e-08,1.6948733520474733e-08,1.2471714508380998e-08,1.4056853795022633e-09,3.351397713660985e-08,5.9401977834943545e-08,4.8081725759142455e-08,2.4266870421403993e-08,5.2590497175227346e-08,2.053046469208671e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID035_LOC_RC008008-5.00x5.00-Z Height_Forward-251001-CRO_73f6652e.tiff,11,63,8.95623198216277,87.4632029508083,470.563492063492,31.579365079365076,4595.346602182539,308.3922371031746,0,0,0,4.595346602182539e-06,3.083922371031746e-07,63.0,6.0081481933593736e-15,6.252850648403724e-15,1.5960273596206394e-08,1.9736958250563566e-08,1.2366830962050844e-08,2.2073029159131833e-09,4.373160147540414e-08,7.751224544134542e-08,4.783186081803533e-08,4.042343748770211e-08,5.2934176329432335e-08,3.5320432529344916e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID035_LOC_RC008008-5.00x5.00-Z Height_Forward-251001-CRO_73f6652e.tiff,12,8,3.1915382432114616,31.16736565636193,271.37499999999994,33.99999999999999,2650.1464843749995,332.03124999999994,0,0,0,2.6501464843749996e-06,3.3203124999999997e-07,8.0,7.629394531249998e-16,7.711999338794179e-16,1.2669673185233065e-08,1.3143574970194282e-08,1.2371810482230917e-08,3.326382598759155e-10,1.5583682828180962e-08,2.762135864009951e-08,1.8484780565504066e-08,1.4128818007691402e-08,2.183828130465613e-08,1.037524421248005e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID035_LOC_RC008008-5.00x5.00-Z Height_Forward-251001-CRO_73f6652e.tiff,13,14,4.222008245644752,41.23054927387454,321.4285714285714,36.35714285714285,3138.9508928571427,355.0502232142856,0,0,0,3.138950892857143e-06,3.5505022321428563e-07,14.0,1.3351440429687497e-15,1.3514904691363357e-15,1.3134529170999103e-08,1.445739891346268e-08,1.2388975657599304e-08,5.494423417511611e-10,2.0615274636937265e-08,3.653962291771427e-08,2.688718307136231e-08,1.6175110433728746e-08,2.8471870184996687e-08,1.4648437499999999e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID035_LOC_RC008008-5.00x5.00-Z Height_Forward-251001-CRO_73f6652e.tiff,14,2,1.5957691216057308,15.583682828180965,318.5,37.99999999999999,3110.3515625,371.09374999999994,0,0,0,3.1103515625e-06,3.7109374999999997e-07,2.0,1.9073486328124996e-16,1.9460032867732406e-16,1.2795857459847419e-08,1.2795857459847419e-08,1.2795857459847419e-08,0.0,7.791841414090481e-09,1.3810679320049755e-08,1.1147109240018463e-08,5.5735546200092305e-09,1.0918300671385768e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID035_LOC_RC008008-5.00x5.00-Z Height_Forward-251001-CRO_73f6652e.tiff,15,49,7.898654169668588,77.1352946256698,486.7653061224489,41.21428571428571,4753.5674426020405,402.4832589285714,0,0,0,4.7535674426020405e-06,4.024832589285714e-07,49.0,4.673004150390624e-15,4.7117569942681465e-15,1.3953708896279494e-08,1.561327440440461e-08,1.2452647983075454e-08,1.0407473752290744e-09,3.85676473128349e-08,6.8359375e-08,4.470202242800599e-08,3.379653932279605e-08,4.809244247814072e-08,2.967187148608269e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID035_LOC_RC008008-5.00x5.00-Z Height_Forward-251001-CRO_73f6652e.tiff,16,7,2.985410660720923,29.154400983602766,307.2142857142857,45.64285714285714,3000.1395089285716,445.7310267857143,0,0,0,3.0001395089285713e-06,4.457310267857143e-07,7.0,6.675720214843749e-16,9.146144193136692e-16,1.572072022846733e-08,1.7953706752527842e-08,1.3033741358961889e-08,2.0972579887095463e-09,1.4577200491801383e-08,2.583741514711514e-08,1.7738634393347757e-08,1.2856740390864868e-08,2.071685968072778e-08,9.765196474468546e-09
