source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID039_LOC_RC010006-5.00x5.00-Z Height_Forward-251001-CRO_24cecd9a.tiff,1,144,13.540550005146152,132.23193364400538,506.29166666666663,5.638888888888889,4944.254557291666,55.06727430555556,0,0,0,4.944254557291666e-06,5.5067274305555556e-08,144.0,1.3732910156249997e-14,1.6364448495788716e-14,2.8216464685092128e-08,4.504066619428317e-08,1.3657800557321049e-08,6.473503518260597e-09,6.611596682200269e-08,1.1718749999999999e-07,8.647392294506994e-08,5.4030958710122984e-08,1.0358111050147526e-07,4.88279176097767e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID039_LOC_RC010006-5.00x5.00-Z Height_Forward-251001-CRO_24cecd9a.tiff,2,14,4.222008245644752,41.23054927387454,360.85714285714283,17.285714285714285,3523.9955357142853,168.80580357142856,0,0,0,3.523995535714285e-06,1.6880580357142855e-07,14.0,1.3351440429687497e-15,1.3561043720259497e-15,1.409822336943596e-08,1.4827970412649475e-08,1.3228939726429257e-08,5.641655895515587e-10,2.0615274636937265e-08,3.653962291771427e-08,2.350266677989456e-08,1.8597639158974075e-08,2.6295937822330746e-08,1.5139062381953742e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID039_LOC_RC010006-5.00x5.00-Z Height_Forward-251001-CRO_24cecd9a.tiff,3,110,11.834540545406394,115.57168501373432,201.84545454545452,42.60909090909091,1971.1470170454543,416.1044034090909,0,0,0,1.971147017045454e-06,4.161044034090909e-07,110.0,1.0490417480468748e-14,1.0954747668545734e-14,1.8845521841167732e-08,2.4815899489302065e-08,1.3221721299136819e-08,3.4015928665155126e-09,5.7785842506867164e-08,1.0242273907911635e-07,6.428392354930839e-08,5.218281192097071e-08,6.801011122968064e-08,4.921011503437061e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID039_LOC_RC010006-5.00x5.00-Z Height_Forward-251001-CRO_24cecd9a.tiff,4,57,8.51907589177983,83.19410050566239,264.35964912280696,41.2719298245614,2581.6371984649118,403.0461896929824,0,0,0,2.581637198464912e-06,4.030461896929824e-07,57.0,5.435943603515624e-15,5.486807276106601e-15,1.4808373110211856e-08,1.6762335224672252e-08,1.325799741020416e-08,1.1430580413011823e-09,4.159705025283119e-08,7.372885190694091e-08,4.5257078552388935e-08,3.8625817825087544e-08,4.838690733418689e-08,3.4357867120851726e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID039_LOC_RC010006-5.00x5.00-Z Height_Forward-251001-CRO_24cecd9a.tiff,5,737,30.632948674096244,299.1498893954711,249.31411126187243,85.08344640434193,2434.708117791723,830.8930312924016,0,0,0,2.434708117791723e-06,8.308930312924016e-07,737.0,7.02857971191406e-14,7.114249976930061e-14,1.8266089658243076e-08,2.472097683649335e-08,1.3208171039381338e-08,2.959158870212987e-09,1.4957494469773558e-07,2.6511468672848097e-07,2.0828590746250238e-07,1.118712000576456e-07,1.9837142689050274e-07,1.0111366729137872e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID039_LOC_RC010006-5.00x5.00-Z Height_Forward-251001-CRO_24cecd9a.tiff,6,3876,70.2500994689224,686.0361276261954,394.1019091847265,122.8501031991744,3848.6514568820944,1199.7080390544374,0,0,0,3.848651456882094e-06,1.1997080390544375e-06,3876.0,3.696441650390624e-13,4.120840466626024e-13,2.1115736472145916e-08,7.350882769222016e-08,1.3207033735162693e-08,1.0634371956709315e-08,3.430180638130976e-07,6.079836881356789e-07,4.910498433493175e-07,3.4624643980432234e-07,5.050452819942025e-07,1.761199860952012e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID039_LOC_RC010006-5.00x5.00-Z Height_Forward-251001-CRO_24cecd9a.tiff,7,73,9.640875829802336,94.14917802541345,11.883561643835616,80.30821917808218,116.05040667808218,784.2599529109589,0,0,0,1.1605040667808218e-07,7.842599529109589e-07,73.0,6.9618225097656234e-15,7.065011847937581e-15,1.5897325989677707e-08,1.8751380920888078e-08,1.3245502122500319e-08,1.5907767062619973e-09,4.707458901270671e-08,8.343753657536651e-08,5.1220142239610285e-08,4.376802978509237e-08,5.459739594709287e-08,3.906221917058461e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID039_LOC_RC010006-5.00x5.00-Z Height_Forward-251001-CRO_24cecd9a.tiff,8,45,7.569397566060481,73.91989810605938,436.2333333333334,82.69999999999999,4260.091145833334,807.6171874999999,0,0,0,4.2600911458333335e-06,8.076171874999999e-07,45.0,4.291534423828124e-15,4.322313094670875e-15,1.4374220414483538e-08,1.6161967349426798e-08,1.3332059385295282e-08,7.616575338420045e-10,3.695994905302969e-08,6.550980402831414e-08,4.8058630912707695e-08,2.9801553137971897e-08,5.459194641985718e-08,2.6815061989003013e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID039_LOC_RC010006-5.00x5.00-Z Height_Forward-251001-CRO_24cecd9a.tiff,9,74,9.706684619910241,94.79184199131095,42.99999999999999,87.63513513513513,419.92187499999994,855.811866554054,0,0,0,4.1992187499999994e-07,8.55811866554054e-07,74.0,7.0571899414062485e-15,7.128733047006197e-15,1.5222992340278282e-08,1.7488854749313722e-08,1.3237460495652422e-08,1.2736969710431372e-09,4.7395920995655476e-08,8.400708268596315e-08,5.370111936185485e-08,4.252916906101819e-08,5.834166713806755e-08,3.816165168242925e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID039_LOC_RC010006-5.00x5.00-Z Height_Forward-251001-CRO_24cecd9a.tiff,10,554,26.558891313141824,259.3641729799006,75.87184115523465,104.73104693140793,740.9359487815884,1022.7641301895306,0,0,0,7.409359487815885e-07,1.0227641301895307e-06,554.0,5.283355712890624e-14,5.667240683160998e-14,2.6574053334438125e-08,3.8884353627599556e-08,1.3549894380082025e-08,6.874503978462663e-09,1.296820864899503e-07,2.2985551359257459e-07,1.6712790883703293e-07,1.0153721723116019e-07,1.7469443200071645e-07,9.119959313610062e-08
