source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID042_LOC_RC010012-5.00x5.00-Z Height_Forward-251001-CRO_06675601.tiff,1,13,4.068428945128219,39.73075141726777,25.884615384615383,10.884615384615385,252.77944711538458,106.29507211538461,0,0,0,2.527794471153846e-07,1.0629507211538461e-07,13.0,1.2397766113281247e-15,1.2557285724089835e-15,1.8467243294867138e-08,1.9024948900314403e-08,1.8058524357594014e-08,3.43159577351662e-10,1.986537570863388e-08,3.5210461674453015e-08,2.1607061112975172e-08,1.8639479584618103e-08,2.4663330492102313e-08,1.513821610760712e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID042_LOC_RC010012-5.00x5.00-Z Height_Forward-251001-CRO_06675601.tiff,2,506,25.38226171238474,247.87364953500722,297.102766798419,64.32411067193675,2901.3942070158105,628.1651432806323,0,0,0,2.9013942070158104e-06,6.281651432806322e-07,506.0,4.825592041015624e-14,5.182032414899841e-14,3.045410074365461e-08,4.7011444503693634e-08,1.775869502786656e-08,7.544643789490981e-09,1.239368247675036e-07,2.196723023281639e-07,1.653065906612927e-07,9.394542898196892e-08,1.6559140796018579e-07,8.648330246948935e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID042_LOC_RC010012-5.00x5.00-Z Height_Forward-251001-CRO_06675601.tiff,3,155,14.048207338801282,137.18952479298127,487.8741935483871,144.02903225806452,4764.396421370968,1406.5335181451612,0,0,0,4.7643964213709675e-06,1.4065335181451612e-06,155.0,1.4781951904296872e-14,1.5780849747407655e-14,2.6196635966600607e-08,3.4199397289194483e-08,1.784899772985047e-08,4.562706928845972e-09,6.859476239649064e-08,1.215810507616087e-07,6.890988315010673e-08,6.861078530281628e-08,7.64672394370489e-08,6.066932152269498e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID042_LOC_RC010012-5.00x5.00-Z Height_Forward-251001-CRO_06675601.tiff,4,142,13.446189622059965,131.31044552792935,488.9999999999999,162.6338028169014,4775.390624999999,1588.2207306338028,0,0,0,4.775390624999999e-06,1.5882207306338027e-06,142.0,1.3542175292968747e-14,1.426819823022961e-14,2.389175579022293e-08,2.988410439831502e-08,1.7766559793657803e-08,3.5416596618380934e-09,6.565522276396468e-08,1.1637085242004866e-07,7.942875022962348e-08,5.47947873725352e-08,8.300929938282404e-08,4.882804250580459e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID042_LOC_RC010012-5.00x5.00-Z Height_Forward-251001-CRO_06675601.tiff,5,98,11.170383851240114,109.08577979726674,407.16326530612247,173.7755102040816,3976.203762755102,1697.0264668367345,0,0,0,3.976203762755102e-06,1.6970264668367344e-06,98.0,9.346008300781248e-15,9.58065755146168e-15,2.2028982071385332e-08,2.5931839613886667e-08,1.7819309064011238e-08,2.3627489995981606e-09,5.454288989863337e-08,9.667475524034828e-08,5.890000750690159e-08,5.0775200013005497e-08,6.197981157765433e-08,4.630887561452634e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID042_LOC_RC010012-5.00x5.00-Z Height_Forward-251001-CRO_06675601.tiff,6,6604,91.69773145193405,895.4856587102935,233.21108419139912,313.07662023016354,2277.451994056632,3057.388869435191,0,0,0,2.277451994056632e-06,3.0573888694351906e-06,6604.0,6.298065185546874e-13,7.626376213484481e-13,3.6303591775778746e-08,1.0376398107338901e-07,1.775553509616987e-08,1.406843540302972e-08,4.4774282935514673e-07,7.93603502105861e-07,2.8366269362217917e-06,8.587632126878654e-08,2.7123950032024128e-06,8.439778779458539e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID042_LOC_RC010012-5.00x5.00-Z Height_Forward-251001-CRO_06675601.tiff,7,12,3.9088200952233594,38.17207124241562,490.3333333333332,202.58333333333331,4788.411458333332,1978.352864583333,0,0,0,4.7884114583333325e-06,1.978352864583333e-06,12.0,1.1444091796874998e-15,1.2965426876267793e-15,1.956530904577191e-08,2.0643845203636544e-08,1.848052548829561e-08,4.820834452298647e-10,1.908603562120781e-08,3.382911733532963e-08,2.4267073499449356e-08,1.5372413914916215e-08,2.6296039611663626e-08,1.464769877856246e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID042_LOC_RC010012-5.00x5.00-Z Height_Forward-251001-CRO_06675601.tiff,8,16,4.51351666838205,44.07731121466846,417.87499999999994,247.18749999999994,4080.8105468749995,2413.9404296874995,0,0,0,4.080810546874999e-06,2.4139404296874997e-06,16.0,1.5258789062499997e-15,1.5436573163270131e-15,1.8585511777799265e-08,1.9114152707384594e-08,1.7892126500388068e-08,3.842820101620023e-10,2.203865560733423e-08,3.9062499999999997e-08,3.057631256031479e-08,1.6339638154307413e-08,3.2756458286502826e-08,1.4647887615596076e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID042_LOC_RC010012-5.00x5.00-Z Height_Forward-251001-CRO_06675601.tiff,9,23,5.4115163798060095,52.84683964654306,422.7608695652174,252.36956521739125,4128.524116847826,2464.5465353260865,0,0,0,4.128524116847826e-06,2.4645465353260867e-06,23.0,2.1934509277343745e-15,2.318209233046295e-15,1.9142473549945047e-08,2.1270846108421636e-08,1.7848549032934754e-08,1.1006633384226352e-09,2.642341982327153e-08,4.683429221985077e-08,4.34571580631131e-08,1.6801745084754605e-08,4.501755221481371e-08,1.4647734982400983e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID042_LOC_RC010012-5.00x5.00-Z Height_Forward-251001-CRO_06675601.tiff,10,17,4.652426491681278,45.43385245782498,202.14705882352936,267.5,1974.092371323529,2612.3046875,0,0,0,1.974092371323529e-06,2.6123046875e-06,17.0,1.6212463378906247e-15,1.6307537806587584e-15,1.8467608325427485e-08,1.8990193687236276e-08,1.7982687866369147e-08,3.8019967701768107e-10,2.271692622891249e-08,4.0264703375172463e-08,2.354668855984507e-08,2.2544435559343563e-08,2.730075591476689e-08,1.760208393623581e-08
