source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID071_LOC_RC016011-5.00x5.00-Z Height_Forward-251002-CRO_18a331b5.tiff,1,6,2.763953195770684,26.991730427448086,140.99999999999997,0.5,1376.9531249999998,4.8828125,0,0,0,1.3769531249999998e-06,4.8828124999999996e-09,6.0,5.722045898437499e-16,5.724870196548871e-16,2.964594365174759e-10,3.559115901954745e-10,2.6953951245318316e-10,3.4071673485657436e-11,1.3495865213724042e-08,2.392079826936697e-08,3.3441327720055386e-08,5.573554620009231e-09,2.9700988917471852e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID071_LOC_RC016011-5.00x5.00-Z Height_Forward-251002-CRO_18a331b5.tiff,2,2,1.5957691216057308,15.583682828180965,151.99999999999997,0.5,1484.3749999999998,4.8828125,0,0,0,1.4843749999999999e-06,4.8828124999999996e-09,2.0,1.9073486328124996e-16,1.9078002111299435e-16,2.468241680628567e-10,2.468241680628567e-10,2.468241680628567e-10,0.0,7.791841414090481e-09,1.3810679320049755e-08,1.1147109240018463e-08,5.5735546200092305e-09,1.0918300671385715e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID071_LOC_RC016011-5.00x5.00-Z Height_Forward-251002-CRO_18a331b5.tiff,3,18,4.787307364817192,46.751048484542885,227.0,0.5,2216.796875,4.8828125,0,0,0,2.216796875e-06,4.8828124999999996e-09,18.0,1.7166137695312496e-15,1.7166865416176446e-15,3.103969213258407e-10,3.6656248005667915e-10,2.4787562891311233e-10,2.988218174602276e-11,2.3375524242271445e-08,4.1432037960149266e-08,1.0032398316016616e-07,5.57355462000929e-09,8.802615418613279e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID071_LOC_RC016011-5.00x5.00-Z Height_Forward-251002-CRO_18a331b5.tiff,4,49,7.898654169668588,77.1352946256698,287.5,0.5,2807.6171875,4.8828125,0,0,0,2.8076171875e-06,4.8828124999999996e-09,49.0,4.673004150390624e-15,4.6741967008522434e-15,3.5054558441009384e-10,4.44693086935582e-10,2.45438044163769e-10,5.240310256301272e-11,3.85676473128349e-08,6.8359375e-08,2.7310417638045235e-07,5.573554620008863e-09,2.393076319305243e-07,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID071_LOC_RC016011-5.00x5.00-Z Height_Forward-251002-CRO_18a331b5.tiff,5,2,1.5957691216057308,15.583682828180965,316.99999999999994,0.5,3095.7031249999995,4.8828125,0,0,0,3.0957031249999996e-06,4.8828124999999996e-09,2.0,1.9073486328124996e-16,1.9075695513301644e-16,2.7563780973489157e-10,2.804072146979926e-10,2.7086840477179053e-10,4.769404963101036e-12,7.791841414090481e-09,1.3810679320049755e-08,1.1147109240018463e-08,5.5735546200092305e-09,1.0918300671385715e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID071_LOC_RC016011-5.00x5.00-Z Height_Forward-251002-CRO_18a331b5.tiff,6,2,1.5957691216057308,15.583682828180965,341.49999999999994,2.9999999999999996,3334.9609374999995,29.296874999999996,0,0,0,3.3349609374999996e-06,2.9296874999999997e-08,2.0,1.9073486328124996e-16,1.9076243662582433e-16,2.572841005993021e-10,2.572841005993021e-10,2.572841005993021e-10,0.0,7.791841414090481e-09,1.3810679320049755e-08,1.1147109240018463e-08,5.5735546200092305e-09,1.0918300671385792e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID071_LOC_RC016011-5.00x5.00-Z Height_Forward-251002-CRO_18a331b5.tiff,7,2,1.5957691216057308,15.583682828180965,364.99999999999994,2.4999999999999996,3564.4531249999995,24.414062499999996,0,0,0,3.5644531249999996e-06,2.4414062499999998e-08,2.0,1.9073486328124996e-16,1.9074684150871718e-16,2.463526799221578e-10,2.463526799221578e-10,2.463526799221578e-10,0.0,7.791841414090481e-09,1.3810679320049755e-08,1.1147109240018463e-08,5.5735546200092305e-09,1.0918300671385715e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID071_LOC_RC016011-5.00x5.00-Z Height_Forward-251002-CRO_18a331b5.tiff,8,6,2.763953195770684,26.991730427448086,371.49999999999994,2.9999999999999996,3627.9296874999995,29.296874999999996,0,0,0,3.6279296874999996e-06,2.9296874999999997e-08,6.0,5.722045898437499e-16,5.722950976935508e-16,2.66275149127124e-10,2.732185996551182e-10,2.5238824807113564e-10,9.819521906356004e-12,1.3495865213724042e-08,2.392079826936697e-08,1.6720663860027693e-08,1.1147109240018463e-08,1.760523083722672e-08,9.755859375e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID071_LOC_RC016011-5.00x5.00-Z Height_Forward-251002-CRO_18a331b5.tiff,9,6,2.763953195770684,26.991730427448086,378.49999999999994,2.9999999999999996,3696.2890624999995,29.296874999999996,0,0,0,3.6962890624999997e-06,2.9296874999999997e-08,6.0,5.722045898437499e-16,5.723128246738793e-16,2.500127966945758e-10,2.5085183042644997e-10,2.4959327982863867e-10,5.932864414524994e-13,1.3495865213724042e-08,2.392079826936697e-08,1.6720663860027693e-08,1.1147109240018463e-08,1.760523083722672e-08,9.755859375e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID071_LOC_RC016011-5.00x5.00-Z Height_Forward-251002-CRO_18a331b5.tiff,10,12,3.9088200952233594,38.17207124241562,89.08333333333333,4.083333333333334,869.9544270833333,39.876302083333336,0,0,0,8.699544270833332e-07,3.9876302083333334e-08,12.0,1.1444091796874998e-15,1.1444484442414455e-15,2.695652329020372e-10,2.73932905862467e-10,2.5401525329354664e-10,7.1602152438294726e-12,1.908603562120781e-08,3.382911733532963e-08,3.5829967813039884e-08,1.0608589250489216e-08,3.554792823722354e-08,9.765037057899877e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID071_LOC_RC016011-5.00x5.00-Z Height_Forward-251002-CRO_18a331b5.tiff,11,18,4.787307364817192,46.751048484542885,103.49999999999999,4.0,1010.7421874999999,39.0625,0,0,0,1.0107421875e-06,3.9062499999999997e-08,18.0,1.7166137695312496e-15,1.7167661227646642e-15,2.739832176190117e-10,2.9080258120901544e-10,2.4501614133604663e-10,1.4525709348697419e-11,2.3375524242271445e-08,4.1432037960149266e-08,5.016199158008308e-08,1.1147109240018473e-08,4.501730692037534e-08,9.755859375e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID071_LOC_RC016011-5.00x5.00-Z Height_Forward-251002-CRO_18a331b5.tiff,12,6,2.763953195770684,26.991730427448086,405.0,3.5,3955.078125,34.1796875,0,0,0,3.955078125e-06,3.41796875e-08,6.0,5.722045898437499e-16,5.723360897137618e-16,3.053315266939119e-10,3.2746021814602993e-10,2.5797900047990007e-10,2.6336510841439127e-11,1.3495865213724042e-08,2.392079826936697e-08,3.3441327720055386e-08,5.573554620009231e-09,2.970098891747227e-08,4.8779296875e-09
