source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID077_LOC_RC017005-5.00x5.00-Z Height_Forward-251002-CRO_d4bb3b96.tiff,1,20,5.046265044040321,49.27993207070626,338.65,20.8,3307.1289062499995,203.125,0,0,0,3.3071289062499993e-06,2.03125e-07,20.0,1.9073486328124997e-15,1.9188042101472452e-15,2.1799496768414007e-08,2.2458588859450874e-08,2.0995185539425878e-08,4.699085452045718e-10,2.4639966035353124e-08,4.367320268554276e-08,2.7364722618410163e-08,2.2750316839038657e-08,3.088249884606574e-08,1.7953265597860783e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID077_LOC_RC017005-5.00x5.00-Z Height_Forward-251002-CRO_d4bb3b96.tiff,2,35,6.6755811781245455,65.19122244262252,362.07142857142856,44.58571428571428,3535.853794642857,435.40736607142856,0,0,0,3.5358537946428567e-06,4.354073660714286e-07,35.0,3.337860107421874e-15,3.3723214410944933e-15,2.204503417191686e-08,2.3481903943582504e-08,2.0951673664477547e-08,8.705316618213171e-10,3.2595611221311254e-08,5.777421663183218e-08,4.8715360064243914e-08,2.2658241560572384e-08,5.0274979022759446e-08,2.1205798683147348e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID077_LOC_RC017005-5.00x5.00-Z Height_Forward-251002-CRO_d4bb3b96.tiff,3,416,23.014509567006368,224.75106999029657,339.85096153846155,69.93749999999999,3318.8570462740386,682.9833984374999,0,0,0,3.3188570462740384e-06,6.829833984374999e-07,416.0,3.967285156249999e-14,4.376984560860959e-14,3.2774105621153516e-08,5.474246755460279e-08,2.1005217265409e-08,8.28527644715956e-09,1.1237553499514828e-07,1.9918044974971813e-07,1.4764974011341492e-07,8.657159206645967e-08,1.5441268129630017e-07,8.627506683467087e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID077_LOC_RC017005-5.00x5.00-Z Height_Forward-251002-CRO_d4bb3b96.tiff,4,509,25.45739437315213,248.60736692531378,306.51178781925336,91.50982318271119,2993.2791779223962,893.650617018664,0,0,0,2.9932791779223964e-06,8.93650617018664e-07,509.0,4.854202270507811e-14,5.444442231892289e-14,3.397755442891542e-08,5.4371218909222915e-08,2.1107839065484436e-08,9.239648085653415e-09,1.243036834626569e-07,2.2032254243512648e-07,1.5345818919644793e-07,1.0849350284564883e-07,1.7340359840747047e-07,8.675092731378316e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID077_LOC_RC017005-5.00x5.00-Z Height_Forward-251002-CRO_d4bb3b96.tiff,5,4,2.256758334191025,22.03865560733423,0.7499999999999999,88.49999999999999,7.324218749999999,864.2578124999999,0,0,0,7.324218749999999e-09,8.642578124999999e-07,4.0,3.814697265624999e-16,3.8618966181542047e-16,2.216489649422916e-08,2.2336203681416795e-08,2.1993589307041522e-08,1.7130718718763637e-10,1.1019327803667115e-08,1.9531249999999998e-08,1.4111513781052305e-08,9.615375847915184e-09,1.5445237736001115e-08,6.100233627323887e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID077_LOC_RC017005-5.00x5.00-Z Height_Forward-251002-CRO_d4bb3b96.tiff,6,512,25.532305945691693,249.33892525089544,418.189453125,127.89648437499997,4083.881378173828,1248.9891052246091,0,0,0,4.083881378173828e-06,1.2489891052246092e-06,512.0,4.882812499999999e-14,5.354079256286833e-14,3.229057235304544e-08,4.7308743855566716e-08,2.107015237318793e-08,6.614173618555263e-09,1.246694626254477e-07,2.2097086912079609e-07,1.5438828062108974e-07,1.0317653645507632e-07,1.5871652753968274e-07,9.172937731085404e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID077_LOC_RC017005-5.00x5.00-Z Height_Forward-251002-CRO_d4bb3b96.tiff,7,79,10.02925341359355,97.9419278671245,371.259493670886,126.46202531645568,3625.580992879746,1234.9807159810125,0,0,0,3.6255809928797464e-06,1.2349807159810124e-06,79.0,7.534027099609373e-15,8.311423078169813e-15,2.6229074361481216e-08,3.580753900449771e-08,2.1060290670510928e-08,4.642297135215948e-09,4.897096393356225e-08,8.679877360659754e-08,8.263234461710168e-08,3.0847797960830465e-08,9.393411207696517e-08,3.145662622873179e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID077_LOC_RC017005-5.00x5.00-Z Height_Forward-251002-CRO_d4bb3b96.tiff,8,46,7.653039857325812,74.73671735669738,349.5652173913044,148.06521739130432,3413.7228260869565,1445.9493885869563,0,0,0,3.4137228260869564e-06,1.4459493885869564e-06,46.0,4.386901855468749e-15,4.6989039021498534e-15,2.512635727172491e-08,3.022616706422144e-08,2.1307996043220577e-08,2.694635506986121e-09,3.736835867834869e-08,6.623369124145769e-08,5.4878589430670067e-08,2.5974778424499576e-08,5.9406137752221264e-08,2.46578803147468e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID077_LOC_RC017005-5.00x5.00-Z Height_Forward-251002-CRO_d4bb3b96.tiff,9,947,34.72402408800281,339.1017977344024,355.35955649419213,188.80095036958818,3470.308168888595,1843.7592809530095,0,0,0,3.470308168888595e-06,1.8437592809530094e-06,947.0,9.031295776367186e-14,1.0079808755923923e-13,3.190245541077927e-08,5.768077613163342e-08,2.0933422890019408e-08,7.9779523429447e-09,1.6955089886720118e-07,3.005211436216624e-07,2.6181566716513654e-07,1.2108318491649598e-07,2.871520697793257e-07,1.0265436424388715e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID077_LOC_RC017005-5.00x5.00-Z Height_Forward-251002-CRO_d4bb3b96.tiff,10,71,9.507891862878783,92.85050647342561,430.03521126760563,169.85211267605632,4199.562610035211,1658.7120378521126,0,0,0,4.199562610035211e-06,1.6587120378521126e-06,71.0,6.771087646484373e-15,7.43043276364154e-15,2.3788604440985325e-08,2.7290122272857014e-08,2.112251229374241e-08,1.9103949097496023e-09,4.64252532367128e-08,8.228661887867536e-08,1.2162882525782575e-07,1.969030852588098e-08,1.2207778668583904e-07,1.961522540009735e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID077_LOC_RC017005-5.00x5.00-Z Height_Forward-251002-CRO_d4bb3b96.tiff,11,88,10.585134856802455,103.37045758596147,465.8636363636363,182.6590909090909,4549.449573863636,1783.7801846590908,0,0,0,4.549449573863636e-06,1.7837801846590908e-06,88.0,8.392333984374998e-15,8.758825928889267e-15,2.6255795859949963e-08,3.080439701118254e-08,2.1103141108075907e-08,2.8384793743917626e-09,5.1685228792980733e-08,9.160968280905135e-08,5.745447835054602e-08,4.6712941478849034e-08,6.119076538424021e-08,4.200335946384078e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID077_LOC_RC017005-5.00x5.00-Z Height_Forward-251002-CRO_d4bb3b96.tiff,12,33,6.4820448144285745,63.301218890904046,402.7121212121212,189.6212121212121,3932.735558712121,1851.769649621212,0,0,0,3.932735558712121e-06,1.851769649621212e-06,33.0,3.1471252441406244e-15,3.2225649123072083e-15,2.1987431738834876e-08,2.3752304090701748e-08,2.1013691076910217e-08,8.379516603730063e-10,3.165060944545202e-08,5.609924459509793e-08,4.443065401092925e-08,2.340955895590126e-08,4.8828167037414e-08,2.120579868314735e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID077_LOC_RC017005-5.00x5.00-Z Height_Forward-251002-CRO_d4bb3b96.tiff,13,337,20.71428798138497,202.2879685682126,481.44658753709194,207.15875370919878,4701.626831416914,2023.0347041913944,0,0,0,4.7016268314169135e-06,2.0230347041913943e-06,337.0,3.2138824462890616e-14,3.421612301756956e-14,2.590984594543345e-08,4.0598399884569856e-08,2.095115928227622e-08,4.374490504262751e-09,1.011439842841063e-07,1.792730444402912e-07,1.4142041616431566e-07,8.992610039635967e-08,1.8073548106992382e-07,4.0006486808244864e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID077_LOC_RC017005-5.00x5.00-Z Height_Forward-251002-CRO_d4bb3b96.tiff,14,4,2.256758334191025,22.03865560733423,394.49999999999994,198.0,3852.5390624999995,1933.59375,0,0,0,3.8525390625e-06,1.93359375e-06,4.0,3.814697265624999e-16,3.9867438130929786e-16,2.166747080655502e-08,2.1681035981232098e-08,2.162677528252378e-08,2.3495571754248507e-11,1.1019327803667115e-08,1.9531249999999998e-08,1.6232122770097598e-08,7.991119038803e-09,1.7605230837227437e-08,5.7175417222762235e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID077_LOC_RC017005-5.00x5.00-Z Height_Forward-251002-CRO_d4bb3b96.tiff,15,2,1.5957691216057308,15.583682828180965,445.5,201.99999999999997,4350.5859375,1972.6562499999998,0,0,0,4.3505859375e-06,1.9726562499999997e-06,2.0,1.9073486328124996e-16,1.9560896691286986e-16,2.1341046889173154e-08,2.1341046889173154e-08,2.1341046889173154e-08,0.0,7.791841414090481e-09,1.3810679320049755e-08,1.1147109240018463e-08,5.5735546200092305e-09,1.0918300671385626e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID077_LOC_RC017005-5.00x5.00-Z Height_Forward-251002-CRO_d4bb3b96.tiff,16,936,34.52176435050956,337.1266049854449,408.86431623931617,241.02777777777774,3992.815588274572,2353.786892361111,0,0,0,3.992815588274572e-06,2.353786892361111e-06,936.0,8.926391601562498e-14,1.3217356200583331e-13,3.980613072887724e-08,1.1689636369626398e-07,2.0998282536793503e-08,1.8127772824523644e-08,1.685633024927224e-07,2.987706746245772e-07,3.4612069497598186e-07,1.5018975259781941e-07,3.9442929124518776e-07,6.239242154711261e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID077_LOC_RC017005-5.00x5.00-Z Height_Forward-251002-CRO_d4bb3b96.tiff,17,815,32.21319960760119,314.5820274179804,480.4141104294478,260.49877300613497,4691.544047162576,2543.9333301380366,0,0,0,4.691544047162576e-06,2.5439333301380366e-06,815.0,7.772445678710936e-14,8.461190784672803e-14,3.376271095606854e-08,5.8463846919070225e-08,2.096989643641389e-08,9.820658997607249e-09,1.5729101370899018e-07,2.7879106296133196e-07,2.6596820080779015e-07,9.623930343911102e-08,2.584222024058621e-07,8.911622530473891e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID077_LOC_RC017005-5.00x5.00-Z Height_Forward-251002-CRO_d4bb3b96.tiff,18,50,7.978845608028654,77.91841414090483,259.72,276.55999999999995,2536.328125,2700.7812499999995,0,0,0,2.536328125e-06,2.7007812499999996e-06,50.0,4.768371582031249e-15,4.838394185818204e-15,2.301496553800033e-08,2.477442486260349e-08,2.1003617709475466e-08,1.1530992894797946e-09,3.895920707045241e-08,6.905339660024878e-08,4.6545037800176646e-08,3.290501536900478e-08,5.02717873358683e-08,2.9746516734338866e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID077_LOC_RC017005-5.00x5.00-Z Height_Forward-251002-CRO_d4bb3b96.tiff,19,4,2.256758334191025,22.03865560733423,403.99999999999994,279.99999999999994,3945.3124999999995,2734.3749999999995,0,0,0,3.945312499999999e-06,2.7343749999999995e-06,4.0,3.814697265624999e-16,3.82222749108804e-16,2.099375103377896e-08,2.099375103377896e-08,2.099375103377896e-08,0.0,1.1019327803667115e-08,1.9531249999999998e-08,1.1147109240018463e-08,1.1147109240018463e-08,1.3810679320050091e-08,9.755859375e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID077_LOC_RC017005-5.00x5.00-Z Height_Forward-251002-CRO_d4bb3b96.tiff,20,918,34.18821291127805,333.8692667116997,470.81590413943354,325.1557734204793,4597.8115638616555,3175.349349809368,0,0,0,4.597811563861655e-06,3.175349349809368e-06,918.0,8.754730224609373e-14,1.1479764857841035e-13,3.421337794566372e-08,8.932821143287623e-08,2.094799641927877e-08,1.4804794170255035e-08,1.6693463335584987e-07,2.958839337410765e-07,3.183180249049183e-07,1.25373865460673e-07,3.4393492672295645e-07,6.576547262981878e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID077_LOC_RC017005-5.00x5.00-Z Height_Forward-251002-CRO_d4bb3b96.tiff,21,2,1.5957691216057308,15.583682828180965,489.4999999999999,297.99999999999994,4780.273437499999,2910.1562499999995,0,0,0,4.780273437499999e-06,2.9101562499999996e-06,2.0,1.9073486328124996e-16,1.9079907688977315e-16,2.1037723270794667e-08,2.1037723270794667e-08,2.1037723270794667e-08,0.0,7.791841414090481e-09,1.3810679320049755e-08,1.1147109240018463e-08,5.5735546200092305e-09,1.0918300671386005e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID077_LOC_RC017005-5.00x5.00-Z Height_Forward-251002-CRO_d4bb3b96.tiff,22,602,27.685559519911603,270.36679218663676,263.7408637873754,343.1428571428571,2575.594372923588,3351.004464285714,0,0,0,2.5755943729235877e-06,3.3510044642857142e-06,602.0,5.741119384765623e-14,6.196784251855822e-14,3.184054412629839e-08,5.66744214738747e-08,2.0995989011104686e-08,9.000439992420578e-09,1.3518339609331837e-07,2.396063309840878e-07,2.451932921235208e-07,7.948158422005026e-08,2.640898846529226e-07,8.531880398649225e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID077_LOC_RC017005-5.00x5.00-Z Height_Forward-251002-CRO_d4bb3b96.tiff,23,939,34.57704343211429,337.66643976674106,152.0654952076677,359.93876464323745,1485.01460163738,3515.026998469116,0,0,0,1.4850146016373801e-06,3.5150269984691158e-06,939.0,8.955001831054685e-14,9.827005948180262e-14,3.277192294231093e-08,6.081764748300974e-08,2.0928174254660095e-08,9.536488920115857e-09,1.6883321988337052e-07,2.992490907430578e-07,3.8258656703605997e-07,9.586188454854451e-08,3.766123529331733e-07,7.445466536299956e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID077_LOC_RC017005-5.00x5.00-Z Height_Forward-251002-CRO_d4bb3b96.tiff,24,14,4.222008245644752,41.23054927387454,1.1428571428571428,334.4285714285714,11.160714285714285,3265.9040178571427,0,0,0,1.1160714285714285e-08,3.2659040178571427e-06,14.0,1.3351440429687497e-15,1.3543212731039867e-15,2.1982629023382755e-08,2.330696135097672e-08,2.096661452167925e-08,8.038459659287682e-10,2.0615274636937265e-08,3.653962291771427e-08,3.1789799908303904e-08,1.447328646903259e-08,3.452810444658293e-08,1.220268868717023e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID077_LOC_RC017005-5.00x5.00-Z Height_Forward-251002-CRO_d4bb3b96.tiff,25,362,21.468877828012552,209.65701003918508,320.34530386740323,346.21270718232046,3128.3721080801097,3380.983468577348,0,0,0,3.12837210808011e-06,3.380983468577348e-06,362.0,3.4523010253906244e-14,3.6045909434029497e-14,2.4680637304531633e-08,3.302783387592363e-08,2.0925601184391972e-08,2.7509038166019004e-09,1.0482850501959253e-07,1.8580368740664497e-07,3.6168187668587447e-07,3.671270611615336e-08,3.419369859560425e-07,4.212027032922999e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID077_LOC_RC017005-5.00x5.00-Z Height_Forward-251002-CRO_d4bb3b96.tiff,26,72,9.574614729634384,93.50209696908577,93.45833333333331,350.27777777777777,912.6790364583331,3420.681423611111,0,0,0,9.126790364583332e-07,3.4206814236111107e-06,72.0,6.866455078124998e-15,8.604201744006918e-15,3.021756334580447e-08,3.934039068171493e-08,2.0945697661676698e-08,5.5448937560382094e-09,4.675104848454289e-08,8.286407592029853e-08,7.421064446326684e-08,3.0104465616824184e-08,7.535597367997575e-08,2.9296336162863906e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID077_LOC_RC017005-5.00x5.00-Z Height_Forward-251002-CRO_d4bb3b96.tiff,27,301,19.576646877473273,191.17819216282493,388.08139534883713,363.4235880398671,3789.8573764534876,3549.0584769518273,0,0,0,3.7898573764534878e-06,3.549058476951827e-06,301.0,2.870559692382812e-14,2.9422944759606626e-14,2.61119964178831e-08,3.192195861045168e-08,2.0982834257325205e-08,2.9806258326604214e-09,9.558909608141245e-08,1.6942726145407686e-07,1.6711405718932236e-07,5.6383691157303886e-08,1.641397115270685e-07,5.567249095574377e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID077_LOC_RC017005-5.00x5.00-Z Height_Forward-251002-CRO_d4bb3b96.tiff,28,116,12.153015559492998,118.68179257317381,141.95689655172413,360.2931034482759,1386.297817887931,3518.487338362069,0,0,0,1.3862978178879309e-06,3.5184873383620688e-06,116.0,1.1062622070312498e-14,1.2973615369273937e-14,3.104277438898839e-08,4.3803153695921314e-08,2.131177229945126e-08,6.371526810630866e-09,5.9340896286586896e-08,1.0517900013934578e-07,7.51896265037471e-08,4.888664855706817e-08,8.016267381063657e-08,4.104382668611548e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID077_LOC_RC017005-5.00x5.00-Z Height_Forward-251002-CRO_d4bb3b96.tiff,29,269,18.5067943613625,180.73041368518065,508.3959107806691,378.581784386617,4964.803816217472,3697.087738150557,0,0,0,4.964803816217472e-06,3.697087738150557e-06,269.0,2.5653839111328118e-14,3.614513800752485e-14,4.4115090618514215e-08,7.750353085634883e-08,2.1166589298726747e-08,1.569457506938841e-08,9.036520684259032e-08,1.601681588560227e-07,1.9165534222456596e-07,4.554554999494083e-08,2.1978186205551619e-07,4.394452814216951e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID077_LOC_RC017005-5.00x5.00-Z Height_Forward-251002-CRO_d4bb3b96.tiff,30,34,6.579524642479541,64.25317033671426,200.11764705882354,390.5588235294117,1954.2738970588236,3814.0510110294113,0,0,0,1.9542738970588236e-06,3.8140510110294114e-06,34.0,3.2424926757812495e-15,3.308469369121143e-15,2.321447369490313e-08,2.5186240420809166e-08,2.1133187262654962e-08,1.2995466820199995e-09,3.212658516835713e-08,5.694288959809863e-08,3.67607515834376e-08,2.848592591866951e-08,3.9532290972975926e-08,2.4661627600978548e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID077_LOC_RC017005-5.00x5.00-Z Height_Forward-251002-CRO_d4bb3b96.tiff,31,264,18.333991376950163,179.04288454052895,247.01136363636363,401.7310606060606,2412.2203480113635,3923.1548887310605,0,0,0,2.4122203480113635e-06,3.92315488873106e-06,264.0,2.5177001953124995e-14,2.5563620727879586e-14,2.370758969292017e-08,2.8909164179808998e-08,2.0928502493103997e-08,1.959766831050803e-09,8.952144227026446e-08,1.5867262509054607e-07,2.1106864860932285e-07,4.1506349175979436e-08,2.0215515852933513e-07,4.427536436208364e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID077_LOC_RC017005-5.00x5.00-Z Height_Forward-251002-CRO_d4bb3b96.tiff,32,57,8.51907589177983,83.19410050566239,14.149122807017543,393.7456140350876,138.17502741228068,3845.1720120614027,0,0,0,1.3817502741228068e-07,3.845172012061403e-06,57.0,5.435943603515624e-15,5.636856492824932e-15,2.4537553827993464e-08,2.8156228657527772e-08,2.0927896558275518e-08,2.232694515727464e-09,4.159705025283119e-08,7.372885190694091e-08,4.503275903000088e-08,3.8874699274926787e-08,4.9872078997492e-08,3.463669688477807e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID077_LOC_RC017005-5.00x5.00-Z Height_Forward-251002-CRO_d4bb3b96.tiff,33,122,12.463355264843006,121.71245375823248,478.1967213114754,402.42622950819674,4669.889856557377,3929.943647540984,0,0,0,4.669889856557377e-06,3.929943647540984e-06,122.0,1.1634826660156247e-14,1.1946612550378904e-14,2.4920644916661217e-08,2.8819244437520966e-08,2.0927532857083017e-08,2.3885758685836687e-09,6.085622687911624e-08,1.0786485368346933e-07,9.117317578409742e-08,4.132689880623407e-08,9.392308973560959e-08,3.9672287477534195e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID077_LOC_RC017005-5.00x5.00-Z Height_Forward-251002-CRO_d4bb3b96.tiff,34,551,26.486883341553696,258.6609701323603,185.83393829401086,419.3130671506352,1814.7845536524499,4094.854171392922,0,0,0,1.81478455365245e-06,4.094854171392922e-06,551.0,5.2547454833984366e-14,5.511264957267671e-14,2.7684496221516828e-08,4.484731575708593e-08,2.092904283691144e-08,5.279460343175413e-09,1.2933048506618016e-07,2.292323162950293e-07,2.3407984331769215e-07,8.042247978486287e-08,2.2716327953210953e-07,6.750120780191928e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID077_LOC_RC017005-5.00x5.00-Z Height_Forward-251002-CRO_d4bb3b96.tiff,35,52,8.136857890256438,79.46150283453554,28.17307692307692,410.7692307692307,275.12770432692304,4011.4182692307686,0,0,0,2.7512770432692305e-07,4.0114182692307685e-06,52.0,4.959106445312499e-15,5.067224046850736e-15,2.3525519764072364e-08,2.623462972568493e-08,2.0929455488120826e-08,1.5971105320592599e-09,3.973075141726776e-08,7.042092334890603e-08,4.782839799953105e-08,3.352347224070065e-08,5.0979340606197074e-08,3.0930090311292505e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID077_LOC_RC017005-5.00x5.00-Z Height_Forward-251002-CRO_d4bb3b96.tiff,36,161,14.317526556719258,139.8195952804615,493.1708074534161,424.49378881987576,4816.121166537267,4145.447156444099,0,0,0,4.8161211665372665e-06,4.145447156444099e-06,161.0,1.535415649414062e-14,1.6071399189171176e-14,2.7517808662804833e-08,3.5687398609680546e-08,2.103487858948063e-08,4.419604355265286e-09,6.990979764023075e-08,1.2391189004345232e-07,8.529904206611186e-08,5.776245859432157e-08,8.956195997256769e-08,5.3710153142169525e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID077_LOC_RC017005-5.00x5.00-Z Height_Forward-251002-CRO_d4bb3b96.tiff,37,554,26.558891313141824,259.3641729799006,179.87184115523462,444.1425992779783,1756.5609487815882,4337.330071074007,0,0,0,1.7565609487815883e-06,4.337330071074006e-06,554.0,5.283355712890624e-14,6.470999810913818e-14,3.6526104390753324e-08,7.563762855775682e-08,2.1007983942673307e-08,1.2789300172716353e-08,1.296820864899503e-07,2.2985551359257459e-07,2.5223686349017393e-07,7.170860896183088e-08,2.5376598429529683e-07,6.534232518830853e-08
