source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID079_LOC_RC017016-5.00x5.00-Z Height_Forward-251002-CRO_fa58898f.tiff,1,1708,46.63360529068772,455.40630166687225,191.96311475409834,121.25995316159248,1874.6397925204917,1184.1792300936766,1,1,0,1.8746397925204917e-06,1.1841792300936766e-06,1708.0,1.6288757324218747e-13,2.0531853189518653e-13,5.419437922678868e-08,6.772490656724536e-08,3.9908043118356324e-08,7.156488225508043e-09,2.2770315083343614e-07,4.0359332655804344e-07,1.3451602499687465e-06,3.947534311646161e-08,1.2229193808426095e-06,3.9061715642169513e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID079_LOC_RC017016-5.00x5.00-Z Height_Forward-251002-CRO_fa58898f.tiff,2,3175,63.58093703724523,620.907588254348,338.96204724409444,109.53181102362203,3310.17624261811,1069.6465920275589,0,0,0,3.31017624261811e-06,1.069646592027559e-06,3175.0,3.027915954589843e-13,4.1556056628857987e-13,6.468682888259261e-08,1.1866414364448087e-07,3.988966095480461e-08,1.4715823614627233e-08,3.104537941271739e-07,5.502650229289377e-07,1.4161421775319976e-06,8.639628891832132e-08,1.5003835009951101e-06,7.746749380298373e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID079_LOC_RC017016-5.00x5.00-Z Height_Forward-251002-CRO_fa58898f.tiff,3,22,5.292567428401227,51.68522879298074,313.6818181818182,170.0909090909091,3063.299005681818,1661.044034090909,0,0,0,3.063299005681818e-06,1.661044034090909e-06,22.0,2.0980834960937495e-15,3.406298585768148e-15,4.2932361659583785e-08,4.52765122688339e-08,4.032759260013289e-08,1.7975218070116986e-09,2.5842614396490367e-08,4.5804841404525675e-08,3.756009277005203e-08,1.8125986319325477e-08,3.936653104091919e-08,1.51403320221674e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID079_LOC_RC017016-5.00x5.00-Z Height_Forward-251002-CRO_fa58898f.tiff,4,94,10.940041919714261,106.83634687220957,367.7553191489361,209.18085106382972,3591.3605385638293,2042.7817486702122,0,0,0,3.5913605385638294e-06,2.0427817486702123e-06,94.0,8.964538574218748e-15,9.352177432338886e-15,4.3428454501593465e-08,4.788735605443058e-08,3.995230097368837e-08,2.1078577570793404e-09,5.341817343610479e-08,9.468124721516267e-08,1.0714450640342192e-07,2.756708553901607e-08,1.0843676136874327e-07,2.4661627600978548e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID079_LOC_RC017016-5.00x5.00-Z Height_Forward-251002-CRO_fa58898f.tiff,5,297,19.44613444328572,189.90365667271212,314.2676767676768,220.7188552188552,3069.0202809343436,2155.457570496633,0,0,0,3.0690202809343435e-06,2.1554575704966328e-06,297.0,2.832412719726562e-14,3.089874140020785e-14,4.796853508414979e-08,5.930276193923864e-08,3.9957415669204615e-08,5.101089297717391e-09,9.495182833635607e-08,1.682977337852938e-07,2.02887795561468e-07,4.5930955928335205e-08,2.1138354000669527e-07,4.882758616286391e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID079_LOC_RC017016-5.00x5.00-Z Height_Forward-251002-CRO_fa58898f.tiff,6,514,25.582125126616702,249.82544068961624,245.71984435797665,240.80933852140075,2399.6078550583657,2351.653696498054,0,0,0,2.3996078550583657e-06,2.351653696498054e-06,514.0,4.901885986328124e-14,8.841044611015618e-14,8.670651962535793e-08,1.6218225559591072e-07,4.003327625209124e-08,3.1764252814567193e-08,1.2491272034480813e-07,2.2140203220223893e-07,1.716598151610521e-07,9.335050461246122e-08,1.9776046584633934e-07,9.177109822921922e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID079_LOC_RC017016-5.00x5.00-Z Height_Forward-251002-CRO_fa58898f.tiff,7,10,3.5682482323055424,34.84617414360881,343.19999999999993,242.69999999999996,3351.5624999999995,2370.1171874999995,0,0,0,3.3515624999999997e-06,2.3701171874999995e-06,10.0,9.536743164062499e-16,9.648094495139608e-16,4.032778486057534e-08,4.0659846937208993e-08,4.007871295050396e-08,1.8568512071058566e-10,1.7423087071804404e-08,3.0881617775081825e-08,2.6997467119324734e-08,1.2346149180765352e-08,2.84720935017041e-08,9.765340963137382e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID079_LOC_RC017016-5.00x5.00-Z Height_Forward-251002-CRO_fa58898f.tiff,8,43,7.399277020331919,72.2585646516789,424.5232558139535,250.12790697674416,4145.734920058139,2442.655341569767,0,0,0,4.145734920058139e-06,2.4426553415697673e-06,43.0,4.100799560546874e-15,4.581170055698643e-15,4.1508875028534146e-08,4.4520332304507376e-08,3.996662245839354e-08,1.132184646308867e-09,3.612928232583944e-08,6.403748558888672e-08,9.513119153835999e-08,1.5465515967821214e-08,8.963668293984073e-08,1.220536505544867e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID079_LOC_RC017016-5.00x5.00-Z Height_Forward-251002-CRO_fa58898f.tiff,9,86,10.464157913908982,102.1890421280174,264.40697674418607,249.1395348837209,2582.099382267442,2433.003270348837,0,0,0,2.5820993822674417e-06,2.433003270348837e-06,86.0,8.201599121093748e-15,1.5791138280196958e-14,6.386886447475412e-08,9.455297744364866e-08,4.07697141900431e-08,1.6139187863408258e-08,5.10945210640087e-08,9.056268062007523e-08,5.9093726280713473e-08,4.533609468457209e-08,6.574029008010691e-08,3.986261383149637e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID079_LOC_RC017016-5.00x5.00-Z Height_Forward-251002-CRO_fa58898f.tiff,10,516,25.631847476983474,250.31101051741675,316.67829457364337,275.5562015503875,3092.561470445736,2690.9785307655034,0,0,0,3.0925614704457363e-06,2.6909785307655035e-06,516.0,4.9209594726562486e-14,5.708854944616129e-14,5.9421477355573535e-08,8.277403207221465e-08,3.993429009359583e-08,1.2805676905943336e-08,1.2515550525870836e-07,2.2183235725782317e-07,2.0406526180587433e-07,7.88775402503197e-08,2.0397125847134927e-07,7.844935266579373e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID079_LOC_RC017016-5.00x5.00-Z Height_Forward-251002-CRO_fa58898f.tiff,11,2,1.5957691216057308,15.583682828180965,227.0,254.5,2216.796875,2485.3515625,0,0,0,2.216796875e-06,2.4853515625e-06,2.0,1.9073486328124996e-16,2.587706658119867e-16,4.065066018851221e-08,4.065066018851221e-08,4.065066018851221e-08,0.0,7.791841414090481e-09,1.3810679320049755e-08,1.1147109240018463e-08,5.5735546200092305e-09,1.0918300671385815e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID079_LOC_RC017016-5.00x5.00-Z Height_Forward-251002-CRO_fa58898f.tiff,12,433,23.480049464818542,229.29735805486857,217.2759815242494,266.48845265588915,2121.835757072748,2602.4262954676674,0,0,0,2.121835757072748e-06,2.6024262954676673e-06,433.0,4.1294097900390616e-14,8.199724353046221e-14,8.645146287201154e-08,1.6301179353944735e-07,3.992355628025195e-08,3.389317207329334e-08,1.1464867902743428e-07,2.0320949264340635e-07,1.650041593919308e-07,8.471838828188679e-08,1.9918469207887758e-07,6.881189432992043e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID079_LOC_RC017016-5.00x5.00-Z Height_Forward-251002-CRO_fa58898f.tiff,13,47,7.735777827895049,75.54470535053758,409.3936170212766,277.32978723404256,3997.9845412234044,2708.2987034574467,0,0,0,3.997984541223404e-06,2.7082987034574465e-06,47.0,4.482269287109374e-15,5.874377500705002e-15,4.44486218064586e-08,5.26582422029611e-08,4.013918661287864e-08,3.7912018147312286e-09,3.7772352675268796e-08,6.694975195704144e-08,5.544072668234938e-08,2.768303558255289e-08,5.970561954071836e-08,2.4410852871690704e-08
