source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID082_LOC_RC020001-5.00x5.00-Z Height_Forward-251002-CRO_bb7af964.tiff,1,35,6.6755811781245455,65.19122244262252,46.3,1.9857142857142855,452.14843749999994,19.39174107142857,0,0,0,4.521484374999999e-07,1.939174107142857e-08,35.0,3.337860107421874e-15,3.6181928108389e-15,2.2191121198935947e-08,2.8671972967667444e-08,1.6716864115140166e-08,3.567356528651679e-09,3.2595611221311254e-08,5.777421663183218e-08,4.697612605271315e-08,2.3952880619676666e-08,5.0983459336118944e-08,2.227468639901143e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID082_LOC_RC020001-5.00x5.00-Z Height_Forward-251002-CRO_bb7af964.tiff,2,101,11.340070282773887,110.74287385521374,108.32178217821783,3.9356435643564356,1057.8299040841584,38.43401918316832,0,0,0,1.0578299040841583e-06,3.8434019183168315e-08,101.0,9.632110595703123e-15,9.912141650974461e-15,2.055977272609386e-08,2.5880029017220104e-08,1.620387445055056e-08,2.7312499858347393e-09,5.537143692760687e-08,9.814331661250868e-08,8.932707844942268e-08,3.77490355503758e-08,9.61875460579902e-08,2.831979820555539e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID082_LOC_RC020001-5.00x5.00-Z Height_Forward-251002-CRO_bb7af964.tiff,3,26,5.753627391751592,56.18776749757414,291.9615384615384,3.615384615384615,2851.186899038461,35.30649038461538,0,0,0,2.851186899038461e-06,3.530649038461538e-08,26.0,2.4795532226562493e-15,2.496054515922456e-15,1.6886795432656553e-08,1.7626256452639555e-08,1.628837484396017e-08,4.4019126434862847e-10,2.809388374878707e-08,4.979511243742953e-08,3.712715350973248e-08,2.178767542572407e-08,3.936767975036942e-08,1.961486560064493e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID082_LOC_RC020001-5.00x5.00-Z Height_Forward-251002-CRO_bb7af964.tiff,4,286,19.08262324195121,186.3537425971798,311.7832167832168,7.234265734265733,3044.7579763986014,70.6471263111888,0,0,0,3.0447579763986015e-06,7.06471263111888e-08,286.0,2.7275085449218745e-14,2.8863584981965246e-14,2.5531992361796145e-08,3.916845120899637e-08,1.619572096204646e-08,6.327457206446619e-09,9.31768712985899e-08,1.651517043485133e-07,1.0386677608068184e-07,8.62518348031952e-08,1.2035591374555636e-07,7.787974052010896e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID082_LOC_RC020001-5.00x5.00-Z Height_Forward-251002-CRO_bb7af964.tiff,5,368,21.646065519224038,211.38735858617224,351.09239130434776,8.720108695652172,3428.636633831521,85.15731148097825,0,0,0,3.428636633831521e-06,8.515731148097825e-08,368.0,3.509521484374999e-14,3.99347431411039e-14,2.9725883805209812e-08,5.032516801982417e-08,1.621353198611686e-08,9.888465641062609e-09,1.0569367929308613e-07,1.8733716887940308e-07,1.559825296421059e-07,7.571231564401163e-08,1.7605357383543625e-07,6.864452806319666e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID082_LOC_RC020001-5.00x5.00-Z Height_Forward-251002-CRO_bb7af964.tiff,6,82,10.217907939900583,99.78425722559163,416.28048780487796,4.548780487804878,4065.239138719511,44.42168445121951,0,0,0,4.065239138719511e-06,4.442168445121951e-08,82.0,7.820129394531249e-15,8.262913420514984e-15,2.2188937230329293e-08,2.8122443302400527e-08,1.6245675497869407e-08,3.415290707896869e-09,4.98921286127958e-08,8.84314954896232e-08,5.6719300853470996e-08,4.530861157685939e-08,6.602038512337768e-08,3.906196116286391e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID082_LOC_RC020001-5.00x5.00-Z Height_Forward-251002-CRO_bb7af964.tiff,7,384,22.111625566165472,215.9338434195847,209.19270833333331,16.325520833333336,2042.8975423177083,159.42891438802084,0,0,0,2.0428975423177082e-06,1.5942891438802084e-07,384.0,3.6621093749999993e-14,3.6944532064335503e-14,1.8705106469019155e-08,2.1960214579090633e-08,1.6168816370287406e-08,1.509478020065747e-09,1.0796692170979234e-07,1.9136638615493576e-07,1.3841243338663755e-07,8.74545886610072e-08,1.5724132503701305e-07,7.609580851748459e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID082_LOC_RC020001-5.00x5.00-Z Height_Forward-251002-CRO_bb7af964.tiff,8,516,25.631847476983474,250.31101051741675,445.8410852713177,18.47093023255814,4353.916848352712,180.38017805232556,0,0,0,4.353916848352712e-06,1.8038017805232555e-07,516.0,4.9209594726562486e-14,5.131195818320294e-14,2.3199867681742465e-08,3.442960059568328e-08,1.623527737991197e-08,4.134977190318092e-09,1.2515550525870836e-07,2.2183235725782317e-07,2.511478636149937e-07,7.07261679267938e-08,2.5012214230120603e-07,7.536931411079125e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID082_LOC_RC020001-5.00x5.00-Z Height_Forward-251002-CRO_bb7af964.tiff,9,1052,36.59846992787254,357.4069328893803,37.91254752851711,25.624524714828897,370.23972195817487,250.23949916825094,1,1,0,3.7023972195817485e-07,2.5023949916825095e-07,1052.0,1.0032653808593748e-13,1.274839921036349e-13,3.5193319164285794e-08,9.369232565865772e-08,1.6197088698578695e-08,1.812925912853078e-08,1.7870346644469016e-07,3.167436472700557e-07,3.2657772500515775e-07,1.1858254141988334e-07,3.138712607961387e-07,9.227012842175388e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID082_LOC_RC020001-5.00x5.00-Z Height_Forward-251002-CRO_bb7af964.tiff,10,147,13.680870333281758,133.60224934845468,68.03741496598639,16.003401360544217,664.4278805272108,156.2832164115646,0,0,0,6.644278805272108e-07,1.5628321641156461e-07,147.0,1.4019012451171871e-14,2.002563395783887e-14,3.172188217580363e-08,4.9627316095930035e-08,1.669924375988332e-08,8.956724050929572e-09,6.680112467422732e-08,1.184019106736537e-07,8.56903717641243e-08,5.2813973609722116e-08,8.734649168125922e-08,4.882774960509565e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID082_LOC_RC020001-5.00x5.00-Z Height_Forward-251002-CRO_bb7af964.tiff,11,16,4.51351666838205,44.07731121466846,244.93749999999994,10.874999999999998,2391.9677734374995,106.20117187499999,0,0,0,2.3919677734374997e-06,1.0620117187499999e-07,16.0,1.5258789062499997e-15,1.5380143879562069e-15,1.7175003950274356e-08,1.782853969040005e-08,1.6253327159907775e-08,4.655984363190973e-10,2.203865560733423e-08,3.9062499999999997e-08,2.4861224711632205e-08,2.0163031694922476e-08,2.9038372861320895e-08,1.7158532831006632e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID082_LOC_RC020001-5.00x5.00-Z Height_Forward-251002-CRO_bb7af964.tiff,12,15,4.370193722368317,42.677673070003095,488.1,12.3,4766.6015625,120.11718750000001,0,0,0,4.7666015625e-06,1.201171875e-07,15.0,1.4305114746093746e-15,1.4575553829340137e-15,1.6826126718636247e-08,1.766670331347075e-08,1.6212551695392398e-08,5.420236020907309e-10,2.1338836535001545e-08,3.78221029903068e-08,3.778576698148966e-08,1.2803878065362211e-08,3.8142165905264836e-08,9.765340967268153e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID082_LOC_RC020001-5.00x5.00-Z Height_Forward-251002-CRO_bb7af964.tiff,13,779,31.493707392885515,307.5557362586476,388.10718870346597,45.92618741976893,3790.109264682285,448.49792402118095,0,0,0,3.7901092646822847e-06,4.4849792402118097e-07,779.0,7.429122924804685e-14,8.357764644579167e-14,2.3513887052271067e-08,4.895596029760896e-08,1.6163863504578007e-08,6.624950174499325e-09,1.5377786812932379e-07,2.7256417454986054e-07,3.0741632964556103e-07,1.1483103449178732e-07,3.232428238486597e-07,6.63103191384039e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID082_LOC_RC020001-5.00x5.00-Z Height_Forward-251002-CRO_bb7af964.tiff,14,60,8.740387444736633,85.35534614000619,132.25,23.816666666666663,1291.50390625,232.58463541666663,0,0,0,1.2915039062499999e-06,2.3258463541666664e-07,60.0,5.722045898437498e-15,5.767983951676708e-15,1.7856448548887797e-08,1.9495691372329937e-08,1.6326354263270476e-08,9.317510375016076e-10,4.267767307000309e-08,7.56442059806136e-08,5.0927188999322136e-08,3.636357069282017e-08,5.285408143156058e-08,3.417940469971482e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID082_LOC_RC020001-5.00x5.00-Z Height_Forward-251002-CRO_bb7af964.tiff,15,4,2.256758334191025,22.03865560733423,311.0,23.999999999999996,3037.109375,234.37499999999997,0,0,0,3.037109375e-06,2.3437499999999998e-07,4.0,3.814697265624999e-16,3.8227297239021537e-16,1.6275034956632965e-08,1.629282234006394e-08,1.6269105828822638e-08,1.0269550612053877e-11,1.1019327803667115e-08,1.9531249999999998e-08,1.1147109240018463e-08,1.1147109240018463e-08,1.3810679320049792e-08,9.755859375e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID082_LOC_RC020001-5.00x5.00-Z Height_Forward-251002-CRO_bb7af964.tiff,16,14,4.222008245644752,41.23054927387454,178.5,29.0,1743.1640625,283.203125,0,0,0,1.7431640625e-06,2.83203125e-07,14.0,1.3351440429687497e-15,3.1406432132405202e-15,2.2894284770743258e-08,2.715382714519324e-08,1.6267694595887293e-08,3.791509700942823e-09,2.0615274636937265e-08,3.653962291771427e-08,3.901488234006462e-08,1.114710924001846e-08,3.554741156875262e-08,9.755859375e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID082_LOC_RC020001-5.00x5.00-Z Height_Forward-251002-CRO_bb7af964.tiff,17,27,5.863230142835039,57.258106863623425,507.7592592592591,41.53703703703703,4958.586516203703,405.6351273148148,0,0,0,4.958586516203703e-06,4.056351273148148e-07,27.0,2.5749206542968744e-15,2.678078280601572e-15,1.8325018707287668e-08,2.0297793501213315e-08,1.6766536044399473e-08,1.0619635129372175e-09,2.8629053431811714e-08,5.0743676002994444e-08,3.263102002182563e-08,2.657791210642389e-08,3.820542563030657e-08,2.051689677215832e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID082_LOC_RC020001-5.00x5.00-Z Height_Forward-251002-CRO_bb7af964.tiff,18,712,30.10891156869401,294.03233953802743,8.80196629213483,68.35533707865169,85.95670207162921,667.5325886587078,0,0,0,8.59567020716292e-08,6.675325886587078e-07,712.0,6.790161132812499e-14,7.692714717552155e-14,2.7612443693868153e-08,8.099937145398416e-08,1.6328679331068453e-08,1.1560062249259456e-08,1.470161697690137e-07,2.605793762524674e-07,2.1842425556320282e-07,1.091024827728342e-07,2.325924456422204e-07,8.233423963577426e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID082_LOC_RC020001-5.00x5.00-Z Height_Forward-251002-CRO_bb7af964.tiff,19,519,25.70625067405882,251.03760423885564,134.24566473988438,50.08959537572254,1310.9928197254335,489.15620484104045,0,0,0,1.3109928197254335e-06,4.891562048410405e-07,519.0,4.9495697021484364e-14,5.058092733710718e-14,2.1157255198522646e-08,2.561292013732055e-08,1.6160083041503457e-08,2.7427732653276214e-09,1.255188021194278e-07,2.2247628417762727e-07,2.3765192158854538e-07,6.816343706106678e-08,2.308449926953222e-07,6.438443861217867e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID082_LOC_RC020001-5.00x5.00-Z Height_Forward-251002-CRO_bb7af964.tiff,20,274,18.677998695187732,182.40233100769268,190.0583941605839,49.171532846715316,1856.039005474452,480.1907504562043,0,0,0,1.8560390054744522e-06,4.801907504562043e-07,274.0,2.6130676269531244e-14,2.678375452378467e-14,2.03115267742898e-08,2.7981069646313823e-08,1.6195690913350103e-08,2.8266153105719924e-09,9.120116550384634e-08,1.6164985700436373e-07,1.6292909924972435e-07,5.29181165030486e-08,1.6378723966890767e-07,5.066158969386542e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID082_LOC_RC020001-5.00x5.00-Z Height_Forward-251002-CRO_bb7af964.tiff,21,45,7.569397566060481,73.91989810605938,218.94444444444446,46.45555555555555,2138.129340277778,453.6675347222222,0,0,0,2.1381293402777777e-06,4.536675347222222e-07,45.0,4.291534423828124e-15,4.308138814276387e-15,1.6755488699210614e-08,1.7396998332749415e-08,1.6159479342388038e-08,3.4553371751481916e-10,3.695994905302969e-08,6.550980402831414e-08,5.928096978165387e-08,2.3850249445640658e-08,6.80197373957666e-08,2.441352366286391e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID082_LOC_RC020001-5.00x5.00-Z Height_Forward-251002-CRO_bb7af964.tiff,22,316,20.0585068271871,195.883855734249,88.0379746835443,59.870253164556964,859.7458465189874,584.6704410601266,0,0,0,8.597458465189873e-07,5.846704410601265e-07,316.0,3.013610839843749e-14,3.134180124223409e-14,2.4552841589033273e-08,3.213989698320415e-08,1.631204219880877e-08,4.599962200615988e-09,9.79419278671245e-08,1.7359754721319508e-07,1.2500821808386854e-07,7.775824177501339e-08,1.269725915476055e-07,7.326351097155834e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID082_LOC_RC020001-5.00x5.00-Z Height_Forward-251002-CRO_bb7af964.tiff,23,50,7.978845608028654,77.91841414090483,44.17999999999999,56.319999999999986,431.44531249999994,549.9999999999999,0,0,0,4.3144531249999995e-07,5.499999999999999e-07,50.0,4.768371582031249e-15,7.077064806176295e-15,2.9123226990135545e-08,4.369419781235399e-08,1.6533845037653574e-08,8.93196527259387e-09,3.895920707045241e-08,6.905339660024878e-08,5.6911220773689274e-08,2.7077852148129004e-08,5.961482881178877e-08,2.466114831813876e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID082_LOC_RC020001-5.00x5.00-Z Height_Forward-251002-CRO_bb7af964.tiff,24,2,1.5957691216057308,15.583682828180965,505.5,61.0,4936.5234375,595.703125,0,0,0,4.9365234375e-06,5.95703125e-07,2.0,1.9073486328124996e-16,1.9625036457868624e-16,1.6360084988778798e-08,1.6503574085845575e-08,1.621659589171202e-08,1.4348909706677661e-10,7.791841414090481e-09,1.3810679320049755e-08,1.1147109240018463e-08,5.5735546200092305e-09,1.0918300671385626e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID082_LOC_RC020001-5.00x5.00-Z Height_Forward-251002-CRO_bb7af964.tiff,25,2271,53.77292075100212,525.126179209005,271.75363276089826,126.07551739321885,2653.844069930647,1231.2062245431528,1,1,0,2.653844069930647e-06,1.2312062245431528e-06,2271.0,2.1657943725585934e-13,2.308259995861946e-13,2.580853562290976e-08,5.489344461705975e-08,1.615803032955313e-08,8.040675491648028e-09,2.625630896045025e-07,4.6538095927515054e-07,7.968152952299419e-07,1.1754087035153131e-07,7.558910818009973e-07,9.199145908423192e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID082_LOC_RC020001-5.00x5.00-Z Height_Forward-251002-CRO_bb7af964.tiff,26,784,31.594616678674353,308.5411785026792,468.7448979591836,76.30612244897958,4577.586894132653,745.1769770408163,0,0,0,4.577586894132652e-06,7.451769770408163e-07,784.0,7.476806640624999e-14,9.226564449002328e-14,3.142488806928559e-08,5.45976320689364e-08,1.6163824683920102e-08,1.0620614445789163e-08,1.542705892513396e-07,2.734375e-07,2.9578855001827454e-07,8.679549831582178e-08,2.962464683406656e-07,7.324140314216951e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID082_LOC_RC020001-5.00x5.00-Z Height_Forward-251002-CRO_bb7af964.tiff,27,405,22.708192698181442,221.75969431817813,324.0382716049382,90.1962962962963,3164.4362461419746,880.8232060185185,0,0,0,3.1644362461419747e-06,8.808232060185185e-07,405.0,3.862380981445312e-14,4.001651362569186e-14,2.10389908000823e-08,3.129232437479865e-08,1.6163666956313536e-08,3.806821472711878e-09,1.1087984715908905e-07,1.9652941208494243e-07,2.2699224575687406e-07,6.050639338164693e-08,2.2577451299630239e-07,5.201983990228278e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID082_LOC_RC020001-5.00x5.00-Z Height_Forward-251002-CRO_bb7af964.tiff,28,412,22.903595622322865,223.66792599924673,138.91019417475727,100.24271844660193,1356.544864987864,978.932797330097,0,0,0,1.356544864987864e-06,9.78932797330097e-07,412.0,3.929138183593749e-14,4.135507294697296e-14,2.1069308463775745e-08,3.719963730204052e-08,1.620945497445232e-08,4.117270258775929e-09,1.1183396299962335e-07,1.9822053838070738e-07,2.2596802039870494e-07,7.13179491672729e-08,2.2088382490971506e-07,5.896954853054924e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID082_LOC_RC020001-5.00x5.00-Z Height_Forward-251002-CRO_bb7af964.tiff,29,26,5.753627391751592,56.18776749757414,509.7692307692307,86.84615384615384,4978.215144230769,848.1069711538461,0,0,0,4.978215144230769e-06,8.48106971153846e-07,26.0,2.4795532226562493e-15,2.6750614463129855e-15,2.153712503216127e-08,2.7773410955258636e-08,1.7043734839411667e-08,3.487936293710532e-09,2.809388374878707e-08,4.979511243742953e-08,3.1926122600191847e-08,2.66799432248985e-08,4.020028073423603e-08,2.0516762849100162e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID082_LOC_RC020001-5.00x5.00-Z Height_Forward-251002-CRO_bb7af964.tiff,30,91,10.764051215546116,105.11768765181755,177.77472527472526,91.28021978021977,1736.0813015109889,891.4083962912086,0,0,0,1.736081301510989e-06,8.914083962912087e-07,91.0,8.678436279296874e-15,8.815828252688489e-15,1.830775620438393e-08,2.192491885942936e-08,1.617350309115065e-08,1.7658042154154894e-09,5.255884382590877e-08,9.315812513837359e-08,7.41376085683223e-08,3.826024215786876e-08,7.720661800396535e-08,3.436375516572029e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID082_LOC_RC020001-5.00x5.00-Z Height_Forward-251002-CRO_bb7af964.tiff,31,109,11.780624362746345,115.04515979244476,69.34403669724769,93.00458715596329,677.1878583715595,908.247921444954,0,0,0,6.771878583715595e-07,9.082479214449541e-07,109.0,1.0395050048828123e-14,1.06285434152577e-14,1.9874732409554404e-08,2.4890113147215034e-08,1.6188748276732396e-08,2.5070727885494725e-09,5.752257989622239e-08,1.0195611825107958e-07,6.590267507088128e-08,5.152117082659622e-08,7.47347214088221e-08,4.547103188671567e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID082_LOC_RC020001-5.00x5.00-Z Height_Forward-251002-CRO_bb7af964.tiff,32,366,21.587164551489145,210.81215382313619,97.20491803278688,100.17213114754098,949.2667776639344,978.2434682377049,0,0,0,9.492667776639343e-07,9.78243468237705e-07,366.0,3.490447998046874e-14,3.8002692605497354e-14,2.4172518487585287e-08,4.319525386847605e-08,1.619147917817135e-08,7.357717119171749e-09,1.0540607691156808e-07,1.8682740693075183e-07,1.1380577912431475e-07,1.053525285031367e-07,1.3011096389327474e-07,5.7895860274789776e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID082_LOC_RC020001-5.00x5.00-Z Height_Forward-251002-CRO_bb7af964.tiff,33,1,1.1283791670955126,11.019327803667116,349.5,92.49999999999999,3413.0859375,903.3203124999999,0,0,0,3.4130859375e-06,9.033203124999999e-07,1.0,9.536743164062498e-17,1.8252569941765616e-16,1.8357069220816562e-08,1.8357069220816562e-08,1.8357069220816562e-08,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.9053396600250456e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID082_LOC_RC020001-5.00x5.00-Z Height_Forward-251002-CRO_bb7af964.tiff,34,176,14.96964127403822,146.1879030667795,348.4090909090909,110.29545454545455,3402.4325284090905,1077.1040482954545,0,0,0,3.4024325284090907e-06,1.0771040482954545e-06,176.0,1.6784667968749996e-14,1.752736241202183e-14,2.1450187603149577e-08,2.78042530056769e-08,1.6269319956196956e-08,3.2334573723249915e-09,7.309395153338974e-08,1.295556558732578e-07,1.003838624116169e-07,5.6120328179371423e-08,1.1801619307179225e-07,4.88279176097767e-08
