source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID087_LOC_RC020020-5.00x5.00-Z Height_Forward-251002-CRO_c4289880.tiff,1,89,10.645107772184812,103.9561305877423,508.75842696629206,6.140449438202247,4968.344013342696,59.96532654494382,0,0,0,4.968344013342696e-06,5.996532654494382e-08,89.0,8.487701416015624e-15,9.803306343287555e-15,4.074287022061762e-08,5.605302562395622e-08,2.984956710142699e-08,6.097627047356252e-09,5.197806529387115e-08,9.212872199274027e-08,8.317300695813626e-08,3.569722482476091e-08,9.392607304966313e-08,3.1775949526082475e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID087_LOC_RC020020-5.00x5.00-Z Height_Forward-251002-CRO_c4289880.tiff,2,206,16.195287778099022,158.15710720799825,203.09223300970874,12.524271844660193,1983.322587985437,122.30734223300969,0,0,0,1.983322587985437e-06,1.223073422330097e-07,206.0,1.9645690917968746e-14,2.6022995794877916e-14,4.1473038525235425e-08,6.111566310074296e-08,2.9246747960243353e-08,6.8429845938111865e-09,7.907855360399913e-08,1.401630868594465e-07,9.117144108463601e-08,7.723050353881003e-08,1.0754143051960378e-07,3.8201622073687716e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID087_LOC_RC020020-5.00x5.00-Z Height_Forward-251002-CRO_c4289880.tiff,3,66,9.166995688475081,89.52144227026447,185.45454545454544,15.030303030303031,1811.0795454545453,146.78030303030303,0,0,0,1.8110795454545453e-06,1.4678030303030304e-07,66.0,6.294250488281249e-15,7.329786450190565e-15,3.6954701254954624e-08,4.2705206206938636e-08,2.9358471942811375e-08,4.298670252412551e-09,4.476072113513223e-08,7.933631254527304e-08,6.535094908526978e-08,3.097600056430967e-08,6.801521666982722e-08,2.929644562431821e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID087_LOC_RC020020-5.00x5.00-Z Height_Forward-251002-CRO_c4289880.tiff,4,2,1.5957691216057308,15.583682828180965,14.0,10.499999999999998,136.71875,102.53906249999999,0,0,0,1.3671875e-07,1.0253906249999999e-07,2.0,1.9073486328124996e-16,1.9660195153386482e-16,2.956275166095916e-08,2.956275166095916e-08,2.956275166095916e-08,0.0,7.791841414090481e-09,1.3810679320049755e-08,1.1147109240018463e-08,5.5735546200092305e-09,1.091830067138569e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID087_LOC_RC020020-5.00x5.00-Z Height_Forward-251002-CRO_c4289880.tiff,5,1,1.1283791670955126,11.019327803667116,9.499999999999998,14.5,92.77343749999999,141.6015625,0,0,0,9.277343749999999e-08,1.416015625e-07,1.0,9.536743164062498e-17,9.590167096641465e-17,2.9201742928306774e-08,2.9201742928306774e-08,2.9201742928306774e-08,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.905339660024887e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID087_LOC_RC020020-5.00x5.00-Z Height_Forward-251002-CRO_c4289880.tiff,6,83,10.280023453913834,100.39085404212729,486.87349397590356,21.716867469879517,4754.623964608433,212.07878388554215,0,0,0,4.754623964608433e-06,2.1207878388554215e-07,83.0,7.915496826171873e-15,9.497405760701023e-15,3.654710377326463e-08,4.684699983070909e-08,2.9120410837914654e-08,5.4740590345998125e-09,5.019542702106364e-08,8.896907792133103e-08,8.59837372982101e-08,3.05047590814435e-08,8.9769625275794e-08,2.9296792399994585e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID087_LOC_RC020020-5.00x5.00-Z Height_Forward-251002-CRO_c4289880.tiff,7,20,5.046265044040321,49.27993207070626,187.99999999999997,22.999999999999996,1835.9374999999998,224.60937499999997,0,0,0,1.8359374999999997e-06,2.2460937499999998e-07,20.0,1.9073486328124997e-15,2.459416704869841e-15,3.6245114829543776e-08,4.2788342689282096e-08,2.990563257485706e-08,3.751117892519955e-09,2.4639966035353124e-08,4.367320268554276e-08,3.430808116992217e-08,1.8200809421934405e-08,3.521046167445307e-08,1.5139062381953742e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID087_LOC_RC020020-5.00x5.00-Z Height_Forward-251002-CRO_c4289880.tiff,8,143,13.493452297211721,131.7719950899582,132.6818181818182,34.92657342657342,1295.7208806818182,341.07981861888106,0,0,0,1.2957208806818182e-06,3.410798186188811e-07,143.0,1.3637542724609372e-14,1.4199825388186635e-14,3.487981585272672e-08,4.1583423212375785e-08,2.9145953708739046e-08,3.476264070370092e-09,6.58859975449791e-08,1.1677989006934958e-07,8.502231450668351e-08,5.1516705824781834e-08,8.735790728064944e-08,4.503902652744183e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID087_LOC_RC020020-5.00x5.00-Z Height_Forward-251002-CRO_c4289880.tiff,9,40,7.136496464611085,69.69234828721763,436.8749999999999,28.575,4266.357421874999,279.052734375,0,0,0,4.266357421874999e-06,2.79052734375e-07,40.0,3.8146972656249994e-15,3.961277502966221e-15,3.159191672706606e-08,3.3446455437752136e-08,2.964863166337479e-08,1.1507354372342902e-09,3.484617414360881e-08,6.176323555016365e-08,7.870412814801415e-08,1.577517711183857e-08,7.469438087482313e-08,1.4648437499999999e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID087_LOC_RC020020-5.00x5.00-Z Height_Forward-251002-CRO_c4289880.tiff,10,7,2.985410660720923,29.154400983602766,281.5,29.499999999999993,2749.0234375,288.08593749999994,0,0,0,2.7490234375e-06,2.8808593749999996e-07,7.0,6.675720214843749e-16,6.878047854717901e-16,3.036176771913268e-08,3.054471413943963e-08,2.958380923049921e-08,3.1989481136096615e-10,1.4577200491801383e-08,2.583741514711514e-08,1.867764897222246e-08,1.170009829289905e-08,2.0716018980074802e-08,9.765340963137377e-09
