source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID093_LOC_RC021010-5.00x5.00-Z Height_Forward-251002-CRO_24ca1825.tiff,1,1,1.1283791670955126,11.019327803667116,108.49999999999997,0.5,1059.5703124999998,4.8828125,0,0,0,1.0595703124999998e-06,4.8828124999999996e-09,1.0,9.536743164062498e-17,9.537071579948394e-17,2.7057477456931735e-10,2.7057477456931735e-10,2.7057477456931735e-10,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.905339660024887e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID093_LOC_RC021010-5.00x5.00-Z Height_Forward-251002-CRO_24ca1825.tiff,2,3,1.9544100476116797,19.08603562120781,128.5,0.5,1254.8828125,4.8828125,0,0,0,1.2548828125e-06,4.8828124999999996e-09,3.0,2.8610229492187495e-16,2.8617026523333616e-16,2.990179749776035e-10,3.232277699272471e-10,2.8440296006864557e-10,1.7241158471537342e-11,9.543017810603905e-09,1.6914558667664815e-08,1.6720663860027693e-08,5.573554620009231e-09,1.5440808887540952e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID093_LOC_RC021010-5.00x5.00-Z Height_Forward-251002-CRO_24ca1825.tiff,3,1,1.1283791670955126,11.019327803667116,140.49999999999997,0.5,1372.0703124999998,4.8828125,0,0,0,1.3720703124999998e-06,4.8828124999999996e-09,1.0,9.536743164062498e-17,9.538594575455462e-17,2.7677592308776015e-10,2.7677592308776015e-10,2.7677592308776015e-10,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.905339660024887e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID093_LOC_RC021010-5.00x5.00-Z Height_Forward-251002-CRO_24ca1825.tiff,4,12,3.9088200952233594,38.17207124241562,168.99999999999997,4.0,1650.3906249999998,39.0625,0,0,0,1.6503906249999999e-06,3.9062499999999997e-08,12.0,1.1444091796874998e-15,1.1445060420703012e-15,2.999901575312124e-10,3.109278409026176e-10,2.941114234176469e-10,5.607458056872806e-12,1.908603562120781e-08,3.382911733532963e-08,3.3441327720055386e-08,1.1147109240018463e-08,3.0881617775081904e-08,9.755859375e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID093_LOC_RC021010-5.00x5.00-Z Height_Forward-251002-CRO_24ca1825.tiff,5,39,7.046725639945928,68.81568007759695,179.5,5.499999999999999,1752.9296875,53.71093749999999,0,0,0,1.7529296875e-06,5.3710937499999995e-08,39.0,3.719329833984374e-15,3.719677520506037e-15,3.01755606233211e-10,3.6086079709692463e-10,2.6859187786781117e-10,2.7358461871181616e-11,3.440784003879848e-08,6.098630857810935e-08,4.4777037731293114e-08,2.7310706260946334e-08,5.027163154778819e-08,2.4413278142169508e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID093_LOC_RC021010-5.00x5.00-Z Height_Forward-251002-CRO_24ca1825.tiff,6,8,3.1915382432114616,31.16736565636193,155.99999999999997,4.999999999999999,1523.4374999999998,48.82812499999999,0,0,0,1.5234374999999998e-06,4.8828124999999996e-08,8.0,7.629394531249998e-16,7.629853525542904e-16,2.791962605047563e-10,2.842721863998423e-10,2.71655140633929e-10,5.366899883677757e-12,1.5583682828180962e-08,2.762135864009951e-08,2.2294218480036925e-08,1.1147109240018461e-08,2.183660134277143e-08,9.755859375e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID093_LOC_RC021010-5.00x5.00-Z Height_Forward-251002-CRO_24ca1825.tiff,7,5,2.5231325220201604,24.63996603535313,237.5,5.499999999999999,2319.3359375,53.71093749999999,0,0,0,2.3193359375e-06,5.3710937499999995e-08,5.0,4.768371582031249e-16,4.768452284152277e-16,2.9077999868923947e-10,3.1243677708348724e-10,2.782857537684845e-10,1.2359963292966003e-11,1.2319983017676562e-08,2.183660134277138e-08,2.7867773100046154e-08,5.573554620009234e-09,2.489755621871504e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID093_LOC_RC021010-5.00x5.00-Z Height_Forward-251002-CRO_24ca1825.tiff,8,10,3.5682482323055424,34.84617414360881,257.0,5.499999999999999,2509.765625,53.71093749999999,0,0,0,2.509765625e-06,5.3710937499999995e-08,10.0,9.536743164062499e-16,9.542733723322341e-16,3.4712814573707746e-10,3.817611019119598e-10,2.7887300802886113e-10,3.669417006978432e-11,1.7423087071804404e-08,3.0881617775081825e-08,5.573554620009231e-08,5.573554620009218e-09,4.907165830625448e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID093_LOC_RC021010-5.00x5.00-Z Height_Forward-251002-CRO_24ca1825.tiff,9,2,1.5957691216057308,15.583682828180965,210.49999999999994,7.0,2055.6640624999995,68.359375,0,0,0,2.0556640624999997e-06,6.8359375e-08,2.0,1.9073486328124996e-16,1.9074710226743374e-16,2.750853466304143e-10,2.750853466304143e-10,2.750853466304143e-10,0.0,7.791841414090481e-09,1.3810679320049755e-08,1.1147109240018463e-08,5.5735546200092305e-09,1.0918300671385792e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID093_LOC_RC021010-5.00x5.00-Z Height_Forward-251002-CRO_24ca1825.tiff,10,2,1.5957691216057308,15.583682828180965,212.49999999999994,7.0,2075.1953124999995,68.359375,0,0,0,2.0751953124999997e-06,6.8359375e-08,2.0,1.9073486328124996e-16,1.9074657830323232e-16,2.7656328761132046e-10,2.7656328761132046e-10,2.7656328761132046e-10,0.0,7.791841414090481e-09,1.3810679320049755e-08,1.1147109240018463e-08,5.5735546200092305e-09,1.0918300671385792e-08,4.8779296875e-09
