source_file,mode,metric_type,count_total,count_total_raw,count_total_filtered,count_isolated,mean_diam_nm,std_diam_nm,threshold,threshold_source,edge_excluded_count,diam_min_nm,diam_max_nm,iso_min_dist_nm,nx,ny,row_idx,col_idx
PEGDA01TPO10SiNPSam02_S2_P__GrID001_LOC_RC001001-5.00x5.00-Z Height_Forward-251001-CRO_ba51b389.tiff,particle_count_align_medianbg_max_fixed0_p95,particle_count,3,46,3,1,430.85688879853643,61.860565400051726,3.487564359252857e-08,"max(mean,fixed,p95.0)",0,350.0,550.0,900.0,512,512,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID002_LOC_RC001002-5.00x5.00-Z Height_Forward-251001-CRO_193472e3.tiff,particle_count_align_medianbg_max_fixed0_p95,particle_count,3,52,3,3,369.60274194516916,10.909726491178992,2.4740167240283526e-08,"max(mean,fixed,p95.0)",0,350.0,550.0,900.0,512,512,0,1
PEGDA01TPO10SiNPSam02_S2_P__GrID003_LOC_RC001005-5.00x5.00-Z Height_Forward-251001-CRO_2665debb.tiff,particle_count_align_medianbg_max_fixed0_p95,particle_count,0,127,0,0,0.0,0.0,3.1156702795913844e-08,"max(mean,fixed,p95.0)",0,350.0,550.0,900.0,512,512,0,4
PEGDA01TPO10SiNPSam02_S2_P__GrID004_LOC_RC001006-5.00x5.00-Z Height_Forward-251001-CRO_2ef8a184.tiff,particle_count_align_medianbg_max_fixed0_p95,particle_count,0,87,0,0,0.0,0.0,2.7693151087066537e-08,"max(mean,fixed,p95.0)",0,350.0,550.0,900.0,512,512,0,5
PEGDA01TPO10SiNPSam02_S2_P__GrID005_LOC_RC001010-5.00x5.00-Z Height_Forward-251001-CRO_4e7c49d0.tiff,particle_count_align_medianbg_max_fixed0_p95,particle_count,1,95,1,1,405.77468328097314,0.0,3.922396732016949e-08,"max(mean,fixed,p95.0)",0,350.0,550.0,900.0,512,512,0,9
PEGDA01TPO10SiNPSam02_S2_P__GrID006_LOC_RC001011-5.00x5.00-Z Height_Forward-251001-CRO_aa46e01d.tiff,particle_count_align_medianbg_max_fixed0_p95,particle_count,4,91,4,2,382.58413845369586,16.76685966109423,1.575562347885836e-08,"max(mean,fixed,p95.0)",0,350.0,550.0,900.0,512,512,0,10
PEGDA01TPO10SiNPSam02_S2_P__GrID007_LOC_RC001012-5.00x5.00-Z Height_Forward-251001-CRO_d81f5c11.tiff,particle_count_align_medianbg_max_fixed0_p95,particle_count,3,176,3,3,411.51355410903756,19.21165691753042,4.5499456888440106e-09,"max(mean,fixed,p95.0)",0,350.0,550.0,900.0,512,512,0,11
PEGDA01TPO10SiNPSam02_S2_P__GrID008_LOC_RC001020-5.00x5.00-Z Height_Forward-251001-CRO_b40ceabc.tiff,particle_count_align_medianbg_max_fixed0_p95,particle_count,3,101,3,3,433.16762440393995,73.70542522280377,2.1795839885028043e-08,"max(mean,fixed,p95.0)",0,350.0,550.0,900.0,512,512,0,19
PEGDA01TPO10SiNPSam02_S2_P__GrID009_LOC_RC001021-5.00x5.00-Z Height_Forward-251001-CRO_c294bcfb.tiff,particle_count_align_medianbg_max_fixed0_p95,particle_count,3,137,3,0,376.9954357070349,24.28948977712438,1.5939285997535746e-08,"max(mean,fixed,p95.0)",0,350.0,550.0,900.0,512,512,0,20
PEGDA01TPO10SiNPSam02_S2_P__GrID010_LOC_RC002001-5.00x5.00-Z Height_Forward-251001-CRO_6df84bcd.tiff,particle_count_align_medianbg_max_fixed0_p95,particle_count,2,24,2,2,429.57459390778985,40.13839121138636,1.852282791624624e-09,"max(mean,fixed,p95.0)",0,350.0,550.0,900.0,512,512,1,0
