source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID005_LOC_RC001010-5.00x5.00-Z Height_Forward-251001-CRO_4e7c49d0.tiff,1,15,4.370193722368317,42.677673070003095,7.299999999999999,2.433333333333333,71.28906249999999,23.763020833333332,0,0,0,7.128906249999999e-08,2.3763020833333333e-08,15.0,1.4305114746093746e-15,2.146074796436563e-15,9.110212538362389e-09,1.494805418118341e-08,1.104100081755223e-09,4.210525624547519e-09,2.1338836535001545e-08,3.78221029903068e-08,2.684363908835216e-08,1.754683367547389e-08,2.8471526476755462e-08,1.4648437499999999e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID005_LOC_RC001010-5.00x5.00-Z Height_Forward-251001-CRO_4e7c49d0.tiff,2,6357,89.96657037967731,878.5797888640362,62.61892402076451,53.738319962246344,611.5129298902784,524.788280881312,0,0,0,6.115129298902784e-07,5.247882808813119e-07,6357.0,6.06250762939453e-13,9.09595206449871e-13,1.4082758742694431e-08,8.741733789309672e-08,-9.479336802431186e-10,1.4677549340940523e-08,4.392898944320181e-07,7.786210650499079e-07,6.936865770184931e-07,3.6618933888100877e-07,9.048803003602065e-07,1.1718648785333234e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID005_LOC_RC001010-5.00x5.00-Z Height_Forward-251001-CRO_4e7c49d0.tiff,3,139,13.303394180365686,129.91595879263366,107.28417266187049,2.4856115107913666,1047.696998651079,24.27354991007194,0,0,0,1.047696998651079e-06,2.427354991007194e-08,139.0,1.3256072998046872e-14,1.5614223491356024e-14,1.3926640708757666e-08,3.250596081991384e-08,-1.7094158017221925e-10,8.827694282716142e-09,6.495797939631682e-08,1.1513502072804292e-07,1.586653034444774e-07,2.7191315544186537e-08,1.581833963198775e-07,2.4413278142169508e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID005_LOC_RC001010-5.00x5.00-Z Height_Forward-251001-CRO_4e7c49d0.tiff,4,2806,59.77215206537963,583.7124225134729,153.26336421952956,24.158588738417674,1496.7125412063435,235.9237181486101,0,0,0,1.4967125412063434e-06,2.359237181486101e-07,2806.0,2.676010131835937e-13,3.24474254878535e-13,1.3513392945370529e-08,4.931368860159928e-08,-9.480764979231571e-10,1.0352657704777382e-08,2.9185621125673647e-07,5.173016655526963e-07,3.512255072169819e-07,2.507747169675421e-07,3.8895865610368256e-07,1.817565001462041e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID005_LOC_RC001010-5.00x5.00-Z Height_Forward-251001-CRO_4e7c49d0.tiff,5,1889,49.04232355837886,478.92894099979355,236.87427210164108,15.62811011116993,2313.2253134925886,152.61826280439385,0,0,1,2.3132253134925886e-06,1.5261826280439386e-07,1889.0,1.8014907836914058e-13,1.8535534670896075e-13,6.426259822391814e-09,2.3217884513488968e-08,-9.471717395797505e-10,5.647349035637452e-09,2.394644704998968e-07,4.2443972289259237e-07,3.512857247104023e-07,1.746012896926285e-07,3.593348583955586e-07,1.5992787199885027e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID005_LOC_RC001010-5.00x5.00-Z Height_Forward-251001-CRO_4e7c49d0.tiff,6,912,34.07630356711932,332.77640202264956,300.50328947368416,17.617324561403507,2934.602436266447,172.04418516995614,0,0,0,2.934602436266447e-06,1.7204418516995614e-07,912.0,8.697509765624998e-14,8.917485395967425e-14,4.010793547047369e-09,1.280783125149651e-08,-9.518450867501112e-10,3.692472761734429e-09,1.6638820101132476e-07,2.9491540762776366e-07,2.620964375810567e-07,1.2046344721815126e-07,2.904351413348116e-07,8.161383723690328e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID005_LOC_RC001010-5.00x5.00-Z Height_Forward-251001-CRO_4e7c49d0.tiff,7,580,27.17496892263898,265.3805558851463,345.92068965517234,5.763793103448275,3378.1317349137926,56.28704202586206,0,0,0,3.3781317349137927e-06,5.628704202586206e-08,580.0,5.531311035156249e-14,6.863434712980615e-14,1.3327638494455264e-08,9.160995975558183e-08,-9.191181587302034e-10,1.5175847840552233e-08,1.3269027794257313e-07,2.35187394117037e-07,2.911580080394329e-07,7.067348029869416e-08,3.1753354585441315e-07,7.200727410423887e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID005_LOC_RC001010-5.00x5.00-Z Height_Forward-251001-CRO_4e7c49d0.tiff,8,15,4.370193722368317,42.677673070003095,377.69999999999993,0.9,3688.4765624999995,8.7890625,0,0,0,3.6884765624999996e-06,8.7890625e-09,15.0,1.4305114746093746e-15,2.318478815353767e-15,1.579446445507204e-08,2.7042840333178333e-08,8.009653379153377e-10,8.820806490791423e-09,2.1338836535001545e-08,3.78221029903068e-08,4.4028080064654615e-08,1.0812915476009891e-08,4.4216142935094234e-08,9.765037057899877e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID005_LOC_RC001010-5.00x5.00-Z Height_Forward-251001-CRO_4e7c49d0.tiff,9,691,29.661566469288122,289.6637350516418,412.2409551374819,8.837192474674383,4025.7905775144714,86.30070776049203,0,0,0,4.025790577514471e-06,8.630070776049204e-08,691.0,6.589889526367187e-14,7.243010356981392e-14,1.5862534012669616e-08,2.867946176635198e-08,-9.182122106861314e-10,7.744817055879934e-09,1.448318675258209e-07,2.567078013299788e-07,2.0831115128516686e-07,1.0409753207136412e-07,2.2971999159290688e-07,9.277242535333233e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID005_LOC_RC001010-5.00x5.00-Z Height_Forward-251001-CRO_4e7c49d0.tiff,10,1559,44.55311942212485,435.089056856688,478.7052597819114,16.19788325849904,4674.856052557729,158.18245369627968,0,0,1,4.674856052557729e-06,1.5818245369627967e-07,1559.0,1.4867782592773434e-13,1.578994557421538e-13,4.015683595612871e-09,1.7435359258770712e-08,-9.465177182178017e-10,3.475647379584985e-09,2.17544528428344e-07,3.855876371562428e-07,3.7577193490927876e-07,1.392374557016358e-07,3.909484256166155e-07,9.134128725980391e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID005_LOC_RC001010-5.00x5.00-Z Height_Forward-251001-CRO_4e7c49d0.tiff,11,11,3.742410318509555,36.54697576669488,2.5909090909090904,9.045454545454545,25.301846590909086,88.33451704545453,0,0,0,2.5301846590909088e-08,8.833451704545454e-08,11.0,1.0490417480468747e-15,1.6954125473726994e-15,7.246548347407186e-09,1.4606691848363858e-08,0.0,4.579786729300559e-09,1.8273487883347434e-08,3.238891396831445e-08,3.086572724931249e-08,1.155930067723226e-08,3.1271663183212133e-08,9.765340963137379e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID005_LOC_RC001010-5.00x5.00-Z Height_Forward-251001-CRO_4e7c49d0.tiff,12,1,1.1283791670955126,11.019327803667116,0.5,14.5,4.8828125,141.6015625,0,0,0,4.8828124999999996e-09,1.416015625e-07,1.0,9.536743164062498e-17,1.5804400099843035e-16,5.2568524608487075e-09,5.2568524608487075e-09,5.2568524608487075e-09,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.905339660024887e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID005_LOC_RC001010-5.00x5.00-Z Height_Forward-251001-CRO_4e7c49d0.tiff,13,5110,80.6613542757415,787.7085378490381,326.5720156555772,51.87025440313111,3189.1798403864964,506.54545315557726,0,0,0,3.1891798403864965e-06,5.065454531555773e-07,5110.0,4.873275756835936e-13,7.035545805347769e-13,2.1800745606860755e-08,1.6991838023639237e-07,-9.435858335929317e-10,2.5775455833815204e-08,3.93854268924519e-07,6.980885156508404e-07,1.053108112010666e-06,2.0770995979207357e-07,1.2173726841377017e-06,1.3222579091154739e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID005_LOC_RC001010-5.00x5.00-Z Height_Forward-251001-CRO_4e7c49d0.tiff,14,67,9.23618154310838,90.19708538191777,2.8582089552238807,26.9776119402985,27.91219682835821,263.45324160447757,0,0,0,2.791219682835821e-08,2.634532416044776e-07,67.0,6.389617919921874e-15,9.401200585857861e-15,1.33221249864359e-08,2.8567903884034642e-08,-3.3362939066566304e-10,7.729545966934924e-09,4.5098542690958887e-08,7.993508566281688e-08,8.08430602617445e-08,2.650436554085214e-08,8.052971016596099e-08,2.441352366286391e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID005_LOC_RC001010-5.00x5.00-Z Height_Forward-251001-CRO_4e7c49d0.tiff,15,58,8.593479713983122,83.92070033186643,307.94827586206895,31.51724137931034,3007.307381465517,307.78556034482756,0,0,0,3.007307381465517e-06,3.0778556034482756e-07,58.0,5.531311035156249e-15,5.856659354187091e-15,1.2642909452677955e-09,3.8569472726899744e-09,-8.442094126056516e-10,1.5236587312272352e-09,4.196035016593321e-08,7.437278423695222e-08,1.1613850426210388e-07,1.582861908911119e-08,1.1241193292042848e-07,1.4648437499999999e-08
