source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID009_LOC_RC001021-5.00x5.00-Z Height_Forward-251001-CRO_c294bcfb.tiff,1,8949,106.74371497111655,1042.41909151481,78.0583864118896,35.22220359816739,762.2889298036093,343.9668320133534,0,0,0,7.622889298036093e-07,3.439668320133534e-07,8949.0,8.534431457519529e-13,8.61443232992408e-13,2.6182363049956182e-09,2.8476142260700524e-08,2.651740327991988e-10,2.177461198424815e-09,5.21209545757405e-07,9.238198665064271e-07,9.184074521166752e-07,3.1905662277915694e-07,9.04089268236062e-07,2.3159037331735405e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID009_LOC_RC001021-5.00x5.00-Z Height_Forward-251001-CRO_c294bcfb.tiff,2,108,11.726460285670077,114.51621372724685,156.39814814814812,2.5740740740740735,1527.3256655092591,25.137442129629626,0,0,0,1.527325665509259e-06,2.5137442129629625e-08,108.0,1.0299682617187498e-14,1.0346600747336138e-14,7.720505754102598e-10,1.427396700815854e-09,2.744138681669311e-10,3.1414942975932693e-10,5.725810686362343e-08,1.0148735200598889e-07,1.2167161590360693e-07,2.740670551941548e-08,1.1325724571370658e-07,2.441327814216951e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID009_LOC_RC001021-5.00x5.00-Z Height_Forward-251001-CRO_c294bcfb.tiff,3,21,5.170882945826411,50.496903767836045,187.5,0.5,1831.0546875,4.8828125,0,0,0,1.8310546875e-06,4.8828124999999996e-09,21.0,2.0027160644531244e-15,2.8911784626345056e-15,3.841583068632043e-09,6.507202795733123e-09,9.240250593164734e-10,2.007859789740824e-09,2.524845188391802e-08,4.475171577105312e-08,1.1704464702019385e-07,5.573554620009248e-09,1.026552541095151e-07,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID009_LOC_RC001021-5.00x5.00-Z Height_Forward-251001-CRO_c294bcfb.tiff,4,357,21.320096563347295,208.20406800143843,234.5140056022409,4.421568627450981,2290.1758359593837,43.17938112745098,0,0,0,2.2901758359593836e-06,4.317938112745098e-08,357.0,3.4046173095703114e-14,3.8451014031492845e-14,7.751960009326464e-09,2.7951009863525542e-08,2.9818853156125755e-10,6.129622186955393e-09,1.041020340007192e-07,1.845160510516717e-07,2.5062373695009494e-07,5.0549692012063715e-08,3.174203962350145e-07,4.972755366955931e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID009_LOC_RC001021-5.00x5.00-Z Height_Forward-251001-CRO_c294bcfb.tiff,5,7,2.985410660720923,29.154400983602766,276.49999999999994,0.5,2700.1953124999995,4.8828125,0,0,0,2.7001953124999997e-06,4.8828124999999996e-09,7.0,6.675720214843749e-16,7.558780703121736e-16,2.526591628660573e-09,4.048727679477278e-09,2.97220547449368e-10,1.4822459059926403e-09,1.4577200491801383e-08,2.583741514711514e-08,3.901488234006462e-08,5.573554620009241e-09,3.452669830012427e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID009_LOC_RC001021-5.00x5.00-Z Height_Forward-251001-CRO_c294bcfb.tiff,6,34,6.579524642479541,64.25317033671426,301.99999999999994,0.5,2949.2187499999995,4.8828125,0,0,0,2.9492187499999997e-06,4.8828124999999996e-09,34.0,3.2424926757812495e-15,3.4794214876223162e-15,2.27240708983954e-09,5.614423402536437e-09,3.9116433460011576e-10,1.6490609283160907e-09,3.212658516835713e-08,5.694288959809863e-08,1.8950085708031387e-07,5.5735546200094075e-09,1.66087415543896e-07,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID009_LOC_RC001021-5.00x5.00-Z Height_Forward-251001-CRO_c294bcfb.tiff,7,3,1.9544100476116797,19.08603562120781,324.49999999999994,0.5,3168.9453124999995,4.8828125,0,0,0,3.1689453124999996e-06,4.8828124999999996e-09,3.0,2.8610229492187495e-16,2.963990733676317e-16,1.1525433067932806e-09,1.8398855857892143e-09,3.162858552888922e-10,6.308569997221137e-10,9.543017810603905e-09,1.6914558667664815e-08,1.6720663860027693e-08,5.573554620009231e-09,1.544080888754115e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID009_LOC_RC001021-5.00x5.00-Z Height_Forward-251001-CRO_c294bcfb.tiff,8,13,4.068428945128219,39.73075141726777,335.2692307692308,0.6538461538461539,3274.113581730769,6.385216346153846,0,0,0,3.274113581730769e-06,6.385216346153846e-09,13.0,1.2397766113281247e-15,1.2712142090376588e-15,1.5098402604052231e-09,3.4793336822108388e-09,5.088120027717377e-10,1.0701703334064014e-09,1.986537570863388e-08,3.5210461674453015e-08,5.4329111325184196e-08,8.33680636926177e-09,5.393347301252512e-08,9.76199246787011e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID009_LOC_RC001021-5.00x5.00-Z Height_Forward-251001-CRO_c294bcfb.tiff,9,4,2.256758334191025,22.03865560733423,371.49999999999994,0.7499999999999999,3627.9296874999995,7.324218749999999,0,0,0,3.6279296874999996e-06,7.324218749999999e-09,4.0,3.814697265624999e-16,3.822137092408095e-16,6.692880853554258e-10,7.813734343852053e-10,5.931570289516038e-10,6.893007107824187e-11,1.1019327803667115e-08,1.9531249999999998e-08,1.4111513781052305e-08,9.615375847915184e-09,1.5445237736001215e-08,6.100233627323887e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID009_LOC_RC001021-5.00x5.00-Z Height_Forward-251001-CRO_c294bcfb.tiff,10,11027,118.4905585259629,1157.1343606051064,378.33186723496874,75.67910583114174,3694.6471409664914,739.0537678822435,0,0,0,3.6946471409664913e-06,7.390537678822435e-07,11027.0,1.0516166687011717e-12,1.0632892222391574e-12,3.87650054650449e-09,2.2849558088570315e-08,2.6583250255619827e-10,3.3247758949486455e-09,5.785671803025532e-07,1.0254836267348064e-06,1.0440672830624285e-06,5.163438263156545e-07,1.322777672034925e-06,1.0722909314758499e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID009_LOC_RC001021-5.00x5.00-Z Height_Forward-251001-CRO_c294bcfb.tiff,11,1453,43.01182463579279,420.037349958914,489.62525808671705,30.233654507914657,4781.496661003096,295.2505323038541,0,0,1,4.781496661003096e-06,2.952505323038541e-07,1453.0,1.3856887817382808e-13,1.409940246344501e-13,3.2708121666700316e-09,1.495143113485061e-08,2.7002606746226015e-10,2.6018336256118562e-09,2.1001867497945697e-07,3.7224840922941243e-07,3.339144589085004e-07,1.6936506514463975e-07,3.8767839199130116e-07,7.583151363483515e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID009_LOC_RC001021-5.00x5.00-Z Height_Forward-251001-CRO_c294bcfb.tiff,12,41,7.225151993843567,70.55812493987858,288.5243902439024,6.1585365853658525,2817.6209984756097,60.141958841463406,0,0,0,2.8176209984756095e-06,6.01419588414634e-08,41.0,3.9100646972656245e-15,4.029354447240551e-15,9.422377874987782e-10,1.7202931815043332e-09,3.7129988352224965e-10,4.577760300063677e-10,3.5279062469939287e-08,6.253051013118015e-08,6.869953103080981e-08,2.032854996816849e-08,7.340536353548104e-08,1.627250546947846e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID009_LOC_RC001021-5.00x5.00-Z Height_Forward-251001-CRO_c294bcfb.tiff,13,37,6.863662517577698,67.0279542732197,308.2567567567568,5.527027027027026,3010.319890202703,53.97487331081081,0,0,0,3.0103198902027028e-06,5.397487331081081e-08,37.0,3.5285949707031243e-15,3.6224267989880884e-15,2.0706170036411766e-09,3.6119922231565014e-09,6.443273511828037e-10,1.0498816547991807e-09,3.351397713660985e-08,5.9401977834943545e-08,4.4062740578398406e-08,2.6197505583691885e-08,4.653296700933325e-08,2.4412165602367854e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID009_LOC_RC001021-5.00x5.00-Z Height_Forward-251001-CRO_c294bcfb.tiff,14,257,18.089294154193436,176.65326322454527,351.352140077821,12.083657587548636,3431.1732429474705,118.00446862840465,0,0,0,3.4311732429474703e-06,1.1800446862840466e-07,257.0,2.450942993164062e-14,2.4595998684997584e-14,1.17291323720375e-09,2.870968156982399e-09,2.65521077788131e-10,6.711032414707159e-10,8.832663161227264e-08,1.565548783386855e-07,1.406568967562035e-07,7.754702581494351e-08,1.5746658365149972e-07,4.231707863959672e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID009_LOC_RC001021-5.00x5.00-Z Height_Forward-251001-CRO_c294bcfb.tiff,15,65,9.09728368293446,88.84066096615683,196.14615384615382,6.469230769230769,1915.489783653846,63.17608173076923,0,0,0,1.915489783653846e-06,6.317608173076923e-08,65.0,6.198883056640624e-15,6.9139655246273924e-15,2.195093159753252e-09,4.514893396708377e-09,5.314632273089993e-10,1.1301820344138925e-09,4.442033048307842e-08,7.873298582322802e-08,1.2116015074975783e-07,1.67487371647749e-08,1.1325640598536159e-07,1.4648437499999999e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID009_LOC_RC001021-5.00x5.00-Z Height_Forward-251001-CRO_c294bcfb.tiff,16,8,3.1915382432114616,31.16736565636193,276.0,6.25,2695.3125,61.03515625,0,0,0,2.6953125e-06,6.103515625e-08,8.0,7.629394531249998e-16,7.944340256799323e-16,1.0765550068651482e-09,1.4678544856789479e-09,3.019591156941608e-10,4.5886913252329956e-10,1.5583682828180962e-08,2.762135864009951e-08,1.683205112802225e-08,1.618854839965982e-08,2.1842288142767556e-08,9.76519647446855e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID009_LOC_RC001021-5.00x5.00-Z Height_Forward-251001-CRO_c294bcfb.tiff,17,13,4.068428945128219,39.73075141726777,323.1923076923077,6.4230769230769225,3156.174879807692,62.72536057692307,0,0,0,3.156174879807692e-06,6.272536057692307e-08,13.0,1.2397766113281247e-15,1.2582466570098378e-15,1.1412221589230349e-09,1.9300539334784946e-09,3.323300867410337e-10,4.914677938614471e-10,1.986537570863388e-08,3.5210461674453015e-08,2.5050237652077997e-08,1.641766953652934e-08,2.847184951458679e-08,1.4648437499999999e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID009_LOC_RC001021-5.00x5.00-Z Height_Forward-251001-CRO_c294bcfb.tiff,18,7,2.985410660720923,29.154400983602766,331.21428571428567,6.357142857142857,3234.514508928571,62.08147321428571,0,0,0,3.234514508928571e-06,6.208147321428571e-08,7.0,6.675720214843749e-16,6.719057797122629e-16,4.3481782514437707e-10,8.595222615849654e-10,2.7752418922702447e-10,1.8301647545672888e-10,1.4577200491801383e-08,2.583741514711514e-08,1.7738634393347757e-08,1.2856740390864866e-08,2.0716859680727763e-08,9.765196474468546e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID009_LOC_RC001021-5.00x5.00-Z Height_Forward-251001-CRO_c294bcfb.tiff,19,8,3.1915382432114616,31.16736565636193,366.5,7.0,3579.1015625,68.359375,0,0,0,3.5791015625e-06,6.8359375e-08,8.0,7.629394531249998e-16,7.637946912194027e-16,3.5517122862939236e-10,3.7594628410273736e-10,2.834934361728779e-10,2.8110223483891537e-11,1.5583682828180962e-08,2.762135864009951e-08,1.742880068080589e-08,1.458198084006017e-08,2.0132351687586285e-08,1.0915895733353843e-08
