source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID019_LOC_RC005001-5.00x5.00-Z Height_Forward-251001-CRO_72520118.tiff,1,363,21.498510523728477,209.9463918332859,11.695592286501375,7.263085399449035,114.21476842286499,70.92856835399448,0,0,0,1.14214768422865e-07,7.092856835399448e-08,363.0,3.461837768554687e-14,3.9046769576015286e-14,8.970264234770562e-09,5.388653985598122e-08,-5.224609102353006e-10,9.1185349919284e-09,1.0497319591664295e-07,1.8606014534431297e-07,1.6059668458676795e-07,7.69043037005678e-08,1.8168074675614613e-07,5.816997283154996e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID019_LOC_RC005001-5.00x5.00-Z Height_Forward-251001-CRO_72520118.tiff,2,1570,44.710022201226934,436.6213105588568,70.59235668789809,22.97133757961783,689.3784832802547,224.3294685509554,1,0,0,6.893784832802547e-07,2.2432946855095539e-07,1570.0,1.4972686767578121e-13,1.6578946993813735e-13,2.226994074826231e-08,5.04647829561294e-08,-5.241734228365154e-10,1.335763052262964e-08,2.1831065527942838e-07,3.869455616437294e-07,3.124811309548319e-07,1.5857945386011623e-07,3.4395215696678953e-07,1.4678612905284521e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID019_LOC_RC005001-5.00x5.00-Z Height_Forward-251001-CRO_72520118.tiff,3,1751,47.21697197863571,461.1032419788644,120.81410622501427,26.922044545973726,1179.825256103655,262.9105912692747,1,0,0,1.1798252561036549e-06,2.629105912692747e-07,1751.0,1.6698837280273435e-13,1.7531791015786292e-13,1.312302830536743e-08,3.893821129573758e-08,-4.958880960181633e-10,1.0014163750342232e-08,2.3055162098943217e-07,4.08642108455228e-07,3.1869195926283715e-07,1.726035973349573e-07,3.381095004107527e-07,1.6238658519610376e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID019_LOC_RC005001-5.00x5.00-Z Height_Forward-251001-CRO_72520118.tiff,4,15671,141.25486506858707,1379.4420416854205,158.18770340118687,216.2792100057431,1544.8017910272156,2112.101660212335,0,0,0,1.5448017910272156e-06,2.112101660212335e-06,15671.0,1.494503021240234e-12,1.5496182764312273e-12,1.0573406315406636e-08,4.855324719814517e-08,-5.714254355181418e-10,7.777093487806528e-09,6.897210208427102e-07,1.2224986794431453e-06,1.960234097518739e-06,2.945356019076703e-07,1.9301140239953057e-06,2.905365620579131e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID019_LOC_RC005001-5.00x5.00-Z Height_Forward-251001-CRO_72520118.tiff,5,24715,177.39254592042346,1732.3490812541354,234.13953064940316,209.24897835322676,2286.5188539980777,2043.4470542307301,0,0,0,2.2865188539980777e-06,2.04344705423073e-06,24715.0,2.3570060729980464e-12,2.4583199406362096e-12,9.692177108969995e-09,6.23355062921034e-08,-5.721204789253178e-10,1.0551748478595082e-08,8.661745406270676e-07,1.5352544000907622e-06,2.3094886459477336e-06,4.066034641966242e-07,2.1422179748861627e-06,2.749797353352115e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID019_LOC_RC005001-5.00x5.00-Z Height_Forward-251001-CRO_72520118.tiff,6,67284,292.6920728819978,2858.3210242382597,400.6185720230664,249.32061114083584,3912.290742412758,2434.771593172225,0,0,0,3.912290742412758e-06,2.4347715931722252e-06,67284.0,6.416702270507811e-12,6.524838968031561e-12,3.533977271557843e-09,4.384083426689707e-08,-5.722320121470708e-10,4.9198972411972795e-09,1.4291605121191296e-06,2.5331210532676505e-06,2.4714640613814803e-06,1.1252865147682138e-06,2.7720765319262083e-06,1.3794611908608432e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID019_LOC_RC005001-5.00x5.00-Z Height_Forward-251001-CRO_72520118.tiff,7,26,5.753627391751592,56.18776749757414,273.38461538461536,23.423076923076923,2669.7716346153843,228.74098557692307,0,0,0,2.6697716346153843e-06,2.2874098557692306e-07,26.0,2.4795532226562493e-15,2.4952809071912458e-15,-1.815461051586752e-10,3.2057753969039823e-10,-5.268711614894227e-10,2.69626484875051e-10,2.809388374878707e-08,4.979511243742953e-08,3.863191869094055e-08,2.156580538909621e-08,4.1719213117634456e-08,1.7953265597860776e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID019_LOC_RC005001-5.00x5.00-Z Height_Forward-251001-CRO_72520118.tiff,8,10801,117.27003164783615,1145.2151528108998,56.498796407740016,215.1778076104064,551.7460586693361,2101.345777445375,0,0,0,5.517460586693361e-07,2.101345777445375e-06,10801.0,1.0300636291503905e-12,1.0914136086708107e-12,9.7876215096168e-09,6.965221757185612e-08,-5.710884551171029e-10,1.0397433720408266e-08,5.726075764054499e-07,1.014920503857514e-06,1.2926544775346862e-06,3.7205646067600485e-07,1.658000034894511e-06,1.3346593709000206e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID019_LOC_RC005001-5.00x5.00-Z Height_Forward-251001-CRO_72520118.tiff,9,4179,72.94428049853015,712.3464892434584,62.74120603015076,88.45357741086384,612.707090138191,863.8044669029672,0,0,0,6.12707090138191e-07,8.638044669029672e-07,4179.0,3.985404968261718e-13,4.106697369758196e-13,3.848249382920287e-09,1.389676939064976e-08,-5.718937609616107e-10,3.2545195858497396e-09,3.5617324462172923e-07,6.313006390192962e-07,6.629992538765153e-07,2.3519160641435558e-07,8.039229640930417e-07,9.798711623852273e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID019_LOC_RC005001-5.00x5.00-Z Height_Forward-251001-CRO_72520118.tiff,10,5,2.5231325220201604,24.63996603535313,28.9,29.699999999999996,282.2265625,290.03906249999994,0,0,0,2.822265625e-07,2.9003906249999996e-07,5.0,4.768371582031249e-16,5.082856355088318e-16,1.7697582064334875e-10,2.2435108536038577e-10,-1.252523822479932e-11,9.475052943407404e-11,1.2319983017676562e-08,2.183660134277138e-08,1.5744181678063112e-08,1.0138007891221913e-08,1.7605850401453913e-08,9.76199246787011e-09
