source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID020_LOC_RC005005-5.00x5.00-Z Height_Forward-251001-CRO_620115aa.tiff,1,3010,61.90679308163878,604.5585261878787,13.873754152823917,85.81162790697674,135.48588039867107,838.0041787790697,0,0,0,1.3548588039867108e-07,8.380041787790696e-07,3010.0,2.870559692382812e-13,3.0206427320801117e-13,1.1161955155265244e-08,4.340276491829732e-08,1.7535051494628097e-10,7.973107679248205e-09,3.0227926309393935e-07,5.357760439197345e-07,8.288791560208144e-07,1.2056871337011307e-07,8.059654224613531e-07,1.3056949454863957e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID020_LOC_RC005005-5.00x5.00-Z Height_Forward-251001-CRO_620115aa.tiff,2,8117,101.66063832484683,992.7796711410823,65.06584945176787,105.27984477023531,635.4086860524206,1028.1234840843292,0,0,0,6.354086860524207e-07,1.0281234840843291e-06,8117.0,7.740974426269529e-13,8.167661905652853e-13,9.912148151348741e-09,4.295588460775652e-08,1.5401757677334568e-10,7.060019979212477e-09,4.963898355705411e-07,8.798280756073614e-07,1.0572752173071884e-06,2.7872538448073047e-07,9.988173830831396e-07,2.6664930950048366e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID020_LOC_RC005005-5.00x5.00-Z Height_Forward-251001-CRO_620115aa.tiff,3,25347,179.64632682134686,1754.3586603647154,181.63855683118314,162.45640509725013,1773.814031554523,1586.4883310278333,0,0,0,1.7738140315545229e-06,1.5864883310278334e-06,25347.0,2.4172782897949215e-12,2.5392815421116863e-12,9.488858987470945e-09,7.709212000930022e-08,1.4270425492620056e-10,8.199992599937038e-09,8.771793301823576e-07,1.554759881716441e-06,1.4956143608708857e-06,6.706953798412492e-07,1.593677782230924e-06,2.2954403975263186e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID020_LOC_RC005005-5.00x5.00-Z Height_Forward-251001-CRO_620115aa.tiff,4,49846,251.92439013892425,2460.1991224504322,313.45516189864776,236.3043373590659,3061.085565416482,2307.659544522128,0,0,0,3.061085565416482e-06,2.3076595445221278e-06,49846.0,4.753684997558593e-12,4.967928648104925e-12,5.719106974796832e-09,4.852318185046048e-08,1.4252408998599817e-10,6.142910640319623e-09,1.2300995612252162e-06,2.18029470429082e-06,2.1649161489556826e-06,1.1687216733406801e-06,2.9443232160279265e-06,1.713704380503054e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID020_LOC_RC005005-5.00x5.00-Z Height_Forward-251001-CRO_620115aa.tiff,5,16,4.51351666838205,44.07731121466846,302.99999999999994,2.9999999999999996,2958.9843749999995,29.296874999999996,0,0,0,2.9589843749999997e-06,2.9296874999999997e-08,16.0,1.5258789062499997e-15,1.5354695947315894e-15,2.0052459274277294e-10,2.548798389159752e-10,1.4513148454308093e-10,3.955012744297229e-11,2.203865560733423e-08,3.9062499999999997e-08,4.458843696007385e-08,1.1147109240018461e-08,4.026470337517256e-08,9.755859375e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID020_LOC_RC005005-5.00x5.00-Z Height_Forward-251001-CRO_620115aa.tiff,6,10,3.5682482323055424,34.84617414360881,318.5,2.9999999999999996,3110.3515625,29.296874999999996,0,0,0,3.1103515625e-06,2.9296874999999997e-08,10.0,9.536743164062499e-16,9.57718505020711e-16,1.8338611743541888e-10,2.0090123824729418e-10,1.4717600361707994e-10,2.1939976729167258e-11,1.7423087071804404e-08,3.0881617775081825e-08,2.7867773100046154e-08,1.1147109240018464e-08,2.62947500348367e-08,9.755859375e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID020_LOC_RC005005-5.00x5.00-Z Height_Forward-251001-CRO_620115aa.tiff,7,2,1.5957691216057308,15.583682828180965,322.49999999999994,2.9999999999999996,3149.4140624999995,29.296874999999996,0,0,0,3.1494140624999996e-06,2.9296874999999997e-08,2.0,1.9073486328124996e-16,1.91391315254395e-16,1.4717600361707994e-10,1.4717600361707994e-10,1.4717600361707994e-10,0.0,7.791841414090481e-09,1.3810679320049755e-08,1.1147109240018463e-08,5.5735546200092305e-09,1.0918300671385792e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID020_LOC_RC005005-5.00x5.00-Z Height_Forward-251001-CRO_620115aa.tiff,8,7,2.985410660720923,29.154400983602766,197.21428571428572,7.642857142857142,1925.9207589285716,74.63727678571428,0,0,0,1.9259207589285715e-06,7.463727678571428e-08,7.0,6.675720214843749e-16,6.715627399615715e-16,1.7968211354517845e-10,1.8576504911768733e-10,1.7157153278183327e-10,7.023968980502308e-12,1.4577200491801383e-08,2.583741514711514e-08,1.7738634393347757e-08,1.2856740390864868e-08,2.0716859680727753e-08,9.765196474468546e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID020_LOC_RC005005-5.00x5.00-Z Height_Forward-251001-CRO_620115aa.tiff,9,8,3.1915382432114616,31.16736565636193,205.99999999999997,8.499999999999998,2011.7187499999998,83.00781249999999,0,0,0,2.0117187499999998e-06,8.300781249999999e-08,8.0,7.629394531249998e-16,7.691322022593002e-16,4.561366743416083e-10,5.497892364063833e-10,2.7489077940635835e-10,9.2295434203802e-11,1.5583682828180962e-08,2.762135864009951e-08,4.458843696007385e-08,5.573554620009238e-09,3.9366492911614115e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID020_LOC_RC005005-5.00x5.00-Z Height_Forward-251001-CRO_620115aa.tiff,10,75,9.772050238058398,95.43017810603904,314.7666666666666,11.259999999999998,3073.893229166666,109.96093749999999,0,0,0,3.0738932291666662e-06,1.0996093749999999e-07,75.0,7.152557373046873e-15,7.182154951733873e-15,5.726294982352136e-10,9.920523069520213e-10,1.5481641279165808e-10,2.9852014176384036e-10,4.7715089053019524e-08,8.457279333832407e-08,2.884604921943992e-07,1.0723933461630768e-08,3.0765630260147484e-07,9.76503705789989e-09
