source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID021_LOC_RC005006-5.00x5.00-Z Height_Forward-251001-CRO_f3df12e2.tiff,1,74294,307.56147147611676,3003.529994883953,362.659959081487,225.56209115137156,3541.6011629051463,2202.754796400113,0,0,0,3.5416011629051465e-06,2.2027547964001128e-06,74294.0,7.0852279663085925e-12,7.406883582636837e-12,4.809454974374557e-09,1.029687791679682e-07,-5.790769984904379e-10,8.755070492247235e-09,1.5017649974419762e-06,2.661809152871143e-06,2.5172377339377305e-06,1.4380269495818655e-06,3.5217503347530914e-06,1.4648336285333232e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID021_LOC_RC005006-5.00x5.00-Z Height_Forward-251001-CRO_f3df12e2.tiff,2,1125,37.8469878303024,369.5994905302969,465.6306666666666,8.090222222222222,4547.174479166666,79.00607638888889,0,0,1,4.547174479166666e-06,7.900607638888889e-08,1125.0,1.072883605957031e-13,2.791574001807157e-13,8.64391496036538e-08,3.3730366025208915e-07,-3.7631921889194363e-11,8.181056837449453e-08,1.8479974526514843e-07,3.275490201415707e-07,3.850591592616532e-07,9.789892186591867e-08,4.6397340847973476e-07,8.311883188275701e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID021_LOC_RC005006-5.00x5.00-Z Height_Forward-251001-CRO_f3df12e2.tiff,3,962,34.997949111844065,341.7768467953522,307.6112266112266,6.160083160083159,3004.0158848752594,60.157062110187105,0,0,0,3.0040158848752594e-06,6.01570621101871e-08,962.0,9.174346923828123e-14,1.0509830239414297e-13,1.4397071403153424e-09,7.200094331019452e-09,-5.789237347748568e-10,2.0710083469121085e-09,1.7088842339767608e-07,3.028918441263832e-07,8.075880441914879e-07,4.1105543218430965e-08,8.208403264338375e-07,4.394452814216951e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID021_LOC_RC005006-5.00x5.00-Z Height_Forward-251001-CRO_f3df12e2.tiff,4,55,8.368283871884005,81.72152218636724,337.49999999999994,12.5,3295.8984374999995,122.0703125,0,0,0,3.2958984374999995e-06,1.220703125e-07,55.0,5.245208740234374e-15,5.309708146209092e-15,-5.667950322647342e-11,0.0,-5.532250816773099e-10,1.4793004190208442e-10,4.0860761093183614e-08,7.242381335054358e-08,3.065455041005077e-07,5.5735546200096275e-09,2.6859907303662246e-07,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID021_LOC_RC005006-5.00x5.00-Z Height_Forward-251001-CRO_f3df12e2.tiff,5,67,9.23618154310838,90.19708538191777,509.45522388059703,25.022388059701488,4975.148670708955,244.35925839552235,0,0,0,4.975148670708955e-06,2.4435925839552236e-07,67.0,6.389617919921874e-15,2.562773021076996e-14,7.880044868742677e-08,1.700028160361276e-07,4.979859268418971e-09,4.8500547835663565e-08,4.5098542690958887e-08,7.993508566281688e-08,6.807013117650611e-08,3.1879422350574264e-08,7.469370767551915e-08,2.8319798205555395e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID021_LOC_RC005006-5.00x5.00-Z Height_Forward-251001-CRO_f3df12e2.tiff,6,40948,228.33443208989627,2229.8284383778932,198.0999071993748,266.0115023932793,1934.5694062438945,2597.768578059368,0,0,0,1.9345694062438945e-06,2.5977685780593678e-06,40948.0,3.905105590820312e-12,4.011941755433733e-12,3.733085173427657e-09,4.240940690448797e-08,-5.790887741307105e-10,4.585663136749003e-09,1.1149142191889465e-06,1.976134001230765e-06,2.3453887705245766e-06,6.736775017051556e-07,2.3453539540914847e-06,3.2792079548872405e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID021_LOC_RC005006-5.00x5.00-Z Height_Forward-251001-CRO_f3df12e2.tiff,7,2,1.5957691216057308,15.583682828180965,90.0,60.5,878.90625,590.8203125,0,0,0,8.7890625e-07,5.908203125e-07,2.0,1.9073486328124996e-16,1.9078476781692356e-16,-5.714961860006116e-10,-5.714961860006116e-10,-5.714961860006116e-10,0.0,7.791841414090481e-09,1.3810679320049755e-08,1.1147109240018463e-08,5.5735546200092305e-09,1.091830067138572e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID021_LOC_RC005006-5.00x5.00-Z Height_Forward-251001-CRO_f3df12e2.tiff,8,8,3.1915382432114616,31.16736565636193,41.99999999999999,77.99999999999999,410.15624999999994,761.7187499999999,0,0,0,4.1015624999999996e-07,7.617187499999999e-07,8.0,7.629394531249998e-16,7.649450074894252e-16,-5.390137974605524e-10,-5.279691579644017e-10,-5.676416031275108e-10,1.6630331562992052e-11,1.5583682828180962e-08,2.762135864009951e-08,2.2294218480036925e-08,1.1147109240018461e-08,2.1836601342771394e-08,9.755859375e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID021_LOC_RC005006-5.00x5.00-Z Height_Forward-251001-CRO_f3df12e2.tiff,9,2,1.5957691216057308,15.583682828180965,263.0,83.49999999999999,2568.359375,815.4296874999999,0,0,0,2.568359375e-06,8.154296874999999e-07,2.0,1.9073486328124996e-16,1.9182641725530485e-16,-5.346795364897293e-10,-5.346795364897293e-10,-5.346795364897293e-10,0.0,7.791841414090481e-09,1.3810679320049755e-08,1.1147109240018463e-08,5.5735546200092305e-09,1.09183006713861e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID021_LOC_RC005006-5.00x5.00-Z Height_Forward-251001-CRO_f3df12e2.tiff,10,28085,189.1003242035482,1846.6828535502755,56.04117856507031,316.20429054655506,547.2771344245148,3087.932524868702,0,0,0,5.472771344245148e-07,3.087932524868702e-06,28085.0,2.6783943176269526e-12,2.7410664383868924e-12,2.29202061995988e-09,1.779169850569653e-08,-5.790572626957176e-10,2.7240793032307745e-09,9.233414267751378e-07,1.6365800675881864e-06,2.0052549353507794e-06,5.698973568638834e-07,2.110078023480575e-06,1.1235784997185691e-07
