source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID029_LOC_RC006011-5.00x5.00-Z Height_Forward-251001-CRO_e850798c.tiff,1,915,34.13230410377644,333.3232822634418,22.69781420765027,9.816939890710382,221.6583418715847,95.86855362021858,0,0,0,2.216583418715847e-07,9.586855362021858e-08,915.0,8.726119995117185e-14,9.438820971456202e-14,1.604461664380444e-08,2.955769293626877e-08,-8.555537817397146e-11,7.060165930126752e-09,1.6666164113172088e-07,2.954000676221518e-07,2.533615557643085e-07,1.1593110012142748e-07,2.8180297030404377e-07,1.1718744968685858e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID029_LOC_RC006011-5.00x5.00-Z Height_Forward-251001-CRO_e850798c.tiff,2,2531,56.76767819564842,554.3718573793791,118.89035954168311,72.17127617542472,1161.038667399249,704.7976189006321,0,0,0,1.1610386673992491e-06,7.047976189006321e-07,2531.0,2.4137496948242183e-13,2.840647830444549e-13,1.78156661234266e-08,4.6619631393324674e-08,-6.012428097159025e-11,1.1168123478158312e-08,2.7718592868968954e-07,4.912992667228619e-07,5.764554300236193e-07,2.0284362880055354e-07,6.938128070030841e-07,1.059787488805295e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID029_LOC_RC006011-5.00x5.00-Z Height_Forward-251001-CRO_e850798c.tiff,3,1832,48.296737425573774,471.6478264216189,199.80349344978166,29.198689956331883,1951.205990720524,285.14345660480353,1,1,0,1.951205990720524e-06,2.851434566048035e-07,1832.0,1.7471313476562495e-13,1.7709672473801912e-13,4.687470551665435e-09,2.1124270357898867e-08,-1.22748838954787e-10,4.513421308681873e-09,2.358239132108094e-07,4.1798700310610727e-07,4.216538342499856e-07,1.752154914016082e-07,5.023684335915133e-07,1.12104245747248e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID029_LOC_RC006011-5.00x5.00-Z Height_Forward-251001-CRO_e850798c.tiff,4,112,11.941642642883693,116.61760393441106,174.9017857142857,5.982142857142857,1708.0252511160713,58.41936383928571,0,0,0,1.7080252511160713e-06,5.841936383928571e-08,112.0,1.0681152343749998e-14,1.0729907660954507e-14,1.2569988537297635e-09,3.1320637367614284e-09,-9.893438397790728e-11,8.078198841016727e-10,5.830880196720553e-08,1.0334966058846056e-07,8.123859786426463e-08,4.308085672214315e-08,8.54202711237634e-08,3.906196116286391e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID029_LOC_RC006011-5.00x5.00-Z Height_Forward-251001-CRO_e850798c.tiff,5,100,11.283791670955125,110.19327803667115,216.18999999999994,6.809999999999999,2111.2304687499995,66.50390624999999,0,0,0,2.1112304687499996e-06,6.650390624999999e-08,100.0,9.536743164062499e-15,9.573411964590244e-15,8.804253873152532e-10,2.9463235041361555e-09,-1.038862530319509e-10,8.074652079681769e-10,5.509663901833557e-08,9.765624999999999e-08,8.623892076861589e-08,3.8320037778464304e-08,9.003538588768854e-08,3.18819575298848e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID029_LOC_RC006011-5.00x5.00-Z Height_Forward-251001-CRO_e850798c.tiff,6,8024,101.0765754611569,987.0759322378605,331.2281904287138,31.85356430707876,3234.650297155408,311.069963936316,0,0,0,3.2346502971554082e-06,3.11069963936316e-07,8024.0,7.652282714843748e-13,8.138485248218854e-13,1.3871268849568706e-08,5.199995840396499e-08,-1.216958704858186e-10,1.1336923244317691e-08,4.935379661189302e-07,8.747732686155738e-07,8.983494536261797e-07,3.483618172760612e-07,9.665816083878447e-07,2.598394050033647e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID029_LOC_RC006011-5.00x5.00-Z Height_Forward-251001-CRO_e850798c.tiff,7,27,5.863230142835039,57.258106863623425,343.0925925925926,1.1666666666666665,3350.513599537037,11.393229166666664,0,0,0,3.350513599537037e-06,1.1393229166666665e-08,27.0,2.5749206542968744e-15,2.612388921389705e-15,1.8257068104092544e-09,3.973458303958963e-09,0.0,1.1893862386509914e-09,2.8629053431811714e-08,5.0743676002994444e-08,6.066602742736338e-08,1.4476740403951837e-08,6.366542240075689e-08,1.4648437499999999e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID029_LOC_RC006011-5.00x5.00-Z Height_Forward-251001-CRO_e850798c.tiff,8,1331,41.16651350360511,402.01673343364365,453.4601803155522,24.750939143501128,4428.322073394064,241.7083900732532,1,1,0,4.428322073394065e-06,2.417083900732532e-07,1331.0,1.2693405151367184e-13,1.2907881868076312e-13,6.981574471758169e-09,2.208506231392816e-08,-9.314917566307664e-11,5.5540620812291316e-09,2.010083667168218e-07,3.562780536514589e-07,2.365781237088129e-07,1.79215860715645e-07,2.448053957532403e-07,1.2005716162863564e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID029_LOC_RC006011-5.00x5.00-Z Height_Forward-251001-CRO_e850798c.tiff,9,1,1.1283791670955126,11.019327803667116,470.5,0.5,4594.7265625,4.8828125,0,0,0,4.5947265625e-06,4.8828124999999996e-09,1.0,9.536743164062498e-17,9.795549376668637e-17,1.4204548991584694e-09,1.4204548991584694e-09,1.4204548991584694e-09,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.905339660025336e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID029_LOC_RC006011-5.00x5.00-Z Height_Forward-251001-CRO_e850798c.tiff,10,7,2.985410660720923,29.154400983602766,482.4999999999999,0.5,4711.914062499999,4.8828125,0,0,0,4.7119140624999994e-06,4.8828124999999996e-09,7.0,6.675720214843749e-16,6.774164195035218e-16,0.0,0.0,0.0,0.0,1.4577200491801383e-08,2.583741514711514e-08,3.901488234006462e-08,5.573554620009241e-09,3.452669830012553e-08,4.8779296875e-09
