source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID032_LOC_RC006017-5.00x5.00-Z Height_Forward-251001-CRO_d91dc636.tiff,1,3,1.9544100476116797,19.08603562120781,1.4999999999999998,0.5,14.648437499999998,4.8828125,0,0,0,1.4648437499999999e-08,4.8828124999999996e-09,3.0,2.8610229492187495e-16,2.9099723959883563e-16,8.223676125564003e-10,8.223676125564003e-10,8.223676125564003e-10,0.0,9.543017810603905e-09,1.6914558667664815e-08,1.6720663860027693e-08,5.573554620009231e-09,1.5440808887540912e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID032_LOC_RC006017-5.00x5.00-Z Height_Forward-251001-CRO_d91dc636.tiff,2,1933,49.6102009668684,484.4746188170742,54.39394723228143,17.33911019141231,531.1908909402483,169.32724796301085,0,0,1,5.311908909402483e-07,1.6932724796301086e-07,1933.0,1.843452453613281e-13,1.9561435661071403e-13,1.3078847109764485e-08,3.538726539553051e-08,2.0499530877569908e-10,7.76356654260006e-09,2.422373094085371e-07,4.2935445189415245e-07,3.5623789875572027e-07,2.216385456861727e-07,4.6909243429443195e-07,1.1023933160661958e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID032_LOC_RC006017-5.00x5.00-Z Height_Forward-251001-CRO_d91dc636.tiff,3,2,1.5957691216057308,15.583682828180965,148.0,0.5,1445.3125,4.8828125,0,0,0,1.4453125e-06,4.8828124999999996e-09,2.0,1.9073486328124996e-16,2.219254557608064e-16,1.8293168438686878e-09,1.8293168438686878e-09,1.8293168438686878e-09,0.0,7.791841414090481e-09,1.3810679320049755e-08,1.1147109240018463e-08,5.5735546200092305e-09,1.0918300671385715e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID032_LOC_RC006017-5.00x5.00-Z Height_Forward-251001-CRO_d91dc636.tiff,4,9592,110.51205234317061,1079.2192611637754,207.31484570475396,43.82172643869892,2024.5590400854878,427.9465472529191,0,0,0,2.0245590400854878e-06,4.279465472529191e-07,9592.0,9.147644042968749e-13,1.016877336393114e-12,1.7405202132055945e-08,6.509963167267281e-08,1.989840038179304e-10,1.208865079046709e-08,5.396096305818877e-07,9.564331677105698e-07,8.45259824188809e-07,4.03160708283955e-07,9.025214546582676e-07,2.1792406443089967e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID032_LOC_RC006017-5.00x5.00-Z Height_Forward-251001-CRO_d91dc636.tiff,5,908,34.00149271163735,332.0458272620835,333.8182819383259,8.753303964757709,3259.9441595539643,85.481484030837,0,0,0,3.2599441595539643e-06,8.5481484030837e-08,908.0,8.659362792968748e-14,1.0594154095307751e-13,2.09189723206578e-08,7.992760162227395e-08,3.4534602472539985e-10,1.8860683894756237e-08,1.6602291363104175e-07,2.9426795260389376e-07,3.4586093779253295e-07,9.098313251625602e-08,3.422791846083439e-07,8.651003329993744e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID032_LOC_RC006017-5.00x5.00-Z Height_Forward-251001-CRO_d91dc636.tiff,6,147,13.680870333281758,133.60224934845468,381.21428571428567,2.86734693877551,3722.795758928571,28.00143494897959,0,0,0,3.722795758928571e-06,2.800143494897959e-08,147.0,1.4019012451171871e-14,1.8809079471400014e-14,1.9422974318702304e-08,5.672838369096849e-08,2.7874532768511166e-10,1.4510808571418607e-08,6.680112467422732e-08,1.184019106736537e-07,1.4144571319867624e-07,3.653739961509053e-08,1.6120756680354075e-07,3.906221917058462e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID032_LOC_RC006017-5.00x5.00-Z Height_Forward-251001-CRO_d91dc636.tiff,7,891,33.681692866586,328.9227819002539,410.8636363636364,17.352974186307517,4012.3401988636365,169.46263853815935,0,0,0,4.0123401988636365e-06,1.6946263853815936e-07,891.0,8.497238159179686e-14,1.307841932842949e-13,4.456411479349249e-08,1.3824359184775367e-07,6.031515737361131e-10,3.521884860314716e-08,1.6446139095012693e-07,2.9150022571483006e-07,1.8963229752202882e-07,1.4622246150652015e-07,2.2140277806244912e-07,1.2137610624191176e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID032_LOC_RC006017-5.00x5.00-Z Height_Forward-251001-CRO_d91dc636.tiff,8,9,3.385137501286538,33.057983411001345,441.16666666666663,0.7222222222222221,4308.268229166666,7.0529513888888875,0,0,0,4.308268229166666e-06,7.052951388888888e-09,9.0,8.583068847656248e-16,1.0477036219729072e-15,3.6416002738717682e-09,6.8414665635819455e-09,6.528072454994376e-10,2.3439322846087857e-09,1.6528991705500673e-08,2.9296874999999997e-08,3.4996385037113925e-08,8.896176023221829e-09,3.4528043782838405e-08,9.761992467870109e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID032_LOC_RC006017-5.00x5.00-Z Height_Forward-251001-CRO_d91dc636.tiff,9,2,1.5957691216057308,15.583682828180965,452.0,0.5,4414.0625,4.8828125,0,0,0,4.4140625e-06,4.8828124999999996e-09,2.0,1.9073486328124996e-16,1.9133651743314126e-16,8.615822636634005e-10,8.615822636634005e-10,8.615822636634005e-10,0.0,7.791841414090481e-09,1.3810679320049755e-08,1.1147109240018463e-08,5.5735546200092305e-09,1.0918300671386093e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID032_LOC_RC006017-5.00x5.00-Z Height_Forward-251001-CRO_d91dc636.tiff,10,66,9.166995688475081,89.52144227026447,460.51515151515144,3.4545454545454546,4497.218276515151,33.73579545454545,0,0,0,4.497218276515151e-06,3.373579545454545e-08,66.0,6.294250488281249e-15,6.692175026715258e-15,6.009983947026141e-09,1.4322851651816368e-08,3.1334483557760885e-10,3.6095082331402357e-09,4.476072113513223e-08,7.933631254527304e-08,5.119619843898165e-08,4.03149514532248e-08,5.746959410895975e-08,3.45937108168258e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID032_LOC_RC006017-5.00x5.00-Z Height_Forward-251001-CRO_d91dc636.tiff,11,1299,40.66863863729614,397.1546741923451,494.15280985373363,22.753271747498072,4825.711033727867,222.19991940916086,0,0,1,4.825711033727867e-06,2.2219991940916087e-07,1299.0,1.2388229370117184e-13,1.434202775963783e-13,1.90878100200727e-08,6.911258171703256e-08,2.09858979263566e-10,1.8555895046829504e-08,1.9857733709617254e-07,3.519691658386738e-07,2.3855204325463237e-07,1.7788706810315042e-07,2.838796879337619e-07,1.5322511474904523e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID032_LOC_RC006017-5.00x5.00-Z Height_Forward-251001-CRO_d91dc636.tiff,12,1,1.1283791670955126,11.019327803667116,148.49999999999997,2.4999999999999996,1450.1953124999998,24.414062499999996,0,0,0,1.4501953124999998e-06,2.4414062499999998e-08,1.0,9.536743164062498e-17,1.0646604065275129e-16,1.4864108576344605e-09,1.4864108576344605e-09,1.4864108576344605e-09,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.905339660024887e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID032_LOC_RC006017-5.00x5.00-Z Height_Forward-251001-CRO_d91dc636.tiff,13,84,10.341765891652821,100.99380753567209,2.0,16.416666666666664,19.53125,160.31901041666663,0,0,0,1.9531249999999998e-08,1.6031901041666663e-07,84.0,8.010864257812498e-15,8.371347087265834e-15,4.8067781047214155e-09,1.104089416790902e-08,3.3055753895683296e-10,2.9452823559293836e-09,5.049690376783604e-08,8.950343154210624e-08,1.1249370782954596e-07,2.5411885193077947e-08,1.270474991028408e-07,2.4657880314746795e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID032_LOC_RC006017-5.00x5.00-Z Height_Forward-251001-CRO_d91dc636.tiff,14,1422,42.55051859394197,415.5324081439646,109.09493670886076,42.544303797468345,1065.3802412974683,415.4717167721518,1,0,0,1.0653802412974682e-06,4.154717167721518e-07,1422.0,1.3561248779296871e-13,1.4903779344765428e-13,1.5025207574910134e-08,5.097721290533729e-08,2.1495416788995132e-10,1.2116731998219501e-08,2.0776620407198227e-07,3.6825600849540624e-07,3.00569083499619e-07,1.6231323900639457e-07,3.3779964347769714e-07,1.0329270276726116e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID032_LOC_RC006017-5.00x5.00-Z Height_Forward-251001-CRO_d91dc636.tiff,15,2,1.5957691216057308,15.583682828180965,110.99999999999997,10.499999999999998,1083.9843749999998,102.53906249999999,0,0,0,1.0839843749999999e-06,1.0253906249999999e-07,2.0,1.9073486328124996e-16,2.4387224790256065e-16,2.010276804795237e-09,2.010276804795237e-09,2.010276804795237e-09,0.0,7.791841414090481e-09,1.3810679320049755e-08,1.1147109240018463e-08,5.5735546200092305e-09,1.0918300671385715e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID032_LOC_RC006017-5.00x5.00-Z Height_Forward-251001-CRO_d91dc636.tiff,16,88,10.585134856802455,103.37045758596147,371.24999999999994,22.39772727272727,3625.4882812499995,218.72780539772725,0,0,0,3.6254882812499997e-06,2.1872780539772726e-07,88.0,8.392333984374998e-15,8.95770225898613e-15,4.7936255881802545e-09,1.0629453299594347e-08,2.4618243433338824e-10,3.3190819911593987e-09,5.1685228792980733e-08,9.160968280905135e-08,5.743218558510569e-08,4.7393043864856516e-08,6.348351793308066e-08,4.2002697102078814e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID032_LOC_RC006017-5.00x5.00-Z Height_Forward-251001-CRO_d91dc636.tiff,17,311,19.899183360445615,194.32796250435172,451.84726688102893,31.754019292604497,4412.570965635048,310.0978446543408,0,0,0,4.412570965635048e-06,3.100978446543408e-07,311.0,2.965927124023437e-14,3.900853681754564e-14,1.9964160519074566e-08,6.017099199435565e-08,3.4234461839910875e-10,1.6047165768502032e-08,9.716398125217585e-08,1.7221867273973043e-07,1.335093846739692e-07,7.859045813768052e-08,1.4304112922876063e-07,6.504512780453253e-08
