source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID037_LOC_RC010001-5.00x5.00-Z Height_Forward-251001-CRO_0c72ea68.tiff,1,214,16.50676414605009,161.19886861377043,49.39719626168223,6.322429906542055,482.39449474299056,61.74247955607476,0,0,0,4.823944947429906e-07,6.174247955607476e-08,214.0,2.0408630371093747e-14,2.0599554343961082e-14,4.46993254681912e-09,8.137562480747349e-09,4.210231625441849e-10,2.2743942488106323e-09,8.059943430688522e-08,1.4285877771804485e-07,8.974814014697685e-08,7.600053682511334e-08,1.0873067795435194e-07,6.673192670197285e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID037_LOC_RC010001-5.00x5.00-Z Height_Forward-251001-CRO_0c72ea68.tiff,2,28,5.970821321441846,58.30880196720553,83.64285714285712,4.785714285714285,816.8247767857141,46.73549107142856,0,0,0,8.168247767857142e-07,4.6735491071428564e-08,28.0,2.6702880859374995e-15,2.67951041693181e-15,7.894656005684998e-10,1.3877599472077933e-09,4.389463530695648e-10,2.5928919486950887e-10,2.9154400983602765e-08,5.167483029423028e-08,6.19386543805584e-08,1.5738726603535673e-08,6.253351992403684e-08,1.4998838495361632e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID037_LOC_RC010001-5.00x5.00-Z Height_Forward-251001-CRO_0c72ea68.tiff,3,17,4.652426491681278,45.43385245782498,109.3235294117647,1.6764705882352942,1067.6125919117646,16.371783088235293,0,0,0,1.0676125919117647e-06,1.6371783088235293e-08,17.0,1.6212463378906247e-15,1.6301127588628182e-15,1.3437243571166295e-09,2.4906361313330495e-09,6.782673222353316e-10,6.624902897132081e-10,2.271692622891249e-08,4.0264703375172463e-08,2.6863318570235086e-08,2.081677449296362e-08,3.222931422691473e-08,1.5257201231518192e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID037_LOC_RC010001-5.00x5.00-Z Height_Forward-251001-CRO_0c72ea68.tiff,4,6012,87.49123466352385,854.4065885109751,68.59431137724549,54.37840984697272,669.866322043413,531.039158661843,0,0,0,6.69866322043413e-07,5.31039158661843e-07,6012.0,5.733489990234374e-13,5.796423094594342e-13,3.584727626671051e-09,3.1191212041703613e-08,4.0987688263229467e-10,2.936546359498896e-09,4.2720329425548753e-07,7.571981240226612e-07,8.016450422392883e-07,3.38305608881741e-07,1.0105445820488152e-06,9.214791334674719e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID037_LOC_RC010001-5.00x5.00-Z Height_Forward-251001-CRO_0c72ea68.tiff,5,476,24.61832697999475,240.41334941401124,183.813025210084,5.848739495798319,1795.0490743172265,57.11659663865546,0,0,0,1.7950490743172266e-06,5.7116596638655455e-08,476.0,4.539489746093749e-14,4.665898720259522e-14,5.623093774378837e-09,2.6146047407452212e-08,4.0900041845906544e-10,5.858039476557587e-09,1.202066747070056e-07,2.1306078348897876e-07,2.1954765389955133e-07,6.761584241900639e-08,2.162265938337318e-07,6.432159824716295e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID037_LOC_RC010001-5.00x5.00-Z Height_Forward-251001-CRO_0c72ea68.tiff,6,1877,48.886303045616984,477.4053031798534,208.91662226957908,50.73921150772509,2040.2013893513583,495.5001123801278,1,0,0,2.0402013893513584e-06,4.955001123801278e-07,1877.0,1.790046691894531e-13,1.7963050235571332e-13,2.104842615540612e-09,6.581188410361931e-09,4.1080049858296064e-10,1.1832460170328404e-09,2.3870265158992665e-07,4.230894340319232e-07,4.1058182509422544e-07,1.7189689235421017e-07,5.123234893742496e-07,8.326883226250855e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID037_LOC_RC010001-5.00x5.00-Z Height_Forward-251001-CRO_0c72ea68.tiff,7,15,4.370193722368317,42.677673070003095,242.83333333333331,1.3666666666666667,2371.419270833333,13.346354166666666,0,0,0,2.371419270833333e-06,1.3346354166666666e-08,15.0,1.4305114746093746e-15,1.4334933027695409e-15,8.469149035027364e-10,1.4908130863650012e-09,6.26770912899522e-10,2.297765016090989e-10,2.1338836535001545e-08,3.78221029903068e-08,2.939434209572678e-08,1.7845907534630275e-08,3.453080286838928e-08,1.4648308536272938e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID037_LOC_RC010001-5.00x5.00-Z Height_Forward-251001-CRO_0c72ea68.tiff,8,11,3.742410318509555,36.54697576669488,263.6818181818182,2.4090909090909087,2575.017755681818,23.526278409090907,0,0,0,2.575017755681818e-06,2.3526278409090908e-08,11.0,1.0490417480468747e-15,1.0501059920671074e-15,6.166074117888069e-10,7.570845700646069e-10,5.607152341202302e-10,7.056732274562826e-11,1.8273487883347434e-08,3.238891396831445e-08,2.4819579840789733e-08,1.400516906215795e-08,2.629491079980709e-08,1.1475977104206902e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID037_LOC_RC010001-5.00x5.00-Z Height_Forward-251001-CRO_0c72ea68.tiff,9,109,11.780624362746345,115.04515979244476,274.31651376146783,5.2339449541284395,2678.8722047018346,51.112743692660544,0,0,0,2.6788722047018344e-06,5.111274369266055e-08,109.0,1.0395050048828123e-14,1.0425895272289954e-14,1.349608103595852e-09,2.5022471817177112e-09,4.4045270942913075e-10,5.796474351254356e-10,5.752257989622239e-08,1.0195611825107958e-07,7.627804245208169e-08,4.676266692486816e-08,8.315545858086235e-08,3.572007043209005e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID037_LOC_RC010001-5.00x5.00-Z Height_Forward-251001-CRO_0c72ea68.tiff,10,1685,46.318556031883695,452.3296487488642,299.1860534124629,28.843026706231456,2921.738802856083,281.67018267804156,1,1,0,2.921738802856083e-06,2.8167018267804154e-07,1685.0,1.6069412231445308e-13,1.652953558689683e-13,1.1645879455118573e-08,2.699031656646714e-08,4.10948018512254e-10,7.381559704299214e-09,2.2616482437443206e-07,4.008667139018318e-07,2.923356158962365e-07,1.9097434329397695e-07,3.1493256921994537e-07,1.3803846837554255e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID037_LOC_RC010001-5.00x5.00-Z Height_Forward-251001-CRO_0c72ea68.tiff,11,41,7.225151993843567,70.55812493987858,333.67073170731703,2.3292682926829262,3258.503239329268,22.746760670731703,0,0,0,3.258503239329268e-06,2.2746760670731703e-08,41.0,3.9100646972656245e-15,3.932439087031603e-15,1.648486911470541e-09,2.975167000519078e-09,5.00256944128526e-10,7.602701273515447e-10,3.5279062469939287e-08,6.253051013118015e-08,4.6148858738135254e-08,2.8295869257024626e-08,5.1269789331584524e-08,2.441352366286391e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID037_LOC_RC010001-5.00x5.00-Z Height_Forward-251001-CRO_0c72ea68.tiff,12,32,6.383076486422923,62.33473131272386,349.99999999999994,1.9687499999999996,3417.9687499999995,19.226074218749996,0,0,0,3.4179687499999996e-06,1.9226074218749997e-08,32.0,3.0517578124999993e-15,3.066921161527422e-15,1.3864353431826512e-09,2.704926358316506e-09,4.796189024243846e-10,6.775457189143699e-10,3.1167365656361924e-08,5.524271728019902e-08,4.330186957819529e-08,2.3500263370498153e-08,4.6322817206414764e-08,2.0751148875957973e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID037_LOC_RC010001-5.00x5.00-Z Height_Forward-251001-CRO_0c72ea68.tiff,13,133,13.013103375051497,127.08108764698727,374.3872180451127,5.808270676691729,3656.125176221804,56.721393327067666,0,0,0,3.656125176221804e-06,5.672139332706767e-08,133.0,1.2683868408203122e-14,1.2724411568603613e-14,1.5051154017823838e-09,3.5276391991110747e-09,4.1906872548138136e-10,7.439661692837798e-10,6.354054382349363e-08,1.1262268158858198e-07,7.084711428730995e-08,6.008093866451637e-08,8.123314504430684e-08,4.3980004793154004e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID037_LOC_RC010001-5.00x5.00-Z Height_Forward-251001-CRO_0c72ea68.tiff,14,25,5.641895835477563,55.09663901833557,415.29999999999995,1.9799999999999995,4055.6640624999995,19.335937499999996,0,0,0,4.0556640625e-06,1.9335937499999997e-08,25.0,2.3841857910156247e-15,2.3880589815233024e-15,9.019543180633089e-10,1.266736647105161e-09,4.16692303310601e-10,2.442350517840599e-10,2.7548319509167786e-08,4.8828124999999996e-08,3.9719296392008583e-08,2.4790735210508663e-08,4.697837736124941e-08,1.1440397700177815e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID037_LOC_RC010001-5.00x5.00-Z Height_Forward-251001-CRO_0c72ea68.tiff,15,2,1.5957691216057308,15.583682828180965,424.9999999999999,0.5,4150.390624999999,4.8828125,0,0,0,4.1503906249999995e-06,4.8828124999999996e-09,2.0,1.9073486328124996e-16,1.910697001695257e-16,5.487939480532769e-10,5.487939480532769e-10,5.487939480532769e-10,0.0,7.791841414090481e-09,1.3810679320049755e-08,1.1147109240018463e-08,5.5735546200092305e-09,1.0918300671386093e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID037_LOC_RC010001-5.00x5.00-Z Height_Forward-251001-CRO_0c72ea68.tiff,16,457,24.121991458915023,235.56632284096702,435.370897155361,8.683807439824946,4251.668917532822,84.80280702954049,0,0,0,4.251668917532822e-06,8.480280702954048e-08,457.0,4.358291625976562e-14,4.372464830775304e-14,2.213306538003216e-09,4.7567281956374265e-09,4.0897227962231296e-10,1.1521369255030147e-09,1.177831614204835e-07,2.0876521803156198e-07,1.7980036304065142e-07,8.60666569900753e-08,2.3212636521416773e-07,7.627497399722522e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID037_LOC_RC010001-5.00x5.00-Z Height_Forward-251001-CRO_0c72ea68.tiff,17,565,26.821266613927218,261.92643177663297,478.62566371681413,8.034513274336284,4674.078747234513,78.46204369469027,0,0,0,4.674078747234513e-06,7.846204369469026e-08,565.0,5.3882598876953115e-14,5.407423181717285e-14,1.973241215482556e-09,5.0122876708608485e-09,4.1550124705251647e-10,1.1460014670896429e-09,1.309632158883165e-07,2.3212625632821703e-07,2.1370849734905569e-07,9.462584740626541e-08,2.3851443023041457e-07,6.714122145590361e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID037_LOC_RC010001-5.00x5.00-Z Height_Forward-251001-CRO_0c72ea68.tiff,18,4134,72.55048089389321,708.5007899794259,471.08442186744065,85.77866473149491,4600.433807299225,837.682272768505,0,0,0,4.600433807299225e-06,8.37682272768505e-07,4134.0,3.942489624023437e-13,3.9747493284665936e-13,3.0419952770396328e-09,2.433060988661173e-08,4.0825051560866145e-10,3.441355474851172e-09,3.542503949897129e-07,6.278924767843167e-07,6.902180225082693e-07,2.6259525903832844e-07,8.642729119539629e-07,9.330847533483258e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID037_LOC_RC010001-5.00x5.00-Z Height_Forward-251001-CRO_0c72ea68.tiff,19,58,8.593479713983122,83.92070033186643,4.620689655172414,6.517241379310345,45.1239224137931,63.64493534482759,0,0,0,4.51239224137931e-08,6.364493534482759e-08,58.0,5.531311035156249e-15,5.547870977348685e-15,1.2923111393450909e-09,2.588554044274734e-09,4.298279591212529e-10,6.033433257916213e-10,4.196035016593321e-08,7.437278423695222e-08,4.745560086286194e-08,3.767336218026791e-08,5.2815778036887607e-08,3.434187162156125e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID037_LOC_RC010001-5.00x5.00-Z Height_Forward-251001-CRO_0c72ea68.tiff,20,5,2.5231325220201604,24.63996603535313,13.699999999999998,2.8999999999999995,133.78906249999997,28.320312499999996,0,0,0,1.3378906249999997e-07,2.8320312499999997e-08,5.0,4.768371582031249e-16,4.7745826373794e-16,6.67006664469516e-10,7.371553954225133e-10,4.748268668353633e-10,9.810265226551272e-11,1.2319983017676562e-08,2.183660134277138e-08,1.5744181678063112e-08,1.0138007891221913e-08,1.7605850401453887e-08,9.76199246787011e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID037_LOC_RC010001-5.00x5.00-Z Height_Forward-251001-CRO_0c72ea68.tiff,21,1,1.1283791670955126,11.019327803667116,386.49999999999994,3.5,3774.4140624999995,34.1796875,0,0,0,3.7744140624999995e-06,3.41796875e-08,1.0,9.536743164062498e-17,9.570926531392567e-17,5.420824616792553e-10,5.420824616792553e-10,5.420824616792553e-10,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.9053396600250365e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID037_LOC_RC010001-5.00x5.00-Z Height_Forward-251001-CRO_0c72ea68.tiff,22,11,3.742410318509555,36.54697576669488,391.6818181818182,4.863636363636362,3825.0177556818185,47.49644886363635,0,0,0,3.825017755681818e-06,4.7496448863636356e-08,11.0,1.0490417480468747e-15,1.0500644341154853e-15,4.761120404734785e-10,5.094638714660883e-10,4.309869517654543e-10,2.843562689143187e-11,1.8273487883347434e-08,3.238891396831445e-08,2.8281111620035604e-08,1.2765275964130793e-08,2.8474681577109884e-08,9.765037057899877e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID037_LOC_RC010001-5.00x5.00-Z Height_Forward-251001-CRO_0c72ea68.tiff,23,3,1.9544100476116797,19.08603562120781,15.833333333333332,5.833333333333333,154.62239583333331,56.96614583333333,0,0,0,1.5462239583333332e-07,5.6966145833333326e-08,3.0,2.8610229492187495e-16,2.8629497475669745e-16,6.570870952787135e-10,6.879000948403374e-10,6.416805954979016e-10,2.1788080938722347e-11,9.543017810603905e-09,1.6914558667664815e-08,1.2065052850266379e-08,8.242000169692007e-09,1.3810691451940811e-08,5.7175417222762235e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID037_LOC_RC010001-5.00x5.00-Z Height_Forward-251001-CRO_0c72ea68.tiff,24,1,1.1283791670955126,11.019327803667116,386.49999999999994,5.499999999999999,3774.4140624999995,53.71093749999999,0,0,0,3.7744140624999995e-06,5.3710937499999995e-08,1.0,9.536743164062498e-17,9.557809991386891e-17,5.420824616792553e-10,5.420824616792553e-10,5.420824616792553e-10,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.9053396600250365e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID037_LOC_RC010001-5.00x5.00-Z Height_Forward-251001-CRO_0c72ea68.tiff,25,348,21.049640414216977,205.56289467008767,396.7758620689655,15.166666666666666,3874.7642780172414,148.11197916666666,0,0,0,3.874764278017241e-06,1.4811197916666665e-07,348.0,3.3187866210937494e-14,3.329611217130217e-14,2.1111345456423188e-09,4.2009837381660254e-09,4.310020791865225e-10,1.1728868460612946e-09,1.0278144733504382e-07,1.821753721306409e-07,1.4837150839977506e-07,7.313981381772549e-08,1.6666136273918048e-07,7.448684493064262e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID037_LOC_RC010001-5.00x5.00-Z Height_Forward-251001-CRO_0c72ea68.tiff,26,177,15.012108426804138,146.60262135550917,98.45480225988699,13.245762711864407,961.4726783192089,129.35315148305085,0,0,0,9.614726783192088e-07,1.2935315148305084e-07,177.0,1.688003540039062e-14,1.6930412038821936e-14,1.7950789210068208e-09,3.923361002377252e-09,4.109267403216247e-10,8.034120287213569e-10,7.330131067775458e-08,1.299231903872077e-07,8.93066504566382e-08,6.145952154154493e-08,9.618068700328814e-08,5.0662627510170034e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID037_LOC_RC010001-5.00x5.00-Z Height_Forward-251001-CRO_0c72ea68.tiff,27,2,1.5957691216057308,15.583682828180965,264.5,8.0,2583.0078125,78.125,0,0,0,2.5830078124999998e-06,7.812499999999999e-08,2.0,1.9073486328124996e-16,1.9099740267659105e-16,4.5476073835894705e-10,4.5476073835894705e-10,4.5476073835894705e-10,0.0,7.791841414090481e-09,1.3810679320049755e-08,1.1147109240018463e-08,5.5735546200092305e-09,1.0918300671385601e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID037_LOC_RC010001-5.00x5.00-Z Height_Forward-251001-CRO_0c72ea68.tiff,28,1,1.1283791670955126,11.019327803667116,79.49999999999999,10.499999999999998,776.3671874999999,102.53906249999999,0,0,0,7.763671874999999e-07,1.0253906249999999e-07,1.0,9.536743164062498e-17,9.556897250383694e-17,4.389463530695648e-10,4.389463530695648e-10,4.389463530695648e-10,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.905339660024887e-09,4.8779296875e-09
