source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID040_LOC_RC010010-5.00x5.00-Z Height_Forward-251001-CRO_11cb3cca.tiff,1,13,4.068428945128219,39.73075141726777,1.1153846153846152,2.6538461538461537,10.892427884615383,25.916466346153843,0,0,0,1.0892427884615384e-08,2.5916466346153843e-08,13.0,1.2397766113281247e-15,1.3316103980160928e-15,5.6089156715459005e-09,1.1648754191138088e-08,9.66043938551291e-10,3.330041561189393e-09,1.986537570863388e-08,3.5210461674453015e-08,3.5599275117556346e-08,1.2543479196855292e-08,3.718885265174448e-08,1.1440397700177812e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID040_LOC_RC010010-5.00x5.00-Z Height_Forward-251001-CRO_11cb3cca.tiff,2,79,10.02925341359355,97.9419278671245,20.297468354430375,4.044303797468354,198.21746439873414,39.49515427215189,0,0,0,1.9821746439873414e-07,3.949515427215189e-08,79.0,7.534027099609373e-15,7.5705977494098e-15,2.2004620166339535e-09,4.073218865291215e-09,4.630619319198018e-10,1.0971992783899972e-09,4.897096393356225e-08,8.679877360659754e-08,5.0690007252212495e-08,4.9450465980016976e-08,6.419452748144088e-08,3.7998631372471925e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID040_LOC_RC010010-5.00x5.00-Z Height_Forward-251001-CRO_11cb3cca.tiff,3,150,13.81976597885342,134.95865213724042,36.31333333333333,4.093333333333334,354.6223958333333,39.973958333333336,0,0,0,3.546223958333333e-07,3.9973958333333337e-08,150.0,1.4305114746093746e-14,1.4366241687105817e-14,2.1256510201451044e-09,4.7160378210386005e-09,4.898455320391752e-10,1.0970950321722349e-09,6.747932606862021e-08,1.1960399134683486e-07,1.0641228133639996e-07,4.813736015952131e-08,1.1983126599248755e-07,4.499695196128009e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID040_LOC_RC010010-5.00x5.00-Z Height_Forward-251001-CRO_11cb3cca.tiff,4,655,28.878571671769564,282.01730148212465,74.55038167938932,9.070992366412213,728.0310710877862,88.58390982824426,0,0,0,7.280310710877863e-07,8.858390982824426e-08,655.0,6.246566772460936e-14,6.303989635844461e-14,3.154490126699561e-09,1.2218638716342568e-08,4.70323774428953e-10,2.607070760705981e-09,1.410086507410623e-07,2.4993132601698683e-07,2.8327217285653296e-07,8.602754303254564e-08,2.956021905473533e-07,7.07277510589757e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID040_LOC_RC010010-5.00x5.00-Z Height_Forward-251001-CRO_11cb3cca.tiff,5,15,4.370193722368317,42.677673070003095,108.1,1.3,1055.6640625,12.6953125,0,0,0,1.0556640625e-06,1.26953125e-08,15.0,1.4305114746093746e-15,1.4318789102790313e-15,8.952403397690839e-10,1.3174010690573818e-09,4.853060484419125e-10,2.8545376311964983e-10,2.1338836535001545e-08,3.78221029903068e-08,3.090092402872538e-08,1.5290471080676035e-08,3.088577124336261e-08,1.4647898662863907e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID040_LOC_RC010010-5.00x5.00-Z Height_Forward-251001-CRO_11cb3cca.tiff,6,2,1.5957691216057308,15.583682828180965,129.0,0.5,1259.765625,4.8828125,0,0,0,1.259765625e-06,4.8828124999999996e-09,2.0,1.9073486328124996e-16,1.908243047666481e-16,4.93845898957782e-10,4.93845898957782e-10,4.93845898957782e-10,0.0,7.791841414090481e-09,1.3810679320049755e-08,1.1147109240018463e-08,5.5735546200092305e-09,1.0918300671385715e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID040_LOC_RC010010-5.00x5.00-Z Height_Forward-251001-CRO_11cb3cca.tiff,7,36,6.770275002573076,66.11596682200269,203.99999999999997,1.7222222222222219,1992.1874999999998,16.818576388888886,0,0,0,1.9921874999999997e-06,1.6818576388888887e-08,36.0,3.433227539062499e-15,3.655101221926165e-15,6.746285347543382e-09,1.3303434347178175e-08,1.0774557602591762e-09,3.647927840802668e-09,3.3057983411001345e-08,5.8593749999999995e-08,5.386178828125159e-08,2.1343246217593837e-08,5.879709228918122e-08,1.9531249999999998e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID040_LOC_RC010010-5.00x5.00-Z Height_Forward-251001-CRO_11cb3cca.tiff,8,17616,149.76444110687498,1462.543370184326,200.2411444141689,90.68278837420526,1955.4799259196182,885.5741052168482,0,0,0,1.9554799259196182e-06,8.855741052168483e-07,17616.0,1.6799926757812496e-12,1.8026729402024186e-12,1.1352344733361736e-08,1.1304294680726613e-07,4.621691298992907e-10,1.5497769989983955e-08,7.31271685092163e-07,1.29614531429977e-06,1.9278953800677702e-06,4.07787324664252e-07,2.407168166653054e-06,1.5592925000205342e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID040_LOC_RC010010-5.00x5.00-Z Height_Forward-251001-CRO_11cb3cca.tiff,9,1250,39.89422804014327,389.5920707045241,499.8704,38.66479999999999,4881.546875,377.58593749999994,0,0,1,4.881546875e-06,3.7758593749999996e-07,1250.0,1.1920928955078122e-13,1.198937401810945e-13,3.471682238404821e-09,1.3265461210601955e-08,4.6151464932256e-10,2.8240658855444167e-09,1.9479603535226204e-07,3.4526698300124385e-07,3.4165436015810837e-07,1.4396790690854227e-07,3.628532132418763e-07,7.337235211385941e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID040_LOC_RC010010-5.00x5.00-Z Height_Forward-251001-CRO_11cb3cca.tiff,10,18,4.787307364817192,46.751048484542885,143.66666666666663,3.7777777777777772,1402.9947916666663,36.89236111111111,0,0,0,1.4029947916666664e-06,3.6892361111111105e-08,18.0,1.7166137695312496e-15,1.7191297799346192e-15,8.143680293789125e-10,1.2542018584169687e-09,5.123659077288198e-10,2.2754341310717975e-10,2.3375524242271445e-08,4.1432037960149266e-08,2.6126789419650538e-08,2.1408965616525493e-08,2.8474302614403396e-08,1.7735018152568298e-08
