source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID043_LOC_RC010016-5.00x5.00-Z Height_Forward-251001-CRO_d4738654.tiff,1,782,31.554291688816235,308.14737977359607,13.098465473145778,18.916879795396415,127.91470188618923,184.73515425191812,0,0,0,1.2791470188618923e-07,1.8473515425191813e-07,782.0,7.457733154296874e-14,7.547433766839039e-14,6.99078699495424e-09,1.4571815426800636e-08,9.984155432762287e-11,3.75360812537743e-09,1.54073689886798e-07,2.7308850496307735e-07,1.920690519508121e-07,1.2440329791444951e-07,2.007316588211148e-07,1.1848070742324636e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID043_LOC_RC010016-5.00x5.00-Z Height_Forward-251001-CRO_d4738654.tiff,2,4228,73.37068075968948,716.5105542938426,70.85028382213812,49.281693472090815,691.8973029505676,481.2665378133869,0,0,0,6.918973029505675e-07,4.812665378133869e-07,4228.0,4.032135009765624e-13,4.3418130926962264e-13,1.26866618336205e-08,5.3111480977675285e-08,1.0633477607463651e-10,8.776851497667009e-09,3.582552771469213e-07,6.349909455862834e-07,4.901190405394599e-07,3.569837407454358e-07,5.911559657712146e-07,1.2313143386544665e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID043_LOC_RC010016-5.00x5.00-Z Height_Forward-251001-CRO_d4738654.tiff,3,7,2.985410660720923,29.154400983602766,80.5,0.5,786.1328125,4.8828125,0,0,0,7.861328124999999e-07,4.8828124999999996e-09,7.0,6.675720214843749e-16,6.6980598980060265e-16,7.679840922998169e-10,1.0930113162026225e-09,2.414738941284197e-10,3.5054255941656386e-10,1.4577200491801383e-08,2.583741514711514e-08,3.901488234006462e-08,5.573554620009241e-09,3.452669830012437e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID043_LOC_RC010016-5.00x5.00-Z Height_Forward-251001-CRO_d4738654.tiff,4,74,9.706684619910241,94.79184199131095,99.5,5.0675675675675675,971.6796875,49.487964527027025,0,0,0,9.716796875e-07,4.9487964527027024e-08,74.0,7.0571899414062485e-15,7.233971438270553e-15,3.4958892386375735e-09,8.41902293246668e-09,9.875717445605565e-11,2.224850077863487e-09,4.7395920995655476e-08,8.400708268596315e-08,6.727963994854313e-08,3.646074350761833e-08,7.475337052960841e-08,3.417963281068496e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID043_LOC_RC010016-5.00x5.00-Z Height_Forward-251001-CRO_d4738654.tiff,5,1285,40.44889139376608,395.0087050172469,141.44163424124514,13.791828793774318,1381.2659593871595,134.68582806420233,0,0,1,1.3812659593871594e-06,1.3468582806420232e-07,1285.0,1.225471496582031e-13,1.2575352409910334e-13,1.1346185128403014e-08,2.3244385930546776e-08,1.4960299525365802e-10,4.5366225556971916e-09,1.9750435250862346e-07,3.500673501745101e-07,2.48412207683894e-07,1.6091949202635932e-07,2.757170287138281e-07,1.5027127456990385e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID043_LOC_RC010016-5.00x5.00-Z Height_Forward-251001-CRO_d4738654.tiff,6,127,12.716187407449045,124.18151765086958,217.56299212598424,2.7834645669291334,2124.638594980315,27.18227116141732,0,0,0,2.124638594980315e-06,2.718227116141732e-08,127.0,1.2111663818359373e-14,1.2388484598441785e-14,4.9272734366437805e-09,1.16514218275447e-08,1.7576526144001028e-10,3.530805130034303e-09,6.209075882543479e-08,1.1005300458578754e-07,1.294499652959119e-07,3.3947101531675496e-08,1.4168708304739655e-07,3.1776187546958175e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID043_LOC_RC010016-5.00x5.00-Z Height_Forward-251001-CRO_d4738654.tiff,7,807,32.05470811910906,313.0342589756744,269.90768277571243,8.622676579925649,2635.8172146065667,84.20582597583642,0,0,0,2.635817214606567e-06,8.420582597583642e-08,807.0,7.696151733398436e-14,8.004049971451209e-14,5.985472246735682e-09,4.1798191749909045e-08,1.2117713574380447e-10,6.66771897152375e-09,1.565171294878372e-07,2.7741938889339435e-07,3.4593959823362806e-07,1.0239098490892428e-07,3.8141153133030925e-07,5.7303962934215755e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID043_LOC_RC010016-5.00x5.00-Z Height_Forward-251001-CRO_d4738654.tiff,8,7221,95.88567542929763,936.3835491142347,296.18827032267,61.931242210220184,2892.463577369824,604.7972872091815,0,0,0,2.892463577369824e-06,6.047972872091815e-07,7221.0,6.88648223876953e-13,7.303335577899525e-13,1.2809144958627537e-08,7.475493215243249e-08,9.875790488918701e-11,1.1690591201511366e-08,4.681917745571173e-07,8.298483137760497e-07,7.588274472462723e-07,3.443208786415701e-07,8.115730439008111e-07,2.9776186781982623e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID043_LOC_RC010016-5.00x5.00-Z Height_Forward-251001-CRO_d4738654.tiff,9,17,4.652426491681278,45.43385245782498,370.735294117647,0.9705882352941175,3620.461856617647,9.478400735294116,0,0,0,3.6204618566176467e-06,9.478400735294117e-09,17.0,1.6212463378906247e-15,1.6273397084634346e-15,1.0884520234618836e-09,1.7748658291960093e-09,1.0458775316536218e-10,4.587733299594949e-10,2.271692622891249e-08,4.0264703375172463e-08,4.781247099192016e-08,1.1073620800949453e-08,4.5022595340978174e-08,9.765037057899877e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID043_LOC_RC010016-5.00x5.00-Z Height_Forward-251001-CRO_d4738654.tiff,10,228,17.03815178355966,166.38820101132478,399.9561403508772,4.135964912280701,3905.8216831140353,40.390282346491226,0,0,0,3.905821683114035e-06,4.0390282346491225e-08,228.0,2.1743774414062496e-14,2.1952752339405426e-14,3.7050979913676144e-09,9.475552469579119e-09,1.1235213567408564e-10,2.733323457087509e-09,8.319410050566238e-08,1.4745770381388183e-07,1.4339968405239772e-07,5.219308341061576e-08,1.6144281000504628e-07,4.931600099013359e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID043_LOC_RC010016-5.00x5.00-Z Height_Forward-251001-CRO_d4738654.tiff,11,86,10.464157913908982,102.1890421280174,484.47674418604646,3.069767441860465,4731.21820494186,29.978197674418603,0,0,0,4.73121820494186e-06,2.99781976744186e-08,86.0,8.201599121093748e-15,8.24586207779362e-15,2.314713325710796e-09,3.801606333636719e-09,1.5112412975651296e-10,1.0898273998671523e-09,5.10945210640087e-08,9.056268062007523e-08,7.641059559772221e-08,3.5665090512861996e-08,8.347053591419881e-08,3.41789031421695e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID043_LOC_RC010016-5.00x5.00-Z Height_Forward-251001-CRO_d4738654.tiff,12,226,16.96325844612841,165.65682076297276,506.74336283185835,10.761061946902656,4948.665652654867,105.08849557522124,0,0,0,4.948665652654867e-06,1.0508849557522124e-07,226.0,2.1553039550781244e-14,2.1673613360996467e-14,3.14526664085744e-09,7.0273983137534065e-09,1.9774887990989443e-10,1.7323302552560665e-09,8.282841038148637e-08,1.468095349450479e-07,1.1650881693318649e-07,6.477455516069964e-08,1.4060402349827095e-07,6.022928314003181e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID043_LOC_RC010016-5.00x5.00-Z Height_Forward-251001-CRO_d4738654.tiff,13,66,9.166995688475081,89.52144227026447,47.090909090909086,8.272727272727272,459.87215909090907,80.78835227272727,0,0,0,4.598721590909091e-07,8.078835227272727e-08,66.0,6.294250488281249e-15,6.439332199482508e-15,3.2202839897181152e-09,6.621729976878526e-09,1.281977551409628e-10,1.6533839338218169e-09,4.476072113513223e-08,7.933631254527304e-08,4.806603715740352e-08,4.2820836049303006e-08,5.494887778323913e-08,3.520430710284519e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID043_LOC_RC010016-5.00x5.00-Z Height_Forward-251001-CRO_d4738654.tiff,14,3347,65.2804163300801,637.5040657234384,441.9033462802509,33.179713175978485,4315.462366018075,324.02063648416487,0,0,0,4.315462366018075e-06,3.2402063648416487e-07,3347.0,3.191947937011718e-13,3.310057941788391e-13,1.2908929127628013e-08,3.135933396535894e-08,1.0194482887430642e-10,6.778369113808698e-09,3.1875203286171926e-07,5.649732681297159e-07,3.6691756289815404e-07,2.8216916844491035e-07,4.133128774733588e-07,2.5643994794266144e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID043_LOC_RC010016-5.00x5.00-Z Height_Forward-251001-CRO_d4738654.tiff,15,3705,68.6829856168453,670.7322814145049,178.16612685560054,57.70539811066126,1739.903582574224,563.5292784244264,0,0,0,1.7399035825742239e-06,5.635292784244264e-07,3705.0,3.5333633422851556e-13,4.0508037326633737e-13,1.815350278249991e-08,9.169465663743438e-08,1.0262116275147817e-10,1.4578846727110046e-08,3.353661407072524e-07,5.944210075598906e-07,4.163012720316658e-07,2.808399411545566e-07,4.4469159694616287e-07,2.1247008096496087e-07
