source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID044_LOC_RC010020-5.00x5.00-Z Height_Forward-251001-CRO_3b8a8d51.tiff,1,15825,141.94722891072567,1386.2034073313055,69.6216429699842,120.89222748815166,679.898857128752,1180.588159063981,0,0,0,6.79898857128752e-07,1.180588159063981e-06,15825.0,1.5091896057128903e-12,1.5343774583677497e-12,5.782234699615832e-09,2.8445111378153167e-08,-2.7401538292813163e-10,5.4156932884444425e-09,6.931017036656526e-07,1.2284907837313597e-06,8.997727701555911e-07,7.154907600480666e-07,1.3827950491008993e-06,1.916274787230432e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID044_LOC_RC010020-5.00x5.00-Z Height_Forward-251001-CRO_3b8a8d51.tiff,2,109,11.780624362746345,115.04515979244476,46.79357798165137,5.545871559633028,456.96853497706417,54.15890194954129,0,0,0,4.569685349770642e-07,5.4158901949541285e-08,109.0,1.0395050048828123e-14,1.0658097777546145e-14,3.00641080716094e-09,7.8509592314458e-09,-2.512958306528734e-10,2.381671661397324e-09,5.752257989622239e-08,1.0195611825107958e-07,8.309588763893493e-08,4.4111223219719505e-08,9.480791390314037e-08,4.051351607458756e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID044_LOC_RC010020-5.00x5.00-Z Height_Forward-251001-CRO_3b8a8d51.tiff,3,626,28.2320377409108,275.703493563582,78.30830670926517,15.095846645367411,764.7295577076677,147.42037739616612,0,0,0,7.647295577076677e-07,1.4742037739616612e-07,626.0,5.970001220703124e-14,6.08602470129208e-14,6.932509036578994e-09,1.761715397727068e-08,-9.083059670039925e-11,4.819318192668049e-09,1.3785174678179102e-07,2.4433585943743756e-07,1.5918699215409102e-07,1.2243123923654542e-07,1.652811875301132e-07,9.962899534951484e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID044_LOC_RC010020-5.00x5.00-Z Height_Forward-251001-CRO_3b8a8d51.tiff,4,8211,102.24759117857214,998.5116326032435,229.80836682499083,28.558701741566196,2244.222332275301,278.89357169498237,0,0,0,2.244222332275301e-06,2.7889357169498234e-07,8211.0,7.830619812011717e-13,7.911485849612944e-13,3.486497926944836e-09,2.364587753502061e-08,-2.731747780112113e-10,3.5966158158666152e-09,4.992558163016217e-07,8.849078941907863e-07,1.1587449052609958e-06,3.439863068381911e-07,1.3702107390156387e-06,1.1797935273242441e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID044_LOC_RC010020-5.00x5.00-Z Height_Forward-251001-CRO_3b8a8d51.tiff,5,160,14.27299292922217,139.38469657443525,179.05624999999998,2.60625,1748.5961914062498,25.45166015625,0,0,0,1.7485961914062498e-06,2.545166015625e-08,160.0,1.5258789062499998e-14,1.540232589259819e-14,2.087691570413356e-09,6.982831045553875e-09,-2.666152337470315e-10,1.746816777862544e-09,6.969234828721761e-08,1.235264711003273e-07,1.862970119035373e-07,3.390407513199456e-08,2.0602101558701262e-07,3.5899743833305837e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID044_LOC_RC010020-5.00x5.00-Z Height_Forward-251001-CRO_3b8a8d51.tiff,6,52,8.136857890256438,79.46150283453554,271.21153846153845,2.4807692307692304,2648.5501802884614,24.226262019230766,0,0,0,2.6485501802884614e-06,2.4226262019230767e-08,52.0,4.959106445312499e-15,4.9750706103696165e-15,1.151729026128155e-09,3.0141402987668323e-09,-2.48536843654082e-10,8.773469169412858e-10,3.973075141726776e-08,7.042092334890603e-08,5.537307860729961e-08,3.0977239513798275e-08,6.378832340981322e-08,2.8319798205555395e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID044_LOC_RC010020-5.00x5.00-Z Height_Forward-251001-CRO_3b8a8d51.tiff,7,2,1.5957691216057308,15.583682828180965,367.99999999999994,0.5,3593.7499999999995,4.8828125,0,0,0,3.5937499999999997e-06,4.8828124999999996e-09,2.0,1.9073486328124996e-16,1.9138924761928879e-16,7.078694790893227e-11,1.3424534386456089e-10,7.328551953303644e-12,6.345839595562862e-11,7.791841414090481e-09,1.3810679320049755e-08,1.1147109240018463e-08,5.5735546200092305e-09,1.0918300671385715e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID044_LOC_RC010020-5.00x5.00-Z Height_Forward-251001-CRO_3b8a8d51.tiff,8,43,7.399277020331919,72.2585646516789,390.3837209302325,1.3139534883720931,3812.341024709302,12.831577034883722,0,0,0,3.812341024709302e-06,1.2831577034883721e-08,43.0,4.100799560546874e-15,4.122514138101574e-15,9.356563186617324e-10,2.8349587515607586e-09,-2.585395660124801e-10,9.103019882279208e-10,3.612928232583944e-08,6.403748558888672e-08,9.450580609279624e-08,1.542276362077711e-08,8.843200239197662e-08,1.4648437499999999e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID044_LOC_RC010020-5.00x5.00-Z Height_Forward-251001-CRO_3b8a8d51.tiff,9,76,9.83698151873187,96.06427264386592,406.1184210526315,3.8684210526315788,3966.0002055921045,37.77754934210526,0,0,0,3.9660002055921044e-06,3.777754934210526e-08,76.0,7.247924804687499e-15,7.29407697834486e-15,1.5386199421016456e-09,4.322986459224147e-09,-2.536963992961282e-10,1.177889313642054e-09,4.803213632193296e-08,8.513474499102877e-08,7.429832389200157e-08,3.448095805760212e-08,8.734792578553448e-08,3.145696431188331e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID044_LOC_RC010020-5.00x5.00-Z Height_Forward-251001-CRO_3b8a8d51.tiff,10,1728,46.90584114268031,458.0648549089874,483.6747685185186,15.28587962962963,4723.386411313658,149.27616825810185,0,0,1,4.7233864113136575e-06,1.4927616825810184e-07,1728.0,1.6479492187499996e-13,1.8200749938800514e-13,1.7481983517826497e-08,5.200533091955382e-08,-1.8712168363080477e-10,1.1530218075790117e-08,2.290324274544937e-07,4.0594940802395555e-07,3.193227592613223e-07,1.692678266191252e-07,3.350429060428088e-07,1.6556655266222283e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID044_LOC_RC010020-5.00x5.00-Z Height_Forward-251001-CRO_3b8a8d51.tiff,11,5047,80.16258467813003,782.8377409973635,370.7429165841093,61.31097681791163,3620.5362947666927,598.7400079874183,0,0,0,3.6205362947666928e-06,5.987400079874182e-07,5047.0,4.813194274902343e-13,6.016229678999731e-13,1.2577453318988541e-08,7.785193672176368e-08,-2.63874932906525e-10,1.1022538280006787e-08,3.914188704986817e-07,6.937718843324759e-07,7.892078927415039e-07,2.3164222671295012e-07,9.263307460021045e-07,1.436298388531274e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID044_LOC_RC010020-5.00x5.00-Z Height_Forward-251001-CRO_3b8a8d51.tiff,12,30,6.180387232371033,60.35534406612337,47.86666666666666,16.699999999999996,467.44791666666663,163.08593749999997,0,0,0,4.6744791666666663e-07,1.6308593749999997e-07,30.0,2.861022949218749e-15,2.8855008364764627e-15,1.0585542608248357e-09,2.312284203013792e-09,-2.503775722789147e-10,7.667100934319107e-10,3.017767203306168e-08,5.3488531006363874e-08,3.8268365834130494e-08,2.4276218215100753e-08,4.026730411821777e-08,2.227468639901143e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID044_LOC_RC010020-5.00x5.00-Z Height_Forward-251001-CRO_3b8a8d51.tiff,13,24,5.527906391541368,53.98346085489617,14.375,17.83333333333333,140.380859375,174.1536458333333,0,0,0,1.40380859375e-07,1.741536458333333e-07,24.0,2.2888183593749996e-15,2.294852764567481e-15,4.85515755549698e-10,1.192253085588093e-09,0.0,4.097350657980808e-10,2.6991730427448084e-08,4.784159653873394e-08,3.002988292264929e-08,2.4575009663048262e-08,3.2755215392355604e-08,2.120474150247228e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID044_LOC_RC010020-5.00x5.00-Z Height_Forward-251001-CRO_3b8a8d51.tiff,14,69,9.373021315815206,91.53341128725788,396.23913043478257,19.21014492753623,3869.5227581521735,187.599071557971,0,0,0,3.8695227581521734e-06,1.87599071557971e-07,69.0,6.580352783203123e-15,6.688803579374992e-15,1.6548626584008252e-09,4.433089128520087e-09,-2.739666232927962e-10,1.5222991038026088e-09,4.5766705643628934e-08,8.111937366130932e-08,6.349259957385e-08,3.3755760527638426e-08,6.347777507468211e-08,2.929644562431821e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID044_LOC_RC010020-5.00x5.00-Z Height_Forward-251001-CRO_3b8a8d51.tiff,15,18,4.787307364817192,46.751048484542885,385.99999999999994,20.055555555555554,3769.5312499999995,195.8550347222222,0,0,0,3.7695312499999997e-06,1.958550347222222e-07,18.0,1.7166137695312496e-15,1.728398985857614e-15,3.8213261002852604e-10,9.384020972871675e-10,-1.852510499904902e-10,3.8537501180809607e-10,2.3375524242271445e-08,4.1432037960149266e-08,2.6458583696630566e-08,2.1256386092956085e-08,3.001272059556537e-08,1.9530989215750986e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID044_LOC_RC010020-5.00x5.00-Z Height_Forward-251001-CRO_3b8a8d51.tiff,16,14,4.222008245644752,41.23054927387454,26.928571428571427,22.14285714285714,262.97433035714283,216.23883928571425,0,0,0,2.6297433035714283e-07,2.1623883928571425e-07,14.0,1.3351440429687497e-15,1.3442174981880055e-15,7.504053422353373e-11,2.809860756990994e-10,-2.0335730533826796e-10,1.9796176199361867e-10,2.0615274636937265e-08,3.653962291771427e-08,3.8343656483869926e-08,1.3366148773109558e-08,4.2003980472610064e-08,9.765340963137384e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID044_LOC_RC010020-5.00x5.00-Z Height_Forward-251001-CRO_3b8a8d51.tiff,17,7,2.985410660720923,29.154400983602766,18.78571428571428,25.07142857142857,183.45424107142853,244.83816964285714,0,0,0,1.8345424107142854e-07,2.4483816964285713e-07,7.0,6.675720214843749e-16,6.689710919203149e-16,-6.415393388272921e-11,0.0,-1.7067695800731092e-10,7.65837878383078e-11,1.4577200491801383e-08,2.583741514711514e-08,1.9562781459027848e-08,1.1729476468991717e-08,2.1837104361468004e-08,9.76534096313738e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID044_LOC_RC010020-5.00x5.00-Z Height_Forward-251001-CRO_3b8a8d51.tiff,18,6,2.763953195770684,26.991730427448086,23.666666666666664,26.333333333333332,231.11979166666666,257.1614583333333,0,0,0,2.3111979166666666e-07,2.571614583333333e-07,6.0,5.722045898437499e-16,5.753414516348666e-16,-8.612884141860269e-11,0.0,-2.0335730533826796e-10,7.334554989783963e-11,1.3495865213724042e-08,2.392079826936697e-08,1.5798136295193243e-08,1.2237183754479675e-08,1.7955942224958028e-08,9.765340963137377e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID044_LOC_RC010020-5.00x5.00-Z Height_Forward-251001-CRO_3b8a8d51.tiff,19,10,3.5682482323055424,34.84617414360881,9.499999999999998,29.699999999999996,92.77343749999999,290.03906249999994,0,0,0,9.277343749999999e-08,2.9003906249999996e-07,10.0,9.536743164062499e-16,9.611100945342026e-16,2.9658727542901326e-10,6.538251541678323e-10,0.0,2.3818227611266634e-10,1.7423087071804404e-08,3.0881617775081825e-08,1.9656543567074256e-08,1.5907865670118274e-08,2.251297551867726e-08,1.4647886821839428e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID044_LOC_RC010020-5.00x5.00-Z Height_Forward-251001-CRO_3b8a8d51.tiff,20,1140,38.09846559899868,372.05532811522147,245.23245614035082,82.4078947368421,2394.8482044956136,804.7645970394736,1,1,0,2.3948482044956137e-06,8.047645970394737e-07,1140.0,1.0871887207031248e-13,1.1052791111792752e-13,3.5178331775844355e-09,2.0293513563927448e-08,-2.714220662816633e-10,4.169829462154547e-09,1.860276640576107e-07,3.297254495338697e-07,4.352572876527022e-07,1.0172369592979717e-07,4.5294667355385117e-07,6.84127392147248e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID044_LOC_RC010020-5.00x5.00-Z Height_Forward-251001-CRO_3b8a8d51.tiff,21,1259,40.03758967297569,390.9920866501532,463.8463065925337,56.85742652899126,4529.749087817712,555.2483059471803,1,0,0,4.529749087817712e-06,5.552483059471803e-07,1259.0,1.2006759643554686e-13,1.3216324842261814e-13,7.662599760171782e-09,2.4614279621199925e-08,-2.1869634912360065e-10,6.168330341570926e-09,1.9549604332507662e-07,3.4650771482832365e-07,2.8620204890738126e-07,1.616817065698208e-07,3.1496311191871683e-07,8.675980751284759e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID044_LOC_RC010020-5.00x5.00-Z Height_Forward-251001-CRO_3b8a8d51.tiff,22,4,2.256758334191025,22.03865560733423,51.99999999999999,41.99999999999999,507.81249999999994,410.15624999999994,0,0,0,5.078125e-07,4.1015624999999996e-07,4.0,3.814697265624999e-16,3.8215163289481464e-16,-5.874355989457075e-11,0.0,-2.0786372290290947e-10,8.680305884171818e-11,1.1019327803667115e-08,1.9531249999999998e-08,1.1147109240018463e-08,1.1147109240018463e-08,1.3810679320049755e-08,9.755859375e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID044_LOC_RC010020-5.00x5.00-Z Height_Forward-251001-CRO_3b8a8d51.tiff,23,62,8.884866446580956,86.76627389239215,166.16129032258064,45.77419354838709,1622.6688508064515,447.0136088709677,0,0,0,1.6226688508064514e-06,4.470136088709677e-07,62.0,5.9127807617187485e-15,5.9354827413050665e-15,8.98313338830145e-10,1.7017656458600602e-09,-2.3970389453676727e-10,5.453841101258787e-10,4.338313694619607e-08,7.689460814464658e-08,5.459590543143842e-08,3.558609742366115e-08,5.6471797847218774e-08,2.91250222617648e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID044_LOC_RC010020-5.00x5.00-Z Height_Forward-251001-CRO_3b8a8d51.tiff,24,12,3.9088200952233594,38.17207124241562,58.33333333333333,44.58333333333333,569.6614583333333,435.3841145833333,0,0,0,5.696614583333333e-07,4.353841145833333e-07,12.0,1.1444091796874998e-15,1.1476159743472989e-15,-1.1859068136164636e-10,8.27354777372162e-11,-2.3700259720892874e-10,1.1336951894536398e-10,1.908603562120781e-08,3.382911733532963e-08,2.4267073499449356e-08,1.5372413914916215e-08,2.6296039611663626e-08,1.464769877856246e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID044_LOC_RC010020-5.00x5.00-Z Height_Forward-251001-CRO_3b8a8d51.tiff,25,2,1.5957691216057308,15.583682828180965,392.99999999999994,46.5,3837.8906249999995,454.1015625,0,0,0,3.8378906249999995e-06,4.5410156249999997e-07,2.0,1.9073486328124996e-16,2.4181008343487537e-16,2.0997019869239453e-09,3.6326991970692398e-09,5.667047767786509e-10,1.5329972101452944e-09,7.791841414090481e-09,1.3810679320049755e-08,1.1147109240018463e-08,5.5735546200092305e-09,1.09183006713861e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID044_LOC_RC010020-5.00x5.00-Z Height_Forward-251001-CRO_3b8a8d51.tiff,26,406,22.736210219877808,222.0333029284942,136.6256157635468,63.775862068965516,1334.2345289408865,622.8111530172414,0,0,0,1.3342345289408865e-06,6.228111530172414e-07,406.0,3.8719177246093743e-14,3.917502657015476e-14,3.534754816360602e-09,1.2597826179081686e-08,-2.5433815083249897e-10,3.262334370307018e-09,1.110166514642471e-07,1.9677189140244027e-07,1.592919551623865e-07,8.13109127103855e-08,1.6413951492944584e-07,7.295199116097975e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID044_LOC_RC010020-5.00x5.00-Z Height_Forward-251001-CRO_3b8a8d51.tiff,27,35677,213.13227638608942,2081.3698865829047,396.5013454046024,243.73438069344397,3872.08345121682,2380.2185614594136,0,0,0,3.87208345121682e-06,2.3802185614594137e-06,35677.0,3.4024238586425775e-12,3.836296029972698e-12,1.0356968618662471e-08,1.0126086712138186e-07,-2.7367923479432344e-10,1.1651407562089198e-08,1.0406849432914521e-06,1.8445660353163228e-06,1.5732224610819685e-06,9.34385551822732e-07,2.048863645564501e-06,2.0284944623200825e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID044_LOC_RC010020-5.00x5.00-Z Height_Forward-251001-CRO_3b8a8d51.tiff,28,20,5.046265044040321,49.27993207070626,171.0,60.2,1669.921875,587.890625,0,0,0,1.669921875e-06,5.87890625e-07,20.0,1.9073486328124997e-15,1.9126438957165842e-15,3.161383515298427e-10,9.229462509242631e-10,-2.027412810796965e-10,3.69716895751456e-10,2.4639966035353124e-08,4.367320268554276e-08,3.092991820526163e-08,2.00106675469418e-08,3.275780420656163e-08,1.7734967728898217e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID044_LOC_RC010020-5.00x5.00-Z Height_Forward-251001-CRO_3b8a8d51.tiff,29,205,16.15593100600236,157.7727637304918,203.51463414634142,65.34390243902438,1987.4475990853655,638.1240472560975,0,0,0,1.9874475990853655e-06,6.381240472560975e-07,205.0,1.955032348632812e-14,1.9725001404932617e-14,1.8164635934373426e-09,6.918766288627227e-09,-2.728840976987865e-10,2.0677462910200918e-09,7.888638186524588e-08,1.3982247132105813e-07,1.0834168518519797e-07,5.999113087026552e-08,1.140999486083367e-07,4.8828042505804605e-08
