source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID048_LOC_RC011006-5.00x5.00-Z Height_Forward-251001-CRO_062f052d.tiff,1,424,23.23474912642073,226.90184693770246,11.398584905660375,11.669811320754716,111.3143057193396,113.96300117924527,0,0,0,1.113143057193396e-07,1.1396300117924526e-07,424.0,4.043579101562499e-14,4.067998534322013e-14,3.0390451860418502e-09,9.80393700507551e-09,2.5366810170080765e-10,1.985200049963344e-09,1.1345092346885123e-07,2.0108652619115231e-07,1.4320885718198104e-07,9.81994843708893e-08,1.6918650047392706e-07,7.164471653330676e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID048_LOC_RC011006-5.00x5.00-Z Height_Forward-251001-CRO_062f052d.tiff,2,4,2.256758334191025,22.03865560733423,39.99999999999999,0.5,390.62499999999994,4.8828125,0,0,0,3.9062499999999997e-07,4.8828124999999996e-09,4.0,3.814697265624999e-16,3.891610837187699e-16,8.953742922125835e-10,1.032027539502883e-09,8.498232097824837e-10,7.889678910869096e-11,1.1019327803667115e-08,1.9531249999999998e-08,2.2294218480036925e-08,5.5735546200092305e-09,2.0132351687586232e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID048_LOC_RC011006-5.00x5.00-Z Height_Forward-251001-CRO_062f052d.tiff,3,4057,71.87164136841842,701.8714977384611,79.8963519842248,30.77729849642593,780.2378123459453,300.5595556291595,0,0,0,7.802378123459452e-07,3.0055955562915946e-07,4057.0,3.8690567016601556e-13,4.040655116331943e-13,1.1385636143840233e-08,3.6663202443380144e-08,2.5670835313669114e-10,7.044172999310057e-09,3.509357488692306e-07,6.220174195036788e-07,4.593801792823592e-07,2.7359926142089494e-07,4.7153751825455965e-07,2.6117334073311474e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID048_LOC_RC011006-5.00x5.00-Z Height_Forward-251001-CRO_062f052d.tiff,4,19,4.918490759365935,48.03213632193296,131.5,1.1842105263157894,1284.1796875,11.56455592105263,0,0,0,1.2841796875e-06,1.156455592105263e-08,19.0,1.8119812011718747e-15,1.8312962715851737e-15,1.5587707036392746e-09,3.849072555129783e-09,3.171870979741492e-10,9.280498775968382e-10,2.401606816096648e-08,4.2567372495514386e-08,4.150863429799556e-08,1.4828984273728262e-08,4.421632249639639e-08,1.4647898662863907e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID048_LOC_RC011006-5.00x5.00-Z Height_Forward-251001-CRO_062f052d.tiff,5,1140,38.09846559899868,372.05532811522147,195.4236842105263,10.644736842105262,1908.4344161184208,103.9525082236842,0,0,1,1.908434416118421e-06,1.039525082236842e-07,1140.0,1.0871887207031248e-13,1.0919519698525709e-13,2.280287104037145e-09,9.497460682505317e-09,2.524124858085936e-10,1.7459701152907487e-09,1.860276640576107e-07,3.297254495338697e-07,4.976711708009902e-07,1.2549019083392892e-07,5.468970574152761e-07,8.471536517524163e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID048_LOC_RC011006-5.00x5.00-Z Height_Forward-251001-CRO_062f052d.tiff,6,551,26.486883341553696,258.6609701323603,281.078947368421,14.291288566243194,2744.911595394736,139.5633649047187,0,0,0,2.7449115953947364e-06,1.3956336490471868e-07,551.0,5.2547454833984366e-14,5.405345171361047e-14,7.136795303610384e-09,1.8140688406941557e-08,2.8607274778563675e-10,5.400795076726324e-09,1.2933048506618016e-07,2.292323162950293e-07,1.8033885315819064e-07,1.1151441385051804e-07,2.1414436511748854e-07,7.898078087236113e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID048_LOC_RC011006-5.00x5.00-Z Height_Forward-251001-CRO_062f052d.tiff,7,1,1.1283791670955126,11.019327803667116,301.5,0.5,2944.3359375,4.8828125,0,0,0,2.9443359375e-06,4.8828124999999996e-09,1.0,9.536743164062498e-17,9.58481218298875e-17,3.257267076571146e-10,3.257267076571146e-10,3.257267076571146e-10,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.9053396600250365e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID048_LOC_RC011006-5.00x5.00-Z Height_Forward-251001-CRO_062f052d.tiff,8,156,14.093451279891855,137.6313601551939,314.1858974358974,11.48076923076923,3068.2216546474356,112.11688701923076,0,0,0,3.0682216546474357e-06,1.1211688701923076e-07,156.0,1.4877319335937498e-14,1.4925027213019147e-14,1.08549636687058e-09,2.5278211030697686e-09,2.5781387860547635e-10,5.181258137797888e-10,6.881568007759696e-08,1.219726171562187e-07,1.4111318312154034e-07,3.739897437837083e-08,1.4194090701763943e-07,2.9746516734338856e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID048_LOC_RC011006-5.00x5.00-Z Height_Forward-251001-CRO_062f052d.tiff,9,148,13.727325035155395,134.0559085464394,332.8918918918918,4.9391891891891895,3250.897381756756,48.23426942567568,0,0,0,3.2508973817567564e-06,4.8234269425675676e-08,148.0,1.4114379882812497e-14,1.4944338524408292e-14,7.8077442079195e-09,2.2761049743868537e-08,2.6026921515205967e-10,6.700469386394505e-09,6.70279542732197e-08,1.1880395566988709e-07,8.407968041256353e-08,6.24830313154568e-08,1.0987536045263992e-07,4.3223210222817466e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID048_LOC_RC011006-5.00x5.00-Z Height_Forward-251001-CRO_062f052d.tiff,10,4306,74.04437507082905,723.0896003010649,377.70575940548065,40.53111936832327,3688.532806694147,395.8117125812819,0,0,0,3.688532806694147e-06,3.958117125812819e-07,4306.0,4.1065216064453115e-13,4.4862469556099885e-13,1.3905324364102706e-08,5.711346554419647e-08,2.607809455918357e-10,9.101239206148718e-09,3.6154480015053246e-07,6.408214733016764e-07,3.930866890972611e-07,3.358910001901694e-07,4.240606563080335e-07,3.116436867619176e-07
