source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID049_LOC_RC011010-5.00x5.00-Z Height_Forward-251001-CRO_16d44c03.tiff,1,146,13.63425735166143,133.14704444981865,5.2534246575342465,7.547945205479452,51.30297517123287,73.71040239726027,0,0,0,5.1302975171232873e-08,7.371040239726027e-08,146.0,1.3923645019531247e-14,1.412186173533058e-14,2.9976475210890143e-09,9.104071831917068e-09,8.011331625254239e-10,1.9962702810842003e-09,6.657352222490932e-08,1.1799849583588448e-07,1.1834822906034529e-07,4.8331016025497706e-08,1.408420828039828e-07,3.548230569248612e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID049_LOC_RC011010-5.00x5.00-Z Height_Forward-251001-CRO_16d44c03.tiff,2,123,12.514330345744634,122.21025728266244,40.08536585365854,8.004065040650406,391.4586509146341,78.16469766260163,0,0,0,3.9145865091463413e-07,7.816469766260162e-08,123.0,1.1730194091796873e-14,1.1812916707283445e-14,3.0123519988240214e-09,5.716722248610129e-09,8.756235009957069e-10,1.38782171331199e-09,6.110512864133123e-08,1.0830602057040445e-07,9.080128109922434e-08,4.264504924530266e-08,9.481669630930306e-08,3.816134124608544e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID049_LOC_RC011010-5.00x5.00-Z Height_Forward-251001-CRO_16d44c03.tiff,3,661,29.010538413996088,283.30603919918053,66.95083207261725,19.817700453857793,653.8167194591528,193.532230994705,0,0,0,6.538167194591527e-07,1.93532230994705e-07,661.0,6.303787231445312e-14,6.323778185898969e-14,2.650671015323403e-09,6.3304651952075774e-09,8.115770918548436e-10,1.2581732774011447e-09,1.4165301959959027e-07,2.510734400816883e-07,2.3820541972788698e-07,9.325480093471297e-08,2.4522117600111104e-07,6.937108341338347e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID049_LOC_RC011010-5.00x5.00-Z Height_Forward-251001-CRO_16d44c03.tiff,4,154,14.002817212590296,136.7462618417021,92.87012987012986,7.6818181818181825,906.9348620129869,75.01775568181819,0,0,0,9.069348620129869e-07,7.501775568181818e-08,154.0,1.4686584472656246e-14,1.4725236868958055e-14,1.9200430655768628e-09,3.2879052510841904e-09,8.06415804896528e-10,7.101345037554566e-10,6.837313092085106e-08,1.2118821919912944e-07,9.157037597970868e-08,5.2142997399031744e-08,9.630421594984847e-08,4.6396438581470775e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID049_LOC_RC011010-5.00x5.00-Z Height_Forward-251001-CRO_16d44c03.tiff,5,1,1.1283791670955126,11.019327803667116,111.5,0.5,1088.8671875,4.8828125,0,0,0,1.0888671874999999e-06,4.8828124999999996e-09,1.0,9.536743164062498e-17,9.582670976989363e-17,9.77593714665555e-10,9.77593714665555e-10,9.77593714665555e-10,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.905339660024887e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID049_LOC_RC011010-5.00x5.00-Z Height_Forward-251001-CRO_16d44c03.tiff,6,49,7.898654169668588,77.1352946256698,130.2755102040816,2.9081632653061225,1272.2217793367345,28.4000318877551,0,0,0,1.2722217793367345e-06,2.84000318877551e-08,49.0,4.673004150390624e-15,4.696490958719165e-15,2.2297431519823495e-09,4.2091534470185035e-09,1.0322045398990134e-09,8.284531926732221e-10,3.85676473128349e-08,6.8359375e-08,5.2337789780226894e-08,2.9635386630568044e-08,5.694443505397284e-08,2.6315104465665774e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID049_LOC_RC011010-5.00x5.00-Z Height_Forward-251001-CRO_16d44c03.tiff,7,13,4.068428945128219,39.73075141726777,177.42307692307693,0.6538461538461539,1732.647235576923,6.385216346153846,0,0,0,1.7326472355769231e-06,6.385216346153846e-09,13.0,1.2397766113281247e-15,1.243073539820632e-15,1.1945044927353532e-09,1.7429505134840294e-09,8.39227377760761e-10,3.3025203905343873e-10,1.986537570863388e-08,3.5210461674453015e-08,5.3593375712929294e-08,8.426461571884624e-09,5.393301661421937e-08,9.76199246787011e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID049_LOC_RC011010-5.00x5.00-Z Height_Forward-251001-CRO_16d44c03.tiff,8,3,1.9544100476116797,19.08603562120781,190.49999999999997,0.5,1860.3515624999998,4.8828125,0,0,0,1.8603515624999998e-06,4.8828124999999996e-09,3.0,2.8610229492187495e-16,2.8631669732617114e-16,1.0456537216915006e-09,1.1356352276755365e-09,1.0006629686994826e-09,6.362653306268973e-11,9.543017810603905e-09,1.6914558667664815e-08,1.6720663860027693e-08,5.573554620009231e-09,1.5440808887540952e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID049_LOC_RC011010-5.00x5.00-Z Height_Forward-251001-CRO_16d44c03.tiff,9,317,20.090219901261573,196.19355372325754,221.34227129337538,9.298107255520502,2161.5456180993688,90.80182866719241,0,0,0,2.161545618099369e-06,9.080182866719241e-08,317.0,3.023147583007812e-14,3.0348956892416655e-14,2.423899439482644e-09,5.5875573060095164e-09,7.988146775082013e-10,1.1703033096524367e-09,9.809677686162877e-08,1.7387200990981303e-07,1.9059818223618073e-07,6.305445837580224e-08,1.9218097340597095e-07,5.148344038753095e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID049_LOC_RC011010-5.00x5.00-Z Height_Forward-251001-CRO_16d44c03.tiff,10,282,18.948708441878455,185.0459808777193,257.5212765957446,9.514184397163119,2514.8562167553187,92.91195700354608,0,0,0,2.5148562167553186e-06,9.291195700354608e-08,282.0,2.6893615722656245e-14,2.7140231820012055e-14,5.092057953715189e-09,1.003981466036871e-08,7.955685617066305e-10,2.5954913697573224e-09,9.252299043885965e-08,1.6399273070065102e-07,1.0364433557751353e-07,8.341534858816851e-08,1.0988100013450985e-07,7.788012003680873e-08
