source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID050_LOC_RC011011-5.00x5.00-Z Height_Forward-251001-CRO_fcf6fe2e.tiff,1,874,33.35882734897215,325.7697983298061,31.719679633867276,8.808924485125857,309.7624964244851,86.0246531750572,0,0,0,3.097624964244851e-07,8.60246531750572e-08,874.0,8.335113525390623e-14,8.472703137044266e-14,4.607880510915899e-09,1.492738516136219e-08,5.827317987454018e-10,3.228775710892037e-09,1.6288489916490307e-07,2.887059667791891e-07,3.5439284889134235e-07,9.645141157552068e-08,3.590787705931259e-07,5.870479264003976e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID050_LOC_RC011011-5.00x5.00-Z Height_Forward-251001-CRO_fcf6fe2e.tiff,2,133,13.013103375051497,127.08108764698727,79.58270676691728,4.454887218045113,777.1748707706766,43.504757988721806,0,0,0,7.771748707706767e-07,4.35047579887218e-08,133.0,1.2683868408203122e-14,1.2803358488013315e-14,2.363616476450471e-09,8.159450734463355e-09,5.906750400775632e-10,1.4555040075814915e-09,6.354054382349363e-08,1.1262268158858198e-07,8.58624851018251e-08,5.043300227668205e-08,9.396909566501805e-08,4.69274117129745e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID050_LOC_RC011011-5.00x5.00-Z Height_Forward-251001-CRO_fcf6fe2e.tiff,3,20,5.046265044040321,49.27993207070626,113.3,1.35,1106.4453125,13.18359375,0,0,0,1.1064453125e-06,1.318359375e-08,20.0,1.9073486328124997e-15,1.922744880400555e-15,1.8258030424464135e-09,3.1373291535260047e-09,6.191132426302849e-10,7.736902516230693e-10,2.4639966035353124e-08,4.367320268554276e-08,3.910167455329521e-08,1.6083610994753328e-08,4.02649366906866e-08,1.4648437499999999e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID050_LOC_RC011011-5.00x5.00-Z Height_Forward-251001-CRO_fcf6fe2e.tiff,4,56,8.444016491289505,82.46109854774907,126.17857142857143,3.053571428571428,1232.212611607143,29.82003348214285,0,0,0,1.2322126116071428e-06,2.982003348214285e-08,56.0,5.340576171874999e-15,5.387817469645311e-15,2.2493567989141075e-09,5.581634626320618e-09,6.777718841012243e-10,1.3020569903428347e-09,4.123054927387453e-08,7.307924583542853e-08,4.878970066999784e-08,3.7467672315329544e-08,6.057269624488108e-08,3.177618754695818e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID050_LOC_RC011011-5.00x5.00-Z Height_Forward-251001-CRO_fcf6fe2e.tiff,5,131,12.914889870235298,126.12197138901658,147.5229007633588,4.1106870229007635,1440.6533277671756,40.143427958015266,0,0,0,1.4406533277671756e-06,4.0143427958015265e-08,131.0,1.2493133544921872e-14,1.2551968538111916e-14,1.9232932480909057e-09,3.4531806736233155e-09,5.916555320290527e-10,6.865932946767412e-10,6.306098569450829e-08,1.1177268693612887e-07,8.797256076064114e-08,5.617869783613412e-08,1.3192725226344903e-07,4.3223210222817466e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID050_LOC_RC011011-5.00x5.00-Z Height_Forward-251001-CRO_fcf6fe2e.tiff,6,26,5.753627391751592,56.18776749757414,164.46153846153842,3.7692307692307687,1606.0697115384612,36.808894230769226,0,0,0,1.6060697115384613e-06,3.6808894230769224e-08,26.0,2.4795532226562493e-15,2.5074471738246934e-15,1.7374979011810158e-09,3.3769547001249653e-09,6.598065136701656e-10,7.737122176619089e-10,2.809388374878707e-08,4.979511243742953e-08,3.165464620120069e-08,2.540537540968132e-08,3.5653763721743675e-08,2.2508283409275937e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID050_LOC_RC011011-5.00x5.00-Z Height_Forward-251001-CRO_fcf6fe2e.tiff,7,776,31.433006326383836,306.96295240609214,182.9033505154639,20.289948453608247,1786.1655323775772,198.14402786726802,0,0,0,1.7861655323775773e-06,1.9814402786726803e-07,776.0,7.400512695312498e-14,7.548235115984587e-14,4.8948419137906e-09,2.0134974381171258e-08,5.79631115693809e-10,4.375784513759506e-09,1.5348147620304608e-07,2.720388335387523e-07,3.105612300754651e-07,8.235516595496619e-08,3.14932557252516e-07,6.676693064956289e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID050_LOC_RC011011-5.00x5.00-Z Height_Forward-251001-CRO_fcf6fe2e.tiff,8,2,1.5957691216057308,15.583682828180965,236.99999999999994,0.5,2314.4531249999995,4.8828125,0,0,0,2.3144531249999997e-06,4.8828124999999996e-09,2.0,1.9073486328124996e-16,1.9093236788034521e-16,6.496173286838655e-10,6.496173286838655e-10,6.496173286838655e-10,0.0,7.791841414090481e-09,1.3810679320049755e-08,1.1147109240018463e-08,5.5735546200092305e-09,1.0918300671385715e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID050_LOC_RC011011-5.00x5.00-Z Height_Forward-251001-CRO_fcf6fe2e.tiff,9,21,5.170882945826411,50.496903767836045,280.88095238095235,2.5476190476190474,2742.978050595238,24.87909226190476,0,0,0,2.742978050595238e-06,2.4879092261904758e-08,21.0,2.0027160644531244e-15,2.0071688998994534e-15,1.068073228555638e-09,1.7652102441608175e-09,6.857848264601127e-10,3.126139452051507e-10,2.524845188391802e-08,4.475171577105312e-08,2.87846689592959e-08,2.2628229501126717e-08,3.165484469301666e-08,1.7953265597860783e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID050_LOC_RC011011-5.00x5.00-Z Height_Forward-251001-CRO_fcf6fe2e.tiff,10,214,16.50676414605009,161.19886861377043,308.17757009345786,8.168224299065422,3009.5465829439245,79.76781542056075,0,0,0,3.0095465829439246e-06,7.976781542056075e-08,214.0,2.0408630371093747e-14,2.120125473765747e-14,7.583218587000279e-09,1.6508416127086823e-08,8.183581887193404e-10,4.8012436725335184e-09,8.059943430688522e-08,1.4285877771804485e-07,8.395223484917554e-08,7.87041835344609e-08,9.381328217472447e-08,6.493534755768684e-08
