source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID052_LOC_RC011016-5.00x5.00-Z Height_Forward-251001-CRO_c5229d0d.tiff,1,2517,56.610457815658094,552.836502106036,74.28267779102106,29.317640047675802,725.41677530294,286.305078590584,0,0,0,7.2541677530294e-07,2.86305078590584e-07,2517.0,2.400398254394531e-13,2.6524407405805047e-13,1.4598845756217897e-08,6.600669004285344e-08,-6.51427343218608e-10,1.3454653083264656e-08,2.7641825105301806e-07,4.899385935394895e-07,3.061593515475747e-07,2.6217244982537623e-07,3.342283131194947e-07,1.516264073520014e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID052_LOC_RC011016-5.00x5.00-Z Height_Forward-251001-CRO_c5229d0d.tiff,2,7131,95.2862592061754,930.5298750603066,184.78986116954144,40.64738465853316,1804.5884879838031,396.9471158059879,0,0,0,1.804588487983803e-06,3.969471158059879e-07,7131.0,6.800651550292968e-13,7.175981441245901e-13,1.1830175191069924e-08,6.611611341241449e-08,-6.459002155995304e-10,9.177357201620597e-09,4.652649375301533e-07,8.246606302166345e-07,9.20988127870482e-07,3.6052706454349573e-07,1.0562685268445907e-06,2.500550787658568e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID052_LOC_RC011016-5.00x5.00-Z Height_Forward-251001-CRO_c5229d0d.tiff,3,3579,67.50499485673002,659.2284653977541,345.2619446772841,37.04735959765298,3371.6986784891023,361.79062107082984,0,0,0,3.3716986784891026e-06,3.6179062107082984e-07,3579.0,3.413200378417968e-13,3.6481872841492814e-13,1.2771801412734176e-08,4.6139504802310086e-08,-6.518471913239366e-10,1.0011186672417503e-08,3.296142326988771e-07,5.842260160603915e-07,5.740146646399157e-07,2.2548782140526395e-07,6.717531752537724e-07,1.367186993657922e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID052_LOC_RC011016-5.00x5.00-Z Height_Forward-251001-CRO_c5229d0d.tiff,4,504,25.332049473868512,247.38329564324718,363.5674603174603,5.488095238095237,3550.4634796626983,53.5946800595238,0,0,0,3.550463479662698e-06,5.3594680059523806e-08,504.0,4.806518554687499e-14,4.8462203087424586e-14,2.1728357787061066e-09,1.1827578436835924e-08,-6.560024608784319e-10,2.529170087990846e-09,1.2369164782162358e-07,2.1923773750628561e-07,2.8653971230380016e-07,6.576222353729644e-08,2.865969837946668e-07,4.930058510845172e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID052_LOC_RC011016-5.00x5.00-Z Height_Forward-251001-CRO_c5229d0d.tiff,5,1084,37.150930896720695,362.80205953828806,426.8625461254613,13.727859778597786,4168.579552006458,134.061130650369,0,0,1,4.1685795520064575e-06,1.34061130650369e-07,1084.0,1.0337829589843748e-13,1.200754411857658e-13,1.6826654737091563e-08,6.805904271210717e-08,-6.504928019487769e-10,1.522995823080307e-08,1.81401029769144e-07,3.2152495377254546e-07,2.734990648762395e-07,1.3569208924175604e-07,2.857683318675453e-07,1.3198372700960857e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID052_LOC_RC011016-5.00x5.00-Z Height_Forward-251001-CRO_c5229d0d.tiff,6,6,2.763953195770684,26.991730427448086,511.16666666666663,1.6666666666666667,4991.861979166666,16.276041666666668,0,0,0,4.991861979166666e-06,1.6276041666666667e-08,6.0,5.722045898437499e-16,5.749410152523974e-16,3.369824164894434e-10,1.3434475775449626e-09,-3.714711209543313e-10,5.898838778355035e-10,1.3495865213724042e-08,2.392079826936697e-08,2.1090761680058226e-08,9.4297369765703e-09,2.1840238553173834e-08,9.761992467870109e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID052_LOC_RC011016-5.00x5.00-Z Height_Forward-251001-CRO_c5229d0d.tiff,7,2,1.5957691216057308,15.583682828180965,315.5,4.0,3081.0546875,39.0625,0,0,0,3.0810546875e-06,3.9062499999999997e-08,2.0,1.9073486328124996e-16,1.999311701765362e-16,-4.5599570310145203e-10,-4.5599570310145203e-10,-4.5599570310145203e-10,0.0,7.791841414090481e-09,1.3810679320049755e-08,1.1147109240018463e-08,5.5735546200092305e-09,1.0918300671385792e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID052_LOC_RC011016-5.00x5.00-Z Height_Forward-251001-CRO_c5229d0d.tiff,8,1586,44.937266471715525,438.8404928878469,30.4672131147541,49.30895334174022,297.5313780737705,481.5327474779318,1,1,0,2.975313780737705e-07,4.815327474779318e-07,1586.0,1.5125274658203123e-13,1.5893403178252462e-13,1.1139707191561898e-08,3.2741859670002937e-08,-6.429683180795106e-10,7.118557009761972e-09,2.1942024644392344e-07,3.8891226077616943e-07,3.71585698472004e-07,1.5102744019987667e-07,3.7381717077231066e-07,1.1487037631631095e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID052_LOC_RC011016-5.00x5.00-Z Height_Forward-251001-CRO_c5229d0d.tiff,9,48,7.817640190446719,76.34414248483124,510.54166666666663,16.83333333333333,4985.758463541666,164.3880208333333,0,0,0,4.985758463541666e-06,1.643880208333333e-07,48.0,4.577636718749999e-15,4.712569631443053e-15,2.7072077437683293e-09,7.164419668726591e-09,-5.092570109050734e-10,2.340364666107285e-09,3.817207124241562e-08,6.765823467065926e-08,8.534739358152285e-08,1.8315754177089583e-08,9.290260961322777e-08,1.830888331577028e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID052_LOC_RC011016-5.00x5.00-Z Height_Forward-251001-CRO_c5229d0d.tiff,10,4,2.256758334191025,22.03865560733423,360.0,9.999999999999998,3515.625,97.65624999999999,0,0,0,3.515625e-06,9.765624999999999e-08,4.0,3.814697265624999e-16,3.8187677904905184e-16,-5.168254526976564e-10,-4.3437875319351265e-10,-6.383242919594252e-10,8.69482206198098e-11,1.1019327803667115e-08,1.9531249999999998e-08,1.1147109240018463e-08,1.1147109240018463e-08,1.3810679320049774e-08,9.755859375e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID052_LOC_RC011016-5.00x5.00-Z Height_Forward-251001-CRO_c5229d0d.tiff,11,753,30.96367835360614,302.379671421935,443.7855245683931,39.08698539176627,4333.843013363214,381.7088417164675,0,0,0,4.333843013363214e-06,3.8170884171646745e-07,753.0,7.18116760253906e-14,8.260957012133866e-14,1.4515394860860176e-08,5.046545943104291e-08,-5.998976080835655e-10,1.257707438971294e-08,1.5118983571096748e-07,2.6797700652367657e-07,3.2135771403659895e-07,7.934298225407374e-08,3.1561847706997625e-07,7.62001100365674e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID052_LOC_RC011016-5.00x5.00-Z Height_Forward-251001-CRO_c5229d0d.tiff,12,980,35.32385530828224,344.95952449494376,500.9214285714285,53.62346938775509,4891.810825892857,523.6666932397958,0,0,0,4.891810825892857e-06,5.236666932397958e-07,980.0,9.346008300781248e-14,1.0845991765668606e-13,2.314467745227919e-08,6.209175547677704e-08,-6.322110414930733e-10,1.653556344489087e-08,1.7247976224747188e-07,3.0571241879879933e-07,2.6569223549993414e-07,1.1680146861359508e-07,2.874928560601724e-07,1.0724659230711057e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID052_LOC_RC011016-5.00x5.00-Z Height_Forward-251001-CRO_c5229d0d.tiff,13,3181,63.64098515738543,621.4939956775921,458.53646651996223,96.31546683432883,4477.895180859006,940.5807308039924,0,0,0,4.477895180859006e-06,9.405807308039924e-07,3181.0,3.0336380004882805e-13,3.1914866296689867e-13,1.4334131296144781e-08,4.658863607280101e-08,-6.478290316668316e-10,1.1436183083767123e-08,3.1074699783879604e-07,5.50784712976702e-07,4.74619596916093e-07,2.1915687119670298e-07,5.77893512437677e-07,1.779373598486405e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID052_LOC_RC011016-5.00x5.00-Z Height_Forward-251001-CRO_c5229d0d.tiff,14,3728,68.89584183949484,672.8109554638168,210.7164699570815,87.41389484978541,2057.778026924624,853.6513168924356,0,0,0,2.0577780269246243e-06,8.536513168924356e-07,3728.0,3.555297851562499e-13,3.7988050376555367e-13,1.2946530250024877e-08,5.781701210272613e-08,-6.498127992936431e-10,1.05723132402908e-08,3.3640547773190834e-07,5.962631844716307e-07,3.525879136953456e-07,3.2549340291710046e-07,3.9458000686608494e-07,2.6230076421012826e-07
