source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID053_LOC_RC011020-5.00x5.00-Z Height_Forward-251001-CRO_3ad6b860.tiff,1,7767,99.44471601828832,971.1398048660968,36.48957126303592,125.56952491309387,356.3434693655851,1226.2648917294323,0,0,0,3.5634346936558515e-07,1.2262648917294322e-06,7767.0,7.407188415527342e-13,8.440482376602536e-13,2.170264239364215e-08,7.776134660307755e-08,-1.1581760525838047e-09,1.5218262630078006e-08,4.855699024330484e-07,8.606502434512723e-07,1.1996498264735008e-06,2.5175265477322907e-07,1.221652240487975e-06,1.5994417652583612e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID053_LOC_RC011020-5.00x5.00-Z Height_Forward-251001-CRO_3ad6b860.tiff,2,1235,39.65414023463283,387.2474632288362,92.43684210526314,7.986639676113359,902.7035361842104,77.99452808704453,0,0,1,9.027035361842104e-07,7.799452808704453e-08,1235.0,1.1777877807617184e-13,1.6767958892150565e-13,3.824568967856742e-08,8.85808838427235e-08,-4.962854904211525e-10,2.0496623754617044e-08,1.936237316144181e-07,3.431891287266714e-07,3.9980790486476076e-07,9.954760808650284e-08,4.541288917586418e-07,9.765523785333233e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID053_LOC_RC011020-5.00x5.00-Z Height_Forward-251001-CRO_3ad6b860.tiff,3,4305,74.03577675748986,723.0056323973619,204.2170731707317,27.30813008130081,1994.3073551829268,266.6809578252032,0,0,0,1.9943073551829267e-06,2.6668095782520325e-07,4305.0,4.105567932128905e-13,4.3770795572551013e-13,1.815187790163677e-08,5.407839078684035e-08,-1.132081477326772e-09,1.0113033037010279e-08,3.6150281619868095e-07,6.407470586845409e-07,5.132261267049862e-07,2.716932097600969e-07,5.915465145655755e-07,2.5687778572466355e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID053_LOC_RC011020-5.00x5.00-Z Height_Forward-251001-CRO_3ad6b860.tiff,4,3520,66.94627097507204,653.7721774909379,283.5974431818181,62.83068181818181,2769.5062810724426,613.5808771306818,0,0,0,2.7695062810724426e-06,6.135808771306817e-07,3520.0,3.3569335937499993e-13,3.502579783424962e-13,1.2506191595257675e-08,3.1854478852725805e-08,-1.135590447919929e-09,7.95248099567626e-09,3.268860887454689e-07,5.793905068043486e-07,5.879092848767339e-07,2.1139844164503587e-07,5.662108890445741e-07,1.611321844532107e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID053_LOC_RC011020-5.00x5.00-Z Height_Forward-251001-CRO_3ad6b860.tiff,5,4960,79.46866138224807,776.0611463110164,349.6282258064516,57.40221774193548,3414.338142641129,560.5685326360887,0,0,0,3.4143381426411287e-06,5.605685326360887e-07,4960.0,4.730224609374999e-13,5.01606773652662e-13,1.2716779250992033e-08,4.4668955703552696e-08,-1.1680394153937024e-09,9.187401025092855e-09,3.880305731555082e-07,6.87766283658555e-07,5.425117005094332e-07,3.052019084264207e-07,6.393447769006169e-07,2.5873237859128843e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID053_LOC_RC011020-5.00x5.00-Z Height_Forward-251001-CRO_3ad6b860.tiff,6,1027,36.16098743733379,353.1346429427128,393.3889970788705,25.792112950340794,3841.689424598345,251.8761030306718,1,1,0,3.841689424598345e-06,2.518761030306718e-07,1027.0,9.794235229492185e-14,1.0893661138422765e-13,1.6359155452378063e-08,4.5198701717750805e-08,-1.152744141671642e-09,1.2667235535170675e-08,1.765673214713564e-07,3.129574288859778e-07,2.5513472166240296e-07,1.4092015221959603e-07,2.72806831723651e-07,1.0984226959409236e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID053_LOC_RC011020-5.00x5.00-Z Height_Forward-251001-CRO_3ad6b860.tiff,7,1703,46.565297644103836,454.7392348057015,448.4453904873752,17.23399882560188,4379.3495164782735,168.30076978126834,0,0,1,4.379349516478273e-06,1.6830076978126833e-07,1703.0,1.6241073608398433e-13,1.657462125592824e-13,9.851390981579415e-09,1.950784404569275e-08,-1.132565836615234e-09,4.603655467505816e-09,2.2736961740285074e-07,4.030021539445966e-07,2.775120417043858e-07,1.9067333783624284e-07,2.8933929109443675e-07,1.6722159848536905e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID053_LOC_RC011020-5.00x5.00-Z Height_Forward-251001-CRO_3ad6b860.tiff,8,7130,95.27957784311236,930.4646273741441,477.6639551192145,114.41921458625525,4664.687061711079,1117.375142443899,0,0,0,4.664687061711079e-06,1.117375142443899e-06,7130.0,6.799697875976561e-13,7.171072838073941e-13,9.84495981180829e-09,4.822357732818577e-08,-1.1652189097379435e-09,9.147765090128673e-09,4.652323136870721e-07,8.246028059603339e-07,8.709789678528778e-07,3.0698456523971853e-07,9.465801828447641e-07,2.163424618772736e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID053_LOC_RC011020-5.00x5.00-Z Height_Forward-251001-CRO_3ad6b860.tiff,9,1,1.1283791670955126,11.019327803667116,28.5,6.499999999999999,278.3203125,63.47656249999999,0,0,0,2.783203125e-07,6.34765625e-08,1.0,9.536743164062498e-17,1.1729647599492922e-16,3.5733916551772224e-10,3.5733916551772224e-10,3.5733916551772224e-10,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.905339660024887e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID053_LOC_RC011020-5.00x5.00-Z Height_Forward-251001-CRO_3ad6b860.tiff,10,167,14.581872443920643,142.40109808516252,2.0269461077844304,39.721556886227546,19.79439558383233,387.9058289670659,0,0,0,1.979439558383233e-08,3.8790582896706587e-07,167.0,1.5926361083984372e-14,2.295916439315032e-14,1.574666197962579e-08,4.8155240850023616e-08,-9.74692206476485e-10,1.1808511986738938e-08,7.120054904258125e-08,1.261996873371102e-07,2.3802526606989067e-07,2.4728352259142707e-08,2.2954427341300018e-07,2.513231513684839e-08
