source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID057_LOC_RC012006-5.00x5.00-Z Height_Forward-251001-CRO_80e384e2.tiff,1,23,5.4115163798060095,52.84683964654306,1.891304347826087,3.3260869565217392,18.46976902173913,32.48131793478261,0,0,0,1.846976902173913e-08,3.2481317934782606e-08,23.0,2.1934509277343745e-15,2.2101059792003793e-15,1.505101238651772e-09,3.1696475680769443e-09,8.995161755764761e-10,7.124745220654335e-10,2.642341982327153e-08,4.683429221985077e-08,4.817492576751237e-08,2.0690504049442836e-08,5.285222855448418e-08,1.4648437499999999e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID057_LOC_RC012006-5.00x5.00-Z Height_Forward-251001-CRO_80e384e2.tiff,2,5,2.5231325220201604,24.63996603535313,8.3,0.7,81.0546875,6.835937499999999,0,0,0,8.10546875e-08,6.835937499999999e-09,5.0,4.768371582031249e-16,4.797075216952752e-16,1.5216536301623754e-09,2.1513963824204445e-09,1.2401414556930435e-09,3.689063868435269e-10,1.2319983017676562e-08,2.183660134277138e-08,2.2066147131020523e-08,8.027064639496598e-09,2.18380718949699e-08,5.717541722276225e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID057_LOC_RC012006-5.00x5.00-Z Height_Forward-251001-CRO_80e384e2.tiff,3,2,1.5957691216057308,15.583682828180965,14.5,1.0,141.6015625,9.765625,0,0,0,1.416015625e-07,9.765624999999999e-09,2.0,1.9073486328124996e-16,1.933020326227504e-16,1.2935941661530576e-09,1.3725501168360758e-09,1.2146382154700395e-09,7.895595068301819e-11,7.791841414090481e-09,1.3810679320049755e-08,1.1147109240018463e-08,5.5735546200092305e-09,1.0918300671385697e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID057_LOC_RC012006-5.00x5.00-Z Height_Forward-251001-CRO_80e384e2.tiff,4,1110,37.59382787980004,367.12722538867223,34.726126126126125,27.568468468468467,339.12232545045043,269.2233248873874,1,1,0,3.391223254504504e-07,2.6922332488738736e-07,1110.0,1.0585784912109373e-13,1.0649382637359088e-13,2.984517857336775e-09,8.038687998290916e-09,8.265373553021966e-10,1.5152089834855445e-09,1.835636126943361e-07,3.2535803220620467e-07,3.441393997868705e-07,1.1426854053051475e-07,3.5615919084024515e-07,8.931481469981101e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID057_LOC_RC012006-5.00x5.00-Z Height_Forward-251001-CRO_80e384e2.tiff,5,241,17.517155313611116,171.06596985948357,80.05186721991701,5.475103734439834,781.756515819502,53.467809906639005,0,0,0,7.81756515819502e-07,5.3467809906639e-08,241.0,2.298355102539062e-14,2.3113370595816296e-14,2.3622316302603907e-09,4.7855639440402925e-09,8.792813210603454e-10,9.845564100474286e-10,8.553298492974178e-08,1.5160326851816428e-07,1.658397518171821e-07,5.774856560985451e-08,1.9317580043443745e-07,4.40733644010079e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID057_LOC_RC012006-5.00x5.00-Z Height_Forward-251001-CRO_80e384e2.tiff,6,1,1.1283791670955126,11.019327803667116,94.49999999999999,0.5,922.8515624999999,4.8828125,0,0,0,9.228515624999999e-07,4.8828124999999996e-09,1.0,9.536743164062498e-17,9.899780839614717e-17,2.5256688181982308e-09,2.5256688181982308e-09,2.5256688181982308e-09,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.905339660024887e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID057_LOC_RC012006-5.00x5.00-Z Height_Forward-251001-CRO_80e384e2.tiff,7,1,1.1283791670955126,11.019327803667116,96.49999999999999,0.5,942.3828124999999,4.8828125,0,0,0,9.423828124999999e-07,4.8828124999999996e-09,1.0,9.536743164062498e-17,9.605959740328509e-17,1.0822634575596845e-09,1.0822634575596845e-09,1.0822634575596845e-09,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.905339660024962e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID057_LOC_RC012006-5.00x5.00-Z Height_Forward-251001-CRO_80e384e2.tiff,8,52,8.136857890256438,79.46150283453554,114.53846153846153,1.4230769230769231,1118.5396634615383,13.897235576923077,0,0,0,1.1185396634615383e-06,1.3897235576923076e-08,52.0,4.959106445312499e-15,5.008417636239251e-15,1.934422256805917e-09,4.681379663181639e-09,8.594653150746974e-10,8.992660008375175e-10,3.973075141726776e-08,7.042092334890603e-08,1.025160123275475e-07,1.915403856682096e-08,1.0786571771400428e-07,1.5054240595471733e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID057_LOC_RC012006-5.00x5.00-Z Height_Forward-251001-CRO_80e384e2.tiff,9,76,9.83698151873187,96.06427264386592,135.52631578947367,3.1184210526315788,1323.4991776315787,30.45333059210526,0,0,0,1.3234991776315787e-06,3.045333059210526e-08,76.0,7.247924804687499e-15,7.285557560515293e-15,2.2192155392732223e-09,3.94119529242554e-09,8.908759331557776e-10,8.163652669201118e-10,4.803213632193296e-08,8.513474499102877e-08,7.190910046433343e-08,3.434786161320559e-08,8.08253307470695e-08,2.929609064216951e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID057_LOC_RC012006-5.00x5.00-Z Height_Forward-251001-CRO_80e384e2.tiff,10,211,16.39065416446578,160.06498207486112,151.38151658767774,8.765402843601894,1478.3351229265404,85.59963714454975,0,0,0,1.4783351229265404e-06,8.559963714454975e-08,211.0,2.012252807617187e-14,2.0340196493554408e-14,4.2811833645296336e-09,8.857254298293743e-09,8.981828953529254e-10,2.265225312549025e-09,8.003249103743055e-08,1.4185389693685496e-07,9.491282182917118e-08,6.875412526058049e-08,1.0708929680350917e-07,6.14845787344761e-08
