source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID063_LOC_RC012021-5.00x5.00-Z Height_Forward-251001-CRO_46a0c85f.tiff,1,2927,61.047294349871244,596.1649838854613,32.64759139050222,29.87854458489921,318.82413467287324,291.78266196190634,0,0,0,3.1882413467287324e-07,2.9178266196190634e-07,2927.0,2.791404724121093e-13,2.838772754683731e-13,5.785530617014384e-09,2.3345332213016572e-08,-3.712023923467352e-10,4.156576475777763e-09,2.9808249194273064e-07,5.283374607314054e-07,4.095344794831397e-07,3.0454178009399334e-07,6.134087125274447e-07,1.1236393972674472e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID063_LOC_RC012021-5.00x5.00-Z Height_Forward-251001-CRO_46a0c85f.tiff,2,34505,209.60231508999797,2046.8976083007615,185.9613244457325,173.18450949137804,1816.0285590403564,1691.2549755017387,0,0,0,1.8160285590403565e-06,1.6912549755017387e-06,34505.0,3.290653228759765e-12,4.317021070890411e-12,2.3098165464731217e-08,5.218929329833571e-07,-3.762932683853873e-10,3.668585771143944e-08,1.0234488041503808e-06,1.8140157741209874e-06,1.8623056175254123e-06,8.0134058324225e-07,2.0154842461257414e-06,3.3728636320469034e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID063_LOC_RC012021-5.00x5.00-Z Height_Forward-251001-CRO_46a0c85f.tiff,3,41,7.225151993843567,70.55812493987858,312.0609756097561,3.207317073170732,3047.470464939024,31.32145579268293,0,0,0,3.047470464939024e-06,3.132145579268293e-08,41.0,3.9100646972656245e-15,5.23758017637443e-15,1.3450455197108467e-08,2.566993162334753e-08,0.0,8.004206221856998e-09,3.5279062469939287e-08,6.253051013118015e-08,4.0336155197543956e-08,3.199555977214105e-08,4.748504196951365e-08,2.8602281672959898e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID063_LOC_RC012021-5.00x5.00-Z Height_Forward-251001-CRO_46a0c85f.tiff,4,1830,48.27036737860349,471.3903064316747,324.95136612021855,32.20765027322405,3173.353184767759,314.5278346994536,1,0,0,3.173353184767759e-06,3.145278346994536e-07,1830.0,1.745223999023437e-13,2.1774820219208063e-13,2.3267876543767932e-08,8.613793975912391e-08,-3.588825532900264e-10,1.7931314935063987e-08,2.3569515321583733e-07,4.177587819571765e-07,3.2043942701507185e-07,1.8862128145195586e-07,3.6520453214155963e-07,1.4046478148584545e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID063_LOC_RC012021-5.00x5.00-Z Height_Forward-251001-CRO_46a0c85f.tiff,5,98,11.170383851240114,109.08577979726674,365.4285714285714,8.755102040816327,3568.6383928571427,85.49904336734694,0,0,0,3.5686383928571427e-06,8.549904336734694e-08,98.0,9.346008300781248e-15,1.154771525584178e-14,9.570946489219198e-09,1.556113636849588e-08,4.6431410494373353e-10,4.321021667796871e-09,5.454288989863337e-08,9.667475524034828e-08,8.706510176037731e-08,3.457695101243107e-08,8.803064826274456e-08,3.417890314216951e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID063_LOC_RC012021-5.00x5.00-Z Height_Forward-251001-CRO_46a0c85f.tiff,6,12509,126.20203431439666,1232.4417413515298,406.133703733312,86.95567191622031,3966.149450520625,849.176483556839,0,0,0,3.966149450520625e-06,8.49176483556839e-07,12509.0,1.1929512023925779e-12,1.3079720667207837e-12,1.3073880514122266e-08,7.627611323543178e-08,-3.7591897529027563e-10,1.3120947487633551e-08,6.162208706757649e-07,1.0922230552376095e-06,1.0144069199545597e-06,5.560290777088161e-07,1.3350970494589624e-06,2.0173761263624528e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID063_LOC_RC012021-5.00x5.00-Z Height_Forward-251001-CRO_46a0c85f.tiff,7,15,4.370193722368317,42.677673070003095,407.2333333333333,2.033333333333333,3976.888020833333,19.856770833333332,0,0,0,3.976888020833333e-06,1.985677083333333e-08,15.0,1.4305114746093746e-15,1.456197479408105e-15,7.733441492972188e-10,1.5714499530565332e-09,-1.8774285032055202e-10,6.623252552918056e-10,2.1338836535001545e-08,3.78221029903068e-08,2.5411932047236858e-08,1.8784925459943253e-08,2.9036426921853084e-08,1.499811192520108e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID063_LOC_RC012021-5.00x5.00-Z Height_Forward-251001-CRO_46a0c85f.tiff,8,15,4.370193722368317,42.677673070003095,155.83333333333331,10.566666666666666,1521.8098958333333,103.19010416666666,0,0,0,1.5218098958333332e-06,1.0319010416666666e-07,15.0,1.4305114746093746e-15,1.4344970642264074e-15,-7.346291211468955e-11,1.2344847164035047e-10,-3.3961451063613276e-10,1.2426061816512265e-10,2.1338836535001545e-08,3.78221029903068e-08,3.004114872122709e-08,1.5693053801397582e-08,3.14591705746228e-08,1.1507240902298534e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID063_LOC_RC012021-5.00x5.00-Z Height_Forward-251001-CRO_46a0c85f.tiff,9,4,2.256758334191025,22.03865560733423,121.24999999999997,12.749999999999998,1184.0820312499998,124.51171874999999,0,0,0,1.1840820312499998e-06,1.2451171874999998e-07,4.0,3.814697265624999e-16,3.8207467778981636e-16,-2.5772071816441314e-10,-2.1920319531562533e-10,-2.9623824101320094e-10,3.85175228487878e-11,1.1019327803667115e-08,1.9531249999999998e-08,1.6668816216201414e-08,8.334408108100707e-09,1.7605834430535107e-08,5.717541722276225e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID063_LOC_RC012021-5.00x5.00-Z Height_Forward-251001-CRO_46a0c85f.tiff,10,6,2.763953195770684,26.991730427448086,137.0,12.5,1337.890625,122.0703125,0,0,0,1.337890625e-06,1.220703125e-07,6.0,5.722045898437499e-16,5.755276613193274e-16,-1.9649037502392687e-10,-2.948702282424197e-11,-3.742281996038571e-10,1.271626513575015e-10,1.3495865213724042e-08,2.392079826936697e-08,1.6720663860027693e-08,1.1147109240018463e-08,1.7605230837226653e-08,9.755859375e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID063_LOC_RC012021-5.00x5.00-Z Height_Forward-251001-CRO_46a0c85f.tiff,11,1,1.1283791670955126,11.019327803667116,142.49999999999997,12.5,1391.6015624999998,122.0703125,0,0,0,1.3916015624999998e-06,1.220703125e-07,1.0,9.536743164062498e-17,9.63365113343217e-17,-3.0135697298038534e-10,-3.0135697298038534e-10,-3.0135697298038534e-10,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.905339660024896e-09,4.8779296875e-09
