source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID064_LOC_RC014004-5.00x5.00-Z Height_Forward-251001-CRO_99d3f356.tiff,1,1678,46.2222452512381,451.3891137816221,20.81168057210965,24.317640047675805,203.23906808700832,237.47695359058403,0,0,1,2.0323906808700833e-07,2.3747695359058403e-07,1678.0,1.600265502929687e-13,1.631176287256949e-13,6.416452242465591e-09,1.8341116514470914e-08,4.549814847630904e-10,4.106208917414812e-09,2.2569455689081104e-07,4.0003318648953203e-07,2.863960927678869e-07,2.0070743390336165e-07,3.533074286771248e-07,1.2312941238856776e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID064_LOC_RC014004-5.00x5.00-Z Height_Forward-251001-CRO_99d3f356.tiff,2,237,17.371176474327626,169.64039525710572,56.5126582278481,5.30590717299578,551.8814280063291,51.81549973628692,0,0,0,5.518814280063291e-07,5.181549973628692e-08,237.0,2.260208129882812e-14,2.3206529233042218e-14,4.820202554600201e-09,1.2044136613375228e-08,5.415987439167991e-10,3.0105255672690854e-09,8.482019762855286e-08,1.503398859212954e-07,1.2741009803822793e-07,6.17495287183178e-08,1.3619561508284683e-07,5.460453551688375e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID064_LOC_RC014004-5.00x5.00-Z Height_Forward-251001-CRO_99d3f356.tiff,3,225,16.925687506432688,165.28991705500673,95.89555555555555,5.108888888888889,936.4800347222222,49.89149305555556,0,0,0,9.364800347222222e-07,4.9891493055555556e-08,225.0,2.145767211914062e-14,2.2046756206016966e-14,5.110517815533517e-09,1.8968865256066897e-08,5.219001555319623e-10,4.589156766545435e-09,8.264495852750336e-08,1.46484375e-07,1.3766728489860527e-07,6.20780264261037e-08,1.7097221796629124e-07,3.7455543201070313e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID064_LOC_RC014004-5.00x5.00-Z Height_Forward-251001-CRO_99d3f356.tiff,4,223,16.85029431422316,164.55365541233553,123.50448430493272,10.89013452914798,1206.0984795403585,106.34897001121075,0,0,0,1.2060984795403586e-06,1.0634897001121075e-07,223.0,2.126693725585937e-14,2.1607940839002634e-14,3.3890067296615936e-09,8.707206628021421e-09,4.892695953745931e-10,2.014945752421749e-09,8.227682770616777e-08,1.458318801080867e-07,1.2641885766810939e-07,6.453981339930183e-08,1.3382450085968922e-07,4.7480412025220966e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID064_LOC_RC014004-5.00x5.00-Z Height_Forward-251001-CRO_99d3f356.tiff,5,430,23.398568422792877,228.5016447538367,150.72558139534883,12.162790697674417,1471.9295058139533,118.77725290697673,0,0,0,1.4719295058139532e-06,1.1877725290697673e-07,430.0,4.100799560546874e-14,4.1757089431524974e-14,4.4199883382328235e-09,1.098426100288452e-08,4.516208249088844e-10,2.584980335881963e-09,1.1425082237691834e-07,2.02504310091091e-07,1.775393994452797e-07,7.824819981547554e-08,1.824375909416603e-07,6.650459491661606e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID064_LOC_RC014004-5.00x5.00-Z Height_Forward-251001-CRO_99d3f356.tiff,6,1,1.1283791670955126,11.019327803667116,158.49999999999997,0.5,1547.8515624999998,4.8828125,0,0,0,1.5478515624999998e-06,4.8828124999999996e-09,1.0,9.536743164062498e-17,9.733227283274427e-17,1.2968098384762836e-09,1.2968098384762836e-09,1.2968098384762836e-09,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.905339660024887e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID064_LOC_RC014004-5.00x5.00-Z Height_Forward-251001-CRO_99d3f356.tiff,7,5,2.5231325220201604,24.63996603535313,161.09999999999997,1.1,1573.2421874999998,10.7421875,0,0,0,1.5732421874999998e-06,1.07421875e-08,5.0,4.768371582031249e-16,4.856422990547047e-16,1.2550199692194421e-09,1.4547015707584768e-09,1.0344434330519869e-09,1.8910309028366348e-10,1.2319983017676562e-08,2.183660134277138e-08,1.8141270897487547e-08,1.050604549267298e-08,2.0716020380530946e-08,5.7175417222762235e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID064_LOC_RC014004-5.00x5.00-Z Height_Forward-251001-CRO_99d3f356.tiff,8,1,1.1283791670955126,11.019327803667116,182.49999999999997,0.5,1782.2265624999998,4.8828125,0,0,0,1.7822265624999998e-06,4.8828124999999996e-09,1.0,9.536743164062498e-17,1.008558854146115e-16,1.1179526284516831e-09,1.1179526284516831e-09,1.1179526284516831e-09,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.905339660024887e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID064_LOC_RC014004-5.00x5.00-Z Height_Forward-251001-CRO_99d3f356.tiff,9,1,1.1283791670955126,11.019327803667116,184.49999999999997,0.5,1801.7578124999998,4.8828125,0,0,0,1.8017578124999999e-06,4.8828124999999996e-09,1.0,9.536743164062498e-17,1.0118712686988728e-16,1.3537491489128286e-09,1.3537491489128286e-09,1.3537491489128286e-09,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.905339660024887e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID064_LOC_RC014004-5.00x5.00-Z Height_Forward-251001-CRO_99d3f356.tiff,10,1,1.1283791670955126,11.019327803667116,186.5,0.5,1821.2890625,4.8828125,0,0,0,1.8212890625e-06,4.8828124999999996e-09,1.0,9.536743164062498e-17,9.852853643013087e-17,8.234659040127936e-10,8.234659040127936e-10,8.234659040127936e-10,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.9053396600250365e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID064_LOC_RC014004-5.00x5.00-Z Height_Forward-251001-CRO_99d3f356.tiff,11,294,19.347672370394786,188.94211299213657,198.89795918367346,10.01020408163265,1942.3628826530612,97.75589923469386,0,0,0,1.942362882653061e-06,9.775589923469386e-08,294.0,2.8038024902343742e-14,2.8422794674017306e-14,3.617960306767313e-09,8.701663646262239e-09,4.593887050292854e-10,2.2098076080018114e-09,9.447105649606829e-08,1.674455878855688e-07,1.2396533460880907e-07,7.513460571144326e-08,1.3879667622371338e-07,6.60932729595816e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID064_LOC_RC014004-5.00x5.00-Z Height_Forward-251001-CRO_99d3f356.tiff,12,1,1.1283791670955126,11.019327803667116,230.49999999999994,0.5,2250.9765624999995,4.8828125,0,0,0,2.2509765624999998e-06,4.8828124999999996e-09,1.0,9.536743164062498e-17,1.0272554905825124e-16,5.710912067009388e-10,5.710912067009388e-10,5.710912067009388e-10,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.9053396600250365e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID064_LOC_RC014004-5.00x5.00-Z Height_Forward-251001-CRO_99d3f356.tiff,13,9539,110.20631568666434,1076.2335516275814,292.4342698396058,45.12574693364083,2855.8034164024,440.6811223988363,0,0,0,2.8558034164024003e-06,4.406811223988363e-07,9539.0,9.097099304199218e-13,9.268751645644584e-13,5.8556003237913394e-09,3.1922567574992664e-08,4.5076902399066407e-10,5.179553625258322e-09,5.381167758137907e-07,9.537871515280134e-07,9.725077058477672e-07,4.1881409575545964e-07,1.221754518174604e-06,1.2123418936949937e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID064_LOC_RC014004-5.00x5.00-Z Height_Forward-251001-CRO_99d3f356.tiff,14,3,1.9544100476116797,19.08603562120781,275.49999999999994,0.5,2690.4296874999995,4.8828125,0,0,0,2.6904296874999996e-06,4.8828124999999996e-09,3.0,2.8610229492187495e-16,2.887885427473732e-16,1.3975468029574666e-09,1.3975468029574666e-09,1.3975468029574666e-09,0.0,9.543017810603905e-09,1.6914558667664815e-08,1.6720663860027693e-08,5.573554620009231e-09,1.544080888754115e-08,4.8779296875e-09
