source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID065_LOC_RC014008-5.00x5.00-Z Height_Forward-251001-CRO_78ba3437.tiff,1,8864,106.2355652525673,1037.4566919196025,100.84532942238266,59.93851534296029,984.8176701404557,585.3370638960965,0,0,0,9.848176701404557e-07,5.853370638960965e-07,8864.0,8.453369140624998e-13,1.3200602052403589e-12,4.3397275555387334e-08,1.513426489594157e-07,-1.4657292040180673e-09,4.2721688385116205e-08,5.187283459598012e-07,9.194220543702983e-07,1.2024812592884118e-06,3.0020464293500977e-07,1.3369459786501477e-06,1.4042270680786194e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID065_LOC_RC014008-5.00x5.00-Z Height_Forward-251001-CRO_78ba3437.tiff,2,529,25.95272084319679,253.44453948434366,251.21077504725895,7.810018903591682,2453.230225070888,76.26971585538752,0,0,0,2.453230225070888e-06,7.626971585538752e-08,529.0,5.0449371337890616e-14,1.0289529498073351e-13,6.151431810289732e-08,1.4789941949366055e-07,-1.4517688716634056e-09,2.984610331913798e-08,1.2672226974217181e-07,2.2460937499999998e-07,2.0076608157974793e-07,8.20345540681878e-08,2.2546361666269123e-07,8.300680035333233e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID065_LOC_RC014008-5.00x5.00-Z Height_Forward-251001-CRO_78ba3437.tiff,3,17480,149.18521120396164,1456.8868281636878,152.86733409610983,153.50446224256294,1492.8450595323225,1499.0670140875286,0,0,0,1.4928450595323225e-06,1.4990670140875285e-06,17480.0,1.6670227050781246e-12,2.357801806443643e-12,4.106939381216048e-08,2.193830177869695e-07,-1.4622489062335389e-09,3.844661020732811e-08,7.28443414081844e-07,1.2911323344561255e-06,1.981785561128062e-06,3.7084234617327016e-07,2.1431059805096897e-06,2.5471557080318143e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID065_LOC_RC014008-5.00x5.00-Z Height_Forward-251001-CRO_78ba3437.tiff,4,426,23.28948359361322,227.4363632188791,496.16901408450707,9.603286384976526,4845.400528169014,93.78209360328638,0,0,0,4.845400528169014e-06,9.378209360328638e-08,426.0,4.062652587890624e-14,4.1496680928982075e-14,1.961676954297661e-09,9.003398404629842e-09,-1.4441351118708802e-09,2.254432619499667e-09,1.1371818160943954e-07,2.0156022891162394e-07,1.8981576534322006e-07,1.0654756120988729e-07,2.2276376302063876e-07,3.906196116286391e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID065_LOC_RC014008-5.00x5.00-Z Height_Forward-251001-CRO_78ba3437.tiff,5,15,4.370193722368317,42.677673070003095,465.1666666666667,7.766666666666666,4542.643229166667,75.84635416666666,0,0,0,4.542643229166667e-06,7.584635416666665e-08,15.0,1.4305114746093746e-15,1.4419374222286705e-15,-4.3337890107795284e-10,1.0689389858086892e-10,-1.1705961181767741e-09,4.359582990945727e-10,2.1338836535001545e-08,3.78221029903068e-08,2.3615127178182563e-08,1.991804682386814e-08,2.7018999423399767e-08,1.627250546947846e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID065_LOC_RC014008-5.00x5.00-Z Height_Forward-251001-CRO_78ba3437.tiff,6,40,7.136496464611085,69.69234828721763,11.274999999999999,19.1,110.10742187499999,186.5234375,0,0,0,1.1010742187499999e-07,1.865234375e-07,40.0,3.8146972656249994e-15,3.9841461638437356e-15,-4.724841852237426e-10,6.075048822046688e-10,-1.3961201820575095e-09,5.779230186541824e-10,3.484617414360881e-08,6.176323555016365e-08,5.500978864808177e-08,2.3128313390565033e-08,5.7156922939347106e-08,2.4413571498356372e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID065_LOC_RC014008-5.00x5.00-Z Height_Forward-251001-CRO_78ba3437.tiff,7,11,3.742410318509555,36.54697576669488,39.22727272727273,18.863636363636363,383.0788352272727,184.21519886363635,0,0,0,3.8307883522727267e-07,1.8421519886363634e-07,11.0,1.0490417480468747e-15,1.084289672192291e-15,-1.0514609007986901e-09,-3.09523162057941e-10,-1.433086029370925e-09,3.9164597267975926e-10,1.8273487883347434e-08,3.238891396831445e-08,2.0388599243321132e-08,1.8449727753751702e-08,2.573822491178414e-08,1.0915895733353843e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID065_LOC_RC014008-5.00x5.00-Z Height_Forward-251001-CRO_78ba3437.tiff,8,27,5.863230142835039,57.258106863623425,84.42592592592591,18.722222222222218,824.4719328703702,182.83420138888886,0,0,0,8.244719328703702e-07,1.8283420138888886e-07,27.0,2.5749206542968744e-15,2.6639382806597752e-15,-5.74760030246999e-10,2.019485871970334e-10,-1.44641997353655e-09,5.472602258714107e-10,2.8629053431811714e-08,5.0743676002994444e-08,4.7045985797913436e-08,1.841957102936166e-08,4.9798091074544577e-08,1.5054240595471733e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID065_LOC_RC014008-5.00x5.00-Z Height_Forward-251001-CRO_78ba3437.tiff,9,136,13.159049284959082,128.50634067342853,137.02941176470588,19.76470588235294,1338.1778492647059,193.01470588235293,0,0,0,1.3381778492647058e-06,1.9301470588235292e-07,136.0,1.2969970703124998e-14,1.3487401343068245e-14,1.5083958803598715e-09,6.085251153988315e-09,-1.4537740538004971e-09,2.1236478611092374e-09,6.425317033671427e-08,1.1388577919619726e-07,1.347073660744984e-07,3.1117418527474595e-08,1.3329002236563702e-07,2.929609064216951e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID065_LOC_RC014008-5.00x5.00-Z Height_Forward-251001-CRO_78ba3437.tiff,10,326,20.37341629633241,198.9591435188712,395.9754601226993,19.475460122699385,3866.9478527607353,190.19004026073617,0,0,0,3.866947852760735e-06,1.9019004026073617e-07,326.0,3.1089782714843744e-14,3.219016021558826e-14,9.756609932232393e-10,4.403537858218632e-09,-1.4486270216139238e-09,1.5150547809837546e-09,9.94795717594356e-08,1.7632295005144324e-07,3.798977264841055e-07,2.8596344248431677e-08,3.4305816778113915e-07,2.929644562431821e-08
