source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID066_LOC_RC014014-5.00x5.00-Z Height_Forward-251002-CRO_b56395ca.tiff,1,72,9.574614729634384,93.50209696908577,4.902777777777778,3.8055555555555554,47.87868923611111,37.16362847222222,0,0,0,4.787868923611111e-08,3.716362847222222e-08,72.0,6.866455078124998e-15,7.626685026729845e-15,7.234591984355703e-09,1.4916038684525975e-08,4.4535986259424643e-10,3.902047743108971e-09,4.675104848454289e-08,8.286407592029853e-08,5.451117604022898e-08,4.085833663799713e-08,6.14346357927104e-08,3.696822098982333e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID066_LOC_RC014014-5.00x5.00-Z Height_Forward-251002-CRO_b56395ca.tiff,2,14076,133.87352177220166,1307.3586110566569,71.6886899687411,72.49644785450411,700.0848629759873,707.9731235791418,0,0,0,7.000848629759874e-07,7.079731235791418e-07,14076.0,1.3423919677734372e-12,1.3689828512325853e-12,7.417750427642242e-09,4.8228010067441806e-08,1.7558718791936645e-10,5.220665497064397e-09,6.536793055283283e-07,1.1586164023409289e-06,7.295904824314702e-07,6.774449623654705e-07,8.993916433103474e-07,2.099599253533324e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID066_LOC_RC014014-5.00x5.00-Z Height_Forward-251002-CRO_b56395ca.tiff,3,869,33.26327050028088,324.8366259793055,188.6622554660529,3.839470655926352,1842.4048385356728,37.49483062428078,0,0,0,1.8424048385356729e-06,3.749483062428078e-08,869.0,8.28742980957031e-14,8.620828407973709e-14,8.445103237532128e-09,2.5701046199018075e-08,1.8978045969621515e-10,5.227671981033646e-09,1.6241831298965274e-07,2.8787896431608735e-07,6.129704981187714e-07,4.603030984114502e-08,6.006063926743179e-07,5.275966823395072e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID066_LOC_RC014014-5.00x5.00-Z Height_Forward-251002-CRO_b56395ca.tiff,4,6780,92.91159299734562,907.3397753647033,435.19896755162245,36.85693215339233,4249.989917496313,359.93097806047194,0,0,0,4.249989917496313e-06,3.5993097806047193e-07,6780.0,6.465911865234373e-13,6.755450847284182e-13,1.1022299158174506e-08,6.772391623781698e-08,1.702654587716154e-10,1.094289515853066e-08,4.5366988768235166e-07,8.04108939462457e-07,9.857075592149587e-07,3.203174367265077e-07,1.3057822137584469e-06,1.2800589896660188e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID066_LOC_RC014014-5.00x5.00-Z Height_Forward-251002-CRO_b56395ca.tiff,5,33,6.4820448144285745,63.301218890904046,1.9545454545454544,14.136363636363635,19.087357954545453,138.05042613636363,0,0,0,1.9087357954545452e-08,1.3805042613636363e-07,33.0,3.1471252441406244e-15,3.1983973292612883e-15,2.0308181684034737e-09,3.77269944350257e-09,2.8478951824748153e-10,1.0016107114017445e-09,3.165060944545202e-08,5.609924459509793e-08,4.518336990529204e-08,2.3185307114168733e-08,4.632261484673018e-08,2.0751148875957973e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID066_LOC_RC014014-5.00x5.00-Z Height_Forward-251002-CRO_b56395ca.tiff,6,14,4.222008245644752,41.23054927387454,460.7142857142856,13.285714285714285,4499.162946428571,129.74330357142856,0,0,0,4.499162946428571e-06,1.2974330357142856e-07,14.0,1.3351440429687497e-15,1.3385831188704048e-15,6.683571144842198e-10,1.130665287771279e-09,2.7960566355946626e-10,2.712679360645767e-10,2.0615274636937265e-08,3.653962291771427e-08,2.8727191691397255e-08,1.5520159793488183e-08,3.088247577892233e-08,1.4647898662863907e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID066_LOC_RC014014-5.00x5.00-Z Height_Forward-251002-CRO_b56395ca.tiff,7,12,3.9088200952233594,38.17207124241562,271.75,16.916666666666664,2653.80859375,165.20182291666666,0,0,0,2.65380859375e-06,1.6520182291666667e-07,12.0,1.1444091796874998e-15,1.1483295283062257e-15,5.61580908326687e-10,8.314507870786918e-10,2.6119675731175103e-10,1.8518821860410316e-10,1.908603562120781e-08,3.382911733532963e-08,2.194780036591698e-08,1.713013209266785e-08,2.4664073349868704e-08,1.4648308536272938e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID066_LOC_RC014014-5.00x5.00-Z Height_Forward-251002-CRO_b56395ca.tiff,8,7,2.985410660720923,29.154400983602766,438.5,16.214285714285715,4282.2265625,158.34263392857144,0,0,0,4.2822265625e-06,1.5834263392857143e-07,7.0,6.675720214843749e-16,6.68157929836541e-16,2.1478427054931237e-10,3.154445024500801e-10,1.7452017778900527e-10,6.366312052143326e-11,1.4577200491801383e-08,2.583741514711514e-08,1.5433050861521587e-08,1.4438975288980882e-08,1.8557542726223142e-08,1.0374839927411348e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID066_LOC_RC014014-5.00x5.00-Z Height_Forward-251002-CRO_b56395ca.tiff,9,18,4.787307364817192,46.751048484542885,217.77777777777774,19.555555555555557,2126.736111111111,190.97222222222223,0,0,0,2.126736111111111e-06,1.9097222222222223e-07,18.0,1.7166137695312496e-15,1.7213263779046124e-15,6.770921551946309e-10,1.1520786399080346e-09,1.6990060012923765e-10,3.308387453530576e-10,2.3375524242271445e-08,4.1432037960149266e-08,3.189105789221401e-08,1.7830973968053237e-08,3.2755558719788995e-08,1.4998111925201077e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID066_LOC_RC014014-5.00x5.00-Z Height_Forward-251002-CRO_b56395ca.tiff,10,1139,38.08175207961617,371.8921101525017,172.76602282704127,47.874890254609305,1687.1681916703249,467.528225142669,1,1,0,1.6871681916703248e-06,4.6752822514266896e-07,1139.0,1.0862350463867186e-13,1.1745457732928069e-13,1.4753565031920875e-08,3.4447816755374175e-08,2.6123274451369024e-10,8.381963909510984e-09,1.859460550762508e-07,3.295808013805899e-07,2.3682166004625844e-07,1.5818303652625647e-07,2.7517217886772803e-07,1.3029800040375132e-07
