source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID075_LOC_RC016021-5.00x5.00-Z Height_Forward-251002-CRO_87ad47c7.tiff,1,2441,55.74923971408518,544.4261690828631,18.4582138467841,37.738836542400655,180.255994597501,368.5433256093814,0,0,1,1.80255994597501e-07,3.6854332560938137e-07,2441.0,2.327919006347656e-13,2.638186476835759e-13,2.0293589363311712e-08,6.411784845634059e-08,-2.103833016795171e-09,1.2938217557912026e-08,2.7221308454143155e-07,4.82485129962329e-07,4.578178715700309e-07,2.115955074211138e-07,5.00533775000178e-07,1.2206930035333234e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID075_LOC_RC016021-5.00x5.00-Z Height_Forward-251002-CRO_87ad47c7.tiff,2,24,5.527906391541368,53.98346085489617,111.41666666666666,0.9166666666666666,1088.0533854166665,8.951822916666666,0,0,0,1.0880533854166665e-06,8.951822916666666e-09,24.0,2.2888183593749996e-15,2.3972797580718814e-15,5.123230382967002e-10,3.5929465136230826e-09,-2.06452024701181e-09,1.8421824677297896e-09,2.6991730427448084e-08,4.784159653873394e-08,6.971577699585044e-08,1.0865918112612258e-08,6.853418126881114e-08,9.765037057899877e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID075_LOC_RC016021-5.00x5.00-Z Height_Forward-251002-CRO_87ad47c7.tiff,3,732,30.52886088189566,298.1334070497623,171.58196721311472,6.8428961748633865,1675.6051485655735,66.82515795765026,0,0,0,1.6756051485655736e-06,6.682515795765027e-08,732.0,6.980895996093748e-14,7.898990319299305e-14,2.0795197432412684e-08,4.567738354031824e-08,-1.990725661587924e-09,8.37741463877691e-09,1.4906670352488115e-07,2.642138527044664e-07,2.769041048746646e-07,8.30437740789852e-08,2.930095778147075e-07,7.812421564216952e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID075_LOC_RC016021-5.00x5.00-Z Height_Forward-251002-CRO_87ad47c7.tiff,4,5057,80.241961452383,783.6129048084276,261.2095115681234,37.497231560213564,2550.874136407455,366.18390195521056,0,0,0,2.550874136407455e-06,3.6618390195521057e-07,5057.0,4.822731018066405e-13,5.0965908010911e-13,9.548498003560773e-09,4.207888296986854e-08,-2.1103549751653193e-09,7.775619057272504e-09,3.918064524042138e-07,6.944588553734775e-07,5.842062921488465e-07,3.2795831072616044e-07,6.740751350479233e-07,2.210414815447823e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID075_LOC_RC016021-5.00x5.00-Z Height_Forward-251002-CRO_87ad47c7.tiff,5,777,31.453253031430968,307.16067413506806,358.3867438867439,11.980051480051479,3499.870545768983,116.99269023487773,0,0,0,3.499870545768983e-06,1.1699269023487773e-07,777.0,7.410049438476561e-14,7.942535294080669e-14,1.0857242632451939e-08,3.010613554939934e-08,-2.1037979727175306e-09,8.93019234693532e-09,1.5358033706753402e-07,2.7221405985871785e-07,2.3918971677865366e-07,1.1850496732923782e-07,2.537660129434221e-07,8.601416638720642e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID075_LOC_RC016021-5.00x5.00-Z Height_Forward-251002-CRO_87ad47c7.tiff,6,4034,71.66762395574202,699.8791401927931,431.4077838373822,48.86291522062469,4212.966639036936,477.176906451413,0,0,0,4.212966639036936e-06,4.77176906451413e-07,4034.0,3.8471221923828117e-13,4.67701393955876e-13,2.4746917809203483e-08,7.001021304248052e-08,-2.1064994597761966e-09,1.7477936071034892e-08,3.4993957009639653e-07,6.202517386015788e-07,5.48836330755471e-07,3.00686213897308e-07,6.170926010447802e-07,1.4185235170787993e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID075_LOC_RC016021-5.00x5.00-Z Height_Forward-251002-CRO_87ad47c7.tiff,7,1606,45.21971593060566,441.59878838482086,497.6407222914071,27.541095890410954,4859.772678627022,268.9560145547945,0,0,1,4.859772678627023e-06,2.689560145547945e-07,1606.0,1.5316009521484372e-13,1.7969671480461995e-13,1.2512394914096812e-08,6.210569229337723e-08,-2.109295472688848e-09,1.4408872548973588e-08,2.2079939419241043e-07,3.913567365139429e-07,3.4582556084736547e-07,1.5266822639539593e-07,3.5132916197805543e-07,1.4746162981423824e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID075_LOC_RC016021-5.00x5.00-Z Height_Forward-251002-CRO_87ad47c7.tiff,8,1808,47.9793403131095,468.54824524521,117.600110619469,26.074668141592916,1148.438580268252,254.63543107024333,1,0,0,1.148438580268252e-06,2.5463543107024334e-07,1808.0,1.7242431640624995e-13,1.7722244557290258e-13,1.29466714990405e-08,2.4369460081487523e-08,-2.1081220681216096e-09,6.2957308672904744e-09,2.3427412262260497e-07,4.152400708099472e-07,2.712088040433568e-07,2.0397489077900177e-07,2.889196896581251e-07,1.94551057992355e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID075_LOC_RC016021-5.00x5.00-Z Height_Forward-251002-CRO_87ad47c7.tiff,9,504,25.332049473868512,247.38329564324718,462.68650793650784,19.86507936507936,4518.422929067459,193.99491567460313,0,0,0,4.51842292906746e-06,1.9399491567460313e-07,504.0,4.806518554687499e-14,5.429700771011416e-14,1.1807262177291024e-08,3.12089863941401e-08,-1.9611927123159455e-09,1.0400510601861971e-08,1.2369164782162358e-07,2.1923773750628561e-07,1.666052502576554e-07,9.560348407474487e-08,1.6406547350519044e-07,9.143515204196029e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID075_LOC_RC016021-5.00x5.00-Z Height_Forward-251002-CRO_87ad47c7.tiff,10,4253,73.5872800404978,718.6257816454863,72.70738302374792,75.00529038325887,710.0330373412884,732.4735388990124,0,0,0,7.100330373412884e-07,7.324735388990124e-07,4253.0,4.0559768676757805e-13,4.64981033287763e-13,1.782935114631324e-08,8.297670794713767e-08,-2.1056314750684314e-09,1.7178787339291474e-08,3.5931289082274317e-07,6.368655170187644e-07,4.371169028407177e-07,3.10540777064728e-07,4.62750189375186e-07,2.023226018295063e-07
